English,Other
"$64,000 question",السؤال الأهم
(in cooking) to mix a substance into another substance by turning it gently with a spoon,يَخلِط
(of a child) to behave very well,مُؤدّب
(of a person) fat,سمين
"(the title of) a British man of high social rank, between an earl and a baron",فيسكَونت (لَقَب إنجِليزي)
-shaped,عَلى شَكْل
1 January,يَوْم رَأس السَّنة
1000th written as a word,الألْف
10th written as a word,العاشِر
11th written as a word,حادي عَشْر
12th written as a word,الثاني عَشَر
13th written as a word,ثَلاثة عَشَر
14th written as a word,أرْبَعة عَشرة / رابِع عَشر
15th written as a word,خَمْسة عَشْرة
16th written as a word,السادِس عَشْر
17th written as a word,السابِع عَشر
18th written as a word,ثامِن عَشَر
19th written as a word,التاسِع عَشر
20th written as a word,العِشرون
"26 December, a public holiday in the UK and Canada",يَوْم 26 ديسَمْبِر.يَوْم عُطْلة في كُلّ مِنْ بريطانْيا وكَنَدا
"30 minutes past one o’clock, two o’clock, etc.",الواحِدَة وَ النِصْف / الثانِيَة وَ النِصْف .. الخ.
30th written as a word,ثَلاثون
"31 December, the last day of the year",لَيلة رأس السنة
3rd written as a word,الثّالِث
"4 July, a public holiday in the US",عيد الاستِقلال في أمريكا
40th written as a word,أرْبَعون
4th written as a word,الرّابِع
50th written as a word,خَمْسون
5th written as a word,الخامِس
60th written as a word,السُّتّون
6th written as a word,السّادِس
70th written as a word,السَبعينيات
7th written as a word,السّابِع
80th written as a word,الثمانون
8th written as a word,ثامِن
90th written as a word,التِّسْعينِيّات
9th written as a word,التّاسِع
A & E,قِسم الطوارئ
A bumpy road or surface is not smooth.,وَعِر
"A buxom woman is attractive and slightly fat, with large breasts.",امرأة مُمتَلِئة
A carbonated liquid has lots of bubbles of gas in it.,فَوَّار
"A charitable event, activity, or organization gives money, food, or help to people who need it.",خَيري
A cheerful place or thing is bright and pleasant and makes you feel happy.,بَهيج
A chivalrous man behaves very politely towards women.,شَهم
"A classic book, movie, etc. is one that has been popular for a long time and is very good.",كلاسيكي
A close competition is one in which people’s scores are very similar.,مُتَشابِه
"A close relative is someone who is directly related to you, for example your mother, father, or brother.",قَريب مِن الدرجة الأولى
A conditional sentence usually begins with ‘if’ and says that something must be true or happen before something else can be true or happen.,جُملة شَرطِيّة
A contagious disease is one that you can get if you touch someone who has it.,مُعدٍ
"A cramped room, building, etc. is unpleasant because it is not big enough.",ضَيّق
"A cultured person knows a lot about music, art, theatre, etc.",مُثقّف
A deep colour is strong and dark.,داكِن
A deep feeling is very strong.,عَميق
A deep sound is low.,صَوت خَفيض
A deserted place has no people in it,مَهْجور
A detached building is not joined to another building.,مُنعَزِل
A detached building is not joined to another building.,مُنفَصِل
A diagonal line is straight and sloping and not horizontal or vertical.,خَطّ مائل / مُنْحَرِف
A digital clock or watch shows the time in the form of numbers.,رَقَمي
A domestic animal is kept as a pet.,أليف
"A duck (= a water bird) or fat person that waddles walks with short steps, moving from side to side.",يَتَبَختَر
A dull sound is not loud or clear.,خافِت
A dwarf animal or plant is much smaller than the normal size.,قِزَمي
A fatal accident or illness makes someone die.,قاتِل
A fatal accident or illness makes someone die.,مُميت
"A federal system of government consists of a group of regions that can make their own laws, but are also controlled by a national government.",فيدِرالي
A fire or light that is out is not burning or shining.,مُطْفأ
A fizzy liquid has lots of bubbles of gas in it.,فَوَّار
"A freak accident, storm, etc. is one that is very unusual.",حادِث غَريب/عاصِفة غَريبة، إلخ
A gifted person has a natural ability or is extremely intelligent.,مَوهوب
A glaring mistake is a very bad one that everyone will notice.,صارِخ
A glaring mistake is a very bad one that everyone will notice.,فاضِح
A good child or animal behaves well.,جَيِّد
A grim place is ugly and unpleasant.,بَشِع
A grim place is ugly and unpleasant.,كَريه
A gross amount of money has not had taxes or other costs taken from it.,إجمالي
A handsome man is attractive.,وَسيم
A hidden thing or place is not easy to find.,خَفي
A high sound or note is near the top of the set of sounds that people can hear.,مُرْتَفِع
A hospitable person or place is friendly and pleasant for people who visit.,مِضياف
A lame animal or person cannot walk because their foot or leg is hurt.,أعْرَج
A lanky person is very tall and thin.,طَويل ورَفيع جدا
A large vegetable that grows along the ground,قرع
A large vegetable that grows along the ground,كوسة
A lenient punishment is not severe.,عٌقوبة خَفيفة
A level,امْتِحان الثَّانَويّة العامّة في إنجِلْتِرا وويلز
A liquid that is lukewarm is only slightly warm.,فاتِر
A live performance is done with people watching or listening.,حَيّ
A live performance is done with people watching or listening.,مُباشِر
A lonely place is a long way from where people live.,وَحيد
A low sound is deep.,مُنْخَفِض
A low sound is deep.,واطىء
A low-alcohol drink has less alcohol in it than the normal type.,مُنخَفِض الكُحول
"A machine, vehicle, etc. that is temperamental does not always work correctly.",مُتقَلّب
"A machine, vehicle, etc. that is temperamental does not always work correctly.",مِزاجي
A malignant tumour (= a group of diseased cells) is one that could cause death.,خَبيث (طبّي)
A maternal relation is part of your mother’s family.,مِنْ ناحِية الأُمّ
"A mean person does not like spending money, especially on other people.",بَخيل
A minus number is less than zero.,تَحْت الصِّفْر
A modest person does not talk about how good he or she is.,مُتَواضِع
