Other,English
A,(music) the sixth note in the scale of C major
A,"A, a"
A,the first letter of the English alphabet
A,the highest mark which a student can get for a piece of work or in an examination
A kres,(music) a musical note that is a semitone higher than A
A kres,A sharp
A mol,(music) a musical note that is a semitone lower than A
A mol,A flat
AIDS,AIDS
AIDS,short for Acquired Immune Deficiency Syndrome ; a disease that affects the immune system
ATM,"(also ˈcash dispenser, cashpoint) a machine, usually outside a bank, from which people can get money with their credit cards or bank cards; ATM(American)"
ATM,ATM
ATM,cash machine
ATM,"short for Automated Teller Machine; a machine, usually outside a bank, from which people can get money with their credit cards or bank cards; cashpoint ."
Abjad Fonetik Internasional,IPA
Abjad Fonetik Internasional,short for International Phonetic Alphabet; a system of symbols used the represent the pronunciation of words in any language.
Afrika,African
Afrika,Afro-
Agama Katolik,(with capital) a Roman Catholic
Agama Katolik,catholic
Agustus,August
Agustus,the eighth month of the year.
Akuarius,Aquarius
Akuarius,someone who has the Zodiac sign Aquarius.
Akuarius,the sign of the Zodiac for someone who was born between January 21st and February 19th.
Alkitab,"(with the) the sacred writings of the Christian Church, consisting of the Old and New Testaments."
Alkitab,Bible
Alkitab,scripture
Alkitab,the Bible.
Alquran,Koran
Alquran,the holy book of the Muslims.
Amerika,American
Amerika,of or from America
Amerika Latin,Latin America
Amerika Latin,"the countries of Central and South America, where the official language is usually a form of either Spanish or Portuguese."
Anglikanisme,Anglicanism
Antartika,(with the) (of) the area round the South Pole
Antartika,Antarctic
Apokalips,Apocalypse
Apokalips,"the destruction and end of the world, as described in the Bible."
April,April
April,"the fourth month of the year, the month following March."
Arab,(of or relating to) a person from the Middle East or North Africa
Arab,Arab
Aries,Aries
Aries,someone who has the Zodiac sign Aries.
Aries,the Zodiac sign for someone who was born between March 21st and April 20th.
Arktik,Arctic
Arktik,of the area round the North Pole
Askes,health maintenance organization
B,(music) the seventh note in the scale of C major
B,"B, b"
B,the second highest mark which a student can get for a piece of work or in an examination
B,the second letter of the English alphabet
B,used to refer to the second of two different things or people
Bahasa Arab,Arabic
Bahasa Arab,the language of the Arabs
Barat,(often with capital
Barat,in the west
Barat,of the west or the West
Barat,the direction in which the sun sets or any part of the earth lying in that direction
Barat,west
Barat,western
Bluetooth,"(trademark) (computing) a type of radio technology that uses short-wave radio frequencies to connect computers, mobile phones/cell phones, and other electronic devices without the need for wires"
Bluetooth,Bluetooth
Britania Raya,GB
Britania Raya,short for Great Britain
C,(music) the first note in the scale of C major
C,100 in Roman numerals.
C,C
C,"C, c"
C,short for Celsius or centigrade
C,the third highest mark which a student can get for a piece of work or in an examination
C,the third letter of the English alphabet
Celsius,Celsius
D,(music) the second note in the scale of C major
D,"D, d"
D,the fourth highest mark which a student can get for a piece of work or in an examination
D,the fourth letter of the English alphabet
DNA,(biology) short for deoxyribonucleic acid; a nucleic acid that is the main constituent of the chromosomes of almost all organisms and carries genetic information in the cells of the body
DNA,DNA
Desember,December
Desember,"the twelfth month of the year, the month following November"
Dirgantara,aerospace
Dirgantara,the industry of building aircraft and space vehicles
E,(music) the third note in the scale of C major
E,"E, e"
E,the fifth highest mark/grade which a student can get for a piece of work or in an examination
E,the fifth letter of the English alphabet
Eropa,European
Eropa,relating to Europe
Eskimo,Eskimo
Eskimo,"a member of a race of people who live in Alaska, Canada, Greenland, and Siberia. This word is sometimes considered offensive; Inuit."
F,(music) the fourth note in the scale of C major
F,F
F,"F, f"
F,short for Fahrenheit.
F,the sixth highest mark/grade which a student can get for a piece of work or in an examination
F,the sixth letter of the English alphabet
FM,FM
FM,short for frequency modulation; a system used for broadcasting high-quality radio signals
Fahrenheit,Fahrenheit
Februari,February
Februari,"the second month of the year, the month following January"
Firaun,"Pharaoh, pharaoh"
Firaun,a ruler of ancient Egypt
Gemini,Gemini
Gemini,someone who has the Zodiac sign Gemini.
Gemini,the Zodiac sign for someone who was born between May 22nd and June 21st.
Gn,Mt
Gn,short for Mount (used with names)
H,"H, h"
H,the eighth letter of the English alphabet
HIV,(medical) short for human immunodeficiency virus; a virus that causes AIDS.
HIV,HIV
Hari Kenaikan Isa Al-Masih,Ascension Day
Hari Kenaikan Isa Al-Masih,Ascension Day.
Hari Kenaikan Isa Al-Masih,Holy Thursday
Hari Kenaikan Isa Al-Masih,"the day commemorating Christ’s Ascension, ten days before Whitsunday; Holy Thursday"
Hari Natal,Christmas Day
Hari Natal,"December 25, the day when Christians celebrate the birth of Jesus Christ"
Hindu,"(of) a person who believes in, and lives according to the rules of, the religion of ˈHinduism."
Hindu,Hindu
Hinduisme,Hinduism
Hinduisme,a religion of India that includes a belief in reincarnation.
Hispanik,Hispanic
Hispanik,"relating to Spain or countries where Spanish is spoken, especially in Latin America"
Hispanik,"relating to someone, especially in the US, whose family originally come from a Spanish-speaking country, especially in Latin America."
Hispanik,"someone, especially in the US, whose family originally come from a Spanish-speaking country, especially in Latin America."
I,"I, i"
I,the ninth letter of the English alphabet
IPK,GPA
IPK,short for grade point average; (in the US education system) the average of a student’s marks/grades over a period of time.
IUD,IUD
IUD,loop
IUD,short for intrauterine device; a plastic or metal contraceptive used by women.
Indeks Prestasi Komulatif,GPA
Indeks Prestasi Komulatif,short for grade point average; (in the US education system) the average of a student’s marks/grades over a period of time.
India,an Indian king or prince
India,rajah
Indian,American Indian
Indian,Indian
Indian,Native American
Indian,of India or of Indians.
Inggris,Anglo-
Inggris,English
Inggris,of England or its inhabitants
Internet,(computing) a worldwide computer network that provides information on very many subjects and enables users to exchange messages
Internet,Internet
Intranet,"(computing) a local computer network functioning inside an organization, school etc."
Intranet,intranet
Islam,Islam
Islam,the Muslim religion.
Islami,Islamic
Islami,of Islam
J,"J, j"
J,the 10th letter of the English alphabet
JPU,DA
JPU,short for district attorney
Januari,January
Januari,"the first month of the year, the month following December"
Jl,Rd
Jl,"St, St."
Jl,short for Street
Jl,"short for road, used in addresses."
Juli,July
Juli,"the seventh month of the year, the month following June"
Jumat,Friday
Jumat,"the sixth day of the week, the day following Thursday"
Jumat Agung,Good Friday
Jumat Agung,the Friday before Easter commemorating the crucifixion of Christ.
Juni,June
Juni,"the sixth month of the year, the month following May."
Juru selamat,"(usually with capital) a person or god who saves people from sin, hell etc."
Juru selamat,a person who rescues a person etc from danger etc
Juru selamat,"saviour, savior"
K,(informal) one thousand
K,(physics) short for kelvin or kelvins.
K,"K, k"
K,the 11th letter of the English alphabet
K.O.,(of a boxer) still not standing after the count of ten.
K.O.,out for the count
Kamis,Thursday
Kamis,"the fifth day of the week, the day following Wednesday"
Kamis Putih,Holy Thursday
Kamis Putih,Maundy Thursday
Kamis Putih,Maundy Thursday.
Kamis Putih,the Thursday before Easter commemorating Christ’s commands to his disciples at the Last Supper.
Kanser,Cancer
Kanser,"the fourth sign of the Zodiac, represented by a crab, for people born between 22 June and 23 July"
Kaprikornus,Capricorn
Kaprikornus,"the 10th sign of the Zodiac, represented by a goat, for people born between 21 December and 20 January"
Katolik,(with capital) Roman Catholic.
Katolik,catholic
Keltik,Celtic
Keltik,"relating to the Celts, their languages, or their culture"
Kelvin,(physics) (symbol K) a unit for measuring temperature.
Kelvin,kelvin
Kementerian Transportasi,(in Britain) short for Ministry of Transport; an official test that all cars over three years old must have every year to make sure that they are safe to drive
Kementerian Transportasi,MOT
Kenaikan Isa Al-Masih,Ascension
Kenaikan Isa Al-Masih,Christ’s ascent to heaven.
Kitab Perjanjian Lama,Bible
Kitab Perjanjian Lama,the Jewish Scriptures (the Old Testament).
Kotak Pos,PO Box
