Other,English
Aamëijß,ant
Affrikka,Africa
Afjanißtan,Afghanistan
Afjanißtan,Transitional Islamic State of Afghanistan
Afrika,Africa
Ahl,husband
Ahl,spouse
Ahl,spouse
Ahl,wife
Albanije,Albania
Albanije,Republic of Albania
Aljerije,Algeria
Aljerije,People's Democratic Republic of Algeria
Allder,age
Alljerieje,Algeria
Alljerieje,People's Democratic Republic of Algeria
Andorra,Andorra
Andorra,Principality of Andorra
Antiguwa un Barbuda,Antigua and Barbuda
Atombombefosooch,nuclear test
Bier,beer
Bier,head
Bladt,leaf
Blood,blood
Bloohdt,blood
Bloom,bloom
Bloom,blossom
Bloom,flower
Bloot,blood
Bonn,Bonn
Bonn,bean
Bonn,edible bean
Boum,tree
Brut,bread
Bösch,forest
Bůnn,Bonn
Bůnn,bean
Bůnn,edible bean
Daßßel,head
Deutsch,German
Dier,animal
Dudeß_Shtrohf,capital punishment
Dudeß_Shtrohf,death penalty
Dudeß_Shtrohf,death sentence
Dudsstrohf,capital punishment
Dudsstrohf,death penalty
Dudsstrohf,death sentence
Däz,head
Döütsch,German
Döütschland,Federal Republic of Germany
Döütschland,Germany
Ehjemann,husband
Ehjemann,spouse
Ejejeshponß,husband
Ejejeshponß,husband
Ejejeshponß,spouse
Ejejeshponß,spouse
Ejejeshponß,spouse
Ejejeshponß,spouse
Ejejeshponß,wife
Ejejeshponß,wife
Ejewief,spouse
Ejewief,wife
Ejewiif,spouse
Ejewiif,wife
Fatter,father
Fellem,film
Ferije,holiday
Ferije,opor-garai
Fesh,fish
Fiffi,dog
Fillem,film
Fleesh,meat
Flëijsh,meat
Fohß,foot
Foosch,forest
Freddem,peace
Freede,peace
Frou,female
Frou,spouse
Frou,wife
Frou,woman
Frouminsch,female
Frouminsch,woman
Frounßminsch,female
Frounßminsch,woman
Fruch,fruit
Frůch,fruit
Furrel,bird
Fädder,feather
Holland,Holland
Holland,Kingdom of the Netherlands
Holland,The Netherlands
Hongk,dog
Hooh,hair
Hoon,chicken
Hoor,hair
Hoore,hair
Hugk,skin
Huuß,home
Huuß,home
Huuß,house
Häzz,heart
Inndije,India
Inndije,Republic of India
Jaddėn,spouse
Jaddėn,wife
Jagoa,jaguar
Jattin,spouse
Jattin,wife
Jatėn,spouse
Jatėn,wife
Jemohl,husband
Jemohl,spouse
Jemohlin,spouse
Jemohlin,wife
Jeshponß,husband
Jeshponß,spouse
Jeshponß,spouse
Jeshponß,wife
Jesäz,law
Jesöff,beverage
Jesöff,drink
Jong,male
Jong,man
Jrahß,grass
Jung,male
Jung,man
Jëlld,coin
Jëlld,money
Jëlldshtök,coin
Jëlldshtök,money
Kaat,map
Kind,child
Kind,child
Kinndt,child
Kopp,head
Kääl,husband
Kääl,male
Kääl,man
Kääl,spouse
Käänwaffefosooch,nuclear test
Kölle,Cologne
Lanndkaat,map
Livver,liver
Läävenßallder,age
Läävenßäwaadong,age
Läävenßäwaadong,age
Läävenäwaadong,age
Maddam,female
Maddam,woman
Mamm,female
Mamm,mother
Mamm,woman
Mandarin,Mandarin
Mandarin,Standard Mandarin
Mandarin,mandarin
Mann,husband
Mann,male
Mann,man
Mann,spouse
Marie,coin
Marie,money
Meereßkaat,map
Minsch,man
Monete,coin
Monete,money
Motter,mother
Munngk,beak
Munngk,mouth
Muul,beak
Muul,mouth
Mädche,female
Mädche,woman
Määdshe,female
Määdshe,woman
Möhn,female
Möhn,spouse
Möhn,wife
Möhn,woman
Mönz,coin
Mönz,money
Möp,dog
Möpp,dog
Münz,coin
Münz,money
Naame,name
Naame,proper name
Naame,proper noun
Nahß,nose
Nam,name
Nam,proper name
Nam,proper noun
Nederland,Holland
Nederland,Kingdom of the Netherlands
Nederland,The Netherlands
Nederläng,Holland
Nederläng,Kingdom of the Netherlands
Nederläng,The Netherlands
Niederland,Holland
Niederland,Kingdom of the Netherlands
Niederland,The Netherlands
Niederlande,Holland
Niederlande,Kingdom of the Netherlands
Niederlande,The Netherlands
Nohß,nose
Not,note
Nüssele,coin
Nüssele,money
O-Bus,trolley bus
O-Bus,trolleybus
Obuß,trolley bus
Obuß,trolleybus
Ouch,eye
Panz,child
Papp,father
Penunse,coin
Penunse,money
Penunze,coin
Penunze,money
Pinke,coin
Pinke,money
Pinke Pinke,coin
Pinke Pinke,money
Pomp,heart
Quallmann,patato
Quallmann,potato
Rääsch,law
Saame,seed
Same,seed
Sand_Düün,sand dune
Schach,chess
Schlang,snake
Schloot,lettuce
Schnüßß,beak
Schnüßß,mouth
Sennejal,Senegal
Shtähn,star
Sizilljanėsh,Sicilian
Sizilljanėsh,Sicilian
Sschloof,sleep
Säbtämmbo,September
Tschëshëij,Czech Republic
Tschëshëij,Czechia
Uhr,ear
Uoloub,holiday
Uoloub,opor-garai
Uur,ear
Walldt,forest
Weesh,female
Weesh,spouse
Weesh,wife
Weesh,woman
Wiev,spouse
Wiev,wife
Wiihf,female
Wiihf,woman
Wiki,wiki
Wikki,wiki
Wing,wine
Woodaat,lexical category
Woodaat,part of speech
Woot Aat,lexical category
Woot Aat,part of speech
Woot_Aat,lexical category
Woot_Aat,part of speech
Woozel,root
