Other,English
,Antarctic Ocean
,Southern Ocean
(NOEL)-ННЕ,NOEL
AOX стойност,AOX value
Asean,ASEAN
Asean,Association of Southeast Asian Nations
IMCO код,IMCO code
ISO стандарти,ISO standard
"In situ (лат.), на място",in situ
aкумулатор,accumulator
aмплитуда,aAmplitude
aмплитуда,amplitude
aтмосферен състав,atmospheric composition
basidiomycete,basidiomycete
bubreg,kidney
bulgarian,english
cd-rom,CD-ROM
chelicerate,chelicerate
cахара,sahara
cветлина,light
cвободно време,leisure time
cедимент,sediment
cедиментация,sedimentation
cедиментация,sedimentation (geology)
cеме,seed
cлонова кост,ivory
cлух,hearing
cняг,snow
cолени води,salt water
cпорт,sport
cтъкло,glass
cуровина,raw material
cуша,drought
cъветване,consultation
cъдебен процес,litigation
cътрудничество,co-operation
eurodict,grandchild
free,girl
impactor,impactor
in situ (лат.),in situ
kосмология,cosmology
kсенон,xenon
mеталургия,metallurgy
oбединяване,incorporation
oмоним,homonym
oптика,optics
oрганизация,organisation (law)
oсмий,osmium
oчила,glasses
oчила,spectacles
troidigezh,translation
xopa,people
xладилник,refrigerator
xрана за животни,animal foodstuff
Абиджан,Abidjan
Абиотичен фактор,abiotic factor
Абуджа,Abuja
Абхазия,Abkhazia
Австралия,Australia
Австралия,Commonwealth of Australia
Австрия,Austria
Австрия,Republic of Austria
Австро-Унгария,Austria-Hungary
Австро-Унгария,Austro-Hungarian Empire
Автобус,bus
Автобус,coach
Автобусна спирка,bus station
Автоекология,autoecology
Автомобилна гума,car tyre
Автомобилна гума,tyre
Автомобилна индустрия,automobile industry
"Автомобилна, мотоциклетна (МПС) промишленост",motor vehicle industry
Агенция за опазване на околната среда,environmental protection agency
Агробиотехнология,agricultural biotechnology
Агроекология,agricultural ecology
Агроекология,agroecology
Агроиндустрия (агропромишленост),agroindustry
Агролесовъдство,agroforestry
Агрометеорология,agrometeorology
Агрономична стойност,agronomic value
Агрономство,agronomy
Агросистема,agrosystem
Агротехника,agricultural engineering
Агротуризъм (селски туризъм),agritourism
Агрохимикали,agrochemical
Административен акт,administrative deed
Административна граница,administrative boundary
Административна длъжност,administrative occupation
Административна институция по околната среда,environmental administration institution
Административна компетентност,administrative ability
Административна компетентност,administrative competence
Административна процедура,administrative procedure
Административни инструкции,administrative instructions
Административно наказание,administrative sanction
Административно право,administrative law
Административно разрешение,administrative fiat
Администрация,administration
Администрация,direction
Администрация,management
Адсорбция,adsorption
"Аерация, вентилиране",aeration
Аеробен процес,aerobic process
Аеробиология,aerobiology
Аеробно третиране (обработка),aerobic treatment
Аеродинамичен шум,aerodynamic noise
Аерозол,aerosol
Аерозолен газ,propellant
Азбесто-цимент,asbestos cement
Азбестоза,asbestosis
Азербайджански,Azerbaijani
Азербайджански,Azerbaijani Cluster
Азербайджански,Azeri
Азия,Asia
Азот,nitrogen
Азотен диоксид,nitrogen dioxide
Азотен моноксид,nitrogen monoxide
Азотен оксид,nitrogen oxide
Азотен тор,nitrogenous fertiliser
Азотен цикъл,nitrogen cycle
Азотни оксиди,nitrogen oxides
Айсберг,iceberg
"Аквадукт, водопровод",aqueduct
Акт на Общността,Community act
Активен въглен,activated carbon
Активна утайка,activated sludge
Активно население,active population
Активно участие,active participation
Актиний (ас),actinium
Актиноиди,actinide
Акумулация/ натрупване на замърсители,pollutant accumulation
Акустичен (звуков) филтър,acoustic filter
Акустичен (звуков) филтър,audio filter
Акустичен комфорт,acoustic comfort
Акустично ниво,acoustic level
Акустично ниво,sound pressure level
Акустично свойство,acoustic property
Албания,Albania
Албания,Republic of Albania
Алвеола,air sac
Алвеола,alveolus
Алергия,allergy
Алжир,Algeria
Алжир,People's Democratic Republic of Algeria
Алжирска народно-демократична република,Algeria
Алжирска народно-демократична република,People's Democratic Republic of Algeria
Алифатни въглеводороди,aliphatic hydrocarbon
Алифатно съединение,aliphatic compound
Алкална батерия,alkaline battery
Алкални почви,alkali soil
"Алкан, парафин",alkane
"Алкан, парафин",alkane series
"Алкан, парафин",methane series
"Алкан, парафин",paraffin
Алкилно съединение,alkyl compound
Алкохол,alcohol
Алкохолно гориво,fuel alcohol
Алтернативна технология,alternative technology
Алтернативни материали,alternative material
Алувиална равнина,alluvial plain
Алуминиев контейнер,aluminium container
Алуминиева промишленост,aluminium industry
Алуминиево съдържание,aluminium content
Алуминий,aluminium
Алфа лъчение,alpha radiation
Амалгама,amalgam
Америка,America
Америка,Americas
Америка,States
Америка,U.S.
Америка,U.S. of A.
Америка,U.S.A.
Америка,US
Америка,United States
Америка,United States of America
Американска Самоа,American Samoa
Амини,amine
Аминокиселина,amino acid
Амониев радикал,ammonium
Амоняк,ammonia
Амстердам,Amsterdam
Амфибия,amphibian
Анаеробен процес,anaerobic process
Анализ,analysis
Анализ на данни,data analysis
Анализ на замърсители,pollutant analysis
Анализ на околната среда,environmental analysis
Анализ на опасността,danger analysis
Анализ на остатъци,residue analysis
Анализ на природния риск,natural risk analysis
Анализ на съотношението разход-полза,cost-benefit analysis
Аналитичен метод,analytical method
Аналитична химия,analytical chemistry
Аналитично оборудване,analytical equipment
Анатомия,anatomy
Английска градина,English garden
Англия,England
Ангола,Angola
Ангола,Republic of Angola
Ангуила,Anguilla
Андора,Andorra
Андора,Principality of Andorra
Анион,anion
Антагонизъм,antagonism
Антарктида,Antarctica
Антигуа и Барбуда,Antigua and Barbuda
Антитяло,antibody
Антропогенна дейност,anthropic activity
Антропогенни климатични промени,man-made climate change
Антропологичен резерват,anthropologic reserve
Апелативен съд,court of justice
Апелативна процедура,appeal procedure
"Ареал, местообитание",habitat
Аржентина,Argentina
Аржентина,Argentine Republic
Аризона,Arizona
Армения,Armenia
Ароматни въглеводороди,aromatic hydrocarbon
Ароматно вещество,aromatic substance
Ароматно съединение,aromatic compound
Арсен,arsenic
Артропод,arthropod
Аруба,Aruba
Археологически обект,archaeological site
"Архив, книговодство, счетоводство",bookkeeping
Архиология,archaeology
Архиология,archeology
Архиология,archæology
Архипелаг,archipelago
Архитектура,architecture
Архитектура на ландшафта,landscape architecture
Асимилация/поглъщане,assimilation
Асоциация,association
Асоциация за опазване на околната среда,environmental protection association
Астронавтика,astronautics
Астрономия,astronomy
Атина,Athens
Атлантически океан,Atlantic Ocean
Атлас,atlas
Атмосфера,atmosphere
Атмосферен аерозол,atmospheric aerosol
Атмосферен мониторинг,atmospheric monitoring
Атмосферен процес,atmospheric process
Атмосферен слой,atmospheric layering
Атмосферен състав,atmospheric composition
Атмосферна структура,atmospheric structure
Атмосферна физика,atmospheric physics
Атмосферна циркулация,atmospheric circulation
Атмосферни валежи,atmospheric precipitation
Атмосферни валежи,precipitation
Атмосферни частици,atmospheric particulate
Атмосферно замърсяване,atmospheric pollution
Атмосферно отлагане,atmospheric fallout
Атомна енергия,nuclear energy
Атомна централа,nuclear power plant
Атразин,atrazine
Аудио-визуална медия,audiovisual media
Аудио-визуално оборудване,audiovisual equipment
Аудио-визуално представяне,audio-visual presentation
Афганистан,Afghanistan
Афганистан,Transitional Islamic State of Afghanistan
Африка,Africa
Африкански,Afrikaans
Ацикличен разтвор,alicyclic compound
Ациклични въглеводороди,alicyclic hydrocarbon
БПК,biochemical oxygen demand
Бавария,Bavaria
Базов мониторинг,baseline monitoring
"Бактериален слой, биологично стъпало",bacterial bed
Бактериално усвоена утайка,digested sludge
Бактерии,bacterium
Бактериологично замърсяване,bacteriological pollution
Бактериология,bacteriology
Бактерицид,bactericide
Баланс на интересите,balancing of interests
Баланс на наличностите,balance of matter
Балеарски острови,Balearic Islands
Бангладеш,Bangladesh
Бангладеш,People's Republic of Bangladesh
Бани,bathing water
Банка за екологични образци,environmental specimen bank
"Банкерство, банково дело",banking
Банки за намаляване на емисиите,emission reduction banking
Барбадос,Barbados
Бариерен бряг,barrier beach
Бариерен риф,barrier reef
Барий,barium
Басейн,pool
Басейн,puddle
"Батерия, акумулатор",battery
Бахамски острови,Bahama Islands
Бахамски острови,Bahamas
Бахамски острови,Commonwealth of the Bahamas
Бахрейн,Bahrain
Бедност,poverty
Бедствие,disaster
Бедствия причинени от човека,human-made disaster
Бежанец,refugee
Безводни земи,arid land
Безгръбначно,invertebrate
Безопасност,safety
Безопасност,security
Безопасност на реактора,reactor safety
Безработица,unemployment
Безшумна технология,noise-free technology
Беларус,Belarus
Беларус,Republic of Belarus
Белгия,Belgium
Белгия,Kingdom of Belgium
Белград,Belgrade
Белиз,Belize
Белмопан,Belmopan
Белодробно (пулмонарно) заболяване,pulmonary disease
Бензин,petrol
Бензинов двигател,gasoline engine
Бензиностанция,filling station
Бензол,benzene
Бензопирен,benzopyrene
Бенин,Benin
Бенин,Republic of Benin
Бентичен участък,benthic division
Бентос,benthos
Берилий,beryllium
Берилий,glucinium
Берлин,Berlin
Бермуда,Bermuda
Берн,Berne
Берн\,Berne
Бета-излъчване,beta radiation
Бетон,concrete
Библиография,bibliography
Библиографска информационна система,bibliographic information system
Библиографска информация,bibliographic information
Библиотека,library
Библиотечни услуги,library service
Бизнес дейност,business activity
Бизнес икономика,business economics
Бизнес класификация,business classification
Бизнес организация,business organisation
Бизнес политика,business policy
Бик,Taurus
Биоакумулиран замърсител,bioaccumulative pollutant
Биогаз,biogas
Биогеография,biogeography
Биогеографски район,biogeographical region
Биогориво,biofuel
Биоетика,bioethics
Биоклиматология,bioclimatology
Биологичен анализ,biological analysis
Биологичен воден баланс,biological water balance
Биологичен ефект,biological effect
Биологичен ефект от замърсяването,biological effect of pollution
Биологичен замърсител,biological pollutant
Биологичен контрол над пестицидите,biological pest control
Биологичен мониторинг,biological monitoring
Биологичен процес,biological process
Биологичен резерват,biological reserve
Биологичен резерват,wildlife reserve
Биологичен ресурс,biological resource
Биологичен тест,biological test
Биологичен цикъл,biological cycle
Биологична безопасност (биозащита),biosafety
Биологична обработка,biological treatment
Биологично замърсяване,biological contamination
Биологично замърсяване,biological pollution
Биологично инженерство,biological engineering
Биологично наследство,biological heritage
Биологично оръжие,biological weapon
Биологично потребност от кислород (БПК),biochemical oxygen demand
Биологично пречистване на отпадни води,biological wastewater treatment
Биологично пречистване на отпадни газове,biological waste gas purification
Биологично производство,biological production
Биологично развитие,biological development
Биологично свойство,biological attribute
Биологично третиране на отпадъци,biological waste treatment
Биология,biological science
Биология,biology
Биология на речното устие,estuarine biology
Биолуминесценция,bioluminescence
Биомаркер,biomarker
Бионаличност,bio-availability
Бионатрупване,bioaccumulation
Биоразграждане,biodegradability
Биоразграждане,biodegradation
Биоразграждащ се замърсител,biodegradable pollutant
Биоразнообразие,biodiversity
Биореактор,bioreactor
Биоритъм,biorhythm
Биосинтез,biosynthesis
Биосфера,biosphere
Биосферен резерват,biosphere reserve
Биотехнологична опасност/риск,biotechnological hazard
Биотехнология,biotechnology
Биотичен индекс,biotic index
Биотичен фактор,biotic factor
Биотоп,biotope
Биотопна защита,biotope protection
Биотопна мрежа,biotope network
Биофизика,biophysics
Биофилтрация,biofiltration
Биохимичен метод,biochemical method
Биохимичен процес,biochemical process
Биохимичен цикъл,biogeochemical cycle
Биохимични вещества,biochemical substance
Биохимия,biochemistry
Биоценоза,biocoenosis
Биоцид,biocide
Бирмингам,Birmingham
Битова отпадна вода,domestic waste water
Битови отпадъци,domestic waste
Битово замърсяване,domestic pollution
Битум,bitumen
Близнаци,Gemini
Блясък,luminosity
Бозайник,mammal
Бокаж (bocage),bocage
Болест по животните,animal disease
Болест по растенията,plant disease
Болест по рибата,fish disease
Болест свързана с околната среда,environmentally related disease
Болести на човека,human disease
Болница,clinic
Болница,hospital
Болнични отпадъци,hospital waste
Бомбай,Bombay
Бомбай,Mumbai
Бон,Bonn
Бонзай,bonsai
Бор,boron
Борба с шума/ Намаляване на шума,noise abatement
Борнео,Borneo
Борнео,Kalimantan
Босна и Херцеговина,Bosnia and Herzegovina
Босна и Херцеговина,Republic of Bosnia and Herzegovina
Ботаника,botany
Ботаника,phytology
Ботаническа градина,botanical garden
Ботанически консерватор,botanical conservatory
Ботсвана,Botswana
Ботсвана,Republic of Botswana
Боя,dye
Боя,paint
Бояджийска работилница,paint room
Бояджийство,painting business
Бразилия,Brazil
Братислава,Bratislava
Брегова защита,bank protection
Брегова охрана,coastguard
Брегово почистване,beach cleansing
