Other,English
H5N1,A(H5N1)
H5N1,H5N1
H5N1,Influenza A virus subtype H5N1
Korean,stage
Volapuko,Volapük
kobalts,cobalt
korean,english
кок чунь,toe
가나,Ghana
가나,Republic of Ghana
가돌리늄,gadolinium
가보로네,Gaborone
가봉,Gabon
가봉,Gabonese Republic
가요,ballad
간장,liver
갈륨,gallium
갈리시아어,Galician
갈매기,gull
감비아,Gambia
감비아,Republic of The Gambia
감비아,The Gambia
감사하다,appreciate
감염병,communicable diseases
감염병,infectious disease
감자,patato
감자,potato
갑상어알,caviar
값비싼,valuable
같이,together
개,dog
개미,ant
개인,individual
거북,tortoise
거의,almost
게놈,genome
게자리,Cancer
겨드랑이,armpit
결정,crystal
경매,auction
경악,astonishment
경외,awe
고등어,mackerel
고래,whale
고릴라,gorilla
고미다락방,attic
고생물학,palaeontology
고슴도치,hedgehog
고아,orphan
곤란한,difficult
골프,golf
공격,attack
공격자,aggressor
공격자,assailant
공격자,assaulter
공격자,attacker
공산주의,communism
공용어,official language
공학자,engineer
과두정,oligarchy
과들루프,Guadeloupe
과테말라,Guatemala
과테말라,Nigeria
과테말라,Republic of Guatemala
관절,articulation
관절,joint
관절염,arthritis
괌,Guam
광학,optics
교향곡,symphony
교활한,artful
구경,caliber
구름,cloud
구리,copper
국경,boundary
국민투표,plebiscite
국민투표,referendum
국화과,Asteraceae
국화과,Compositae
국화과,aster family
국화과,daisy family
국화과,sunflower family
굴,oyster
궁수자리,Sagittarius
권세,ascendancy
권위있는,authoritative
권위주의의,authoritarian
귀,ear
규소,silicon
그레고리력,Gregorian calendar
그레나다,Grenada
그루지안어,Georgian
그루지야,Georgia
그리스,Greece
그리스,Hellenic Republic
그리스 문자,Greek alphabet
그리스어,Greek
그린란드,Greenland
그린란드어,Kalaallisut
극락조자리,Apus
금,gold
급격한,abrupt
급격한,precipitous
급격한,sudden
급료,salary
기관총,machine gun
기러기,goose
기부금,donation
기압계,barometer
기저귀,nappy
기차,train
기호학,semiology
기호학,semiotics
길조의,auspicious
꿀,honey
꿩,pheasant
꿰매다,sew
끌어당기다,attract
나고르노카라바흐,Nagorno-Karabakh
나무,tree
나무,wood
나미비아,Namibia
나사,screw
나사돌리개,screwdriver
나이로비,Nairobi
나이오븀,niobium
나이트,knight
나트륨,sodium
낙하산,parachute
남극,Antarctica
남아프리카,South Africa
납,lead
낱말,word
냅킨,napkin
네델란드,Holland
네델란드,Kingdom of the Netherlands
네델란드,The Netherlands
네델란드어,Dutch
네오디뮴,neodymium
네온,neon
네팔어,Nepali
넵투늄,neptunium
노르웨이,Kingdom of Norway
노르웨이,Norway
노벨륨,nobelium
노비알,Novial
노포,catapult
녹내장,glaucoma
논리학,logic
놀라게 하는,astonishing
놀라게 하다,astonish
놀라게 하다,surprise
놀라운,astounding
농양,abscess
뇌염,encephalitis
누벨칼레도니,New Caledonia
누크,Nuuk
눈,eye
눈썹,eyebrow
뉘노르스크,Nynorsk
뉴욕주,New York
뉴질랜드,New Zealand
느린,slow
늑대,wolf
늘다,augment
니더작센 주,Lower Saxony
니우에,Niue
니카라과,Nicaragua
니켈,nickel
다랑어,tunafish
다름슈타튬,darmstadtium
다리,leg
다운증후군,Down syndrome
다운증후군,Down’s syndrome
다카르,Dakar
단언하다,assert
달력,calendar
달필,calligraphy
담배,cigarette
담배,tobacco
당나귀,ass
당나귀,donkey
대담한,audacious
대주교,archbishop
대중교통,public transport
대학교,academy
대학교,university
대한민국,Republic of Korea
대한민국,South Korea
더 좋은,better
더브늄,dubnium
덧셈,addition
덴마크어,Danish
도미니카 공화국,Dominican Republic
도서관,library
독단적인,assertive
독수리자리,Aquila
독일,Federal Republic of Germany
독일,Germany
독재정부,autocracy
돌고래,dolphin
돌리다,avert
돌보다,attend
돕다,assist
동맥,artery
동맥,gland
동물학,zoology
동사,verb
동소체,allotropy
동의,assent
동의하다,assent
동티모르,Democratic Republic of Timor-Leste
동티모르,East Timor
동화하다,assimilate
두개골,skull
뒝벌,bumblebee
디스프로슘,dysprosium
디플레이션,deflation
뚱뚱한,fat
뚱뚱한,obese
라고스,Lagos
라돈,radon
라듐,radium
라마단,Ramadan
라오스,Lao People's Democratic Republic
라오스,Laos
라오어,Lao
라이베리아,Liberia
라이베리아,Republic of Liberia
라트비아,Latvia
라트비아,Republic of Latvia
라트비아어,Latvian
라틴어,Latin
란타넘,lanthanum
랍비,rabbi
러더포듐,rutherfordium
러시아어,Russian
레늄,rhenium
레몬,lemon
레소토,Kingdom of Lesotho
레소토,Lesotho
렌즈,lens
로듐,rhodium
로렌슘,lawrencium
로마,Rome
로사리오,rosary
뢴트게늄,roentgenium
루마니아,Romania
루마니아어,Romanaian
루마니아어,Romanian
루비,ruby
루비듐,rubidium
루테늄,ruthenium
루테튬,lutetium
룩셈부르크어,Luxembourgian
룩셈부르크어,Luxembourgish
룩셈부르크어,Luxemburgish
룩스,lux
리스본,Lisbon
리투아니아어,Lithuanian
리튬,lithium
립스틱,lipstick
마그네슘,magnesium
마다가스카르,Madagascar
마다가스카르,Republic of Madagascar
마르코프 연쇄,Markoff chain
마르코프 연쇄,Markov chain
마르티니크,Martinique
마른,dry
마요네즈,mayonnaise
마요트,Mayotte
마이크,microphone
마이크로폰,microphone
마이트너륨,meitnerium
마케도니아,Macedonia
마케도니아,Republic of Macedonia
말,horse
말 못 하는,dumb
말라리아,malaria
말라얄람어,Malayalam
말라위,Malawi
말라위,Republic of Malaŵi
말레이시아,Malaysia
망가니즈,manganese
매독,syphilis
매력있는,atractive
맥주,beer
먹다,eat
메노라,menorah
메뚜기,locust
메리 크리스마스,Merry Christmas
메카,Mecca
메탄올,methanol
멘델레븀,mendelevium
명사,noun
명사,substantive
모나코,Monaco
모로코,Kingdom of Morocco
모로코,Morocco
모리타니,Islamic Republic of Mauritania
모리타니,Mauritania
모잠비크,Mozambique
모테트,motet
목동자리,Boötes
목성,Jupiter
몬테네그로,Montenegro
몬트세랫,Montserrat
몰도바,Moldova
몰리브데넘,molybdenum
몰타,Malta
몰타,Republic of Malta
몰타어,Maltese
무대,stage
무도장,ballroom
문,door
문어,octopus
문제,problem
문화기술연구,ethnography
물가에,ashore
물병자리,Aquarius
물집,blister
뭄바이,Bombay
뭄바이,Mumbai
뮤지컬,musical
미니스커트,mini-skirt
미니스커트,miniskirt
미스트랄,mistral
미얀마,Myanmar
민들레속,dandelion
밀라노,Milan
밀워키,Milwaukee
바나나,banana
바나듐,vanadium
바다코끼리,walrus
바레인,Bahrain
바륨,barium
바순,bassoon
바스크어,Basque
바지,trousers
바퀴벌레,cockroach
바티칸 시국,State of the Vatican City
바티칸 시국,The Holy See
바티칸 시국,Vatican City
반도,peninsula
발가락,toe
발레아레스 제도,Balearic Islands
발목,ankle
발목,talocrural joint
방글라데시,Bangladesh
방글라데시,People's Republic of Bangladesh
방사선과,radiology
방정식,equation
방화,arson
"방화,방화죄",arson
배구,volleyball
배꼽,belly button
배꼽,bellybutton
배꼽,navel
배꼽,omphalos
배꼽,omphalus
배꼽,umbilicus
배드민턴,badminton
배우다,learn
백금,platinum
백러시아어,Belarusan
백러시아어,Belarusian
백러시아어,Belorussian
백러시아어,Byelorussian
버드나무,willow
버마어,Burmese
버뮤다,Bermuda
버밍엄,Birmingham
버찌,cherry
버클륨,berkelium
번역,translation
번역하다,interpret
번역하다,translate
벌,bee
베네수엘라,Venezuela
베네치아,Venice
베누스,Venus
베들레헴,Bethlehem
베릴륨,beryllium
베릴륨,glucinium
베오그라드,Belgrade
베이컨,bacon
베트남어,Vietnamese
벨기에,Belgium
벨기에,Kingdom of Belgium
벨로루시아어,Belarusan
벨로루시아어,Belarusian
벨로루시아어,Belorussian
벨로루시아어,Byelorussian
벨리즈,Belize
벨모판,Belmopan
벵골어,Bengali
별,star
별자리,constellation
별표,asterisk
보륨,bohrium
보르네오 섬,Borneo
보르네오 섬,Kalimantan
보리,barley
보스니아어,Bosnian
보츠와나,Botswana
보츠와나,Republic of Botswana
복권,lottery
복장,attire
볼가 강,Volga
볼라퓌크,Volapük
볼리비아,Bolivia
볼리비아,Republic of Bolivia
봉급,salary
부끄러워하여,ashamed
부룬디,Burundi
부룬디,Republic of Burundi
부베 섬,Bouvet Island
부속물,attachment
부싯돌,flint
