Other,English
AB,EU
AB,European Union
ABD,America
ABD,States
ABD,U.S.
ABD,U.S. of A.
ABD,U.S.A.
ABD,US
ABD,United States
ABD,United States of America
Abhazya,Abkhazia
Abican,Abidjan
Abraham Lincoln,Abraham Lincoln
Abraham Lincoln,Abraham Lincoln
Abraham Lincoln,Abraham Lincoln
Abraham Lincoln,Abraham Lincoln
Abraham Lincoln,Abraham Lincoln
Abraham Lincoln,Abraham Lincoln
Abraham Lincoln,Abraham Lincoln
Abraham Lincoln,Abraham Lincoln
Abraham Lincoln,Abraham Lincoln
Abraham Lincoln,Abraham Lincoln
Abraham Lincoln,Abraham Lincoln
Adriyatik Denizi,Adriatic Sea
Afar,Afar
Afar,Afar
Afrikanca,Afrikaans
Almanca,German
Almanca (Avusturya),German (Austria)
Almanca (İsviçre),German (Switzerland)
Alpler,Alps
Amerika Birleşik Devletleri,America
Amerika Birleşik Devletleri,States
Amerika Birleşik Devletleri,U.S.
Amerika Birleşik Devletleri,U.S. of A.
Amerika Birleşik Devletleri,U.S.A.
Amerika Birleşik Devletleri,US
Amerika Birleşik Devletleri,United States
Amerika Birleşik Devletleri,United States of America
Amerikan Samoası,American Samoa
Angola,Angola
Angola,Republic of Angola
Anguilla,Anguilla
Antarktika,Antarctica
Antigua ve Barbuda,Antigua and Barbuda
Apus,Apus
Aquarius,Aquarius
Aquila,Aquila
Arapça,Arabic
Arapça,Standard Arabic
Aries,Aries
Arizona,Arizona
Arjantin,Argentina
Arjantin,Argentine Republic
Arnavutluk,Albania
Arnavutluk,Republic of Albania
Aruba,Aruba
Avrupa Birliği,EU
Avrupa Birliği,European Union
Avustralya,Australia
Avustralya,Commonwealth of Australia
Avusturya,Austria
Avusturya,Republic of Austria
Azerbaycan,Azerbaijan
Azerbaycan,Republic of Azerbaijan
Azerbaycan Türkçesi,Azerbaijani
Azerbaycan Türkçesi,Azerbaijani Cluster
Azerbaycan Türkçesi,Azeri
Azerice,Azerbaijani
Azerice,Azerbaijani Cluster
Azerice,Azeri
Azor Adaları,Azores
Aşağı Saksonya,Lower Saxony
Bahreyn,Bahrain
Bangladeş,Bangladesh
Bangladeş,People's Republic of Bangladesh
Baskça,Basque
Baskça,Basque
Belarusça,Belarusan
Belarusça,Belarusan
Belarusça,Belarusian
Belarusça,Belorussian
Belarusça,Byelorussian
Belgrad,Belgrade
Belize,Belize
Belçika,Belgium
Belçika,Kingdom of Belgium
Bengali,Bengali
Bengali,Bengali
Bermuda,Bermuda
Bern,Berne
Betlehem,Bethlehem
Beyaz Rusya,Belarus
Beyaz Rusya,Republic of Belarus
Bhutan,Bhutan
Bhutan,Kingdom of Bhutan
Birleşik Krallık,UK
Birleşik Krallık,United Kingdom
Birleşik Krallık,United Kingdom of Great Britain and Northern Ireland
Birmingham,Birmingham
Bolivya,Bolivia
Bolivya,Republic of Bolivia
Borneo,Borneo
Borneo,Kalimantan
Bosna ve Hersek,Bosnia and Herzegovina
Bosna ve Hersek,Republic of Bosnia and Herzegovina
Botsvana,Botswana
Botsvana,Republic of Botswana
Bourgogne,Bourgogne
Boötes,Boötes
Boşnakça,Bosnian
Boşnakça,Bosnian
Brezilya,Brazil
Brunei,Brunei
Brunei,Negara Brunei Darussalam
Bröton,Breton
Bröton,Breton
Brüksel,Brussels
Bulgarca,Bulgarian
Bulgarca,Bulgarian
Bulgaristan,Bulgaria
Bulgaristan,Republic of Bulgaria
Bulgaristan Cumhuriyeti,Bulgaria
Bulgaristan Cumhuriyeti,Republic of Bulgaria
Burma,Myanmar
Burundi,Burundi
Burundi,Republic of Burundi
Bükreş,Bucharest
Büyük Britanya,Britain
Büyük Britanya,Great Britain
Büyük Britanya ve Kuzey İrlanda,UK
Büyük Britanya ve Kuzey İrlanda,United Kingdom
Büyük Britanya ve Kuzey İrlanda,United Kingdom of Great Britain and Northern Ireland
Cakarta,DKI Jakarta
Cakarta,Djakarta
Cakarta,Jakarta
Cancer,Cancer
Canes Venatici,Canes Venatici
Canis Major,Canis Major
Canis Minor,Canis Minor
Capricornus,Capricorn
Cassiopeia,Cassiopeia
Cayman Adaları,Cayman Islands
Cebelitarık,Gibraltar
Cezayir,Algeria
Cezayir,People's Democratic Republic of Algeria
Cezayir Demokratik Halk Cumhuriyeti,Algeria
Cezayir Demokratik Halk Cumhuriyeti,People's Democratic Republic of Algeria
Christmas Adası,Christmas Island
Cibuti,Djibouti
Cibuti,Republic of Djibouti
Cook adaları,Cook Islands
Dakar,Dakar
Danca,Danish
Dağlık Karabağ,Nagorno-Karabakh
Dağıstan,Dagestan
Down sendromu,Down syndrome
Down sendromu,Down’s syndrome
Doğu Timor,Democratic Republic of Timor-Leste
Doğu Timor,East Timor
Ege Denizi,Aegean Sea
El Salvador,El Salvador
El Salvador,Republic of El Salvador
Endonezce,Indonesian
Endonezya,Indonesia
Endonezya,Republic of Indonesia
Erendiz,Jupiter
Eritre,Eritrea
Ermenice,Armenian
Ermenistan,Armenia
Estonca,Estonian
Estonya,Estonia
Estonya,Republic of Estonia
Etiyopya,Ethiopia
Etiyopya,Federal Democratic Republic of Ethiopia
Eyfel Kulesi,Eiffel Tower
Falkland Adaları,Falkland Islands
Faroe Adaları,Faroe Islands
Fas,Kingdom of Morocco
Fas,Morocco
Fiji,Fiji
Fiji,Republic of the Fiji Islands
Fildişi Kıyısı,Cote d'Ivoire
Fildişi Kıyısı,Ivory Coast
Fildişi Kıyısı,Republic of Cote d'Ivoire
Fince,Finnish
Finlandiya,Finland
Finlandiya,Republic of Finland
Flevoland,Flevoland
Fransa,Dominican Republic
Fransa,France
Fransız Devrimi,French Revolution
Fransız Guyanası,French Guiana
Fransız Polinezyası,French Polynesia
Fransız İhtilali,French Revolution
Fransızca,French
Fransızca,French
Gabon,Gabon
Gabon,Gabonese Republic
Galiçyaca,Galician
Galiçyaca,Galician
Galler,Wales
Gambiya,Gambia
Gambiya,Gambia
Gambiya,Gambia
Gambiya,Gambia
Gambiya,Republic of The Gambia
Gambiya,The Gambia
Gambiya Cumhuriyeti,Gambia
Gambiya Cumhuriyeti,Gambia
Gambiya Cumhuriyeti,Gambia
Gambiya Cumhuriyeti,Gambia
Gambiya Cumhuriyeti,Republic of The Gambia
Gambiya Cumhuriyeti,The Gambia
Gana,Ghana
Gana,Republic of Ghana
Gazze Şeridi,Gaza Strip
Gemini,Gemini
Genotip,genotype
Georgia,Georgia
Grenada,Grenada
Grönland,Greenland
Guadeloupe,Guadeloupe
Guam,Guam
Guam,Guam
Guam,Guam
Güney Afrika Cumhuriyeti,South Africa
Gürcistan,Georgia
Gürcüce,Georgian
Gürcüce,Georgian
Haiti,Haiti
Haiti,Republic of Haiti
Haiti Cumhuriyeti,Haiti
Haiti Cumhuriyeti,Republic of Haiti
Hanuka,Hannukah
Hartum,Khartoum
Herakles,Hercules
Hercules,Hercules
Herkül,Hercules
Hindistan,India
Hindistan,Republic of India
Hindu,Hindi
Hindu,Hindi
Hint Okyanusu İngiliz Sömürgeleri,BIOT
Hint Okyanusu İngiliz Sömürgeleri,British Indian Ocean Territory
Hintçe,Hindi
Hintçe,Hindi
Hollanda,Holland
Hollanda,Kingdom of the Netherlands
Hollanda,The Netherlands
Hollandaca,Dutch
Honduras,Honduras
Honduras,Republic of Honduras
Hırvatistan,Croatia
Hırvatistan,Republic of Croatia
Hırvatça,Croatian
Hırvatça,Croation
Interlingua,Interlingua
Interlingua,"Interlingua, ""Simplified"" Latin"
Interlingua,"Interlingua, ""Simplified"" Latin"
Irak,Iraq
Irak,Republic of Iraq
Irak Cumhuriyeti,Iraq
Irak Cumhuriyeti,Republic of Iraq
Jamaika,Jamaica
Japonca,Japanese
Japonca,Japanese
Japonya,Japan
Japonya,State of Japan
Jersey,Bailiwick of Jersey
Jersey,Jersey
Jüpiter,Jupiter
Kahire,Cairo
Kalaallisut,Kalaallisut
Kamboçya,Cambodia
Kamboçya,Kingdom of Cambodia
Kamerun,Cameroon
Kamerun,Republic of Cameroon
Kanada,Canada
Kapuluang Balear,Balearic Islands
Karadağ,Montenegro
Karayip Denizi,Caribbean Sea
Kareli,Karelian
Katalanca,Catalan
Katalanca,Catalan
Katar,Qatar
Kazakça,Kazakh
Kazakça,Kazakh
Kenya,Kenya
Kenya,Republic of Kenya
Kibris Çumhuriyeti,Cyprus
Kibris Çumhuriyeti,Republic of Cyprus
Kiribati,Kiribati
Kiribati,Republic of Kiribati
Kiril alfabesi,Cyrillic alphabet
Kitab-ı Mukaddes,Bible
Kmer,Central Khmer
Kmer,Khmer
Kolombiya,Colombia
Kolombiya,Republic of Colombia
Kongo Demokratik Cumhuriyeti,Congo-Kinshasa
Kongo Demokratik Cumhuriyeti,Democratic Republic of the Congo
Kongo Kinşasa,Congo-Kinshasa
Kongo Kinşasa,Democratic Republic of the Congo
Korece,Korean
Korece,Korean
Kosova,Kosovo
Kuzey İrlanda,Northern Ireland
Küba,Cuba
Küba,Republic of Cuba
Kıbrıs,Cyprus
Kıbrıs,Republic of Cyprus
Kırgızistan,Kyrgyz Republic
Kırgızistan,Kyrgyzstan
Lagos,Lagos
Laos,Lao People's Democratic Republic
Laos,Laos
Latin,Latin
Latin,Latin
Latince,Latin
Latince,Latin
Lehistan,Poland
Lehçe,Polish
Lehçe,Polish
Leo,Leo
Lesotho,Kingdom of Lesotho
Lesotho,Lesotho
Letonca,Latvian
Letonca,Latvian
Letonya,Latvia
Letonya,Republic of Latvia
Letonyaca,Latvian
Letonyaca,Latvian
Liberya,Liberia
Liberya,Republic of Liberia
Libra,Libra
