Other,English
آذربيجان,Azerbaijan
آذربيجان,Republic of Azerbaijan
آلة موسيقية,instrument
آلة موسيقية,musical instrument
أبجدية إغريقية,Greek alphabet
أبراج,constellation
أبو الهول,sphinx
أبيجان,Abidjan
أبيض,white
أثاث,furniture
أثينا,Athens
أثيوبي,Ethiopia
أثيوبي,Federal Democratic Republic of Ethiopia
أجنبي,foreign
أخرس,dumb
أخطبوط,octopus
أخلاق,ethics
أداة التعريف,article
أرجون,argon
أرخبيل,archipelago
أردو,Urdu
أردو,Urdu
أرستقراطية,aristocracy
أرشيف,archive
أرض,earth
أرض,Earth
أرض,the world
أرض,Blue Planet
أرمينيا,Armenia
أروبا,Aruba
أريزونا,Arizona
أرْنَب,rabbit
أساسي,fundamental
أستراليا,Australia
أستراليا,Commonwealth of Australia
أستوني,Estonian
أسقف,prelate
أسكتلندا,Scotland
أسي,hostage
أسير حرب,prisoner of war
أسير حرب,POW
أسير حرب,PoW
أسير حرب,PW
أصمّ,deaf
أغُسْطُسْ,August
أفريقانية,Afrikaans
أفضل,better
أحسن,better
أفغانستان,Afghanistan
أفغانستان,Transitional Islamic State of Afghanistan
أفق,horizon
أفيون,opium
أكتوبر,October
أكتينيوم,actinium
أكل,eat
ألب,Alps
ألبانيا,Albania
ألبانيا,Republic of Albania
ألبينو,albinism
ألف,thousand
ألماني,German
ألومينيوم,aluminium
أمريكيوم,americium
أمطار حمضية,acid rain
أمفيتامي,amphetamine
أمل,hope
أمومة,motherhood
أمومة,maternity
أمير,prince
أمين المكتبة,librarian
أناكوندا,anaconda
أنتاركتيكا,Antarctica
أنتولوجيا,ontology
أندورا,Andorra
أندورا,Principality of Andorra
أنغول,Angola
أنغول,Republic of Angola
أنمي,anime
أنون أوكتيوم,ununoctium
أنون بيوم,ununbium
أنون سيبتيوم,ununseptium
أوغندا,Uganda
أوغندا,Republic of Uganda
أوكتاف,octave
أوكراني,Ukrainian
أوكراني,Ukrainian
أوكرانيا,Ukraine
أوكسيجين,oxygen
أوكلاهوما,Oklahoma
أولان,Åland Islands
أوم,ohm
أيون,ion
أَب,father
أَب,father
أَسَد,lion
أُذُن,ear
أُسْقُفية,diocese
أُسْقُفية,diocese
أُمِّيّ,illiterate
أُمّ,mother
أِعْتبار,consideration
إبرة الراعي,geranium
إدارة,management
إدمان كحولي,alcoholism
إدو,Ido
إدو,Ido
إربيوم,erbium
إرهاب,terrorism
إريتريا,Eritrea
إريديوم,iridium
إرْهَابِيّ,terrorist
إسباني,Castilian
إسباني,Spanish
إسباني,Spanish
إسبرانتو,Esperanto
إسبرانتو,Esperanto
إسلندي,Icelandic
إسهال سكري,infectious disease
إسهال سكري,communicable diseases
إضاءة,lighting
إغراق,alluvion
إغراق,flood
إغراق,overflowing
إغراق,inundation
زيادة تدفق,alluvion
زيادة تدفق,flood
زيادة تدفق,overflowing
زيادة تدفق,inundation
غمر,alluvion
غمر,flood
غمر,overflowing
غمر,inundation
فيضان,alluvion
فيضان,flood
فيضان,overflowing
فيضان,inundation
إفقار,impoverishment
إفلاس,bankruptcy
إلسلفادور,El Salvador
إلسلفادور,Republic of El Salvador
إلهيات,theology
إنجلترا,England
إندونيسي,Indonesian
إندونيسيا,Indonesia
إندونيسيا,Republic of Indonesia
إنديوم,indium
إيديولوجيا,ideology
إيطالي,Italian
إيطالي,Italian
إيطالي,Russian
إيطالي,Russian
روسية,Russian
روسية,Russian
إِسْرَائِيل,Israel
إِسْرَائِيل,State of Israel
إِيرَان,Iran
إِيرَان,Islamic Republic of Iran
ابتداع,creativity
ابتداع,inventiveness
ابن_آوى,jackal
