Other,English
-dogo,short
-dogo,small
-kavu,dry
-kubwa,big
-kubwa,large
-pya,new
-pya,novel
-zito,heavy
Abidjan,Abidjan
Afrika Kusini,South Africa
Agosti,August
Alhamisi,Thursday
Aprili,April
Bahari ya Karibi,Caribbean Sea
Bahrain,Bahrain
Bangla Desh,Bangladesh
Bangla Desh,People's Republic of Bangladesh
Botswana,Botswana
Botswana,Republic of Botswana
Bulgaria,Bulgaria
Bulgaria,Republic of Bulgaria
Burundi,Burundi
Burundi,Republic of Burundi
Chad,Chad
Chad,Republic of Chad
Chile,Chile
Chile,Republic of Chile
Desemba,December
El Salvador,El Salvador
El Salvador,Republic of El Salvador
Eneo la Uingereza katika Bahari Hindi,British Indian Ocean Territory
Eneo la Uingereza katika Bahari Hindi,BIOT
Eritrea,Eritrea
Februari,February
Gaborone,Gaborone
Georgia,Georgia
Ghana,Ghana
Ghana,Republic of Ghana
Grenada,Grenada
Haiti,Haiti
Haiti,Republic of Haiti
Heri kwa mwaka mpya,Happy New Year
Honduras,Honduras
Honduras,Republic of Honduras
Iceland,Iceland
Iceland,Republic of Iceland
Ijumaa,Friday
Jakarta,Jakarta
Jakarta,Djakarta
Jakarta,DKI Jakarta
Jamaika,Jamaica
Jamhuri ya Dominika,Dominican Republic
Jamhuri ya Kenya,Kenya
Jamhuri ya Kenya,Republic of Kenya
Januari,January
Japani,Japan
Japani,State of Japan
Julai,July
Jumamosi,Saturday
Jumanne,Tuesday
Jumapili,Sunday
Jumatano,Wednesday
Jumatano,quarta-feira
Jumatatu,Monday
Juni,June
Khartoum,Khartoum
Kiafrikans,Afrikaans
Kiaislandi,Icelandic
Kibulgaria,Bulgarian
Kibulgaria,Bulgarian
Kidenmarki,Danish
Kiestonia,Estonian
Kifaransa,French
Kifaransa,French
Kifinlandia,Finnish
Kigujarati,Gujarati
Kigujarati,Gujarati
Kihindi,Hindi
Kihindi,Hindi
Kihispania,Castilian
Kihispania,Spanish
Kihispania,Spanish
Kihungari,Hungarian
Kiindonesia,Indonesian
Kiingereza,English
Kiitaliano,Italian
Kiitaliano,Italian
Kijapani,Japanese
Kijapani,Japanese
Kikatalan,Catalan
Kikatalan,Catalan
Kikhmeri,Khmer
Kikhmeri,Central Khmer
Kikroashia,Croatian
Kikroashia,Croation
Kikyrili,Cyrillic alphabet
Kilatvia,Latvian
Kilatvia,Latvian
Kipolandi,Polish
Kipolandi,Polish
Kireno,Portuguese
Kireno,Portuguese
Kirgizia,Kyrgyzstan
Kirgizia,Kyrgyz Republic
Kiromania,Romanian
Kiromania,Romanaian
Kirusi,Russian
Kirusi,Russian
Kislovakia,Slovak
Kislovakia,Slovak
Kislovenia,Slovene
Kislovenia,Slovenian
Kislovenia,Slovenian
Kiswahili,Swahili
Kisweden,Swedish
Kituruki,Turkish
Kituruki,Turkish
Kiukrania,Ukrainian
Kiukrania,Ukrainian
Kiyahudi,Hebrew
Kizulu,Zulu
Lesotho,Lesotho
Lesotho,Kingdom of Lesotho
Liberia,Liberia
Liberia,Republic of Liberia
Libya,Libya
Libya,Great Socialist People's Libyan Arab Jamahiriya
Machi,March
Malaysia,Malaysia
Martinique,Martinique
Mauritania,Mauritania
Mauritania,Islamic Republic of Mauritania
Mei,May
Misri,Egypt
Misri,Arab Republic of Egypt
Montenegro,Montenegro
Moroko,Morocco
Moroko,Kingdom of Morocco
Myanmar,Myanmar
Nairobi,Nairobi
