Other,English
آئرلینڈ,Ireland
آئرلینڈ,Republic of Ireland
جمہوریہ آئرلینڈ,Ireland
جمہوریہ آئرلینڈ,Republic of Ireland
آئون,ion
آبدم,blood plasma
آبگر,hydrogen
آذربائجان,Azerbaijan
آذربائجان,Republic of Azerbaijan
آرمینیا,Armenia
آسٹریا,Austria
آسٹریا,Republic of Austria
آسٹریلیا,Australia
آسٹریلیا,Commonwealth of Australia
آلو,potato
آلو,patato
آم,mango
آنکھ,eye
ارجنٹائن,Argentina
ارجنٹائن,Argentine Republic
اردن,Jordan
اردن,Hashemite Kingdom of Jordan
اردو,Urdu
اردو,Urdu
اریٹیریا,Eritrea
اسرائی,Israel
اسرائی,State of Israel
اسراع,acceleration
اسلام,Islam
اشتراکیت,communism
الجزائر,Algeria
الجزائر,People's Democratic Republic of Algeria
الپس,Alps
اناتھ,orphan
یتیم,orphan
انار,pomegranate
اندھا,blind
انقلاب فرانس,French Revolution
انٹارکٹیکا,Antarctica
انٹرلنگوا,Interlingua
انٹرلنگوا,"Interlingua, ""Simplified"" Latin"
انٹرلنگوا,"Interlingua, ""Simplified"" Latin"
انڈونيثيائي,Indonesian
انڈیا,India
انڈیا,Republic of India
انگريزي,English
اوکلاہوما,Oklahoma
ايفريکان,Afrikaans
اُنگلی,finger
اٹالوي,Italian
اٹالوي,Italian
اٹلی,Italian Republic
اٹلی,Italy
اپریل,April
اکتوبر,October
اگست,August
ایران,Iran
ایران,Islamic Republic of Iran
ایفل ٹاور,Eiffel Tower
بانگلہ دیش,Bangladesh
بانگلہ دیش,People's Republic of Bangladesh
بحرین,Bahrain
بحیرہ ایڈریاٹک,Adriatic Sea
برفستاني,Icelandic
بستر,bed
بسمیتھ,bismuth
بشری شماریات,demography
بھیڑ,sheep
بیس بال,baseball
بیس بال,baseball game
بیلارس,Belarus
بیلارس,Republic of Belarus
بیڈمنٹن,badminton
تامِل,Tamil
تامِل,Tamil
تانبا,copper
ترجمہ,translation
ترکي,Turkish
ترکي,Turkish
تهائي,Thai
تهائي,Thai
جارجیا,Georgia
جاز,jazz
جانور,animal
جاپان,Japan
جاپان,State of Japan
جاپاني,Japanese
جاپاني,Japanese
جراحت,surgery
جرمانیئم,germanium
جولائ,July
حرم سرا,harem
محل سرا,harem
حفریات,palaeontology
حیاتیات,biology
حیاتیات,biological science
حیوانیات,zoology
خارصین,zinc
خرطوم,Khartoum
خرگوش,rabbit
خلائی مطہر,vacuum cleaner
خون,blood
دارالخلافہ,capital
دریائے سین,Seine
دودھ,milk
رصاص,lead
روسي,Russian
روسي,Russian
رومني,Romanian
رومني,Romanaian
ریتا,empty
خالی,empty
ریشم,silk
زرنیخ,arsenic
زیتون,olive
سری لنکا,Sri Lanka
سزائے موت,death penalty
سزائے موت,capital punishment
سزائے موت,death sentence
سعودی عرب,Saudi Arabia
سعودی عرب,Kingdom of Saudi Arabia
سقوطیت,apoptosis
سلاواک,Slovak
سلاواک,Slovak
سلويني,Slovene
سلويني,Slovenian
سلويني,Slovenian
سندھی,Sindhi
سندھی,Sindhi
سنسکرت,Sanskrit
سنسکرت,Sanskrit
سوئٹزرلینڈ,Switzerland
سواہیلی,Swahili
سونا,gold
سويڈش,Swedish
سٹونين,Estonian
سپین,Spain
سےب,apple
شيلی,Chile
شيلی,Republic of Chile
طحال,spleen
عراق,Iraq
عراق,Republic of Iraq
عربي,Arabic
عربي,Standard Arabic
علم المحیطات,oceanography
علوم فطریہ,natural science
فارسی,Persian
فارسی,Western Farsi
فارسی,Farsi
فاسفورس,phosphorus
فرانس,France
فرانسيسي,French
فرانسيسي,French
فريژي,Frisian
فريژي,Western Frisian
فنّنِش,Finnish
فیروئیز,Faroese
فیروئیز,Faeroese
فیوجی,Mount Fuji
قازقستان,Kazakhstan
قازقستان,Republic of Kazakhstan
قانون,law
قلع,tin
لالہ,tulip
لغاري,Bulgarian
لغاري,Bulgarian
ليٹوين,Latvian
ليٹوين,Latvian
مابعدالطبیعیات,metaphysics
مالٹا,Malta
مالٹا,Republic of Malta
مراکش,Morocco
مراکش,Kingdom of Morocco
مقدونيائي,Macedonian
مقدونيائي,Macedonian
ممبئی,Mumbai
ممبئی,Bombay
موت,urine
موتر,urine
پیشاب,urine
موناکو,Monaco
مکھن,butter
مہق,albinism
میانمار,Myanmar
میساچوسٹس,Massachusetts
مینورہ,menorah
نابھ,belly button
نابھ,bellybutton
نابھ,navel
نابھ,omphalos
نابھ,omphalus
نابھ,umbilicus
ناف,belly button
ناف,bellybutton
ناف,navel
ناف,omphalos
ناف,omphalus
ناف,umbilicus
نومبر,November
نوویال,Novial
نياسال مبارك,Happy New Year
نيپالي,Nepali
نيپالي,Nepali
ويتنامي,Vietnamese
ويتنامي,Vietnamese
ويلش,Welsh
ويلش,Welsh
وکشنری,Wiktionary
يوناني,Greek
يوناني,Greek
يُوکريني,Ukrainian
يُوکريني,Ukrainian
ٹینس,tennis
پارہ,mercury
پاکستان,Pakistan
پاکستان,Islamic Republic of Pakistan
پرتگالي,Portuguese
پرتگالي,Portuguese
پولستاني,Polish
پولستاني,Polish
پوٹاشیم,potassium
پینا,drink
پینا,gulp
پینا,quaff
پینا,sip
پیڑ,tree
چاندی,silver
چيک,Czech
چيک,Czech
چین,People's Republic of China
چین,China
چیونٹی,ant
ڈاکار,Dakar
ڈنمارک,Denmark
ڈنمارک,Kingdom of Denmark
ڈينش,Danish
ک,dog
کتب خانه,library
کحل,antimony
کراتي,Croatian
کراتي,Croation
کرغزستان,Kyrgyzstan
کرغزستان,Kyrgyz Republic
کرویشیا,Croatia
کرویشیا,Republic of Croatia
کلوگرام,kilogram
کورين,Korean
کورين,Korean
کھادیہ,edible
کھڑکی,window
کینیڈا,Canada
گاليشيائي,Galician
گاليشيائي,Galician
گبرون,Gaborone
گجراتي,Gujarati
گجراتي,Gujarati
گلاب,rose
گولف,golf
گولی,bullet
گھنٹا,hour
گھنٹہ,hour
ہسپانوي,Castilian
ہسپانوي,Spanish
ہسپانوي,Spanish
ہمیشہ,anytime
ہنگری,Hungary
ہنگری,Republic of Hungary
ہنگيرين,Hungarian
یونان,Greece
یونان,Hellenic Republic
ەجام,hairdresser
ەجام,barber
urdu,english
