Other,English
(thing) hoog,tall
(person) lang,tall
[wij] connectie leggen,connect
[wij] connectie leggen,associate
[wij] connectie leggen,tie in
[wij] connectie leggen,relate
[wij] connectie leggen,link
[wij] connectie leggen,colligate
[wij] connectie leggen,link up
[wij] leggen connectie,connect
[wij] leggen connectie,associate
[wij] leggen connectie,tie in
[wij] leggen connectie,relate
[wij] leggen connectie,link
[wij] leggen connectie,colligate
[wij] leggen connectie,link up
[wij] denken,think
[wij] denken,cogitate
[wij] denken,cerebrate
[wij] geven,pass
[wij] geven,hand
[wij] geven,reach
[wij] geven,pass on
[wij] geven,turn over
[wij] geven,give
[wij] overhandigen,pass
[wij] overhandigen,hand
[wij] overhandigen,reach
[wij] overhandigen,pass on
[wij] overhandigen,turn over
[wij] overhandigen,give
verzoek tot ontvangen,pass
verzoek tot ontvangen,hand
verzoek tot ontvangen,reach
verzoek tot ontvangen,pass on
verzoek tot ontvangen,turn over
verzoek tot ontvangen,give
[wij] geven om,care
[wij] overleven,survive
[wij] overleven,last
[wij] overleven,live
[wij] overleven,live on
[wij] overleven,go
[wij] overleven,endure
[wij] overleven,hold up
[wij] overleven,hold out
[wij] veronderstellen,suppose
[wij] veronderstellen,say
aannemen,suppose
aannemen,say
postuleren,suppose
postuleren,say
ervan uitgaan,suppose
ervan uitgaan,say
raden,suppose
raden,say
gissen,suppose
gissen,say
[wij] weten,know
[wij] weten,cognize
[wij] weten,cognise
invloed hebben op,imply
invloed hebben op,involve
uitdrukken,express
uitdrukken,state
[wij] drukken uit,express
[wij] drukken uit,state
uitzoeken,determine
uitzoeken,check
uitzoeken,find out
uitzoeken,see
uitzoeken,ascertain
uitzoeken,watch
uitzoeken,learn
[wij] zoeken uit,determine
[wij] zoeken uit,check
[wij] zoeken uit,find out
[wij] zoeken uit,see
[wij] zoeken uit,ascertain
[wij] zoeken uit,watch
[wij] zoeken uit,learn
vasthouden,hold
vasthouden,take hold
[wij] houden vast,hold
[wij] houden vast,take hold
[de] (volwassen) man,man
[de] (volwassen) man,adult male
[de] Verenigde Staten van Amerika,United States
[de] Verenigde Staten van Amerika,United States of America
[de] Verenigde Staten van Amerika,America
