Other,English
Add-on,addition
Add-on,add-on
Add-on,improver
GB,United Kingdom
GB,UK
GB,U.K.
GB,Britain
GB,United Kingdom of Great Britain and Northern Ireland
GB,Great Britain
''not used'',the
กฎข้อบังคับ,rule
กฎข้อบังคับ,regulation
กด,press
กรกฎาคม,July
กรด,acid
กรรไกร,scissors
กรรไกร,pair of scissors
กรอบ,frame
กระจก,glass
กระจก,mirror
กระดาษ,paper
กระดูก,bone
กระดูก,os
กระป๋อง,can
กระป๋อง,tin
กระป๋อง,tin can
กระเทียม,garlic
กระเทียม,ail
กระเป๋า,bag
กระเป๋า,handbag
กระเป๋า,pocketbook
กระเป๋า,purse
กระเป๋าเดินทาง,suitcase
กระเป๋าเดินทาง,bag
กระเป๋าเดินทาง,traveling bag
กระเป๋าเดินทาง,travelling bag
กระเป๋าเดินทาง,grip
กระเพาะ,stomach
กระเพาะ,tummy
กระเพาะ,tum
กระเพาะ,breadbasket
กระแสน้ำ,stream
กระแสน้ำ,flow
กระแสน้ำ,current
กระโดด,jump
กระโดด,leap
กระโดด,bound
กระโดด,spring
กลม ๆ,round
กลม ๆ,circular
กลางคืน,night
กลางคืน,nighttime
กลางคืน,dark
กลิ่น,smell
กลิ่น,olfactory property
กลิ่น,aroma
กลิ่น,odor
กลิ่น,odour
กลิ่น,scent
กลุ่ม,group
กลุ่ม,grouping
กลุ่มคนทำงานหรือเล่นกีฬาในกลุ่มเดียวกัน,team
กลุ่มคนทำงานหรือเล่นกีฬาในกลุ่มเดียวกัน,squad
กลุ่มควัน,cloud
กล่อง,box
กล่าวถึง,mention
กล่าวถึง,advert
กล่าวถึง,bring up
กล่าวถึง,cite
กล่าวถึง,name
กล่าวถึง,refer
กล่าวหา,accuse
กล่าวหา,charge
กล้วย,banana
กล้องถ่ายภาพ,television camera
กล้องถ่ายภาพ,tv camera
กล้องถ่ายภาพ,camera
กล้องถ่ายรูป,camera
กล้องถ่ายรูป,photographic camera
กล้ามเนื้อ,muscle
กล้ามเนื้อ,musculus
กว่า,than
กว้าง,wide
