Other,English
1 Awst,August 1
1 Gorffennaf,July 1
1 Ionawr,January 1
1 Mai,May 1
1 Tachwedd,November 1
11 Medi,September 11
11 Tachwedd,November 11
12 Chwefror,February 12
12 Hydref,October 12
14 Chwefror,February 14
14 Ebrill,April 14
14 Mehefin,June 14
15 Awst,August 15
1530au,1530s
17 Mawrth,March 17
17 Medi,September 17
1750au,1750s
1760au,1760s
1770au,1770s
1780au,1780s
1790au,1790s
1820au,1820s
1830au,1830s
1840au,1840s
1850au,1850s
1860au,1860s
1870au,1870s
1880au,1880s
1890au,1890s
19 Ionawr,January 19
19 Mawrth,March 19
1900au,1900s
1920au,1920s
1930au,1930s
1940au,1940s
1950au,1950s
1960au,1960s
1970au,1970s
1980au,1980s
1990au,1990s
2 Chwefror,February 2
2 Mawrth,March 2
2 Tachwedd,November 2
20 Ionawr,January 20
21 Mehefin,June 21
22 Chwefror,February 22
23 Mehefin,June 23
24 Hydref,October 24
24 Mai,May 24
24 Mehefin,June 24
25 Mawrth,March 25
29 Chwefror,February 29
29 Medi,September 29
29 Mehefin,June 29
3 Mehefin,June 3
31 Rhagfyr,December 31
4 Gorffennaf,July 4
5 Tachwedd,November 5
6 Awst,August 6
6 Ionawr,January 6
8 Rhagfyr,December 8
A,A
Aachen,Aachen
Abel Tasman,Abel Tasman
Aberdeen,Aberdeen
Abidjan,Abidjan
Abraham,Abraham
Abraham Lincoln,Abraham Lincoln
Accra,Accra
Acesia,Acacia
Achmed Sukarno,Sukarno
Achyddiaeth,Genealogy
Aconcagua,Aconcagua
Actor,Actor
Acwariwm,Aquarium
Adam Smith,Adam Smith
Addis Ababa,Addis Ababa
Addysg,Education
Adelaide,Adelaide
Aderyn,Bird
Aderyn y To,House Sparrow
Adloniant,Entertainment
Adolf Hitler,Adolf Hitler
Aeschulos,Aeschylus
Afal,Apple
Afanc,Beaver
Affrica,Africa
Afghanistan,Afghanistan
Afon,River
Afon Amazonas,Amazon River
Afon Brahmaputra,Brahmaputra River
Afon Colorado,Colorado River
Afon Congo,Congo River
Afon Don,Don River
Afon Donaw,Danube
Afon Ebro,Ebro
Afon Ewffrates,Euphrates
Afon Ganga,Ganges
Afon Garonne,Garonne
Afon Indus,Indus River
Afon Loire,Loire River
Afon Mekong,Mekong
Afon Meuse,Meuse River
Afon Mississippi,Mississippi River
Afon Missouri,Missouri River
Afon Neckar,Neckar
Afon Neva,Neva River
Afon Niger,Niger River
Afon Nîl,Nile
Afon Po,Po River
Afon Rhein,Rhine
Afon Rubicon,Rubicon
Afon Schelde,Scheldt
Afon Seine,Seine
Afon Tafwys,River Thames
Afon Tagus,Tagus
Afon Tiber,Tiber
Afon Tigris,Tigris
Afon Vistula,Vistula
Afon Volga,Volga River
Afon Yangtze,Yangtze River
Afon Zambezi,Zambezi
Afonfarch,Hippopotamus
Afrikaans,Afrikaans
Agatha Christie,Agatha Christie
Agnosticiaeth,Agnosticism
Agora,Agora
Agoriadau gwyddbwyll,Chess opening
Agra,Agra
Ain,Ain
Airbus,Airbus
Akhenaten,Akhenaten
Akira Kurosawa,Akira Kurosawa
Al Capone,Al Capone
Al Gore,Al Gore
Al-Qaeda,Al-Qaeda
Al-lâh,Allah
Alabama,Alabama
Alan Turing,Alan Turing
Alarch,Swan
