Other,English
!Hauptkategorie,Fundamental
1. August,August 1
1. Brief des Paulus an die Korinther,First Epistle to the Corinthians
1. Buch Mose,Genesis
1. Januar,January 1
1. Juli,July 1
1. Mai,May 1
1. November,November 1
11. November,November 11
11. September,September 11
12. Februar,February 12
12. Oktober,October 12
14. April,April 14
14. Februar,February 14
14. Juni,June 14
15. August,August 15
1530er,1530s
17. März,March 17
17. September,September 17
1750er,1750s
1760er,1760s
1770er,1770s
1780er,1780s
1790er,1790s
1820er,1820s
1830er,1830s
1840er,1840s
1850er,1850s
1860er,1860s
1870er,1870s
1880er,1880s
1890er,1890s
19. Januar,January 19
19. März,March 19
1900er,1900s
1920er,1920s
1930er,1930s
1940er,1940s
1950er,1950s
1960er,1960s
1970er,1970s
1980er,1980s
1990er,1990s
2. Buch Mose,Exodus
2. Februar,February 2
2. März,March 2
2. November,November 2
20. Januar,January 20
21. Juni,June 21
22. Februar,February 22
23. Juni,June 23
24. Juni,June 24
24. Mai,May 24
24. Oktober,October 24
25. März,March 25
29. Februar,February 29
29. Juni,June 29
29. September,September 29
3. Buch Mose,Leviticus
3. Juni,June 3
31. Dezember,December 31
4. Buch Mose,Book of Numbers
4. Juli,July 4
5. Buch Mose,Deuteronomy
5. November,November 5
6. August,August 6
6. Januar,January 6
8. Dezember,December 8
A,A
A cappella,A cappella
ABC,ABC
ALGOL,ALGOL
ASEAN,Association of Southeast Asian Nations
ATP,ATP
AZ Alkmaar,AZ
Aachen,Aachen
Aalartige,Eel
Aalborg,Aalborg
Aare,Aar
Aaron,Aaron
Abadan,Abadan
Abakus,Abacus
Abchasien,Abkhazia
Abdomen,Abdomen
Abel Tasman,Abel Tasman
Abelsche Gruppe,Abelian group
Abendmahl,Eucharist
Aberdeen,Aberdeen
Abfall,Waste
Abidjan,Abidjan
Abkürzung,Abbreviation
Ablass,Indulgence
Abolitionismus,Abolitionism
Abraham,Abraham
Abraham Lincoln,Abraham Lincoln
Abseitsregel,Offside
Absinth,Absinthe
Absolute Helligkeit,Absolute magnitude
Absoluter Nullpunkt,Absolute zero
Absolutismus,Absolutism
Abstand,Distance
Abstrakte Kunst,Abstract art
Abstrakter Expressionismus,Abstract expressionism
Abstraktion,Abstraction
Abt,Abbot
Abu Dhabi,Abu Dhabi
Abuja,Abuja
Acapulco,Acapulco
Accra,Accra
Acetaldehyd,Acetaldehyde
Aceton,Acetone
Acetylcholin,Acetylcholine
Acetylsalicylsäure,Aspirin
Achat,Agate
Acheron,Acheron
Achilleus,Achilles
Acht,8
Achterdeck des Schiffs,Puppis
Achtzehn,18
Aconcagua,Aconcagua
Acre,Acre
Actinium,Actinium
Actinoide,Actinide
Ada,Ada
Adam Smith,Adam Smith
Adana,Adana
Addis Abeba,Addis Ababa
Addition,Addition
Adel,Nobility
Adelaide,Adelaide
Aden,Aden
