Other,English
0,0
1,1
1,1
1. elokuuta,August 1
1. heinäkuuta,July 1
1. marraskuuta,November 1
1. tammikuuta,January 1
1. toukokuuta,May 1
10,10
10,10
100,100
1000,1000
101,101
105,105
11,11
11,11
11. marraskuuta,November 11
11. syyskuuta,September 11
110,110
115,115
12,12
12,12
12. helmikuuta,February 12
12. lokakuuta,October 12
120,120
125,125
13,13
13,13
130,130
135,135
14,14
14,14
14. helmikuuta,February 14
14. huhtikuuta,April 14
14. kesäkuuta,June 14
140,140
144,144
145,145
15,15
15,15
15. elokuuta,August 15
150,150
1530-luku,1530s
155,155
16,16
16,16
160,160
165,165
17,17
17,17
17. maaliskuuta,March 17
17. syyskuuta,September 17
170,170
1728,1728
175,175
1750-luku,1750s
1750-luku,1750s
1760-luku,1760s
1760-luku,1760s
1770-luku,1770s
1770-luku,1770s
1780-luku,1780s
1780-luku,1780s
1790-luku,1790s
1790-luku,1790s
18,18
18,18
180,180
1820-luku,1820s
1820-luku,1820s
1830-luku,1830s
1830-luku,1830s
1840-luku,1840s
1840-luku,1840s
1850-luku,1850s
1860-luku,1860s
1860-luku,1860s
1870-luku,1870s
1870-luku,1870s
1880-luku,1880s
1880-luku,1880s
1890-luku,1890s
1890-luku,1890s
19,19
19,19
19. maaliskuuta,March 19
19. tammikuuta,January 19
190,190
1900-vuosikymmen,1900s
1900-vuosikymmen,1900s
1920-luku,1920s
1920-luku,1920s
1930-luku,1930s
1930-luku,1930s
1930-luvun lama,Great Depression
1940-luku,1940s
1940-luku,1940s
1950-luku,1950s
1950-luku,1950s
1960-luku,1960s
1960-luku,1960s
1970-luku,1970s
1970-luku,1970s
1980-luku,1980s
1980-luku,1980s
1990-luku,1990s
1990-luku,1990s
2,2
2,2
2. helmikuuta,February 2
2. maaliskuuta,March 2
2. marraskuuta,November 2
20,20
20,20
20. tammikuuta,January 20
200,200
21,21
21,21
21. kesäkuuta,June 21
22,22
22,22
22. helmikuuta,February 22
23,23
23,23
23. kesäkuuta,June 23
24,24
24,24
24,24
24. kesäkuuta,June 24
24. lokakuuta,October 24
24. toukokuuta,May 24
25,25
25,25
25. maaliskuuta,March 25
26,26
26,26
27,27
27,27
28,28
28,28
29,29
29,29
29. helmikuuta,February 29
29. kesäkuuta,June 29
29. syyskuuta,September 29
3,3
3,3
3. kesäkuuta,June 3
30,30
30,30
300,300
31,31
31,31
31. joulukuuta,December 31
32,32
32,32
33,33
33,33
34,34
34,34
35,35
35,35
36,36
36,36
37,37
37,37
38,38
38,38
39,39
39,39
4,4
4,4
4. heinäkuuta,July 4
40,40
40,40
400,400
41,41
41,41
42,42
42,42
43,43
43,43
44,44
45,45
46,46
47,47
48,48
49,49
5,5
5,5
5. marraskuuta,November 5
50,50
500,500
51,51
52,52
53,53
54,54
55,55
56,56
57,57
58,58
59,59
6,6
6,6
6. elokuuta,August 6
6. tammikuuta,January 6
60,60
61,61
62,62
63,63
64,64
65,65
66,66
67,67
68,68
69,69
7,7
7,7
70,70
71,71
72,72
73,73
74,74
75,75
76,76
77,77
78,78
79,79
8,8
8,8
8. joulukuuta,December 8
80,80
81,81
82,82
83,83
84,84
85,85
86,86
87,87
88,88
89,89
9,9
9,9
90,90
91,91
92,92
93,93
94,94
95,95
96,96
97,97
98,98
99,99
A,A
A cappella,A cappella
A-vitamiini,Retinol
A-vitamiini,Vitamin A
ABC,ABC
AIDS,AIDS
ALGOL,ALGOL
ASCII,American Standard Code for Information Interchange
ASEAN,Association of Southeast Asian Nations
ATP,ATP
AZ Alkmaar,AZ
Aachen,Aachen
Aadam,Adam
Aakkoset,Alphabet
Aalborg,Aalborg
Aallonpituus,Wavelength
Aaloet,Aloe
Aalto,Wave
Aare,Aar
Aari,Are
Aaria,Aria
Aarnikotka,Griffin
Aaron,Aaron
Aasi,Donkey
Aasia,Asia
Aasia,Asia
Aateli,Nobility
Aateli,Nobility
Aavikko,Desert
Aavikkoilves,Caracal
Aavikot,Deserts
Abadan,Abadan
Abel Tasman,Abel Tasman
Abelin ryhmä,Abelian group
Aberdeen,Aberdeen
Abhasia,Abkhazia
Abidjan,Abidjan
Abolitionismi,Abolitionism
Abortti,Abortion
Abraham,Abraham
Abraham Lincoln,Abraham Lincoln
Absintti,Absinthe
Absoluuttinen nollapiste,Absolute zero
Abstrakti ekspressionismi,Abstract expressionism
Abstrakti taide,Abstract art
Abu Dhabi,Abu Dhabi
Abu Dhabi,Abu Dhabi
Abuja,Abuja
Acapulco,Acapulco
Accra,Accra
Aconcagua,Aconcagua
Acre,Acre
Ada,Ada
Adam Smith,Adam Smith
Adana,Adana
Addis Abeba,Addis Ababa
Adelaide,Adelaide
Aden,Aden
Adeniini,Adenine
Adeninlahti,Gulf of Aden
Adenosiinitrifosfaatti,Adenosine triphosphate
Adiabaattinen prosessi,Adiabatic process
Adige,Adige
Adjektiivi,Adjective
Adolf Eichmann,Adolf Eichmann
Adolf Hitler,Adolf Hitler
Adonis,Adonis
Adoptio,Adoption
Adrenaliini,Epinephrine
Adrianmeri,Adriatic Sea
Adsorptio,Adsorption
Adventti,Advent
Adverbi,Adverb
Aeneis,Aeneid
Aerodynamiikka,Aerodynamics
Aerosoli,Aerosol
Afasia,Aphasia
Affiksi,Affix
Afganistan,Afghanistan
Afganistan,Afghanistan
Aforismi,Aphorism
Afrikaans,Afrikaans
Afrikan sarvi,Horn of Africa
Afrikka,Africa
Afrikka,Africa
Afroamerikkalaiset,African American
Afrodite,Aphrodite
Agamemnon,Agamemnon
Agar,Agar
Agatha Christie,Agatha Christie
Aggressio,Aggression
Agnostisismi,Agnosticism
Agora,Agora
Agorafobia,Agoraphobia
Agra,Agra
Agrigento,Agrigento
Ahvenkalat,Perciformes
Aias,Ajax
Aigeianmeri,Aegean Sea
Aika,Time
Aika,Time
Aikakauslehti,Magazine
Aikavyöhyke,Time zone
Aikido,Aikido
Aikuisuus,Adult
Ain,Ain
Aine,Matter
Aineenvaihdunta,Metabolism
Aineias,Aeneas
Aiolos,Aeolus
Airbus,Airbus
Aiskhylos,Aeschylus
Aisopos,Aesop
Aitotumaiset,Eukaryote
Aitoviikuna,Common Fig
Aivojen välittäjäaine,Neurotransmitter
Aivokalvontulehdus,Meningitis
Aivolisäke,Pituitary gland
Aivoriihi,Brainstorming
Aivot,Brain
Aivoverenkiertohäiriö,Stroke
Ajatolla,Ayatollah
Ajattelu,Thought
Ajatushautomo,Think tank
Ajax,Ajax
Ajax,Ajax
Ajomies,Auriga
Akaatti,Agate
Akaba,Aqaba
Akabanlahti,Gulf of Aqaba
Akasiat,Acacia
Akhenaten,Akhenaten
Akheron,Acheron
Akhilleus,Achilles
Akira Kurosawa,Akira Kurosawa
Akko,Acre
Akkusatiivi,Accusative case
Akne,Acne vulgaris
Akropolis,Acropolis
Aksiooma,Axiom
Aksoni,Axon
Aktinium,Actinium
Aktinoidi,Actinide
Aku Ankka,Donald Duck
Akupunktio,Acupuncture
Akustiikka,Acoustics
Akustiikka,Acoustics
Akvaario,Aquarium
Akvamariini,Aquamarine
Akvedukti,Aqueduct
Akvitania,Aquitaine
Al Capone,Al Capone
Al Gore,Al Gore
Al-Qaida,Al-Qaeda
Ala-Saksi,Lower Saxony
Alabama,Alabama
Alabama,Alabama
Alakulttuuri,Subculture
Alan Shepard,Alan Shepard
Alan Turing,Alan Turing
Alaniini,Alanine
Alankomaalaiset henkilöt,Dutch people
Alankomaat,Netherlands
Alankomaat,Netherlands
Alankomaiden Antillit,Netherlands Antilles
Alasaksa,Low German
Alaska,Alaska
Alaska,Alaska
Alban Berg,Alban Berg
Albania,Albania
Albania,Albania
Albany,Albany
Albatrossit,Albatross
Albedo,Albedo
Albert Abraham Michelson,Albert Abraham Michelson
Albert Camus,Albert Camus
Albert Einstein,Albert Einstein
Albert Schweitzer,Albert Schweitzer
Albert Speer,Albert Speer
Alberta,Alberta
Alberta,Alberta
Albiitti,Albite
Albinismi,Albinism
Albumi,Album
Albuquerque,Albuquerque
Aldebaran,Aldebaran
Aldehydi,Aldehyde
Aldous Huxley,Aldous Huxley
Alec Guinness,Alec Guinness
Aleksandr Puškin,Alexander Pushkin
Aleksandr Solženitsyn,Aleksandr Solzhenitsyn
Aleksandria,Alexandria
Aleksanteri Suuri,Alexander the Great
Aleksanteri VI,Pope Alexander VI
Aleppo,Aleppo
Aleutit,Aleutian Islands
Alexander Fleming,Alexander Fleming
Alexander Graham Bell,Alexander Graham Bell
Alexander Hamilton,Alexander Hamilton
Alexander Pope,Alexander Pope
