Other,English
1 जनवरी,January 1
1 जुलाई,July 1
1 नवंबर,November 1
1 मई,May 1
100,100
1000,1000
1000,1000
11 नवंबर,November 11
11 सितंबर,September 11
12,12
12 फरवरी,February 12
14,14
14 अप्रैल,April 14
14 जून,June 14
14 फरवरी,February 14
15 अगस्त,August 15
16,16
17,17
17 मार्च,March 17
1728,1728
19 जनवरी,January 19
19 मार्च,March 19
2 नवंबर,November 2
2 फरवरी,February 2
2 मार्च,March 2
20 जनवरी,January 20
21 जून,June 21
22 फरवरी,February 22
23 जून,June 23
24 जून,June 24
25 मार्च,March 25
29 जून,June 29
29 फरवरी,February 29
3 जून,June 3
31 दिसंबर,December 31
5 नवंबर,November 5
500,500
6 जनवरी,January 6
8 दिसंबर,December 8
Curitiba,Curitiba
hindi,english
अंक,Number
अंकगणित,Arithmetic
अंकगणित,Arithmetic
अंकारा,Ankara
अंग,Organ
अंगुष्ठ,Thumb
अंगोला,Angola
अंग्रेज़ी,English people
अंग्रेज़ी गृहयुद्ध,English Civil War
अंग्रेज़ी भाषा,English language
अंटार्कटिका,Antarctica
अंटीगुआ और बारबूडा,Antigua and Barbuda
अंतरजाल,Internet
अंतरजाल,Internet
अंतरिक्ष यान,Spacecraft
अंतर्राष्ट्रीय न्यायालय,International Court of Justice
अंतर्राष्ट्रीय परमाणु ऊर्जा अधिकरण,International Atomic Energy Agency
अकिरा कुरोसावा,Akira Kurosawa
अक्तूबर समाजवादी क्रांति,October Revolution
अक्षांश रेखाएं,Latitude
अखेनातेन,Akhenaten
अटलांटा,Atlanta
अटिला,Attila the Hun
अति परवलय,Hyperbola
अतिचालकता,Superconductivity
अतेन,Aten
अथीना,Athena
अधिवर्ष,Leap year
अधोरक्त,Infrared
अनातोले फ्रांस,Anatole France
अनार,Pomegranate
अनूबिस,Anubis
अन्टाननरीवो,Antananarivo
अन्डोरा,Andorra
अन्तर्राष्ट्रीय इकाई प्रणाली,International System of Units
अन्ध महासागर,Atlantic Ocean
अन्धापन,Blindness
अपोलो,Apollo
अफ़्ग़ानिस्तान,Afghanistan
अफ़्रीका,Africa
अफ़्रीका,Africa
अफ्रीकी अमरीकन,African American
अबखाजिया,Abkhazia
अबू धाबी,Abu Dhabi
अब्राहम लिंकन,Abraham Lincoln
अभियन्ता,Engineer
अभियाँत्रिकी,Engineering
अभियान्त्रिकी,Engineering
अमरीकी गृहयुद्ध,American Civil War
अमरीकी डॉलर,United States dollar
अमरीकी फुटबॉल,American football
अमीर,Emir
अमुन,Amun
अमेरिकी सामोआ,American Samoa
अम्मान,Amman
अम्ल,Acid
अम्लीय वर्षा,Acid rain
अरकांसास,Arkansas
अरब सागर,Arabian Sea
अरबी प्रायद्वीप,Arabian Peninsula
अरबी भाषा,Arabic language
अरबी लिपि,Arabic alphabet
अरल सागर,Aral Sea
अर्जेन्टीना,Argentina
अर्थशास्त्र,Economics
अर्नेस्ट रदरफोर्ड,Ernest Rutherford
अर्नेस्ट हेमिंगवे,Ernest Hemingway
अल कायदा,Al-Qaeda
अलङ्कार,Aesthetics
अलाबामा,Alabama
अलास्का,Alaska
अलेक्ज़ांडर ग्राहम बेल,Alexander Graham Bell
अलेक्ज़ांडर फ्लेमिङ,Alexander Fleming
अलेक्ज़ांडर महान,Alexander the Great
अलेक्सांद्र पूश्किन,Alexander Pushkin
अलेक्सान्द्र सोल्शेनीत्सिन,Aleksandr Solzhenitsyn
अल्गोरिद्म,Algorithm
अल्जीरिया,Algeria
अल्फ़्रेद नोबेल,Alfred Nobel
अल्फा कण,Alpha particle
अल्बर्ट आइनस्टाइन,Albert Einstein
अल्बर्ट ए मिकेल्सन,Albert Abraham Michelson
अल्बर्ट गोर,Al Gore
अल्बानिया,Albania
अल्लाह,Allah
अवतार,Avatar
अवेस्ता,Avesta
अशासन,Anarchy
असम,Assam
असेम्बली भाषा,Assembly language
आंख,Eye
आंतरिक मंगोलिया,Inner Mongolia
आंतोन चेखव,Anton Chekhov
आंध्र प्रदेश,Andhra Pradesh
आइल ऑफ मान,Isle of Man
आइल ऑफ़ वाइट,Isle of Wight
आइसलैंड,Iceland
आकलैंड,Auckland
आक्सीजन,Oxygen
आगरा,Agra
आगस्टस कैसर,Augustus
आज़र्बैजान,Azerbaijan
आज़ादी,Freedom
आनुवंशिकी,Genetics
आन्रि बर्गसां,Henri Bergson
आमेजन,Amazon River
आमेरिगो वेस्पूची,Amerigo Vespucci
