Other,English
1,1
1,1
1 Agustus,August 1
1 Ceres,Ceres
1 Januari,January 1
1 Juli,July 1
1 Mei,May 1
1 November,November 1
10,10
10,10
100,100
1000,1000
101,101
105,105
11,11
11,11
11 November,November 11
11 September,September 11
110,110
115,115
12,12
12,12
12 Februari,February 12
12 Oktober,October 12
120,120
125,125
13,13
13,13
130,130
135,135
14,14
14,14
14 April,April 14
14 Februari,February 14
14 Juni,June 14
140,140
144,144
145,145
15,15
15,15
15 Agustus,August 15
150,150
1530-an,1530s
155,155
16,16
16,16
160,160
165,165
17,17
17,17
17 Maret,March 17
17 September,September 17
170,170
1728,1728
175,175
1750-an,1750s
1760-an,1760s
1770-an,1770s
1780-an,1780s
1790-an,1790s
18,18
18,18
180,180
1820-an,1820s
1830-an,1830s
1840-an,1840s
1850-an,1850s
1860-an,1860s
1870-an,1870s
1880-an,1880s
1890-an,1890s
19,19
19,19
19 Januari,January 19
19 Maret,March 19
190,190
1900-an,1900s
1920-an,1920s
1930-an,1930s
1940-an,1940s
1950-an,1950s
1960-an,1960s
1970-an,1970s
1980-an,1980s
1990-an,1990s
2,2
2,2
2 Februari,February 2
2 Maret,March 2
2 November,November 2
20,20
20,20
20 Januari,January 20
200,200
21,21
21,21
21 Juni,June 21
22,22
22,22
22 Februari,February 22
23,23
23,23
23 Juni,June 23
24,24
24,24
24,24
24 Juni,June 24
24 Mei,May 24
24 Oktober,October 24
25,25
25,25
25 Maret,March 25
26,26
26,26
27,27
27,27
28,28
28,28
29,29
29,29
29 Februari,February 29
29 Juni,June 29
29 September,September 29
3,3
3,3
3 Juni,June 3
30,30
30,30
300,300
31,31
31,31
31 Desember,December 31
32,32
33,33
34,34
35,35
36,36
37,37
38,38
39,39
4,4
4,4
4 Juli,July 4
40,40
400,400
41,41
42,42
43,43
44,44
45,45
46,46
47,47
48,48
49,49
5,5
5,5
5 November,November 5
50,50
500,500
51,51
52,52
53,53
54,54
55,55
56,56
57,57
58,58
59,59
6,6
6,6
6 Agustus,August 6
6 Januari,January 6
60,60
61,61
62,62
63,63
64,64
65,65
66,66
67,67
68,68
69,69
7,7
7,7
70,70
71,71
72,72
73,73
74,74
75,75
76,76
77,77
78,78
79,79
8,8
8,8
8 Desember,December 8
80,80
81,81
82,82
83,83
84,84
85,85
86,86
87,87
88,88
89,89
9,9
9,9
90,90
91,91
92,92
93,93
94,94
95,95
96,96
97,97
98,98
99,99
A capella,A cappella
AIDS,AIDS
AJAX,Ajax
ASCII,American Standard Code for Information Interchange
ATM,Automated teller machine
ATP,ATP
AZ Alkmaar,AZ
Aachen,Aachen
Aalborg,Aalborg
Abad,Century
Abad Pertengahan,Middle Ages
Abad Renaisans,Renaissance
Abadan,Abadan
Abdomen,Abdomen
Abel Tasman,Abel Tasman
Aberdeen,Aberdeen
Abidjan,Abidjan
Abjad Latin,Latin alphabet
Abkhazia,Abkhazia
Abraham,Abraham
Abraham Lincoln,Abraham Lincoln
Abu Dhabi,Abu Dhabi
Abu Dhabi,Abu Dhabi
Abu-abu,Grey
Abuja,Abuja
Academy Awards,Academy Award
Acapulco,Acapulco
Accra,Accra
Acorn,Acorn
