Other,English
chinese_traditional,english
三角函數,Trigonometric function
三角形,Triangle
上海,Shanghai
世界語,Esperanto
並集,Union
中南半島,Indochina
中東,Middle East
中華人民共和國,People's Republic of China
中華民國,Republic of China
丹麥,Denmark
主格,Nominative case
亞細亞洲,Asia
亡,Death
交換群,Abelian group
交通,Transportation
交集,Intersection
京,Capital
人口,Population
人口統計之學,Demography
仁川,Incheon
代數,Algebra
代數學,Algebra
代數數,Algebraic number
伊比利半島,Iberian Peninsula
但丁,Dante Alighieri
佛教,Buddhism
俄羅斯,Russia
俳句,Haiku
倫敦,London
儒家,Confucianism
元,Yuan Dynasty
光速,Speed of light
內蒙古,Inner Mongolia
全球暖化,Global warming
公元元年,1
公元百年,100
公理,Axiom
共產主義,Communism
冥王星,Pluto
冬,Winter
分數,Rational number
加拿大,Canada
匈牙利,Hungary
化學,Chemistry
北京市,Beijing
北極,North Pole
南京,Nanjing
南極洲,Antarctica
南海,South China Sea
印度,India
印度尼西亞,Indonesia
史,History
同性戀,Homosexuality
向日葵,Sunflower
呂底亞,Lydia
和服,Kimono
哈薩克,Kazakhstan
哥斯大黎加,Costa Rica
唐,Tang Dynasty
四元數,Quaternion
四國,Shikoku
四季,Season
四邊形,Quadrilateral
回教,Islam
國,State
土衛三,Tethys
土衛五,Rhea
土衛六,Titan
地圖,Map
地球,Earth
坦克,Tank
域,Field
基督教,Christianity
墨西哥,Mexico
夏,Summer
大堡礁,Great Barrier Reef
大憲章,Magna Carta
大洋洲,Oceania
大陸,Continent
大霹靂,Big Bang
大韓民國,South Korea
大麥,Barley
天擇,Natural selection
天津市,Tianjin
天王星,Uranus
太平洋,Pacific Ocean
夫妻,Marriage
姓,Family name
威爾斯王妃黛安娜,Diana
子,Philosophy
子集,Subset
孔子,Confucius
孫文,Sun Yat-sen
宇宙,Universe
安達曼海,Andaman Sea
宗教,Religion
官話,Mandarin
實數,Real number
尼亞加拉瀑布,Niagara Falls
尼德蘭,Netherlands
尼日利亞,Nigeria
巴基斯坦,Pakistan
巴拉頓湖,Lake Balaton
巴拿馬,Panama
巴爾幹半島,Balkans
巴赫,Johann Sebastian Bach
市場,Market
布宜諾斯艾利斯,Buenos Aires
希臘,Greece
帕斯卡,Blaise Pascal
席德,El Cid
平壤,Pyongyang
幾何,Geometry
度量空間,Metric space
形而上學,Metaphysics
征夷大將軍,Shogun
德國,Germany
德國史,Germany
德語,German language
恒星,Star
戰爭,War
技術,Technology
拓撲學,Topology
捷克,Czech Republic
政治,Politics
教廷諸屬國,Papal States
教育,Education
整數,Integer
數學,Mathematics
文藝復興,Renaissance
斯密亞丹,Adam Smith
斯巴達,Sparta
新疆,Xinjiang
方誌,Geography
日,Sun
日本,Japan
日本海,Sea of Japan
日食,Solar eclipse
明,Ming Dynasty
明尼阿波利斯,Minneapolis
映射,Function
春,Spring
曼谷,Bangkok
月,Moon
朝鮮民主主義人民共和國,North Korea
木衛一,Io
木衛三,Ganymede
木衛二,Europa
木衛四,Callisto
李斯特,Franz Liszt
東,East
果,Fruit
查士丁尼一世,Justinian I
柬埔寨,Cambodia
格致,Science
桃,Peach
棒球,Baseball
植物,Plant
槍,Firearm
歐几里得,Euclid
歐拉,Leonhard Euler
歐羅巴洲,Europe
武漢市,Wuhan
死刑,Capital punishment
毛納洛峰,Mauna Loa
氦,Helium
氫,Hydrogen
水,Water
江戶,Edo
沙漠,Desert
法國,France
法律,Law
波斯,Persian Empire
泰國,Thailand
泰國灣,Gulf of Thailand
洋,Ocean
海平面,Sea level
海衛一,Triton
清,Qing Dynasty
溤諾曼,John von Neumann
漢,Han Dynasty
澳大利亞,Australia
澳門,Macau
火柴,Match
烏克蘭,Ukraine
牛頓,Isaac Newton
牛頓,Newton
物理,Physics
珠穆朗瑪峰,Mount Everest
理則,Logic
瑞士,Switzerland
環,Ring
甘地,Mahatma Gandhi
生物學,Biology
白令海峽,Bering Strait
百科全書,Encyclopedia
