Other,English
1 augustus,August 1
1 jannewaris,January 1
1 july,July 1
1 maaie,May 1
1 novimber,November 1
100,100
1000,1000
101,101
105,105
11 novimber,November 11
11 septimber,September 11
110,110
12,12
12 febrewaris,February 12
12 oktober,October 12
125,125
130,130
14 april,April 14
14 febrewaris,February 14
14 juny,June 14
140,140
145,145
15 augustus,August 15
16,16
17,17
17 maart,March 17
17 septimber,September 17
1728,1728
180,180
19,19
19 jannewaris,January 19
19 maart,March 19
2 febrewaris,February 2
2 maart,March 2
2 novimber,November 2
20 jannewaris,January 20
21 juny,June 21
22 febrewaris,February 22
23 juny,June 23
24 juny,June 24
24 maaie,May 24
24 oktober,October 24
25 maart,March 25
28,28
29 febrewaris,February 29
29 juny,June 29
29 septimber,September 29
3 juny,June 3
31 desimber,December 31
4 july,July 4
400,400
43,43
47,47
5 novimber,November 5
500,500
53,53
58,58
6 augustus,August 6
6 jannewaris,January 6
71,71
8 desimber,December 8
83,83
9,9
97,97
98,98
Aartsbiskop,Archbishop
Aartsingel Michaël,Michael
Aazje,Asia
Abraham Lincoln,Abraham Lincoln
Adolf Hitler,Adolf Hitler
Adriatyske See,Adriatic Sea
Afganistan,Afghanistan
Afrika,Africa
Afrikaansk,Afrikaans
Agatha Christie,Agatha Christie
Ajax,Ajax
Akwadukt,Aqueduct
Akwitaanje,Aquitaine
Al Kaida,Al-Qaeda
Alabama,Alabama
Alaska,Alaska
Albaanje,Albania
Albatrossen,Albatross
Albert Einstein,Albert Einstein
Alde Testamint,Old Testament
Aldous Huxley,Aldous Huxley
Aleksander de Grutte,Alexander the Great
Alexander Graham Bell,Alexander Graham Bell
Alfred Hitchcock,Alfred Hitchcock
Alfred Nobel,Alfred Nobel
Algebra,Algebra
Algerije,Algeria
Algiers,Algiers
Alliteraasje,Alliteration
Alpen,Alps
Altfioel,Viola
Althobo,Cor anglais
Amazone,Amazon River
Ambrosius,Ambrose
Amerikaansk Fuotbal,American football
Amerikaansk Kongres,United States Congress
Amerikaanske Dollar,United States dollar
Amerikaanske Senaat,United States Senate
Amsterdam,Amsterdam
Anagram,Anagram
Anatomy,Anatomy
Andalûsje,Andalusia
Andorra,Andorra
Andy Warhol,Andy Warhol
Angoala,Angola
Animisme,Animism
Antarktika,Antarctica
Antigua en Barbûda,Antigua and Barbuda
Antlit,Face
Antropology,Anthropology
April,April
Apulje,Apulia
Arabysk,Arabic language
Argentynje,Argentina
Argeology,Archaeology
Arianisme,Arianism
Aristoteles,Aristotle
Arizona,Arizona
Arkansas,Arkansas
Armeenje,Armenia
Arnhim,Arnhem
Arragon,Aragon
Astrology,Astrology
Astronoom,Astronomer
Atene,Athens
Atlantyske Oseaan,Atlantic Ocean
Attila,Attila the Hun
Augustinus,Augustine of Hippo
Augustus,August
Austraalje,Australia
Auvergne,Auvergne
Azerbeidzjan,Azerbaijan
Babyloanje,Babylonia
Bakoe,Baku
Balearen,Balearic Islands
Ballet,Ballet
Bamboebear,Giant Panda
Banglades,Bangladesh
Baptisme,Baptist
Barbados,Barbados
Bary,Bari
Basilikata,Basilicata
Beda,Bede
Befolking,Population
Beieren,Bavaria
Belgje,Belgium
Belisarius,Belisarius
Belize,Belize
Benelúks,Benelux
Benito Mussolini,Benito Mussolini
Benyn,Benin
Beowulf,Beowulf
Berch,Mountain
Beringsee,Bering Sea
Beringstrjitte,Bering Strait
Berlyn,Berlin
Beverly Hills,Beverly Hills
Bevers,Beaver
Bibel,Bible
Bibleteek,Library
Biedwurd,Motto
Biogemy,Biochemistry
Biology,Biology
Birma,Burma
Biseksualiteit,Bisexuality
Biskop,Bishop
Bit,Bit
Blaasynstrumint,Wind instrument
Bliksem,Lightning
Bloedplaatsjes,Platelet
Blues,Blues
Boargemaster,Mayor
Boargemaster,Burgomaster
Bob Dylan,Bob Dylan
Boedapest,Budapest
Boedisme,Buddhism
Boereswel,Barn Swallow
Boergonje,Bourgogne
Bolivia,Bolivia
Bolzano,Bolzano
Bosnje,Bosnia and Herzegovina
Botswana,Botswana
Boukeunst,Architecture
Bouwurk,Building
Brandenboarch,Brandenburg
Brazylje,Brazil
Bremen,Bremen
Bretanje,Bretagne
Britske Ryk,British Empire
Brugge,Bruges
Brussel,Brussels
