Other,English
1,1
1 Ceres,Ceres
1 de agosto,August 1
1 de maio,May 1
1 de novembro,November 1
1 de xaneiro,January 1
1 de xullo,July 1
10,10
100,100
1000,1000
101,101
105,105
11,11
11 de novembro,November 11
11 de setembro,September 11
110,110
115,115
12,12
12 de febreiro,February 12
12 de outubro,October 12
120,120
125,125
13,13
130,130
135,135
14,14
14 de abril,April 14
14 de febreiro,February 14
14 de xuño,June 14
140,140
144,144
145,145
15,15
15 de agosto,August 15
150,150
155,155
16,16
160,160
165,165
17,17
17 de marzo,March 17
17 de setembro,September 17
170,170
1728,1728
175,175
18,18
180,180
19,19
19 de marzo,March 19
19 de xaneiro,January 19
190,190
2,2
2 de febreiro,February 2
2 de marzo,March 2
2 de novembro,November 2
20,20
20 de xaneiro,January 20
200,200
21,21
21 de xuño,June 21
22,22
22 de febreiro,February 22
23,23
23 de xuño,June 23
24,24
24 de maio,May 24
24 de outubro,October 24
24 de xuño,June 24
25,25
25 de marzo,March 25
26,26
27,27
28,28
29,29
29 de febreiro,February 29
29 de setembro,September 29
29 de xuño,June 29
3,3
3 de xuño,June 3
30,30
300,300
31,31
31 de decembro,December 31
32,32
33,33
34,34
35,35
36,36
37,37
38,38
39,39
4,4
4 de xullo,July 4
40,40
400,400
41,41
42,42
43,43
44,44
45,45
46,46
47,47
48,48
49,49
5,5
5 de novembro,November 5
50,50
500,500
51,51
52,52
53,53
54,54
55,55
56,56
57,57
58,58
59,59
6,6
6 de agosto,August 6
6 de xaneiro,January 6
60,60
61,61
62,62
63,63
64,64
65,65
66,66
67,67
68,68
69,69
7,7
70,70
71,71
72,72
73,73
74,74
75,75
76,76
77,77
78,78
79,79
8,8
8 de decembro,December 8
80,80
81,81
82,82
83,83
84,84
85,85
86,86
87,87
88,88
89,89
9,9
90,90
91,91
92,92
93,93
94,94
95,95
96,96
97,97
98,98
99,99
A,A
A,A
A Española,Hispaniola
A Habana - La Habana,Havana
A Haia - Den Haag,The Hague
A Ilíada,Iliad
A Meca - مكة,Mecca
A Odisea,Odyssey
A Valeta,Valletta
ABC,ABC
ADN,DNA
AJAX,Ajax
ASCII,American Standard Code for Information Interchange
ASEAN,Association of Southeast Asian Nations
ATP,Adenosine triphosphate
ATP,ATP
Aalborg - Ålborg,Aalborg
Aarhus - Århus,Aarhus
Abade,Abbot
Abadán - آبادان,Abadan
Abadía de Westminster,Westminster Abbey
Abdome,Abdomen
Abel Tasman,Abel Tasman
Abella,Bee
"Aberdeen, Escocia",Aberdeen
Abeto,Fir
Abidjan,Abidjan
Abkhazia,Abkhazia
Abolicionismo,Abolitionism
Abraham,Abraham
Abraham Lincoln,Abraham Lincoln
Abreviatura,Abbreviation
Abril,April
Absintio,Artemisia absinthium
Absolutismo,Absolutism
Abstracción,Abstraction
Abuja,Abuja
Acacia,Acacia
Acapulco,Acapulco
Accipítrido,Accipitridae
Acción,Share
Accra,Accra
Aceiro,Steel
Aceiro inoxidábel,Stainless steel
Aceite,Oil
Aceleración,Acceleration
Acerbaixán - Azərbaycan,Azerbaijan
Acetaldehido,Acetaldehyde
Acetileno,Acetylene
Acetona,Acetone
Acimut,Azimuth
Acne,Acne vulgaris
Acoirazado,Battleship
Aconcagua,Aconcagua
Acorde,Chord
Acordeón,Accordion
Acre,Acre
Acre - עכו,Acre
Acrópole,Acropolis
Actinio,Actinium
Actor,Actor
