Other,English
0 (број),0 (number)
1,1
1 (број),1 (number)
1. август,August 1
1. мај,May 1
1. новембар,November 1
1. јануар,January 1
1. јул,July 1
10,10
100,100
1000,1000
101,101
105,105
11,11
11. новембар,November 11
11. септембар,September 11
110,110
115,115
12,12
12. октобар,October 12
12. фебруар,February 12
120,120
125,125
13,13
130,130
135,135
14,14
14. април,April 14
14. фебруар,February 14
14. јун,June 14
140,140
144,144
145,145
15,15
15. август,August 15
150,150
155,155
16,16
160,160
165,165
17,17
17. март,March 17
17. септембар,September 17
170,170
1728,1728
175,175
18,18
180,180
1890е,1890s
19,19
19. март,March 19
19. јануар,January 19
190,190
1900е,1900s
1920е,1920s
1930е,1930s
1940е,1940s
1950е,1950s
1960е,1960s
1970е,1970s
1980е,1980s
1990е,1990s
2,2
2 (број),2 (number)
2. март,March 2
2. новембар,November 2
2. фебруар,February 2
20,20
20. јануар,January 20
200,200
21,21
21. јун,June 21
22,22
22. фебруар,February 22
23,23
23 (број),23 (number)
23. јун,June 23
24,24
24. мај,May 24
24. октобар,October 24
24. јун,June 24
25,25
25. март,March 25
26,26
27,27
28,28
29,29
29. септембар,September 29
29. фебруар,February 29
29. јун,June 29
3,3
3 (број),3 (number)
3. јун,June 3
30,30
300,300
31,31
31. децембар,December 31
32,32
33,33
34,34
35,35
36,36
37,37
38,38
39,39
4,4
4 (број),4 (number)
4. јул,July 4
40,40
400,400
41,41
42,42
43,43
44,44
45,45
46,46
47,47
48,48
49,49
5,5
5 (број),5 (number)
5. новембар,November 5
50,50
500,500
51,51
52,52
53,53
54,54
55,55
56,56
57,57
58,58
59,59
6,6
6 (број),6 (number)
6. август,August 6
6. јануар,January 6
60,60
61,61
62,62
63,63
64,64
65,65
66,66
67,67
68,68
69,69
7,7
7 (број),7 (number)
70,70
71,71
72,72
73,73
74,74
75,75
76,76
77,77
78,78
79,79
8,8
8 (број),8 (number)
8. децембар,December 8
80,80
81,81
82,82
83,83
84,84
85,85
86,86
87,87
88,88
89,89
9,9
9 (број),9 (number)
90,90
91,91
92,92
93,93
94,94
95,95
96,96
97,97
98,98
99,99
A (слово латинице),A
ASCII,American Standard Code for Information Interchange
Ad hominem,Ad hominem
Ada (програмски језик),Ada (programming language)
Afroamerikanci,African American
Alat,Tool
Aleutska ostrva,Aleutian Islands
Alfred Veliki,Alfred the Great
Ananas comosus,Pineapple
Anatol Frans,Anatole France
Araceae,Araceae
Atentat,Assassination
Atlas (mesec),Atlas (moon)
August Strindberg,August Strindberg
Autorsko pravo,Copyright
B (слово латинице),B
Beli patuljak,White dwarf
Bernhard Riman,Bernhard Riemann
Bluz,Blues
C (програмски језик),C (programming language)
C (слово латинице),C
Crveni div,Red giant
Cyperaceae,Cyperaceae
D (слово латинице),D
DOS (оперативни систем),DOS
DVD,DVD
Del (kompanija),Dell
Delfin,Dolphin
Dinamit,Dynamite
Diplomatija,Diplomacy
Divlja svinja,Boar
Drombulje,Jew's harp
Dvojne i višestruke zvezde,Binary star
Džejms Nejsmit,James Naismith
Džon Stjuart Mil,John Stuart Mill
E (слово латинице),E
Edgar Dega,Edgar Degas
Efekat staklene bašte,Greenhouse effect
Egzistencijalizam,Existentialism
Erasure,Erasure
Estar,Ester
F (слово латинице),F
FTP,File Transfer Protocol
Fabaceae,Fabaceae
Federalni istražni biro,Federal Bureau of Investigation
Fedora Core,Fedora (Linux distribution)
Folna kiselina,Folic acid
Frederikton,Fredericton
G (слово латинице),G
Galicija (provincija),Galicia (Central Europe)
Globalni pozicioni sistem,Global Positioning System
Gorive ćelije,Fuel cell
Grafiti,Graffiti
H (слово латинице),H
HTML,HTML
HTTP,Hypertext Transfer Protocol
Hablov zakon,Hubble's law
Hadžiluk,Hajj
Hemijsko inženjerstvo,Chemical engineering
Henrik Ibzen,Henrik Ibsen
Hibernacija,Hibernation
Hipici,Hippie
Hokej na ledu,Ice hockey
Hugo Grocije,Hugo Grotius
I (слово латинице),I
Ideologija,Ideology
Indokina,Indochina
Intranet,Intranet
J (слово латинице),J
Jezgro operativnog sistema,Kernel (computer science)
Joga,Yoga
K (слово латинице),K
Kaligrafija,Calligraphy
Karl Jaspers,Karl Jaspers
Keops,Khufu
Klinička depresija,Clinical depression
Klod Elvud Šenon,Claude Shannon
Komodo zmaj,Komodo dragon
Konjica,Cavalry
Kralj Artur,King Arthur
Kralj Lir (drama),King Lear
Krava,Cattle
Kreacionizam,Creationism
Kukuvija,Barn Owl
L (слово латинице),L
Lepidoptera,Lepidoptera
Liliaceae,Liliaceae
Limun,Lemon
Lisp,Lisp (programming language)
Loki,Loki
M (слово латинице),M
MESSENGER,MESSENGER
MIME,MIME
MS-DOS,MS-DOS
Malkolm Iks,Malcolm X
Mao Cedung,Mao Zedong
Marijanska ostrva,Mariana Islands
Martin Hajdeger,Martin Heidegger
Metafora,Metaphor
Metonimija,Metonymy
Milimetar,Millimetre
Moravska,Moravia
Mrežne topologije,Network topology
Multipla skleroza,Multiple sclerosis
Musa,Musa (genus)
N (слово латинице),N
