Other,English
0 (bilang),0 (number)
1 (bilang),1 (number)
"1,000 (bilang)",1000 (number)
10 (bilang),10 (number)
134340 Pluton,Pluto
136199 Eris,Eris (dwarf planet)
1728,1728
2 (bilang),2 (number)
3 (bilang),3 (number)
4 (bilang),4 (number)
5 (bilang),5 (number)
6 (bilang),6 (number)
7 (bilang),7 (number)
8 (bilang),8 (number)
9 (bilang),9 (number)
A,A
ABC,ABC
Aa (dumi),Waste
Aachen,Aachen
Aaron,Aaron
Aba Ginoong Maria,Hail Mary
Abakus,Abacus
Aberdeen,Aberdeen
Abestrus,Ostrich
Abkhazia,Abkhazia
Abraham,Abraham
Abraham Lincoln,Abraham Lincoln
Abril,April
Abril 14,April 14
Abu Dhabi,Abu Dhabi
Abuja,Abuja
Abukado,Avocado
Acapulco,Acapulco
Accra,Accra
Acetylcholine,Acetylcholine
Acinonyx jubatus,Cheetah
Acorn,Acorn
Ad hominem,Ad hominem
Adam Smith,Adam Smith
Adbiyento,Advent
Addis Ababa,Addis Ababa
Adolf Hitler,Adolf Hitler
Afghanistan,Afghanistan
Agham,Science
Agham pampolitika,Political science
Agham pandaigdig,Earth science
Agham pang-aklatan at pang-impormasyon,Library science
Agham pangkompyuter,Computer science
Agosto,August
Agosto 1,August 1
Agosto 15,August 15
Agosto 6,August 6
Agra,Agra
Agrikultura,Agriculture
Agustin ng Hippo,Augustine of Hippo
Ahas,Snake
Ahedres,Chess
Aineías,Aeneas
Akasya,Acacia
Aklat,Book
Aklat ng Exodo,Exodus
Aklat ng Pahayag,Book of Revelation
Aklatan,Library
Alabama,Alabama
Alakdan,Scorpion
Alaska,Alaska
Albanya,Albania
Albert Einstein,Albert Einstein
Albinismo,Albinism
Album,Album
Aldyebra,Algebra
Aldyebrang Boolean,Boolean algebra (structure)
Alejandro VI,Pope Alexander VI
Alemanya,Germany
Alexander Graham Bell,Alexander Graham Bell
Alexander ang Dakila,Alexander the Great
Algeria,Algeria
Algiers,Algiers
Algoritmo,Algorithm
Alimango,Crab
Aliterasyon,Alliteration
Alkimiya,Alchemy
Alkoholismo,Alcoholism
Almaty,Almaty
Alpabeto,Alphabet
Alpabetong Latin,Latin alphabet
Alpabetong Siriliko,Cyrillic alphabet
Altair,Altair
Alyas,Pseudonym
Ama Namin,Lord's Prayer
Amag,Mold
Amaterasu,Amaterasu
Amelia Earhart,Amelia Earhart
Amerikang Latino,Latin America
Amman,Amman
Anak,Child
Anatomiya,Anatomy
Andalucía,Andalusia
Andorra,Andorra
Andy Warhol,Andy Warhol
Anghel,Angel
Angola,Angola
Anime,Anime
Ankara,Ankara
Antananarivo,Antananarivo
Antarctica,Antarctica
Antigua at Barbuda,Antigua and Barbuda
Antisemitismo,Antisemitism
Antoine Lavoisier,Antoine Lavoisier
Antropolohiya,Anthropology
Aphrodite,Aphrodite
Apia,Apia
Apokripa,Apocrypha
Apoy,Fire
Aprika,Africa
Aprikot,Apricot
Arabyang Saudi,Saudi Arabia
Aragón,Aragon
Araw (astronomiya),Sun
Araw (panahon),Day
Araw ng Pagbabayad-puri,Yom Kippur
Araw ng mga Puso,Valentine's Day
Archimedes,Archimedes
Arhentina,Argentina
Aristoteles,Aristotle
Aritmetika,Arithmetic
Arizona,Arizona
Arkeolohiya,Archaeology
Arkitektura,Architecture
Armenia,Armenia
Arnold Schoenberg,Arnold Schoenberg
Arthur Rimbaud,Arthur Rimbaud
Artista,Actor
Aruba,Aruba
Asido,Acid
Asin,Salt (chemistry)
Asmara,Asmara
Aso,Dog
Assyria,Assyria
Astana,Astana
Asteroyd,Asteroid
Astrolohiya,Astrology
Astronomiya,Astronomy
Astropisika,Astrophysics
Asukal,Sugar
Asul,Blue
Asya,Asia
Aten,Aten
Atenas,Athens
Athena,Athena
Atomo,Atom
Australia,Australia
Austria,Austria
Azerbaijan,Azerbaijan
B,B
Babae (kasarian),Woman
Badminton,Badminton
Baga (anatomiya),Lung
Baghdad,Baghdad
Bagong Taon,New Year
Bagong Tipan,New Testament
Baha,Flood
Bahaghari,Rainbow
Bahrain,Bahrain
Baja California,Baja California
Baka,Cattle
Bakaw (ibon),Heron
Bakla,Gay
Bakterya,Bacteria
Baku,Baku
Balaklaot,Monsoon
Balat (anatomiya),Skin
Balatong,Soybean
Baleares,Balearic Islands
Balimbing,Carambola
Balyena,Whale
Bamako,Bamako
Bangko,Bank
Bangkok,Bangkok
Bangkong Pandaigdig,World Bank
Bangladesh,Bangladesh
Bangui,Bangui
Banjul,Banjul
Barbados,Barbados
Basketbol,Basketball
Basseterre,Basseterre
Batad,Sorghum
Batas,Law
Batasan,Parliament
Bato ng pilosopo,Philosopher's stone
"Baton Rouge, Louisiana",Baton Rouge
Batong-hiyas,Gemstone
Bayag,Scrotum
Beijing,Beijing
Beirut,Beirut
Belarus,Belarus
Belfast,Belfast
Belhika,Belgium
Belisarius,Belisarius
Belize,Belize
Belén,Bethlehem
Benin,Benin
Benus (planeta),Venus
Bermuda,Bermuda
Bern,Berne
Bernhard Riemann,Bernhard Riemann
Bertrand Russell,Bertrand Russell
Beysbol,Baseball
Bhutan,Bhutan
Bibliya,Bible
Bill Clinton,Bill Clinton
Bill Gates,Bill Gates
Bilog,Circle
Binyag,Baptism
Bishkek,Bishkek
Bissau,Bissau
Bituin,Star
Bituka,Intestine
Biyernes,Friday
Biyokimika,Biochemistry
Biyolohiya,Biology
Black hole,Black hole
Bob Marley,Bob Marley
Bohemya,Bohemia
Bolivia,Bolivia
Borneo,Borneo
Bosnia at Herzegovina,Bosnia and Herzegovina
Botanika,Botany
Botswana,Botswana
Bra,Brassiere
Bratislava,Bratislava
Brazil,Brazil
Brazzaville,Brazzaville
Bridgetown,Bridgetown
Brunei,Brunei
Bubong,Roof
Bucharest,Bucharest
Buckminster Fuller,Buckminster Fuller
Budapest,Budapest
Budismo,Buddhism
Buhay,Life
Buhok,Hair
Bujumbura,Bujumbura
Bulba,Vulva
Bulgaria,Bulgaria
Bulkan,Volcano
Bundok Everest,Mount Everest
Bundok Pinatubo,Mount Pinatubo
Bungang-kahoy,Fruit
Burkina Faso,Burkina Faso
Buto (anatomiya),Bone
Buto (ng halaman),Seed
Buwan (astronomiya),Moon
Buwan (panahon),Month
Buwaya,Crocodile
C,C
CD,Compact Disc
Caesar Augustus,Augustus
Cairo,Cairo
California,California
Caligula,Caligula
Calvin Coolidge,Calvin Coolidge
Cambodia,Cambodia
Cameroon,Cameroon
Campania,Campania
Canada,Canada
Cape Town,Cape Town
Cape Verde,Cape Verde
Carl Linnaeus,Carolus Linnaeus
Castries,Castries
Cataluña,Catalonia
Agham,Science
Agham pangkompyuter,Computer science
Agham pangkompyuter,Computing
Agrikultura,Agriculture
Alemanya,Germany
Anime,Anime
Anti-Semitismo,Antisemitism
Antigua at Barbuda,Antigua and Barbuda
Antropolohiya,Anthropology
Aprika,Africa
Arkitektura,Architecture
Astronomiya,Astronomy
Asya,Asia
Austria,Austria
Basketbol,Basketball
Batas internasyonal,International law
Benin,Benin
Beysbol,Baseball
Biyolohiya,Biology
Boksing,Boxing
Bosnia at Herzegovina,Bosnia and Herzegovina
Brazil,Brazil
Cuba,Cuba
Czechia,Czech Republic
Ecuador,Ecuador
El Salvador,El Salvador
Eskultura,Sculpture
Espanya,Spain
Estadistika,Statistics
Estados Unidos,United States
Etika,Ethics
Europa,Europe
Finland,Finland
Gresya,Greece
Hapon,Japan
Heograpiya,Geography
Heolohiya,Geology
Hessen,Hesse
Hudaismo,Judaism
Ikalawang Digmaang Pandaigdig,World War II
Indonesia,Indonesia
Indya,India
Internet,Internet
Irak,Iraq
Iran,Iran
Islam,Islam
Israel,Israel
Italya,Italy
Komunikasyon,Communication
Komunismo,Communism
Kultura,Culture
Linggwistika,Linguistics
Lithuania,Lithuania
Lohika,Logic
Lungsod ng Roma,Rome
Matematika,Mathematics
Mehiko,Mexico
Mga Irish,Irish people
Mga Kastila,Spanish people
Mga Nagkakaisang Bansa,United Nations
Mga seudoagham,Pseudoscience
Militar,Military
Monarkiya,Monarchy
Montenegro,Montenegro
