Other,English
'n,a
'n,a few
'n,a little
'n,an
'n,an hour's walk
'n,any
'n,rather
'n,recently
'n,some
...,... ago
...,... to
...,feel ...
...,from ... to
...,of ... to
a,ah
a,alas
a,at par
a,certainly
a,not at all
a,oh
a,ow
a,regrettably
a,unfortunately
aag,ah
aag,oh
aag,ow
aag,woe
aai,ah
aai,flatter
aai,oh
aai,ow
aak,barge
aak,rhine barge
aaklig,bleak
aaklig,dismal
aaklig,dreary
aaklig,ghastly
aaklig,grisly
aaklig,horrible
aaklig,nasty
aakligheid,abhorrence
aakligheid,abomination
aakligheid,bad job
aakligheid,horror
aal,eel
aalagtig,eel‐like
aalbessie,currant
aalbessie,red currant
aalbessiebos,currant
aalbessiebos,currant bush
aalbessiesap,currant juice
aalbessievla,currant custard
aalfuik,eel‐pot
aalfuik,eel‐trap
aalmoes,alms
aalmoes,charity
aalmoesenier,army chaplain
aalmoesenier,chaplain
aalmoesenier,padre
aalmoeseniershuis,almonry
aalmoeseniershuis,almshouse
aalmoeseniershuis,workhouse
aalmoesenierskap,almonership
aalmoeskassie,alms‐box
aalpastei,eel‐pie
aalsvel,eelskin
aaltjie,nematode
aalverkoper,eelmonger
aalvissery,eel‐fishing
aalvormig,anguilliform
aalvormig,eel‐shaped
aalwee,aloe
aalweeagtig,aloetic
aalwurm,nematode
aalwyn,aloe
aalwynagtig,aloetic
aalwynbitter,aloin
aalwynhout,eaglewood
aalwynsap,aloe juice
aalwyntapper,aloe juice collector
aalwyntapper,pauper
aalwyntapper,poor devil
aalwyntapper,poor man
aam,aum
aambeeld,anvil
aambeeld,incus
aambeeldbeentjie,anvil
aambeeldbeentjie,incus
aambeeldbeitel,hardy
aambeeldvoël,small woodpecker
aambei,haemorrhoid
aambei,hemorrhoid
aambei,pile
aambeie,haemorhoids
aambeipoeier,pile powder
aamborstig,asthmatic
aamborstig,wheezy
aamborstigheid,asthma
aamborstigheid,dyspnea
aamborstigheid,dyspnoea
aamborstigheid,shortness of breath
aamborstigheid,wheeziness
aan,at
aan,beside
aan,by
aan,kindle
aan,light
aan,me
aan,near
aan,near to
aan,nearby
aan,next to
aan,on
aan,on the other hand
aan,to
aan,to me
aan,toward
aan,towards
aan,upon
aan,whom
aan,with
aanbehoort,belong to
aanbel,give a ring
aanbel,ring
aanbel,ring the bell
aanbesteding,tender
aanbestee,invite tenders for
aanbestee,put out to tender
aanbetref,concern
aanbetref,relate
aanbetrou,confide
aanbetrou,entrust
aanbetrou,have confidence in
aanbetrou,trust
aanbeveel,commend
aanbeveel,recommend
aanbeveelbaar,recommendable
aanbevelenswaardig,recommendable
aanbeveling,recommendation
aanbid,adore
aanbid,worship
aanbidbaar,adorable
aanbiddelik,adorable
aanbidding,adoration
aanbidding,worship
aanbied,bid
aanbied,make an offer of
aanbied,offer
aanbieding,offer
aanbieding,presentation
aanbieding,tender
aanblaas,blow
aanblaas,fan
aanblik,appearance
aanblik,aspect
aanblik,look
aanblik,sight
aanblik,view
aanbly,remain
aanbly,stay
aanbly,stay over
aanbod,offer
aanboor,bore
aanboor,broach
aanboor,sink
aanboor,strike
aanboor,tap
aanbou,add
aanbou,building
aanbrand,stick to the pan
aanbrandsteker,lighter
aanbreek,begin
aanbreek,break into
aanbreek,broach
aanbreek,commence
aanbreek,cut into
aanbreek,start
aanbring,accuse
aanbring,bring
aanbring,denounce
aanbring,fetch
aand,evening
aandag,acuity
aandag,advance
aandag,advertence
aandag,advertency
aandag,attention
aandag,draw attention
aandag,pay attention to
aandag,put forward
aandag,take account of
aandag,take into account
aandagtig,attentive
aandagtig,attentively
aandagtiglik,attentively
aandblad,evening paper
aandeel,part
aandeel,parthian
aandeel,registered share
aandeel,share
aandeelhebber,shareholder
aandeelhouer,shareholder
aandelekapitaal,share‐capital
aandenking,keepsake
aandenking,memento
aandenking,souvenir
aandete,evening meal
aandete,supper
aandgebed,night prayers
aandgrou,dusk
aandien,advertise
aandien,announce
aandien,give notice
aandiening,ad
aandiening,advertisement
aandjapon,evening frock
aandjapon,evening gown
aandklok,curfew
aandkoerant,evening paper
aandkostuum,evening dress
aandland,occident
aandoen,activate
aandoen,affect
aandoen,call at
aandoen,cause
aandoen,give rise to
aandoening,affection
aandoening,emotion
aandoenlik,affecting
aandoenlik,moving
aandoenlik,touching
aandra,bring
aandra,fetch
aandraag,bring
aandraag,fetch
aandraai,fasten
aandraai,tighten
aandraai,turn
aandraai,turn on
aandrang,congestion
aandrang,insistence
aandrang,pressure
aandrang,rush
aandrang,urgency
aandrif,access
aandrif,impetus
aandrif,impulse
aandring,insist
aandruk,press
aandruk,press firmly
aandryf,actuate
aandryf,be washed ashore
aandryf,chase
aandryf,drive
aandryf,drive on
aandryf,impel
aandryf,shoo
aandryfas,drive shaft
aandryfas,driving axle
aandrywe,actuate
aandrywe,be washed ashore
aandrywe,chase
aandrywe,drive
aandrywe,drive on
aandrywe,impel
aandrywe,shoo
aandrywing,drive
aandskemering,dusk
aandskool,evening classes
aandskool,evening‐school
aandskool,night‐school
aandster,evening star
aandster,venus
aandui,indicate
aandui,point out
aandui,show
aandui,suggest
aanduiding,indication
aandurf,dare
aandurf,dare to fight
aandurf,stand up to
aandurf,venture
aaneen,at a strech
aaneen,consecutively
aaneen,for ... together
aaneen,on end
aaneen,together
aaneenbind,connect
aaneenbind,join
aaneenskakeling,order
aaneenvoeg,join
aaneenvoeg,unite
aaneen‐,co‐
aaneen‐,fellow
aanerd,earth
aanerd,earth up
aanerd,hill
aanerd,hill up
aanfluiting,mockery
aangee,accuse
aangee,denounce
aangee,give
aangee,pass
aangee,spend
aangenaam,agreeable
aangenaam,enjoyable
aangenaam,lovely
aangenaam,nice
aangenaam,pleasant
aangenome,accepted
aangenome,adopted
aangesien,as
aangesien,because
aangesien,for
aangesien,for the reason that
aangesien,since
aangeskote,tipsy
aangeskote,winged
aangeskote,wounded
aangetroud,by marriage
aangetroud,related by marriage
aangetroud,‐in‐law
aangetroude,brother‐in‐law
aangewing,accusation
aangifte,declaration
aangifte,proclamation
aangifte,statement
aangrensend,adjacent
aangrensend,adjoining
aangry,affect
aangry,agitate
aangry,move
aangry,stir
aanhaal,cite
aanhaal,quote
aanhaling,citation
aanhaling,quotation
aanhalingstekens,quotation marks
aanhalingstekens,quotes
aanhang,adherents
aanhang,disciples
aanhang,following
aanhang,party
aanhang,supporters
aanhanklik,affectionate
aanhanklik,devoted
aanhanklik,selfless
aanhanklikheid,adherence
aanhanklikheid,affection
aanhanklikheid,attachment
aanhef,intone
aanhef,raise
aanhou,breed
aanhou,keep
aanhou,raise
aanhou,rear
aanhoudelik,abiding
aanhoudelik,lasting
aanhoudend,abiding
aanhoudend,constant
aanhoudend,continual
aanhoudend,lasting
aanhoudend,permanent
aanhoudend,sustained
aanhouding,apprehension
aanhouding,arrest
aanhouding,detention
aanhê,wear
aankla,accuse
aanklaag,accuse
aanklae,accuse
aanklaer,accuser
aanklag,accusal
aanklag,accusation
aankoms,arrival
aankondig,advertise
aankondig,announce
aankondig,give notice
aankondiger,advertiser
aankondiging,ad
aankondiging,advertisement
aankoop,acquisition
aankoop,purchase
aankweek,cultivate
aankweek,grow
aankyker,spectator
aanland,end up
aanleghawe,port of call
aanlegplek,landing‐stage
aanlegplek,pier
aanleiding,inducement
aanleiding,motive
aanleiding,occasion
aanlok,attract
aanlok,draw
aanloklik,attractive
aanloklikheid,attraction
aanloklikheid,attractiveness
aanloklikheid,charm
aanloksel,attraction
aanlonk,make eyes at
aanlonk,ogle
aanlonk,stare at
aanloop,run
aanloophawe,port of call
aanlê,land
aanlêhawe,port of call
aanlêplaas,landing‐stage
aanlêplaas,pier
aanlêplek,landing‐stage
aanlêplek,pier
aanmaak,fabricate
aanmaak,making
aanmaak,manifacture
aanmaak,manufacture
aanmaan,admonish
aanmaan,scold
aanmaning,admonition
aanmaning,exhortation
aanmaningsbrief,dunning‐letter
aanmerklik,considerable
aanmerklik,sizable
aanminlik,charming
aanminlik,lovely
aanmoedig,encourage
aanmoediging,encouragement
aanneem,accept
aanneem,receive
aanneem,take
aanneem,take in
aanneembaar,acceptable
aanneemlik,acceptable
aanneemlik,plausible
aannemer,builder
aannemer,building contractor
aannemer,contractor
aannemer,master builder
aanpak,attempt
aanpak,test
aanpak,try
aanpas,try on
aanpasbaar,adaptable
aanplak,placard
aanplak,post
aanplak,post up
aanplakbiljet,notice
aanplakbiljet,placard
aanplakbiljet,poster
aanplakbord,bill‐board
aanplakbord,notice‐board
aanprys,commend
aanprys,recommend
aanprysing,recommendation
aanraai,advise
aanraai,counsel
aanraak,touch
aanrading,advice
aanrading,counsel
aanraking,touch
aanrand,assault
aanrand,violate
aanrander,assailant
aanrander,assaulter
aanranding,assault
aanreg,dresser
aanroep,appeal to
aanroep,invoke
aans,maybe
aans,mayhap
aans,perchance
aans,perhaps
aans,possibly
aansien,appearance
aansien,aspect
aansien,esteem
aansien,look
aansien,regard
aansien,respect
aansien,sight
aansien,view
aansienlik,considerably
aansies,maybe
aansies,mayhap
aansies,perchance
aansies,perhaps
aansies,possibly
aansig,appearance
aansig,aspect
aansig,look
aansig,sight
aansig,view
aansit,draw up to the table
aansit,put on
aansit,sit down to table
aanskakel,put on
aanskakel,start
aanskakel,switch
aanskakel,switch on
aanskakel,turn on
aanskerp,sharpen
aanslag,assault
aanslag,assessment
aansluit,associate
aansluit,come together
aansluit,join
aansluit,pool
aansluiting,connection
aansluiting,joining
aansluiting,junction
aansoek,ambition
aansoek,aspiration
aansoek,aspire
aansoek,aspire to
aansoek,hope for
aansoek,run for election
aanspreeklik,accountable
aanspreeklik,responsible
aanstaande,close
aanstaande,near
aanstaande,nearby
aanstaande,next
aansteker,lighter
aanstel,appoint
aanstelling,appointment
aanstelling,appointment to office
aansterf,inherit
aanstoot,commotion
aanstoot,jog
aanstoot,nudge
aanstoot,offence
