Other,English
1. verdenskrig,world war 1
2. verdenskrig,world war 2
afbryde,abort
affald,garbage
affald,trash
affaldspose,garbage bag
afkode,decrypt
aftjene,serve
allieret,ally
amerika,america
anbefaling,recommendation
angreb,attack
annullere,abort
anset for at være,regarded as
anstifte,instigate
appelsin,orange
april,april
arrangere,arrange
arve,inherit
arving,heir
atlas,atlas
august,august
autentisk,authentic
bagdad,baghdad
bakke,tray
bank,bank
basra,basra
begyndelse,beginning
belastning,burden
belejring,siege
belgien,belgium
beryllium,beryllium
beskrive,describe
betingelse,condition
bibel,bible
bibliotek,library
bil,car
bilbombe,car bomb
bilejer,car owner
billede,image
billede,picture
biografi,biography
blodbad,bloodshed
blyant,pencil
bløde,bleed
bog,book
bogbus,bookmobile
boghandel,bookshop
boghandel,bookstore
boghandler,bookseller
bogholder,bookkeeper
bogorm,bookworm
bogsamling,book collection
bogskab,bookcase
bogstav,letter
bokser,boxer
book club,book club
bord,table
bordskåner,trivet
brev,letter
brint,hydrogen
britisk,british
britisk østafrika,british east africa
"britisk østafrika
svarede geografisk nogenlunde til det nuværende kenya",east africa protectorate
brombær,blackberry
bronze,bronze
bronzealder,bronze age
brutalitet,brutality
brødrister,toaster
bulgarien,bulgaria
by,city
båd,boat
både,both
centralmagterne,central powers
citrongræs,lemongrass
dag,day
dagbog,diary
danmark,denmark
dansk,danish
data,data
december,december
definere,defining
dekryptere,decrypt
dele,divide
designe,design
direktiv,directive
diverse,various
dreng,boy
drøm,dream
dø,die
død,death
dødeligt,mortally
efter,after
"eftervirkning
in the aftermath of war - i krigens kølvand",aftermath
egypten,egypt
ekspedition,expedition
emhætte,extractor hood
emhætte,kitchen hood
en,one
engelsk,english
erobre,capture
evakuering,evacuation
eventyr,fairy tale
familie,family
fangevogter,jailer
februar,february
feltmarkal,field marshal
fem,five
figur,figure
fire,four
fjende,enemy
fjerne,remove
flaske,bottle
fleksibilitet,flexibility
flertal,majority
fodtrin,footstep
forbydelse,crime
fordel,benefit
forestille,imagine
forfatter,writer
forlade,abandon
fornyelse,renewal
forord,preface
forsonlig,conciliatory
forsøg,attempt
fra,from
frankrig,france
fransk,french
fred,peace
frihed,freedom
frivillig,volunteer
frontlinje,frontline
frugtesløs,fruitless
frygt,fear
fryser,freezer
fætter,cousin
følge,follow
før,prior
general,general
give afkald på,renounce
glødende,fervent
golanhøjderne,golan heights
golfkrigen,gulf war
gruppe,group
gryde,pot
grydelap,potholder
grækenland,greece
grønland,greenland
gulv,floor
had,hate
hav,sea
havn,harbour
havregryn,oatmeal
havsalt,sea salt
hegn,fence
helium,helium
helt,hero
hen imod,toward
herskerringen,one ring
hindbær,raspberry
historie,history
hovedkvarter,headquarter
huguenot,huguenot
hus,house
hvor,where
hydrogen,hydrogen
hyldeblomst,elderflower
håndgranat,grenade
håndvask,sink
hændelse,event
hær,army
i,in
ice,is
ide,idea
ild,fire
imod,toward
imperium,empire
israel,israel
januar,january
japan,japan
jordbær,strawberry
juli,july
juni,june
jylland,jutland
kaffe,coffee
kaffemaskine,coffee maker
kamp,battle
kamp,combath
kampagne,campaign
kapitel,chapter
kartoffel,potato
katastrofe,disaster
katolske kirke,catholic church
kirurg,surgeon
knap,barely
kniv,knife
kogebog,cookbook
kogeplade,hob
komfur,stove
konference,conference
konflikt,conflict
konfrontation,confrontation
korea,korea
krav,claim
krig,war
krigsførelse,warfare
krimi,crime
krydderi,spice
kuwait,kuwait
kyst,coast
kætterisk,heretic
københavn,copenhagen
køkken,kitchen
køkkenrulle,paper towel
køkkenskab,kitchen cupboard
køleskab,refrigerator
lakrids,licorice
lampe,lamp
leder,leader
left,left
leksikon,lexicon
libyen,libya
lige,just
linje,line
lithium,lithium
loyalitet,loyalty
lærebog,textbook
læse,read
læsebog,textbook
magt,power
magtfuld,powerful
maj,may
malmø,malmö
mandlig,male
marts,march
massakre,massacre
med,with
medlem,member
mel,flour
mesopotamien,mesopotamia
militær,military
milliard,billion
million,million
mobiltelefon,mobile phone
modangreb,counterattack
modstå,withstand
modsætte sig,oppose
moral,morale
morgenmad,breakfast
måned,month
mærkere,mark
ni,nine
nordrhodesia,northern rhodesia
norge,norway
normandiet,normandy
norsk,norwegian
november,november
nullermand,dust bunny
nyasaland,nyasaland
offensiv,offensive
