Other,English
ab,abbot
abhainn,river
acadamh,academy
acadúil,academic
ach,apart from
ach,but
ach,except
ach,other than
achainigh,ask
achainigh,ask for
achainigh,beg
achainigh,bid
achainigh,request
acra,acre
adamh,atom
adhair,adore
adhair,worship
adhmad,timber
adhmad,wood
adhmait,magnet
ae,liver
aer,air
aer,heaven
aer,sky
aerfort,airport
aeráid,climate
aerárthach,aircraft
aghaidh,face
agus,and
aibidh,mature
aibidh,ripe
aibítir,alphabet
aidiúnach,adjutant
aidiúnach,aide-de-camp
aigneolaíocht,psychology
aigéad,acid
aigéadach,acetous
aigéadach,acid
aigéadach,sour
aigéadach,tart
aigéan,ocean
aigéan alantach,atlantic
aigéan alantach,atlantic ocean
aigéan ciúin,pacific
aigéan ciúin,pacific ocean
ailgéabar,algebra
ailibí,alibi
ailigéadar,alligator
aimiréal,admiral
aimpéar,ampère
aimsir,weather
aindiachaí,atheist
aindéis,andes
aingeal,angel
ainm,appellation
ainm,name
ainm,noun
ainm,substantive
ainm cleite,pseudonym
ainmfhocal,noun
ainmfhocal,substantive
ainmhí,animal
aintín,aunt
aipiníní,apennines
airde,height
airgead,money
airgead,silver
airgead beo,mercury
airgead beo,quicksilver
aistear farraige,journey
aistear farraige,trip
aistear farraige,voyage
aisteoir,actor
albain,scotland
albatras,albatross
albáinis,albanian
albáinis,albanian language
alcól,alcohol
alpa,alps
altóir,altar
aláram,alarm
aló,aloe
alúmanam,aluminium
alúmanam,aluminum
am,time
am,while
amanathar,the day after tomorrow
amasóin,amazon
ambasadóir,ambassador
amhras,doubt
amhrán,song
amsterdam,amsterdam
amáireach,tomorrow
an,the
an aetóip,abyssinia
an aetóip,ethiopia
an afganastáin,afghanistan
an afraic,africa
an afraic theas,south africa
an ailgéir,algeria
an airgintín,argentina
an aithin,athens
an albáin,albania
an aoine,friday
an araib shádach,saudi arabia
an astráil,australia
an bhanglaidéis,bangladesh
an bhealtaine,may
an bheilg,belgium
an bheithil,bethlehem
an bhiosáint,byzantium
an bhrasaíl,brazil
an bhreatain,britain
an bhreatain,great britain
an bhreatain bheag,wales
an bhreatain mhór,britain
an bhreatain mhór,great britain
an bhriotáin,bretagne
an bhriotáin,brittany
an bhruiséil,brussels
an bhulgáir,bulgaria
an chipir,cyprus
an chorsaic,corsica
an chréit,crete
an chéadaoin,wednesday
an chéinia,kenya
an chóiré,korea
an danmhairg,denmark
an domhnach,sunday
an déardaoin,thursday
an eilbhéis,switzerland
an fhionlainn,finland
an fhrainc,france
an gabhar,capricorn
an ghearmáin,germany
an ghraonlainn,greenland
an ghréig,greece
an háig,the hague
an iaráic,iraq
an iaráin,iran
an iaráin,persia
an india,india
an indinéis,indonesia
an iodáil,italy
an iordáin,jordan
an iorua,norway
an libia,libya
an luan,monday
an meitheamh,june
an mhonghóil,mongolia
an mháirt,tuesday
an márta,march
an nigéir,nigeria
an nua-shéalainn,new zealand
an nígir,niger
an níl,nile
an ollainn,holland
an ostair,austria
an phacastáin,pakistan
an phalaistín,palestine
an pholainn,poland
an róimh,rome
an rómáin,romania
an rúis,russia
an satharn,saturday
an spáinn,spain
an taibreán,april
an tansáin,tanzania
an tasmáin,tasmania
an tibéid,tibet
an tsaimbia,zambia
an tsairdín,sardinia
an tseapáin,japan
an tsibéir,siberia
an tsicil,sicily
an tsile,chile
an tsiombáib,zimbabwe
an tsiria,syria
an tsualainn,sweden
an tsáír,zaïre
an tsín,china
an tsúdáin,sudan
an tuirc,turkey
an túinéis,tunisia
an ungáir,hungary
an áise,asia
an éigipt,egypt
an íoslainn,iceland
an ísiltír,holland
an ísiltír,the netherlands
ana-,quite
ana-,very
ana-,very much
anas,anus
anas,arse
ancaire,anchor
anois,at present
anois,now
aois,age
aon,one
aon déag,eleven
ar,on
ar,upon
ar chaoi éigin,anyway
ar chaoi éigin,somehow
ar chuma éigin,anyway
ar chuma éigin,somehow
ar dhoigh éigin,anyway
ar dhoigh éigin,somehow
ar fad,always
ar fad,ever
ar feadh,during
ar feadh,for
ar feadh,whereas
ar feadh,while
ar feadh,whilst
ar fud,among
ar fud,between
ar gcúl,backward
ar gcúl,backwards
araid,box
araid,chest
ard,high
ard,lofty
ard,tall
ardeaglais,cathedral
arm,army
arán,bread
arán,loaf
arís,afresh
arís,again
arís,once more
as,from
as,out of
asal,ass
asal,donkey
asfalt,asphalt
athair críonna,grandfather
athair mór,grandfather
athartha,fatherland
athraigh,alter
athraigh,change
athraigh,turn
athuair,afresh
athuair,again
athuair,once more
babaí,baby
bagáiste,baggage
bagáiste,luggage
bagún,bacon
baile beag,village
baile mór,city
baile mór,town
baile átha cliath,dublin
bailé,ballet
bainne,milk
baintreach,widow
balcáin,balkans
ball de chumann na gcarad,quaker
bambú,bamboo
ban-ab,abbess
ban-aisteoir,actress
banaltra,nurse
banana,banana
banc,bank
banlaoch,heroine
banríon,queen
baol,danger
baol,peril
bascaed,basket
bascais,basque
bascais,basque language
beach,bee
beag,diminutive
beag,little
beag,small
beagnach,almost
beagnach,nearly
beagán,a little
beagán,diminutive
beagán,little
beagán,rather
beagán,small
beagán,some
beagán,somewhat
beagán,to some extent
bean,wife
bean,woman
bean rialta,nun
beannacht,adieu
beannacht,bye
beannacht,farewell
beannacht,goodbye
beathaigh,feed
beathaigh,nourish
beilt,belt
beilt,girdle
beinsín,gasolene
beinsín,gasoline
beinsín,petrol
beir,bring
beir,fetch
beirlín,berlin
beith,birch
beithíoch,animal
beo,alive
beoir,ale
beoir,beer
bhata,watt
bheith ann,exist
bholta,volt
bhálsa,waltz
bhársá,warsaw
bhín,vienna
bhítneam,vietnam
bia,food
binn,corner
binse,bench
binse breithimh,tribunal
bitheog,germ
bitheog,microbe
blas,taste
bliain,year
bláth,bloom
bláth,flower
bogha báistí,rainbow
bolg,abdomen
bolg,belly
bolg,tummy
bord,table
bosca,box
bradán,salmon
brainse,bough
brainse,branch
brat urláir,carpet
bratóg shneachta,snowflake
breac,trout
breatnais,welsh
breatnais,welsh language
breith,birth
breoite,ill
breoite,sick
breáthacht,beauty
briostó,bristol
broc,badger
bruas,lip
bruithneach,hot
bréag,lie
bríce,brick
bríste,pants
bríste,trousers
bróg,shoe
brónach,dismal
brónach,gaunt
brónach,miserable
brónach,sad
bua,triumph
buachaill,boy
buachaill,lad
buachaill,laddie
buaf,toad
buaic,zenith
buaigh,triumph
buama,bomb
buicéad,bucket
buicéad,pail
buidéal,bottle
buirgléir,burglar
burma,burma
bus,autobus
bus,bus
bus,omnibus
buí,yellow
buíon,class
bád,boat
báicéir,baker
báisteach,rain
bás,death
béal,lip
béal feirste,belfast
béar,bear
béarla,english
béarla,english language
bébhar,beaver
béile,meal
bíobla,bible
bíodh go,although
bíodh go,though
bíodh is go,although
bíodh is go,though
bíosún,bison
bíosún,buffalo
bó,cow
bóchna,ocean
bóthar,road
bóthar,route
