Other,English
"""paukščiukas""",tick
(about) tuščiai žaisti su kuo (with),fiddle
(amer. šnek.) atkaklumas,sand
(amer. šnek.) bučiavimasis ir glamonės,necking
(amer. šnek.) daugybė (of),mess
(amer. šnek.) genialus,tough
(amer. šnek.) going to,gonna
"(amer. šnek.) jankis, šiaurinių/šiaurrytinių valstijų gyventojas",yankee
(amer. šnek.) jūs visi,y'all
(amer. šnek.) kankynė,bitch
(amer. šnek.) karštas šalininkas/rėmėjas,booster
(amer. šnek.) kvatojimas,yock
(amer. šnek.) labai norėti,admire
"(amer. šnek.) liežuvautoja, liežuvininkė",yenta
"(amer. šnek.) nulis, ničniekas",zip
"(amer. šnek.) nulis, ničniekas",zippo
(amer. šnek.) pasipūtęs,snippy
(amer. šnek.) pasitikintis savimi,nervy
(amer. šnek.) pažintys,drag
(amer. šnek.) sueiti,crowd
"(amer. šnek.) sumušti, sutriuškinti",cream
(amer. šnek.) taip,yep
(amer. šnek.) įžūlus,nervy
(amer. šnek.) šaunamasis ginklas,shooting-iron
(amer.)vasarnamis,farm
"(amer., austral.) (miesto) autostrada",expressway
"(amžiumi, padėtimi ir pan.) lygių grupė",peer group
(ap)dailinimas,dressing
(ap)dailinti,dress
(ap)dirbimas,working
(ap)doroti,process
(ap)dulkinti,dust
(ap)ginti,defend
(ap)juosti,zone
(ap)kaltinimas,accusation
(ap)kaltint,charge
(ap)kaltinti (of – kuo),accuse
"(ap)klausinėti, atlikti apklausą, patikrinti",quiz
(ap)laižymas,licking
(ap)mokymas,instruction
(ap)riboti,bind
(ap)riboti,limit
(ap)rišti,bind
(ap)saugoti,defend
(ap)sukimas,winding
(ap)svarstymas,discussion
(ap)svarstyti,discuss
(ap)taškymas,splash
(ap)tašymas,dressing
(ap)vijimas,winding
(ap)vyniojimas,winding
(api)plėšimas (apie didžiulius mokesčius ir pan.),exaction
(apie bilietą) į vieną pusę,single
(apie galiojimo laiką) tęstis,run
(apie laiką) apie,nearsight
"(apie pastangas, planą ir pan.) nepasisekti",fail
(apie plaukus) susivelti į kaltūną,knot
(apie spalvas) sodrus,rich
(apie valgį) aštrus,hot
(apie vietovę) niūrus,gaunt
(apie vietą) netoli,about
(apie žmogų) išsisėmęs,washed-out
(apie žmogų) kažkas,some one
(apie žmogų) kažkas,somebody
(apie žmogų) kažkas,someone
(apsi)gyventi (at),stay
(apsi)keitimas,swap
(arklių) dresavimas,dressage
(at random) iš akies,random
(at)aušti,cool
(at)kreipti dėmesį,address
(at)kreipti dėmesį,notice
"(at)matuoti, nustatyti ribas",admeasure
(at)naujinti,update
(at)skiesti,dash
(at)spėti,guess
(at)vaizduoti,paint
(at)vėsti,cool
"(at)šipinti, (at)bukinti, (ap)tašyti (akmenį)",abate
(ati)duoti,give
(ati)tekti (kam nors),come
(ati)tinkamas,fit
"(ati)trūkimas, atplėšimas",abruption
"(atkakliai) reikalauti (paklusnumo, nuolaidų ir pan.)",exact
"(atraminis) guolis, padėklas (t.p. pillow block)",pillow
(augalo) lapelis,blade
"(aukšto dvasiškio, monarcho) oficiali rezidencija",palace
(ausies) būgnelis,drum
"(autobuso, sunkvežimio ir pan.) vairuotojo kabina",cab
(automobilių ir pan. ) vora,queue
(avalynės) vidpadis,sock
(balso) (pri)slopinimas,depression
"(baltinių, palaidinukės) apykaklė",neckband
(bangų) daužymasis,dash
(banko) kasininkas,teller
(baro) bufetas,counter
(bausmės) sušvelninimas,relaxation
(bažn.) advento pasninkas,advent
(bažn.) kryžius,cross
(bažn.) laikyti pamaldas,celebrate
(bažn.) nukryžiuotasis,cross
(bažn.) suteikti (sakramentą),administer
(bažn.) tikėjimas,faith
(be artikelio) žmonija,man
(bendra) valgykla,messhall
(bet koks pailgas) gabalas,bar
(bilietų) kontrolierius,collector
"(bičių) motinėlė, (skruzdėlių) patelė",queen
"(bot., kul.) vanilė",vanilla
"(botago, meškerės ir pan.) kotas",stock
(butelio) kaklelis,mouth
(bylos) nagrinėjimas,hearing
(bylos) nagrinėjimo vieta,venue
"(bylos, ginčo) esmė",merit
"(charakterio, valios) tvirtumas",backbone
"(chem., biol.) aktyvinti",activate
(dalelytė prieš bendratį),to
(dalyko) puikus mokėjimas,mastery
"(dalyko, užduoties ir pan.) apimtis",span
(dangaus) šviesulys,star
(darbo) perpratimas,acquisition
"(darbo, laiko ir pan.) įdėjimas",investment
(darymo) būdas,trick
(dažų) tirpiklis,medium
"(didelis) gurkšnis, gurkštelėjimas",gulp
(dienos) pabaiga,decline
(dirbtinai) pagreitinti (augimą ir pan.),force
(dokumento) priedas,rider
"(draugijos, grupės) narys",fellow
"(dujų, skysčių) nuotėkis",escape
"(dulkių, vandens ir pan.) susikaupimas",collection
(durų) skląstis,bar
(dvasinė) tuštuma,blank
(dvasios) pakilimas,animation
(dygliakiaulės) dyglys,quill
(džn. amer.) transporto bendrovė (t.p. express company),express
"(džn. niek.) jankis, amerikietis",yankee
(džn. sport.) metimas,shot
"(džn.) kvalifikacija, teigiamos savybės",accomplishment
(džn.) silkė,bloater
(džn.) smiltys (t.p. fine sand),sand
(egzamino) išlaikymas,pass
"(fabriko, įstaigos) uždarymas",shut-down
(finansinis) krachas,collapse
(finišo) tiesė,straight
(for the) dėl ko nors,sake
"(galimybių, resursų) atskleidimas",show-down
(garo) išleidimas,escape
(gatvės) perėja (t.p. zebra crossing),zebra
(geležies) luitas,pig
(geltona) karantino vėliava,yellow-flag
(gerai) apmokamas,gainful
(geriamoji) taurė,beaker
(gili) iškirptė,neckline
(glžk.) iešmas,switch
(glžk.) tiesus (kelio) ruožas,tangent
(grakščiai) nusilenkti,sweep
(gydytojo) kabinetas,surgery
"(gyvenimo) paskirtis, pašaukimas",mission
(gyvulio) vilna,coat
(gėdos) dėmė,scar
"(ilgai trunkantis) skausmas, gėla",ache
(inkaro) kryžmė,spider
(iš sielvarto) nykti,pine
(iš)auginti,grow
(iš)balti,pale
(iš)bandyti,prove
(iš)bandyti,tempt
(iš)braižyti/siuvinėti langeliais/kvadratėliais,dice
(iš)brinkti,bloat
(iš)doroti (vidurius),gut
(iš)dėstyti/(iš)reikšti žodžiais,phrase
"(iš)eikvojimas (kuro, energijos ir pan.)",consumption
(iš)gauti,draw
(iš)gerti iki dugno,drain
(iš)griozti,rifle
(iš)gydyti,heal
(iš)gąsdinti,scare
(iš)imti (t.p. draw out),draw
(iš)keisti,change
(iš)keitimas,change
(iš)kelti (bylą),bring
(iš)kelti (klausimą komisijoje/parlamente),bring
(iš)kelti (klausimą),put
(iš)kilimas,rise
(iš)kvepinti,scent
(iš)laikyti,keep
(iš)laikyti,sustain
(iš)leidimas,issue
(iš)leidimas,publication
(iš)leisti,spend
