Other,English
"-s
til",-'s
"abel
ibel",able
an,ane
en,ene
etisk,etic
fri,free
isk,ic
id,ide
oid,ide
ing,ing
ende,ing
ist,ist
ere,ize
leptisk,leptic
løs,less
logi,logy
mani,mania
"het
skap",ness
øs,ous
sjon,tion
yn,yne
0.,0th
10.,10th
11.,11th
12.,12th
13.,13th
14.,14th
femten minutters berømmelse,15 minutes of fame
15.,15th
16.,16th
17.,17th
18.,18th
19.,19th
1.,1st
20.,20th
22.,22nd
23.,23rd
24.,24th
25.,25th
26.,26th
27.,27th
28.,28th
29.,29th
2.,2nd
30.,30th
31.,31st
32.,32nd
33.,33rd
34.,34th
35.,35th
36.,36th
37.,37th
38.,38th
39.,39th
3.,3rd
40.,40th
41.,41st
42.,42nd
43.,43rd
44.,44th
4.,4th
5.,5th
6.,6th
7.,7th
8.,8th
9.,9th
a,a
aids,aids
minibank,atm
atv,atv
aachen,aachen
aron,aaron
abdullah,abdullah
abel,abel
abidjan,abidjan
abkhasisk,abkhaz
abkhasia,abkhazia
aborigin,aborigine
abraham,abraham
abruka,abruka
abu dhabi,abu dhabi
abessinia,abyssinia
abessinier,abyssinian
accra,accra
akropolis,acropolis
apostlenes gjerninger,acts of the apostles
adam,adam
adsjaria,adjara
adolf,adolph
adonis,adonis
adrian,adrian
advent,advent
aegidius,aegidius
"afar
afarsk",afar
afghaner,afghan
afghanistan,afghanistan
afrika,africa
afrikansk,african
afrikaner,african
afrikansk elefant,african elephant
afrikanist,africanist
"afrikaans
afrikaans",afrikaans
ågot,agatha
agnes,agnes
agni,agni
xerxes,ahasuerus
ainu-språk,ainu
"akan
akansk",akan
akan,akan
akhnaton,akhenaten
akkadisk,akkadian
al-jazeera,al jazeera
al-andalus,al-andalus
åland,aland
alban,alban
albania,albania
albert,albert
alberta,alberta
albin,albin
anonyme alkoholikere,alcoholics anonymous
aldebaran,aldebaran
alette,aletta
"aleksander
alexander",alexander
alexandra,alexandra
alexandria,alexandria
alfred,alfred
algerie,algeria
algerier,algerian
alice,alice
allah,allah
alma,alma
alfa centauri,alpha centauri
alpene,alps
altair,altair
amanda,amanda
amalie,amelia
amerikansk,american
amerikansk-engelsk,american english
amerikansk samoa,american samoa
amerikansk bison,american bison
amerikarørdrum,american bittern
amharisk,amharic
amos,amos
amsterdam,amsterdam
amur,amur
andalucía,andalusia
andersen,anderson
andorra,andorra
"anders
andreas",andrew
"andreas
anders",andrew
andromeda,andromeda
angkor vat,angkor wat
anglikanisme,anglicanism
angelsk,anglish
angelsaksisk,anglo-saxon
angola,angola
ankara,ankara
anna,ann
anna,anna
antarktis,antarctic
antarktishalvøya,antarctic peninsula
"antarktis
antarktika",antarctica
antares,antares
anton,anthony
antikrist,antichrist
antigua og barbuda,antigua and barbuda
antonie,antonia
antwerpen,antwerp
åpenbaring,apocalypse
april,april
vannmann,aquarius
vannmannen,aquarius
"altaret
alteret",ara
arabisk,arab
arabisk,arabic
arabisk,arabic
aragón,aragon
arbëreshëalbansk,arbëresh
archimedes' skrue,archimedes' screw
nordishavet,arctic ocean
istorsk,arctic cod
tyvjo,arctic skua
ares,ares
argentina,argentina
ariadne,ariadne
arianer,arian
vær,aries
væren,aries
aristotelisk,aristotelian
aristoteles,aristotle
armenia,armenia
armensk,armenian
armensk,armenian
arminianisme,arminianism
arne,arne
arnold,arnold
arthur,arthur
aruküla,aruküla
arvid,arvid
asklepios,asclepius
asjer,asher
asia,asia
lilleasia,asia minor
asiatisk,asian
asiat,asian
athene,athena
lunde,atlantic puffin
middelhavsmåke,audouin's gull
august,august
august,augustus
aurora,aurora
australia,australia
"østerrike
austerrike",austria
østerrike-ungarn,austria-hungary
østerriksk,austrian
avarisk,avar
"aksel
axel",axel
aymara,aymara
aserbajdsjan,azerbaijan
aserbajdsjansk,azerbaijani
"aserbajdsjaner
aserbajdsjanar",azerbaijani
azorene,azores
baba jaga,baba yaga
"baktriakamel
kamel",bactrian camel
bahamas,bahamas
bahrain,bahrain
gulbrystsnipe,baird's sandpiper
baku,baku
balearene,balearic islands
bali,bali
balkanisering,balkanization
østersjøen,baltic sea
bambara,bambara
bambusteppet,bamboo curtain
bangkok,bangkok
bangladesh,bangladesh
barbados,barbados
barbro,barbara
barcelona,barcelona
barentsøya,barents island
barentshavet,barents sea
bartolomeus,bartholomew
basenji,basenji
basjkirsk,bashkir
baskisk,basque
baskisk,basque
baskerland,basque country
batsisk,bats
slaget om storbritannia,battle of britain
bayonneskinke,bayonne ham
protektoratet bechuanaland,bechuanaland
boble,beetle
"beijing
pekin
peking",beijing
beirut,beirut
hviterussland,belarus
hviterussisk,belarusian
belgisk fårehund,belgian sheepdog
belgia,belgium
belize,belize
bendik,benedict
benedikte,benedicta
benghazi,benghazi
benin,benin
benjamin,benjamin
bergen,bergen
berlin,berlin
berliner,berliner
bermuda,bermuda
bernhard,bernard
betlehem,bethlehem
bhutan,bhutan
"bibel
bibelen",bible
bicolhalvøya,bicol peninsula
karlsvognen,big dipper
big mac,big mac
bisjkek,bishkek
bishnupriya manipuri,bishnupriya manipuri
bitola,bitola
svartemarje,black maria
svartehavet,black sea
svartfot,blackfoot
ridder blåskjegg,bluebeard
blåtann,bluetooth
blåtann,bluetooth
