Other,English
(pentru imprimare) orizontal răsturnat,seascape
(pentru tipărire) orizontal,landscape
(pentru tipărire) vertical,portrait
[software] developer = dezvoltator [software],develop
a (se) ascunde,hide
a (se) juca,play
a (se) mișca,move
a (se) rula,scroll
a abandona,abort
a aborda,access
a accepta,accept
a activa,activate
a activa,enable
a actualiza,update
a adapta,regulate
a adăuga,add
a adăuga,append
a afișa,display
a ajusta,adjust
a ajusta,tune
a alege,select
a alerga,run
a alinia la margini,justify
a analiza,parse
a anexa,attach
a anula,discard
a anula,rollback
a apela,call
a apela,dial
a aplica,apply
a aproviziona,provision
a apuca,grab
a apune,set
a apăsa,click
a aranja,trim
a arhiva,archive
a arăta,show
a atașa,dock
a avea acces la,access
a așeza în șir,tier
a ațipi,snooze
a bifurca,fork
a bloca,lock
a bobina,spool
a captura,trap
a cerceta amănuntit,scan
a chema,call
a citi cu voce tare,read out
a ciuguli,nibble
a clasifica,range
a combina,merge
a compara,compare
a confirma,confirm
a converti,translate
a copia,patern
a crea,create
a crește,increase
a cînta,play
a căuta,search
a da,render
a da afara,dismiss
a da drumul,dismiss
a demonta,unmount
a depana,debug
a depana,troubleshoot
a descărca,download
a descărca,unload
a desfășura,deploy
a desfășura,expand
a desfășura,unwrap
a dezactiva,disable
a dezinstala,uninstall
a dezpacheta,unwrap
a dezvolta,develop
a distribui,distribute
a distribui,share
a distruge,destroy
a dizolva,dismiss
a duplica,duplicate
a elibera,dismiss
a elimina,expunge
a emula,emulate
a evada,escape
a evidenția,highlight
a examina,scan
a executa,execute
a executa un program,run
a expanda,glob
a exporta,export
a exprima,render
a expune,show
a extrage,extract
a eșua,fail
a face clic,click
a focaliza,focus
a forma,form
a ghida,guide
a găsi,find
a imbunătăți,enhance
a importa,import
a include,bundle
a indica,point
a intercepta,intercept
a intersecta,intersect
a inversa,invert
a lasă să cadă,drop
a lega,bind
a lega,bound
a lega,link
a lipi,paste
a livra,render
a manevra,handle
a micșora,minimize
a micșora,shrink
a minimiza,minimize
a modela,patern
a modifica,edit
a modifica,modify
a monitoriza,watch
a monta,mount
a muta,move
a naviga,browse
a necesita,require
a născoci,spawn
a obține,get
a omorî,kill
a opri,shut down
a paragrafa,indent
a partaja,share
a permite,allow
a permite,enable
a plasa,set
a plia,collapse
a pluti,float
a potrivi,trim
a preda,render
a primi,get
a primi,receive
a produce,output
a pune,set
a pune (ceasul),reset
a pune o întrebare,query
a pune în ordine,trim
a reafișa,redisplay
a recupera,retrieve
a reda,play
a redenumi,rename
a redimensiona,resize
a refuza,deny
a regla,regulate
a regla,tune
a regulariza,regulate
a relua,resume
a remarca,notice
a repara,restore
a repeta,repeat
a reporni,restart
a repune,reset
a respinge,reject
a restabili,restore
a restaura,restore
a reuni,merge
a reveni,revert
a reîncerca,retry
a roti,rotate
a rula (pentru programe),execute
a răsfoi,browse
a salva,save
a scoate,eject
a scrie,write
a scădea,decrease
a scăpa,escape
a se uita,look
a se înclina,slant
a se înmulți,spawn
a sincroniza,sync
a sincroniza,synchronize
a sorta,sort
a stabili,reset
a stabiliza,stabilize
a strivi,override
a sublinia,outline
a sublinia,underline
a suna,call
a suprascrie,overwrite
a supraveghea,watch
a suspenda,suspend
a sări,skip
a termina,terminate
a testa,test
a tipări,print
a traduce,translate
a transpune,transpose
a tria,sort
a trimite,send
a trimite,submit
a tăia,overstrike
a umbri,shade
a umple,fill
a uni,collate
a urmări,track
a verifica,verify
a vorbi,talk
a zimțui,indent
a împacheta,pack
a împacheta,wrap
a împărți,parcel
a împărți,share
a înapoia,render
a înarma,provision
a înceta,dismiss
a închide,close
a încărca,heap
a încărca,load
a îndepărta,remove
a înfășura,wrap
a înlocui,override
a înlocui,replace
a înlănțui,concatenate
a înregistra,record
a întoarce,return
a învîrti,rotate
a înșira,range
a înștiința,notify
a șterge,delete
a șterge,remove
abandonează,abort
abstract,abstract
acasă,home
accelerator,accelerator
acceptă,accept
acompaniament,setting
activ,active
activare,activate
activare,enable
actor,actor
actualizare,refresh
actualizare,update
adimisie,input
administrare,administration
administrarea curentului electric,power management
administrator,manager
administrator de ferestre,window manager
administrator de sistem,system administrator
administrator orar,schedule manager
adormit,sleeping
adresă,address
adresă ip,ip address
aducere,input
adăugare,add
adăugare,append
afișaj,display
agendă,address book
agendă,calendar
agendă,notebook
agregat,aggregate
ajustare,adjust
ajustare,tune
ajutor,help
alarmă,alarm
aldin,bold
aleator,random
alegere,select
alegere,selection
alfa,alpha
"algoritmul ""cea mai bună potrivire""",best fit algorithm
algoritmul de alimentare la cerere,baby feeding algorithm
alias,alias
aliniere,align
aliniere la margini,justify
aliniere pe orizontală,x align
aliniere verticală,vertical alignment
alterat,corrupt
aluat,paste
amonte,upstream
amplasament,site
analiza circuitelor,flow analysis
analiză,analysis
analiză fourier,fourier analysis
analog,analog
ancoră,anchor
anexă,attachment
animație,animation
anonim,anonymous
antet,header
antet,superscript
antitreaptă,antialiasing
anulare,discard
anulare,rollback
anulează,undo
anvergură,scope
apel sistem,system call
apelator,dial
aplet,applet
apleturi,applet
aplicare,apply
aplicație,application
aplicație moștenită,legacy application
apreciere,rating
apucare rapidă,snap
apăsare,click
aranjament,layout
aranjare,setting
aranjat,trim
arbore,tree
arc,arc
argilă,paste
argument,argument
argumentele din linia de comandă,line arguments
arhivă,archive
arhivă,archive file
arhivă tar,tar archive
armătură,tier
articol,article
articol (contractual),provision
ascunzătoare,cache
asincron,asynchronous
asistent,wizard
asociere,binding
aspect,appearance
aspect,look and feel
atașare,dock
atribut,attribute
atîrnat,pending
audio,audio
autentificare,authentication
autobuz,bus
autor,author
aval,downstream
avanpremieră,preview
avertizare,warning
axă,axis
azuriu,cyan
balanța,scale
balanță,balance
baltă,pool
bandă de separare,band gap
bara de meniu,menubar
bara de stare,statusbar
bara de unelte,toolbar
bară de progres,progress bar
bară de rulare,scrollbar
bazin,pool
bază,base
bază,bottom
bază de date,database
beta,beta
bibliotecă,library
bifează,check
binar,binary
bit,bit
blanc,blank
blianț,balance
blocare,deadlock
blocare,lock
blocat,blocked
blocuri rezervate,reserved blocks
boolean,boolean
brut,raw
buclă,loop
burlan,pipe
buton,button
buton radio,radio button
butuc,stub
cadru,frame
calculator,calculator
calculator,computer
calculator portabil,laptop
calculator portabil,notebook
calculatorul dvs.,your computer
cale,path
cale completă,full pathname
calea reală,real path
calendar,calendar
canal,channel
canal alfa,alpha channel
canal de transmisie,transmission channel
canal sigur,secure channel
capacitate,capability
capcană,trap
caracter special,special character
caractere proportionale,proportional font
caractere valide,valid chars
caracterul spațiu,space character
carapace,shell
care doarme,sleeping
care se potrivește,matching
carnețel,notepad
carte (de debit,card
carte albă,white paper
cartelă (telefonică,card
casetă,box
casuță poștală,postal box
categorie,categorie
cearșaf,sheet
cel-mai-semnificativ-primul,big endian
celular,cellular
celulă,cell
centrat,center
centru,center
certificat de negaranție,disclaimer
cheie,key
cheie privată/personală,private key
cheie publică,public key
cheltuială,dissipation
chemare (în raspuns),callback
chestiune,query
ciclu,loop
ciclu,period
cifrare,encoding
cifră,digit
ciocnire,collision
ciorchine,cluster
ciornă,draft
citare,quoting
clasificare,classification
clasificare,rating
clasă,class
clic,click
client de postă electronică,mail client
clipește,blink
coadă,queue
cod,code
cod obiect,object code
cod sursă,source code
codare,encoding
coeficient,coefficient
colaborare,collaboration
colector de memorie reziduală,garbage collector
comandă,command
comandă,order
combinare,merge
comentarii,feedback
compact disc,cd
compartimentare,partition
compatibilitate cu versiunile anterioare,backward compatibility
computer,computer
comun,shared
comutare,toggle
condiție,condition
conductă,conduit
conectare,connect
conectat,online
conectat,plugged
conexiune,connection
confidențial,confidential
configurația sistemului,system configuration
configurație,configuration
confirmare,confirmation
conform cu,compliant
constrîngere,constraint
cont,account
continuu,continue
continuă,continue
control,control
control simetric,symmetric control
controlor,controller
conversație,chat
conversie,conversion
conținut,content
copiază,copy
copie de siguranță,backup
copil,child
corector ortografic,spell checker
corelație,correlation
corp,body
corpul mesajului - mesajul propriu-zis,main body
corupt,corrupt
cost,cost
covariație,covariance
coș,pipe
credit,credits
crescător,ascending
creștere,increase
creștere,increment
cronometrare,timing
cronometru,timer
crăpătură,slot
cu majuscule nesemnificative,case insensitive
cu majuscule semnificative,case sensitive
cuantă de timp,timeslice
culoare secundară,secondary color
culori de bază,primary colors
cumulativ,cumulative
cuplat,plugged
cuprins,table of contents
curbă,curve
curent,current
cursiv,italic
cursor,cursor
cursor,slider
curățare,clear
cutie,box
cutie poștală,mailbox
cuvînt,word
cuvînt cheie,keyword
câine de pază,watch dog
cîmp,field
cădere,collapse
cădere,crash
cărămizi,bricks
căsuță,box
căutare,lookup
căutare,search
date brute,raw data
dată,data
de acces),card
de bază,basic
de credit,card
de disc,drive
de făcut,todo
de metrou,card
de vizită,card
decalaj,offset
declanșator,trigger
declarație de neasumare a responsabiltății,disclaimer
declarație de transfer,transfer statement
deconectare,disconnect
deconectat,offline
deconectat,unplugged
deconectez,disconnecting
decor,landscape
decupează,cut
decuplat,unplugged
definit de către utilizator,user defined
demon,daemon
demontare,unmount
depanare,debug
depanare,troubleshoot
depanare,troubleshooting
dependință,dependence
deplasare,offset
depozit,storage
derivat,derived
deschis,open
deschizătură,socket
descoperire,detection
descriptor,handler
descărcare,download
desfășurare,deploy
despre fonturi,overstrike
destinație,destination
destinație,target
detectat,cought
devierea standard,standard deviation
dezactivare,disable
dezinstalare,uninstall
dezumbrește,unshade
dezvoltare,develop
deștept,smart
diagonală,diagonal
diagramă,diagram
difuz,blur
dimensiune,dimension
dimensiune de hirtie de scris - omoloagă cu a4 în sistemul anglo-saxon,legal
dimensiune de hirtie de scris - omoloagă cu a5 în sistemul anglo-saxon,letter
din punct de vedere al licențelor software - un program care poate fi distribuit gratuit dar nu poate fi modificat fără acordul autorului,freeware
din punct de vedere al licențelor software - un program care poate fi distribuit gratuit și care trebuie să aibă sursele disponibile. se specifică libertatea de a modifica programul atîta timp cît se păstrează intacte informațiile despre autorii inițiali și se marchează clar modificările făcute,free software
dinamic,dynamic
dipozitie,provision
director,directory
director,folder
director rădăcină,root directory
directorul de lucru,working directory
directorul personal al unui utilizator,home directory
directorul utilizatorului,user directory
direcție,direction
disc,disk
disc,hard disk
dischetă,floppy
discret,discrete
discuție,chat
discuție,talk
disipație,dissipation
disponibil,idle
disponibilitate,availability
dispozitiv,device
dispozitiv,drive
dispozitiv de afișare cu matrice activă,active matrix display
distribuția binomială,binomial distribution
distribuția normală,normal distribution
distribuție poisson,poisson distribution
distrugere,destroy
diverse,misc
diverse,miscellaneous
doar,only
doar text,text only
doc,dock
document,document
domeniu,domain
domeniu căutării,search domain
dop,plug
dosar,folder
drept de autor,copyright
dreptunghi,rectangle
druid,druid
dvs.,your
echilibru,balance
ecou,echo
ecran,screen
ecuație,equation
efecte,effects
element,item
eliberare,release
emblemă,logo
emulare,emulate
entitate,entity
eroare,bug
eroare,error
eroare critică,critical error
eroare de sintaxă,syntax error
eroare internă,internal error
eroare la execuție,runtime error
eroare neașteptată,unexpected error
esență,entity
etaj,tier
ethernet,ethernet
etichetă,label
etichetă,tag
evadare,escape
evaluare,rating
eveniment,event
excepție,exception
executare,implementation
expandare,glob
export,export
expresie,expression
expresie obișnuită,regular expression
expunere sumară,synopsis
extensie,extension
eșantion,sample
eșantionare,sampling
eșec,fail
facilitate,feature
fasung,socket
favorit,favorite
fax,fax
fel,sort
fereastra inactivă,inactive window
fereastră,window
fereastră rădăcină,root window
fierărie,hardware
figurativ - minunăție,prodigy
filet,scroll
filială,branch
filtru,filter
fin,smooth
fir,thread
fir de execuție,thread
firewall,firewall
fixarea sistemului,system settings
fișier,file
fișier ascuns,hidden file
fișier executabil,executable file
fișier observator,watch file
fișier temporar,temp file
fișier temporar,temporary file
flowchart (hartă a fluxurilor),flowchart
fluier,pipe
flux de lucru,workflow
flux tehnologic,flowchart
foaie,sheet
focalizare,focus
folosit în ~,shared
fond comun,pool
format,format
formular,form
formulă,formula
formă,form
fracție,fraction
fragment,parcel
frecventa,framerate
frecvență,frequency
fucsină,magenta
fugă,escape
funcție,function
fundal,background
fundamental,basic
fundația pentru software liber,free software foundation
fundația pentru software liber,fsf
furculiță,fork
fursec,cookie
fus orar,timezone
fără titlu,untitled
gama (litera grecească),gamma
gata,done
gata,ready
gaură,gap
gaură,socket
gazdă,host
gazdă necunoscută,unknown host
geometrie,geometry
ghid,guide
global,global
gol,blank
grad,rank
grafic,graph
grafică vectorială,vector graphics
gratuit,freeware
gravitate,severity
greu,hard
greutate,weight
greșeli minore,minor faults
grilaj,grid
grilă,grid
grup,group
grămadă,heap
gunoi,trash
gunoier,garbage collector
gâtuire,bottleneck
gît,swallow
găsește,find
hardware (componentele fizice ale unui calculator),hardware
hartă de biți,bitmap
hartă de culori,colormap
hexazecimal (în baza 16),hex
hiperlegătură,hyperlink
histogramă,histogram
icoană,icon
identificare,detection
identificator,id
identificator,identifier
identificator de proces,process id
ierarhie,hierachy
ieșire,exit
ieșire,output
ieșire,quit
ilegal,illegal
imagine,bitmap
imagine,image
implicit,default
import,import
imprimantă,printer
includere,bundle
inclus,bundle
