Other,English
%h...ago,zip
%h‐able,twelfth
%h‐ible,twelfth
%h‐less,twelfth
abbedissa,abbess
abborre,bass
abbot,abbot
abbotskloster,abbey
abnorm,abnormal
abnorm,deformed
abonnemang,subscription
abonnent,subscriber
abonnera,subscribe
abort,abortion
abort,miscarriage
absolut,absolute
absolutist,teetotaller
absolutist,total
accent,accent
accent,stress
accept,acceptance
accept,admission
accis,excise
ack,ah
ack,oh
ack,ow
ackja,reindeer
ackompanjemang,accompaniment
ackord,chord
ackord,concord
ackurat,accurate
ackurat,on
ackurat,precise
ackurat,prompt
ackurat,punctual
ackusativ,accusative
ackuschör,obstetrician
ackuschörska,midwife
ackuschörska,obstetrician
ackvisition,accession
ackvisition,acquirement
ackvisition,acquisition
ackvisition,asset
addera,add
addera,count
addition,addition
adel,nobility
aderton,eighteen
adertonde,eighteenth
adjektiv,adjective
adjunkt,curate
adjutant,adjutant
adjutant,aide
adjö,adieu
adjö,bye
adjö,farewell
adjö,goodbye
adjösålänge,bye
adjösålänge,goodbye
adjösålänge,so
adlig,of
administratör,administrator
administratör,manager
adoptere,adopt
adress,address
adressant,sender
adressera,address
adresskalender,address
adresskort,dispatch
adresslapp,dispatch
adverb,adverb
advokat,advocate
advokat,barrister
advokat,counsel
advokat,intercessor
advokat,lawyer
advokat,solicitor
affektation,affectation
affisch,notice
affisch,placard
affisch,poster
affischera,placard
affischera,post
affär,affair
affär,boutique
affär,business
affär,case
affär,commerce
affär,matter
affär,shop
affär,store
affär,trade
affärsförbindelse,business
affärsgata,shopping
affärshus,company
affärshus,firm
affärsman,businessman
affärsman,merchant
affärsvän,business
afrika,africa
afrikan,african
afrikansk,african
afton,evening
aftonbön,night
aftonmåltid,evening
aftonmåltid,supper
aga,castigate
aga,castigation
aga,chastise
aga,chastisement
aga,punish
agent,agent
agent,representative
agentur,agency
agg,discontent
agg,discontentedness
agg,displeasure
agg,dissatisfaction
agg,grudge
agg,rancour
agg,resentment
agg,spite
agitation,agitation
agitation,commotion
agn,bait
ajasig,groan
akademi,academy
aktie,share
aktiv,active
aktiv,in
aktris,actress
aktstycke,act
aktstycke,certificate
aktstycke,diploma
aktstycke,document
aktör,actor
akvarell,water
akvavit,brandy
akvedukt,aqueduct
al,alder
alarm,alarm
alarmere,alarm
alarmere,raise
alarmere,sound
aldrig,never
alfabet,abc
alfabet,alphabet
alfabet,elements
alfabet,rudiments
alg,alga
alg,seaweed
alkohol,alcohol
all,all
all,each
all,every
all,everybody
allaredan,already
allaredan,by
allaredan,yet
alldaglig,daily
alldeles,at
alldeles,entirely
alldeles,quite
alldeles,wholly
alldelesicke,not
allegorisk,allegoric
allehanda,all
allehanda,every
allestädes,all
allestädes,everywhere
allhelgonadag,all
allians,alliance
allmakt,omnipotence
allmogespråk,dialect
allmosa,alms
allmosa,charity
allmän,general
allmän,public
allmän,usual
allmänhet,generality
allmänhet,universality
allrådande,all
allrådande,almighty
allrådande,omnipotent
allsicke,not
allsmäktig,all
allsmäktig,almighty
allsmäktig,omnipotent
allt,universe
alltefter,according
alltefter,as
alltefter,by
alltemellanåt,several
alltemellanåt,sometimes
alltför,too
alltid,always
alltid,ever
alltifrån,by
alltifrån,from
alltifrån,since
allting,all
allting,altogether
allting,everything
alludera,allude
alludera,hint
allvarlig,earnest
allvarlig,serious
allvarlig,staid
allvetande,all
allvetande,omniscient
allé,avenue
alm,elm
almanacka,almanac
alster,product
alstra,afford
alstra,bear
alstra,produce
alstring,production
altan,balcony
altare,altar
alternativ,alternative
alternativ,option
altröst,contralto
altstämma,contralto
alun,alum
amatör,amateur
amatör,fancier
ambition,ambition
ambitiös,ambitious
ambulansbil,ambulance
ambulansbil,field
amerikan,american
amerikan,us
amerikansk,american
amfiteatro,amphitheatre
amiral,admiral
ammunition,ammunition
ammunition,munition
amper,acerbic
amper,sharp
amt,district
analogi,analogy
analys,analysis
anamma,get
anamma,have
anamma,receive
ananas,pineapple
anarkist,anarchist
anatomisk,anatomical
anbefalla,commend
anbefalla,recommend
anbefallning,recommendation
anblick,appearance
anblick,aspect
anblick,look
anblick,sight
anblick,view
anbud,tender
and,duck
and,wild
anda,breath
anda,spirit
andas,breathe
ande,mind
andel,part
andel,parthian
andel,piece
andel,share
andhämtning,respiration
andlig,mental
andlös,breathless
andning,respiration
andra,second
andre,second
anekdot,anecdote
anemi,anaemia
anfall,access
anfall,aggression
anfall,attack
anfalla,assault
anfalla,attack
anföra,cite
anföra,quote
anförande,citation
anförande,quotation
anförare,boss
anförare,chief
anförare,leader
anföringstecken,inverted
anföringstecken,quotation
anföringstecken,quote
anförvant,relative
angenäm,agreeable
angenäm,enjoyable
angenäm,lovely
angenäm,nice
angenäm,pleasant
angrepp,access
angrepp,aggression
angrepp,attack
angripare,aggressor
angripare,assailant
angripare,attacker
angående,about
angående,concerning
angående,toward
angående,towards
angående,with
anhang,adherents
anhang,disciples
anhang,following
anhang,party
anhang,supporters
anhålla,arrest
anhörig,affined
anhörig,akin
anhörig,related
aning,suspicion
anis,anise
anka,duck
ankare,anchor
ankel,ankle
anklaga,accuse
anklagelse,accusal
anklagelse,accusation
ankomma,arrive
ankomma,end
ankomma,get
ankomst,arrival
anlete,face
anlopp,crush
anmoda,ask
anmoda,beg
anmoda,bid
anmoda,request
anmodan,request
anmäla,advertise
anmäla,announce
anmäla,give
anmälan,ad
anmälan,advertisement
anmärkningsvärd,noteworthy
anmärkningsvärd,remarkable
annalkande,approach
annan,another
annan,else
annan,other
annan,second
annanstans,elsewhere
annons,ad
annons,advertisement
annonsera,advertise
annonsera,announce
annonsera,give
annorlunda,differently
annorlunda,else
annorstädes,elsewhere
annotationsbok,notebook
annotera,make
annotera,note
annotera,write
anonym,anonymous
anonym,nameless
anonym,without
anropa,appeal
anropa,invoke
anropa,telephone
ansa,attend
ansa,nurse
ansa,tend
anse,account
anse,deem
anse,opine
anse,think
ansedd,dear
anseende,appearance
anseende,aspect
anseende,look
anseende,sight
anseende,view
ansikte,face
ansjovis,anchovy
anskaffa,acquire
anskaffa,buy
anskaffa,purchase
anskaffa,take
anskaffning,acquisition
anskaffning,buy
anskaffning,purchase
anskaffning,taking
anslag,notice
anslag,placard
anslag,poster
anslagstavia,bill
anslagstavia,notice
ansluta,combine
ansluta,connect
ansluta,join
ansluta,plug
ansluta,unite
anslående,agreeable
anslående,enjoyable
anslående,lovely
anslående,nice
anslående,pleasant
anslående,sympathetic
anspela,allude
anspela,hint
anspelning,allusion
anstånd,adjournment
anstånd,delay
anstöt,offence
anstöt,scandal
anstötlig,aggravating
ansvar,responsibility
ansvarig,accountable
ansvarig,responsible
ansöka,ask
ansöka,beg
ansöka,bid
ansöka,request
anta,guess
anta,presume
anta,suppose
anta,surmise
anta,suspect
antagande,suspicion
antaglig,likely
antaglig,probable
antaglig,suspicious
antal,amount
antal,number
anteckna,make
anteckna,note
anteckna,write
anteckning,annotation
anteckning,note
antikvitetshandlare,antique
antända,kindle
antända,light
använda,employ
använda,make
använda,use
apa,ape
apa,monkey
apel,apple
apelsin,orange
apostel,apostle
apotek,chemist
apotek,drugstore
apotekare,chemist
apparat,apparatus
apparat,device
apparat,set
appell,appeal
applåd,acclaim
applåd,acclamation
applåd,approval
applådera,acclaim
applådera,applaud
applådera,clap
aprikos,apricot
april,april
apropå,by
aptit,appetite
arab,arab
arabisk,arabian
arabisk,arabic
arbeställa,abjure
arbeställa,abolish
arbeställa,abrogate
arbeställa,annul
arbeställa,cancel
arbeställa,remit
arbeta,work
arbetare,hand
arbetare,laborer
arbetare,labourer
arbetare,operative
arbetare,worker
arbetare,working
arbetare,workman
arbete,job
arbete,work
arbeterska,femal
arbeterska,female
arbetsam,diligent
arbetsam,hardworking
arbetsam,industrious
arbetsgivare,employer
arbetslös,unemployed
arbetstagare,employee
areal,area
arg,angry
arg,bad
arg,cross
arg,miserable
