Other,English
a,a
abbed,abbot
abbedi,abbey
abbedisse,abbess
abdicere,abdicate
abdikation,abdication
abe,ape
abe,monkey
abebestand,ape population
abebestand,monkey population
abebrødtræ,monkey-bread tree
abefest,noisy party
abekat,monkey
abekattestreger,monkey tricks
abemenneske,apeman
abeunge,young monkey
abkhasien,abkhazia
abkhasier,abkhazian
abnorm,abnormal
abnormitet,abnormity
abonnement,subscription
abonnementsbillet,subscription ticket
abonnent,subscriber
abonnere,subscribe
aborre,perch
abort,abortion
abortere,miscarry
abraham,abraham
abrikos,apricot
abrupt,abrupt
absces,abscess
abscisse,abscissa
abscisseakse,axis of abscissas
absint,absinth
absolut,absolute
absolutisme,absolutism
absolutist,absolutist
absolutistisk,absolutist
absorbere,absorb
absorbering,absorption
abstinens,abstinence
abstinenssymptomer,withdrawal symptoms
abstrahere,abstract
abstrakt,abstract
abstraktion,abstraction
absurd,absurd
absurditet,absurdity
abyssiner,abyssinian
acceleration,acceleration
accelerere,accelerate
accent,accent
accent,stress
accent,accent mark
accent,supersign
accentuere,accentuate
accentuering,accentuation
accept,acceptance
acceptabel,acceptable
acceptant,acceptor
acceptere,accept
acceptere,receive
acceptere,take
acceptere,take in
acceptering,acceptance
accessionskatalog,accession book
acetone,acetone
acetylen,acetylene
achilles,achilles
achilleshæl,achilles' heel
achillessene,achilles' tendon
acontobeløb,instalment
adam,adam
adamsæble,adam's apple
addere,add
addis ababa,addis ababa
addition,addition
adel,nobility
adelig,noble
adelsbrev,patent of nobility
adelsherredømme,aristocracy
adelsmand,nobleman
adelsmærke,hallmark
aden,aden
adfærd,behaviour
adfærdsforsker,ethologist
adfærdsforskning,ethology
adfærdsforstyrrelse,behaviour disorder
adfærdsmønster,behaviour pattern
adfærdspsykologi,behaviourism
adfærdsvanskelig,maladjusted
adgang,access
adgang,admission
adgang,admittance
adgangsbegrænsning,restricted admission
adgangsbillet,admission ticket
adgangsbillet,entry ticket
adgangskode,password
adjektiv,adjective
adjudant,adjutant
adjø,goodbye
adkomst,title
adle,ennoble
adlyde,obey
administration,administration
administrativ,administrative
administrator,administrator
administrere,manage
admiral,admiral
admiralskib,flagship
admiralstab,admiral's staff
adonis,adonis
adoptere,adopt
adoption,adoption
adoptionsbevilling,adoption order
adoptivbarn,adopted child
adrenalin,adrenaline
adressat,addressee
adresse,address
adressebog,address book
adressere,address
adrianopel,adrianople
adriaterhavet,adriatic
adriaterhavet,adriatic sea
adræt,agile
adskille,divide
adskille,separate
adskillelse,separation
adskillelse,partition
adskillige,several
adskilt,separate
adspredelse,amusement
advare,caution
advare,warn
advarsel,warning
advent,advent
adventskrans,advent wreath
adverbiel,adverbial
adverbium,adverb
advis,advice
advisere,advise
advokat,lawyer
advokatpraksis,legal pactice
advokatsalær,lawyer's fee
adzharien,adzharia
adækvat,equivalent
ae,stroke
aerodynamik,aerodynamics
aeromekanik,aeromechanics
af,from
af,of
af,about
af,concerning
af,on
af,upon
afbenyttelse,use
afbestille,cancel
afbestille,countermand
afart,variety
afbalancere,balance
afbarke,bark
afbenytte,use
afbetale,payoff
afbetaling,instalment
afbilde,depict
afbildning,image
afbildning,picture
afblege,bleach
afbrudt,interrupted
afbryde,interrupt
afbryde,cut
afbryde,cut a connection
afbryde,shut off
afbryde,stop
afbryde,switch off
afbryde,turn off
afbryde,break
afbrydelse,interruption
afbryder,switch
afbryderkontakt,breaker contact
afbrænde,be burnt down
afbrænde,burn down
afbud,abolition
afbud,abrogation
afbud,apologies
afbælge,hull
afbøde,ward off
afbøje,turn off
afbøjning,turning
afdampe,air
afdampning,airing
afdansning,last dance
afdansningsbal,end-of-season dance
afdansningsbal,high school prom
afdeling,branch
afdeling,compartment
afdeling,department
afdeling,pigeonhole
afdeling,section
afdeling,speciality
afdeling,detachment
afdelingschef,head of a department
afdelingschef,head of department
affald,garbage
affald,trash
affald,rubbish
affaldsafgift,garbage tax
affaldsbeholder,wastepaper basket
affaldsbeholder,wastebasket
affaldsbeholder,trash container
affaldsbeholder,waste container
affaldsbørs,bourse or stock exchange for company waste
affaldscontainer,wastepaper basket
affaldscontainer,wastebasket
affaldscontainer,trash container
affaldscontainer,waste container
affaldsdeponering,landfill
affaldsdeponering,dumpsite
affaldsdepot,landfill
affaldsdepot,dumpsite
affaldsgebyr,"garbage fee, especially for a company"
affaldskurv,wastepaper basket
affaldskurv,wastebasket
affaldspose,garbage bag
affaldssortering,trash sorting
affaldssortering,garbage sorting
affaldssortering,waste sorting
affaldssortering,"the sorting of trash, garbage, or waste"
affaldsstof,waste product
affaldstræ,wood waste
affyre,discharge
affyre,fire
affyre,fire off
affære,affair
affære,business
affære,businessdeal
affære,case
affære,matter
afgang,departure
afgangseksamen,leaving examination
afgangstid,time of departure
afgangstid,departure time
afghaner,afghan
afghanerinde,afghanwoman
afghanistan,afghanistan
afgrund,abyss
afgrund,chasm
afgrund,gulf
afgrund,precipice
afgud,idol
afgå,absentonself
afgå,depart
afgå,goaway
afgå,leave
afgøre,decide
afholdsmand,teetotaler
afhænge,depend
afhænge af,be dependent on
afhænge af,depend on
afhænge af,depend upon
afhængig,dependent
afhængighed,dependence
afhængig af,dependant on
afhøre,hear
afhøre,findout
afhøre,learn of
afkøbe,ransom
afkøbe,redeem
afkøle,cool
afkøle,cooldown
afkøle,getcold
afkøling,cooling
aflevere,deliver
aflevere,furnish
aflevere,supply
aflevering,delivery
aflyse,abjure
aflyse,abolish
aflyse,abrogate
aflyse,annul
aflyse,cancel
aflyse,remit
aflægge,achieve
aflægge,act
aflægge,do
aflægge,make
aflægge,perform
aflægger,layer
afløb,drain pipe
afløb,outlet pipe
afløb,waste pipe
afløbsrør,drain pipe
afløbsrør,outlet pipe
afløbsrør,waste pipe
afregne,settle
afregne,squareup
afregning,account
afregning,settlement
afrejse,absent onself
afrejse,depart
afrejse,go away
afrejse,leave
afrejse,drive away
afrejse,drive off
afrejse,departure
afrika,africa
afrikaans,afrikaans
afrikander,afrikaner
afrikander,boer
afrikaner,african
afrikanerinde,africanwoman
afrikansk,african
afro‐asiat,afro‐asian
afrunde,round
afrunde,roundoff
afsende,dispatch
afsende,sendoff
afsende,ship
afsende,dismiss
afsende,turnaway
afsender,sender
afsides,remote
afsides,distant
afsides,far
afskaffe,abolish
afskaffe,abrogate
afskaffe,do away with
afskaffe,get rid of
afskaffe,remove
afskaffelse,abolition
afskaffelse,abrogation
afsked,farewell
afsked,goodbye
afsked,good‐bye
afskedige,discharge
afskedige,dismiss
afskedige,fire
afskedige,sack
afskedsord,parting word
afskrift,a copy of a text
afskrive,copy
afskrivning,redemption
afsky,abhor
afsky,abominate
afsky,loathe
afsky,abhorrence
afsky,abomination
afsky,horror
afslå,reject
afsløre,discover
afsløre,uncover
afsløring,discovery
afsnit,paragraph
afstamme,accrue
afstamme,come
afstamme,derive
afstamme,originate
afstamme,result
afstamning,lineage
afstand,distance
afstand,offset
aftale,accommodation
aftale,accord
aftale,agreement
aftale,appointment
aftale,date
aftale,rendezvous
aften,evening
aftenavis,evening paper
aftensmad,evening meal
aftensmad,supper
afveksling,alternation
afvigelse,aberrance
afvigelse,aberration
afvise,reject
af og til,now and then
af træ,wooden
agamemnon,agamemnon
agent,agent
agentur,agency
agerhøne,partridge
agern,acorn
aggression,aggression
aggression,aggro
agte,esteem
agte,think well of
agtelse,esteem
agtelse,regard
agterstavn,poop
agterstavn,poopdeck
agterstavn,stern
agurk,cucumber
agurketid,slow news day
ahorn,maple
ahorn,sycamore
ahornsirup,maple syrup
ajax,ajax
akacie,acacia
akademi,academy
akademiker,academician
akademisk,academic
akeron,acheron
akkord,concord
akkumulator,accumulator
akkumulator,battery
akkumulator,storage battery
akrobat,acrobat
aksel,axis
aksel,axle
akt,act
aktie,share
aktindsigt,access to public documents
aktionsforskning,action research
aktiv,active
aktiv,inaction
aktivitet,activity
aktivitet,vigour
aktstykke,certificate
aktstykke,diploma
aktstykke,document
aktuel,current
aktuel,present
aktuel,present day
aktuel,topical
aktuel,up‐to‐date
akvarel,water colour
akvarium,aquarium
alarm,alarm
alaska,alaska
alba,alva
albaner,albanian
albanien,albania
albanierinde,albanian
albanierinde,albanian woman
albansk,albanian
albansk,albanian language
albion,albion
albue,elbow
albuerum,elbow room
album,album
alder,age
alderdomshjem,old people's home
aldrig,never
alene,alone
alene,only
alene,sole
alene,solitary
alenlang,very long
alfahan,alpha male
aleppo,aleppo
alexander,alexander
alexandria,alexandria
alfabet,alphabet
alfabetisk,alphabetical
alfred,alfred
algerier,algerian
algerierinde,algerian woman
algeriet,algeria
algier,algiers
alibi,alibi
alkohol,alcohol
alkoholfri,non‐alcoholic
alkoholisk,alcoholic
allah,allah
alle,all
allehelgensdag,all saints' day
allehelgensdag,all hallows
allerede,already
allerede,bynow
allerede,yet
allergisk,allergic
allesjælesdag,allsouls'day
allé,avenue
almagt,omnipotence
almengyldig,universally true
almenkendt,common knowledge
almennyttig,serving the common good
almensprog,vernacular
almindelig,accustomed
almindelig,customary
almindelig,used to
almindelig,usual
almindelig,wonted
almindelig,common
almindelig,ordinary
almindelig,general
almindelig,universal
almindelig,worldwide
almisse,alms
almisse,charity
almægtig,almighty
alpehytte,alpine hut
alpehytte,climber's hut
alpehytte,mountain hut
alperne,alps
alpinist,alpinist
alpinist,climber
alpinist,mountain climber
alpinist,mountaineer
alsace‐lorraine,alsace‐lorraine
alsakser,alsatian
alt,all
alt,altogether
alt,everything
altai,altai
altan,balcony
alter,altar
altid,always
altid,ever
altmuligmand,handyman
altæder,omnivore
alvorsmand,a serious man
aluminium,aluminium
aluminium,aluminum
alun,alum
alvorlig,cheerful
alvorlig,gay
alvorlig,merry
alvorlig,earnest
alvorlig,serious
alvorlig,staid
alvorsord,word of reprimand
amatør,amateur
amatør,fancier
amazone,amazon
amazonfloden,amazon
amazonfloden,amazon river
ambassadør,ambassador
amboina,amboina
ambon,amboina
amboner,amboinese
ambulance,ambulance
ambulance,field hospital
amerika,america
amerikaner,american
amerikaner,us citizen
amerikanerinde,americanwoman
amerikansk,american
amerikansk fodbold,football
amerikansk fodbold,american football
amerikansk samoa,american samoa
amfiteater,amphitheatre
amman,amman
ammunition,munition
ammunition,ammunition
amnesti,actofgrace
amnesti,amnesty
ampul,bulb
amputere,amputate
analsex,anal sex
ananas,pineapple
anarkist,anarchist
anatomisk,anatomical
anbefalet brev,registered letter
anbefaling,recommendation
and,duck
andebestand,duck population
andefedt,duck fat
andel,share
andemad,duckweed
anden,second
anden juledag,boxing day
andengradsligning,quadratic equation
andenudgave,second edition
anderledestænkende,differently thinking
andetsteds,elsewhere
andorra,andorra
anførelsestegn,inverted comma
anførelsestegn,quotation mark
anførelsestegn,quote
angina,angina
angina,quinsy
angive,accuse
angive,denounce
angive,indicate
angive,suggest
angivelse,declaration
angivelse,proclamation
angivelse,statement
anglikansk,anglican
angola,angola
angreb,access
angreb,aggression
angreb,attack
angribe,assault
angribe,attack
angst,agony
angst,anguish
angst,fear
angst,fright
angstskrig,cry or shriek of terror
angå,concern
ankel,ankle
anker,anchor
anklage,accuse
ankomst,arrival
anledning,chance
anledning,event
anledning,occurence
anledning,opportunity
anliggende,affair
anliggende,business
anliggende,businessdeal
anliggende,case
anliggende,matter
anlæg,accommodation
anlæg,adjustment
anlæg,arrangement
anmelde,book
annonce,ad
annonce,advertisement
anonym,anonymous
anonym,nameless
anonym,withoutaname
ansat,employee
ansigt,face
ansjos,anchovy
anskueliggøre,illustrate
anslag,assault
anstrengelse,tension
ansvarlig,accountable
ansvarlig,responsible
ansvarsfraskrivelse,disclaimer
ansøger,candidate
antage,guess
antage,presume
antage,suppose
antage,surmise
antal,amount
antal,number
antenne,aerial
antenne,antenna
antibiotikum,antibiotic
antigua og barbuda,antigua and barbuda
antik,ancient
antik,antique
antisemitisme,antisemitism
antiseptisk,antiseptic
anvende,apply
anvende,practice
apatisk,apathetic
apostel,apostle
apotek,chemist's shop
apotek,drugstore
apoteker,chemist
apparat,apparatus
apparat,device
apparat,set
appartement,apartment
appartement,flat
appartementhus,apartment building
appartementhus,block of flats
appelsin,orange
appelsinhud,cellulite
appelsinjuice,orange juice
appelsinskræl,orange peel
appetit,appetite
applaus,acclamation
april,april
aprilsnar,april fool
apropos,bytheway
araber,arab
arabisk,arabian
arabisk,arabic
arbejde,work
arbejde,job
arbejder,worker
arbejder,hand
arbejder,laborer
arbejder,labourer
arbejder,operative
arbejder,workingman
arbejder,workman
arbejderbi,worker bee
arbejdsbord,worktable
arbejdsdag,workday
arbejdsgiver,employer
arbejdsløs,unemployed
arbejdsløshed,unemployment
arbejdsro,tranquility
arbejdstager,employee
arena,arena
argentina,argentina
argentinier,argentine
aristokratisk,aristocratic
arkitekt,architect
arkitektur,architecture
arkiv,archive
arkiv,archives
arkiv,files
arkiv,records
arkæologi,archaeology
arm,arm
armbånd,bracelet
armbåndsur,wristwatch
armenien,armenia
armhule,armpit
armstol,armchair
armé,army
aroma,aroma
aroma,flavour
aron,aaron
arrestere,arrest
arrigtrold,spitfire
art,kind
art,sort
arterie,artery
artikel,article
artikel,commodity
artilleri,artillery
artiskok,artichoke
artist,artist
arv,inheritance
arve,inherit
asiat,asian
asiatisk,asian
asiatisk,asiatic
asien,asia
ask,ash
aske,ash
aske,cinder
askebæger,ashtray
asketræ,ash
asocial,antisocial
asocial,unsocial
asparges,asparagus
assistent,aid
assistent,assistant
assistent,helper
asters,aster
astma,asthma
astma,shortness of breath
astma,wheeziness
astmaanfald,asthma attack
astmapatient,asthma patient
astronaut,astronaut
astronaut,spaceman
astronomi,astronomy
asturisk,asturian
asyl,asylum
asyl,place of refuge
asyl,shelter
asylansøger,asylum seeker
atlanterhavet,atlantic
atlanterhavet,atlantic ocean
atlantisk,atlantean
atlantisk,atlantic
atlas,atlas
atlet,athlete
atomkerne,nucleus
atmosfærisk,atmospheric
atom,atom
atomenergi,atomicenergy
attaché,attaché
atten,eighteen
attende,eighteenth
attest,certificate
attest,testimony
august,august
auktion,auction
aula,auditorium
aula,lounge
aula,parlour
aula,salon
aula,great hall
australien,australia
australier,australian
australsk,australian
autodidakt,autodidact
autodidakt,self‐taught man
automat,automoton
automatisk,automatic
automobil,car
autopsi,autopsy
autor,author
autoritet,authority
autoritetstro,compliance with and faith in authority
autoritær,authorative
avertere,advertise
avertere,announce
avertere,givenotice
avis,gazette
avis,magazine
avis,newspaper
avis,periodical
avis,journal
avle,breed
avle,keep
avle,raise
avle,rear
azalea,azalea
baby,baby
babysitter,babysitter
babyalarm,baby alarm
babyalarm,baby monitor
babybio,a special cinema made to bring with babies
babyble,a baby diaper
babyboom,baby boom
babydukke,baby doll
babyfløjl,corduroy
babylem,baby hatch
babymad,baby food
babymajs,baby corn
babypudder,baby powder
bacon,bacon
bad,bath
bade,bathe
badebukser,swimming trunks
badedragt,bathing suit
badedragt,bathing‐suit
badekar,bath
badested,spa
badeværelse,bathroom
badmintonspiller,badminton player
bagage,baggage
bagage,luggage
bagagevogn,luggage van
bagagevogn,luggage cart
bagagevogn,luggage trolley
bagbord,backboard
bagdad,baghdad
bagdør,back door
bage,bake
bageovn,oven
bageovn,bakingoven
bager,baker
bageri,bakery
bagklog,afterwise
bagom,behind
bagtale,slander
bagtungevokal,back vowel
bahamaøerne,the bahamas
bahrain,bahrain
bajonet,bayonet
bakke,hill
bakke,tray
bal,ball
bal,dance
balkon,balcony
ballast,ballast
ballon,balloon
balsam,balm
balsam,balsam
bambus,bamboo
bamseknus,bear hug
banan,banana
bananrepublik,banana republic
bandage,bandage
bande,band
bande,bevy
bande,gang
bande,blaspheme
bande,cuss
bande,curse
bande,swear
bandeord,swear word
bandeord,curse word
bandit,bandit
banemand,bane
banemand,killer
bange,afraid
bange,timid
bangebuks,coward
bangebuks,chicken
bangladesh,bangladesh
bank,bank
bankanvisning,check
bankanvisning,cheque
banke,hit
banke,knock
banke,strike
bankkonto,bank account
barak,barn
barak,shed
barak,stand
barbermaskine,electric shaver
barbados,barbados
bare,exclusively
bare,just
bare,only
bark,bark
bark,husk
bark,peel
bark,shell
barm,bosom
barmhjertighed,charity
barmhjertighed,mercifulness
barmhjertighed,mercy
barn,child
barn,offspring
barn,young
barn,bairn
barn,infant
barnebarn,granddaughter
barnebarn,grandson
barnebarn,grandchild
barnesoldat,child solder
barnevogn,pram
barnevogn,baby carriage
barometer,barometer
barrikade,barricade
baryton,baritone
basar,bazaar
basar,fair
basar,market
base,base
base,basis
baseball,baseball
basilika,basilica
basis,base
basis,basis
basketballkurv,basketball hoop
basketballspiller,basketball player
basra,basra
bast,bast
batteri,battery
beboer,inhabitant
bebrejde,blame
bebrejde,rebuke
bebrejde,reproach
bebrejde,reprove
bebrejde,scold
bebrejdelse,reproach
bed,bed
bede,beet
bede,ask
bede,askfor
bede,beg
bede,bid
bede,request
bede,pray
bedemand,funeral director
bedemand,mortician
bedemand,undertaker
bedrag,swindle
bedrage,cheat
bedrage,deceive
bedrageri,swindle
bedre,better
bedring,progress
bedrøvet,dismal
bedrøvet,gaunt
bedrøvet,miserable
bedrøvet,sad
bedrøvet,dreary
bedst,best
bedstefader,grandfather
bedsteforældre,grandparents
bedstemoder,grandmother
bedømme,appraise
bedømme,estimate
bedømme,rate
befaling,command
befaling,order
befolkning,population
befæste,attach
befæste,determine
befæste,fasten
befæste,fix
befæste,affix
