Other,English
abecedarium,abc
æthiops,abyssinian
academia,academy
achaia,achaea
achaia,achaia
acheron,acheron
actium,actium
adam,adam
hadria,adriatic
hadria,adriatic sea
æneas,aeneas
æolus,aeolus
africa,africa
afer,african
alpes,alps
antichristus,antichrist
aprilis,april
arabs,arab
arabicus,arabian
arabius,arabian
arabicus,arabic
arabius,arabic
ares,ares
argo,argus
aries,aries
asia,asia
astræa,astraea
athenæ,athena
athenæ,athene
atheniensis,athenian
athenæ,athens
attica,attica
aventinus,aventine
avernus,avernus
babylon,babel
babylon,babylon
bacchus,bacchus
iacchus,bacchus
liber,bacchus
lyæus,bacchus
bellona,bellona
abnoba,black forest
pontus,black sea
pontus axenus,black sea
cæsar,caesar
capitolium,capitol
capricornus,capricorn
carthago,carthage
carthaginiensis,carthaginian
poenicus,carthaginian
poenus,carthaginian
punicus,carthaginian
catholicus,catholic
cerberus,cerberus
ceres,ceres
chaldæi,chaldean
charon,charon
charybdis,charybdis
chimæra,chimera
christus,christ
christianus,christian
christianismus,christianity
cicero,cicero
circe,circe
colossus,colossus
hafnia,copenhagen
creta,crete
amor,cupid
cybele,cybele
hister,danube
diana,diana
hiberus,ebro
æthiops,ethiopian
etruria,etruria
europa,europa
europa,europe
pontus,euxine sea
pontus axenus,euxine sea
cytherea,evening star
venus,evening star
februarius,february
gallia,gaul
gallus,gaul
deus,god
capulus,god's acre
cimeterium,god's acre
achaia,greece
græcia,greece
achivus,greek
græcus,greek
achaias,greek woman
hesperus,hesperus
italia,italy
ianuarius,january
ianus,janus
diespiter,jove
iuppiter,jove
iulius,july
iunius,june
diespiter,jupiter
iuppiter,jupiter
satanas,lucifer
zabulus,lucifer
melita,malta
martius,march
mars,mars
messias,messiah
minerva,minerva
dominus,mister
dominus,mr.
oceanus,oceanus
pars,parthian
pegasus,pegasus
pentecoste,pentecost
achæmenius,persian
barbarus,persian
padus,po
prusia,prussia
rhodanus,rhone
romanus,roman
roma,rome
ruthenia,russia
sabbata,sabbath
sabbatum,sabbath
satanas,satan
zabulus,satan
sabbata,saturday
sabbatum,saturday
scandia,scandinavia
sicilia,sicily
trinacria,sicily
hispania,spain
cantharis,spanish fly
holmia,stockholm
styx,styx
syracusæ,syracuse
syria,syria
tiber,tiber
tros,trojan
ilion,troy
ilium,troy
cytherea,venus
venus,venus
vesta,vesta
mulciber,vulcan
vulcanus,vulcan
occasus,west
occidens,west
vesper,west
ausonius,westener
pentecoste,whitsunday
zama,zama
... abhinc,... ago
abhinc ...,... ago
aliquis,a
abacus,abacus
abbatissa,abbess
abbatia,abbey
abbas,abbot
abbreviare,abbreviate
curtare,abbreviate
breviare,abbreviate
abdicare,abdicate
abire,abdicate
abdicatio,abdication
abdomen,abdomen
alvus,abdomen
aqualiculus,abdomen
costa,abdomen
venter,abdomen
abactor,abductor
error,aberration
casus,aberration
concitare,abet
adiuvare,abet
adiutare,abet
iuvare,abet
abominare,abhor
abominari,abhor
abominatio,abhorrence
abominabilis,abhorrent
atrox,abhorrent
aversabilis,abhorrent
patiri,abide
ops,ability
capacitas,ability
abrenuntiatio,abjuration
abiurare,abjure
abrenuntiare,abjure
ablativus,ablative
abnegare,abnegate
abiurare,abnegate
abrenuntiare,abnegate
abnegatio,abnegation
atrium,abode
abolere,abolish
abolicio,abolition
abrogatio,abolition
abolitio,abolition
abominabilis,abominable
atrox,abominable
aversabilis,abominable
abominare,abominate
abominari,abominate
abomiamentum,abomination
abominatio,abomination
indigena,aboriginal
archetypus,aboriginal
abortus,abortion
vanus,abortive
aquosus,abounding in water
circa,about
super,above
supera,above
potissimum,above all
abbreviare,abridge
curtare,abridge
breviare,abridge
breviarium,abridgement
abolere,abrogate
abolicio,abrogation
abrogatio,abrogation
abolitio,abrogation
arduus,abrupt
repentinus,abrupt
abrupte,abruptly
absens,absent
abætere,absent onself
abire,absent onself
abitere,absent onself
abscedere,absent onself
absinthium,absinth
absolutus,absolute
absolutio,absolution
absolvere,absolve
abdere,abstract
adimere,abstract
breviarium,abstract
arcanus,abstruse
absurdus,absurd
alogia,absurdity
catachresis,abuse
abruptum,abyss
abyssus,abyss
crater,abyss
fauces,abyss
acacia,acacia
acanthus,acacia
acanthus,acanthus
accelerare,accelerate
accentus,accent
accipere,accept
acceptabilis,acceptable
acceptatio,acceptance
acceptator,acceptor
casus,accidence
accidens,accident
casus,accident
acclamare,acclaim
acclamatio,acclaim
applaudere,acclaim
acclamatio,acclamation
clinamen,acclivity
atrium,accommodation
adiuvare,accomodate
adiutare,accomodate
iuvare,accomodate
pervenire,accomplish
actum,accomplishment
factum,accomplishment
permittere,accord
appellare,accost
causa,account
credere,account
opinari,account
matrix,account book
credere,accredit
accretio,accretion
adolescere,accrue
crescere,accrue
accrescere,accrue
massa,accumulation
multitudo,accumulation
turba,accumulation
accusatio,accusal
categoria,accusal
crimen,accusal
accusatio,accusation
categoria,accusation
crimen,accusation
accusativus,accusative
accusare,accuse
accusator,accuser
acerbus,acerbic
austerus,acerbic
acer,acerbic
acutus,acerbic
amarus,acerbic
amarulentus,acerbic
acies,acerbity
acritas,acerbity
acror,acerbity
acumen,acerbity
acerbitas,acerbity
aloe,acerbity
amarities,acerbity
amaritudo,acerbity
conciliare,achieve
pervenire,achieve
facere,achieve
actio,achievement
actum,achievement
factum,achievement
successus,achievement
acerbus,acid
acidus,acid
austerus,acid
acescere,acidify
agnoscere,acknowledge
aconitum,aconite
glans,acorn
conciliare,acquire
absolvere,acquit
acerbus,acrid
austerus,acrid
acies,acrimony
acritas,acrimony
acror,acrimony
acumen,acrimony
agere,act
actio,act
actum,act
facere,act
factum,act
actio,action
actum,action
proelium,action
pugna,action
factum,action
causa,action
actor,actor
mimus,actor
mima,actress
movere,actuate
morari,act crazy
abolitio,act of grace
acies,acuity
acritas,acuity
acror,acuity
acumen,acuity
adagium,adage
accensere,add
accommodare,add
aspis,adder
ceterus,additional
cariosus,addled
bardus,addled
blennus,addled
stultus,addled
appellare,address
ave,adieu
adjectivum,adjective
regimen,administration
regimentum,administration
chrisma,administration of the last sacraments
admirabilis,admirable
admirabilitas,admiration
admiratio,admiration
admirari,admire
admirator,admirer
acceptatio,admission
permittere,admit
admonere,admonish
admonitus,admonition
adolescens,adolescent
adorabilis,adorable
adoratio,adoration
adorare,adore
adorator,adorer
adulter,adulterer
moechus,adulterer
adultera,adulteress
moecha,adulteress
adulter,adulterous
adire,advance
proximare,advance
faustus,advantageous
adverbium,adverb
colluctator,adversary
hostis,adversary
hostifer,adverse
hosticus,adverse
hostilis,adverse
annuntiare,advertise
monere,advise
advocatus,advocate
causidicus,advocate
æon,aeon
comis,affable
lepidus,affable
causa,affair
res,affair
casus,affair
agape,affection
amor,affection
caritas,affection
affigere,affix
permittere,afford
post,after
agape,agape
ætas,age
ævum,age
concitare,agitate
colonus,agrarian
acceptabilis,agreeable
agricultura,agriculture
agricultio,agriculture
febris,ague
a,ah
ah,ah
ai,ah
hei,ah
hem,ah
heu,ah
ante,ahead
antehac,ahead
adiuvare,aid
adiutare,aid
iuvare,aid
auxilium,aid
ops,aid
assessor,aid
auxiliator,aid
minister,aid
ægritudo,ailment
ægror,ailment
morbus,ailment
ær,air
æther,air
bibitor,alcoholic
alneus,alder‐
alneus,alder
alnus,alder
cerevisia,ale
cervisia,ale
alga,alga
abominabilis,alien
atrox,alien
aversabilis,alien
advena,alien
adventicius,alien
alienigenus,alien
allophylus,alien
barbarus,alien
bracatus,alien
hospitus,alien
omnipotens,all‐powerful
permittere,allow
perubique,all about
repente,all of a sudden
subito,all of a sudden
omnis,all the
omnipotens,almighty
fere,almost
pæne,almost
prope,almost
aloe,aloe
solus,alone
abecedarium,alphabet
abecedarius,alphabetical
iam,already
altaria,altar
ara,altar
mutare,alter
alumen,alum
semper,always
ambiguus,ambiguous
amphibolus,ambiguous
ambitio,ambition
ambrosia,ambrosia
amethystus,amethyst
abolitio,amnesty
inter,among
amphitheatrum,amphitheatre
amphora,amphora
amplus,ample
capax,ample
amputare,amputate
phylacterium,amulet
præbia,amulet
oblectare,amuse
anapæstus,anapaest
anathema,anathema
anatomicus,anatomist
anatomia,anatomy
ancora,anchor
mæna,anchovy
ac,and
atque,and
angela,angel
angelus,angel
angelicus,angelic
angulus,angle
animal,animal
bestia,animal
fera,animal
annuntiare,announce
anniversarius,annual
annuus,annual
alius,another
alius,another man
alienus,another man's
alias,another time
respondere,answer
responsum,answer
formica,ant
hymnus,anthem
antidotum,antidote
anus,anus
culus,anus
podex,anus
aliquis,any
quisquis,any
aliquis,anybody
aliqua,anyway
absque,apart from
cercops,ape
clura,ape
simia,ape
apoplexia,apoplectic fit
apostolus,apostle
apostolicus,apostolic
advocare,appeal to
apparere,appear
comparere,appear
aspectamen,appearance
facies,appearance
nomen,appellation
vocabulum,appellation
acclamare,applaud
applaudere,applaud
pomum,apple
æstimare,appraise
appretiare,appraise
censere,appraise
taxare,appraise
adire,approach
acclamatio,approval
approbare,approve
circa,approximately
aqualis,aquatic
aquarius,aquatic
aquæductus,aqueduct
absolutio,aquittal
arabilis,arable
arbiter,arbiter
arbitratus,arbiter
arbitrarius,arbitrary
arbiter,arbitrator
arbitratus,arbitrator
arboreus,arboreal
arbutus,arbutus
arbutum,arbutus fruit
arcus,arc
arcus,arch
archangelus,archangel
archiepiscopus,archbishop
archimandrita,archimandrite
caterva,are
grex,are
area,area
arena,arena
nasci,arise
bracchialis,arm‐
armare,arm
bracchialis,arm
armus,arm
bracchium,arm
lacertus,arm
cathedra,armchair
ala,armpit
axilla,armpit
exercitus,army
legio,army
bracchium,arm of the sea
circa,around
adventus,arrival
advenire,arrive
pervenire,arrive
arundo,arrow
calamus,arrow
sagitta,arrow
anus,arse
culus,arse
podex,arse
cimex,arsehole
mæna,arsehole
ars,art
arteria,artery
arthritis,arthritis
cactus,artichoke
articulus,article
artifex,artist
sic,as
quia,as
quod,as
cinis,ash
spodium,ash
fraxinus,ash
quærere,ask
petere,ask
rogare,ask
petere,ask for
rogare,ask for
asparagus,asparagus
aspectamen,aspect
facies,aspect
bitumen,asphalt
asinus,ass
appugnare,assault
oppugnare,assault
coire,assemble
autumare,assert
assignare,assign
adiuvare,assist
adiutare,assist
iuvare,assist
assessor,assistant
auxiliator,assistant
minister,assistant
assessor,assistent
auxiliator,assistent
minister,assistent
coire,associate
asinarius,ass's
asininus,ass's
acerbus,astringent
austerus,astringent
