Other,English
април,april
травањ,april
август,august
коловоз,august
хрват,croat
хрватска,croatia
чех,czech
децембар,december
просинац,december
енглеска,england
енглескиња,english
енглез,englishman
енглескиња,englishwoman
фебруар,february
вељача,february
француз,frenchman
францускиња,frenchwoman
петак,friday
немачка,germany
њемачка,germany
бог,god
циганин,gypsy
јануар,january
сијечањ,january
јул,july
српањ,july
јун,june
лиспањ,june
март,march
ожујак,march
мај,may
свибањ,may
госпођица,miss
господин,mister
понедељак,monday
господин,mr
госпођа,mrs
новембар,november
листопад,october
октобар,october
роман,roman
субота,sabbath
енглез,sassenach
субота,saturday
рујан,september
септембар,september
србин,serb
недеља,sunday
неђеља,sunday
четвртак,thursday
уторак,tuesday
среда,wednesday
сриједа,wednesday
југославен,yugoslav
југословен,yugoslav
југославија,yugoslavia
југославен,yugoslavian
југословен,yugoslavian
у,a
когод,a
неко,a
погрешка,aberration
способан,able
иностранство,abroad
отсутан,absent
студент,academic
сагласитисе,accede
прихватити,accept
незгода,accident
пратити,accompany
хармоника,accordion
рачун,account
бол,ache
успех,achievement
успјех,achievement
преко,across
против,across
глумац,actor
глумица,actress
оглас,ad
адреса,address
збогом,adieu
галама,ado
непријатељ,adversary
оглас,advertisement
савет,advice
савјет,advice
адвокат,advocate
аероплан,aeroplane
авион,aeroplane
ствар,affair
љубав,affection
песма,afoot
пешице,afoot
пјесма,afoot
пјешице,afoot
опет,afresh
после,after
поподне,afternoon
опет,again
против,against
доба,age
сагласитисе,agree
циљ,aim
ваздух,air
авион,aircraft
аероплан,airplane
авион,airplane
аеродром,airport
пиво,ale
све,all
свуда,all
ођедном,all
опет,all
сви,all
сам,alone
веђ,already
такоде,also
иако,although
висина,altitude
све,altogether
увек,always
увијек,always
између,among
и,and
опет,anew
когод,any
неко,any
когод,anybody
неко,anybody
нешто,anything
негде,anywhere
негђе,anywhere
име,appellation
јабука,apple
рука,arm
војска,army
како,as
к,at
ка,at
сад,at
сада,at
тамо,at
ту,at
тетка,aunt
леђа,back
торба,bag
дијете,bairn
дете,bairn
балкон,balcony
берберин,barber
адвокат,barrister
купатило,bathroom
бити,be
радио,beam
кревет,bed
постеља,bed
бифтек,beefsteak
пиво,beer
после,behind
под,below
под,beneath
између,between
преко,beyond
комад,bit
цвијет,bloom
цвет,bloom
бомба,bomb
кост,bone
књига,book
обоје,both
грана,bough
дућан,boutique
радња,boutique
ковчег,box
слуга,boy
грана,branch
хлеб,bread
хљеб,bread
доручак,breakfast
мост,bridge
брат,brother
обрва,brow
зграда,building
канцеларија,bureau
ствар,business
али,but
већ,but
дугме,button
збогом,bye
довиђења,bye
веђ,by
шупа,cabin
ормар,cabinet
кафана,caf
способан,capable
аутомобил,car
карта,card
ствар,case
мачка,cat
столица,chair
соба,chamber
шофер,chauffeur
чек,check
сир,cheese
чек,cheque
ковчег,chest
дијете,child
дете,child
црква,church
цигарета,cigarette
биоскоп,cinema
град,city
варош,city
клас,class
клима,climate
ормар,closet
