Other,English
-able,-able
-able,-ible
-al,-ish
-al,-like
-er,-er
-iste,-er
-iste,-ist
-iste,-or
-ième,-th
-té,-ness
-té,-ship
-té,-ity
... à,... to
... à,from ... to
... à,of ... to
adn,dna
abkhasie,abkhazia
abkhasien,abkhazian
abyssin,abyssinian
abyssinie,abyssinia
achille,achilles
achéron,acheron
adam,adam
addis-abeba,addis ababa
aden,aden
adjarie,adzharia
adonis,adonis
afghan,afghan
afghane,afghan woman
afghanistan,afghanistan
africain,african
afrikander,afrikaner
afrikander,boer
afrique,africa
afrique du nord,north africa
afrique du sud,south africa
agamemnon,agamemnon
agathe,agatha
aix-la-chapelle,aix-la-chapelle
ajax,ajax
albanais,albanian
albanie,albania
albe,alva
albert,albert
alberta,alberta
alep,aleppo
alexandre,alexander
alexandrie,alexandria
alger,algiers
algérie,algeria
algérien,algerian
allemagne,germany
allemagne de l'ouest,west germany
allemand,german
allemande,german
allemande,german woman
alost,alost
alpes,alps
alpes graies,graian alps
alsacien,alsatian
amboine,amboina
amsterdam,amsterdam
américain,american
américain,us citizen
amérique,america
amérique centrale,central america
amérique du nord,north america
amérique du sud,south america
amérique septentrionale,north america
andalou,andalusian
andalouse,andalusian woman
andalousie,andalusia
andorre,andorra
andrinople,adrianople
anglais,englishman
anglais,sassenach
angle,englishman
angle,sassenach
angleterre,england
anglo-saxon,anglo-saxon
angolais,angolese
anne,ann
annibal,hannibal
annonciation,annunciation
annonciation,lady day
antarctique,antarctic
antillais,antillian
antilles,antilles
antioche,antioch
antoine,antony
anvers,antwerp
apache,apache
apache,hood
apache,ruffian
apennins,apennines
aphrodite,aphrodite
apocalypse,apocalypse
apollon,apollo
appalaches,appalachian mountains
aquitaine,aquitaine
arabe,arabian woman
arabe,arab
arabie,arabia
arcadie,arcadia
archimède,archimedes
ardennes,ardennes
argentin,argentine
argentine,argentina
argus,argus
ariane,ariadne
aristote,aristotle
armorique,armorica
arménie,armenia
arménien,armenian
arménienne,armenian woman
arras,arras
aryen,aryan
asiate,asian woman
asiate,asian
asiatique,asian woman
asiatique,asian
asie,asia
asie mineure,asia minor
asie du sud-est,sout-east asia
assomption,assumption
assyrie,assyria
assyrien,assyrian
asturies,asturias
atabasca,athabasca
athènes,athena
athènes,athene
athènes,athens
athénien,athenian
atlas,atlas
attique,attica
augias,augeas
auguste,augustus
aurigny,alderney
australie,australia
australien,australian
australienne,australian woman
autriche,austria
autrichien,austrian
babel,babel
babel,babylon
babylone,babel
babylone,babylon
babylonie,babylonia
bacchus,bacchus
balinais,balinese
balkans,balkans
baléares,balearic islands
bantou,bantu
barbade,barbados
barbe-bleue,bluebeard
barcelone,barcelona
barry,barry
barthélemy,bartolomew
basque,basque
batave,batavian
bavarois,bavarian
bavière,bavaria
belge,belgian
belge,belgian woman
belgique,belgium
belgrade,belgrade
benelux,benelux
bengale,bengal
benoît,ben
benoît,benedict
berlin,berlin
berlinois,berliner
bermudes,bermudas
berne,berne
bernois,bernese
bessarabie,bessarabia
bethléem,bethlehem
bible,bible
birman,burmese
birmane,burmese woman
birmanie,burma
boer,afrikaner
boer,boer
bohémien,bohemian
bohême,bohemia
bois-le-duc,bois-le-duc
bolivie,bolivia
bolivien,bolivian
boschiman,bushman
bosnie,bosnia
bosnien,bosnian
bosphore,bosporus
bouddha,buddha
brabant,brabant
brabançon,brabantine
bretagne,bretagne
bretagne,brittany
breton,breton
britannique,briton
bruges,bruges
bruxelles,brussels
brésil,brazil
brésilien,brazilian
bulgare,bulgar
bulgare,bulgarian
byzance,byzantium
bâle,basel
bâle,basle
bédouin,bedouin
cachemire,kashmir
calabre,calabria
californie,california
californien,californian
calvaire,calvary
calvaire,golgotha
calvin,calvin
cambodge,cambodia
cambodgien,cambodian
cambodgienne,cambodian woman
cameroun,cameroon
canada,canada
canadien,canadian
canadienne,canadian woman
cap-des-caissie,caissie cape
capitole,capitol
capricorne,capricorn
carpates,carpathians
carpates,carpathian mountains
carthage,carthage
carthaginois,carthaginian
cassandre,cassandra
castillan,castilian
castille,castile
catalan,catalonian
catalogne,catalonia
caton,cato
caucase,caucasus
caïn,cain
celte,celt
cendrillon,cinderella
cerbère,cerberus
ceylan,ceylon
ceylanais,ceylonese
chaldée,chaldea
chaldéen,chaldean
chanaan,canaan
chandeleur,candlemas
charlemagne,charlemagne
charybde,charybdis
chenal lost,lost channel
chili,chile
chilien,chilean
chine,china
chinois,chinaman
chinois,chinese
christ,christ
churchill,churchill
churchill,churchill river
chutes niagara,niagara falls
chypre,cyprus
chypriote,cyprian woman
chypriote,cypriot
cicéron,cicero
cléopâtre,cleopatra
coblence,coblenz
coblence,koblenz
cologne,cologne
colomb,columbus
colombie,colombia
colombie-britannique,british columbia
colombien,colombian
columbia,columbia
columbia,columbia river
comines,comine
congo,congo
congo,zaire
copenhague,copenhagen
coran,koran
cordoue,cordova
corinthe,corinth
cornouailles,cornwall
corse,corsica
corse,corsican woman
corse,corsican
corée,korea
corée du nord,north korea
corée du sud,south korea
coréen,korean
coréene,korean woman
costa rica,costa rica
costaricien,costa rican
courtrai,courtrai
cracovie,cracow
crimée,crimea
croate,croat
croatie,croatia
croix du sud,southern cross
crète,crete
cuba,cuba
cubain,cuban
cupidon,cupid
curaçao,curaçao
cyclades,cyclades
cypriote,cyprian woman
cypriote,cypriot
cérès,ceres
césar,caesar
côte d'ivoire,ivory coast
dakar,dakar
dalmate,dalmatian
dalmatie,dalmatia
damas,damascus
damoclès,damocles
danemark,denmark
danois,dane
danube,danube
dardanelles,dardanelles
dardanelles,hellespont
delphes,delphi
deutéronome,deuteronomy
diane,diana
dieu,god
diogène,diogenes
djibouti,djibouti
djibouti,jibuti
dominicain,dominican
dominique,dominica
douvres,dover
dunkerque,dunkirk
ecossais,scot
ecossais,scotsman
ecossaise,scotswoman
ecosse,scotland
ecriture sainte,bible
eden,eden
edimbourg,edinburgh
egypte,egypt
egyptien,egyptian
elbe,elbe
elbe,elba
empire romain,roman empire
enée,aeneas
eole,aeolus
epiphanie,epiphany
epiphanie,twelfth-night
erythrée,eritrea
escaut,scheldt
espagne,spain
espagnol,spaniard
espagnole,spanish woman
estonie,estonia
estonien,estonian
estonienne,estonian woman
etats-unis,united states of america
etats-unis,usa
ethiopie,abyssinia
ethiopie,ethiopia
ethiopien,ethiopian
etrusque,etrurian
etrusque,etruscan
euphrate,euphrates
europe,europe
européen,european
extrême-orient,far east
finlandaise,finnish
finlandaise,finnish woman
finlande,finland
finnois,finn
finnoise,finnish
finnoise,finnish woman
flamand,flemming
flandre,flanders
flandre zélandaise,dutch flanders
flessingue,flushing
fleuve churchill,churchill
fleuve churchill,churchill river
fleuve columbia,columbia
fleuve columbia,columbia river
fleuve fraser,fraser
fleuve fraser,fraser river
floride,florida
fortune,fortune
forêt-noire,black forest
france,france
francfort,frankfort
français,frenchman
française,frenchwoman
fraser,fraser
fraser,fraser river
frise,friesland
frison,frisian
gabon,gabon
galice,galicia
galicie,galicia
galles,wales
gallois,welshman
gand,ghent
gange,ganges
gaule,gaul
gaulois,gaul
genèse,genesis
genève,geneva
germain,german
germain,teuton
ghana,ghana
ghanéen,ghanaian
golfe d'aden,gulf of aden
goth,goth
graal,grail
graal,holy grail
grammont,grammont
grand lac salé,great salt lake
grand-sault,grand falls
grande-bretagne,great britain
grec,greek
grecque,greek woman
grenade,grenada
groenland,greenland
groenlandais,greenlander
groënland,greenland
groënlandais,greenlander
grèce,greece
guadeloupe,guadeloupe
guatemala,guatemala
guatémaltèque,guatemalan
gueldre,guelderland
gueldre,guelders
guinée,guinea
guinée equatoriale,equatorial guinea
guinée-bissau,guinea bissau
guyenne,aquitaine
gédéon,gideon
géorgie,georgia
géorgien,georgian
gênes,genoa
hambourg,hamburg
hannibal,hannibal
hanovre,hanover
hawaii,hawaii
haïti,haiti
hellade,hellas
helvète,helvetian
helvétie,helvetia
hercule,heracles
hercule,hercules
hermès,hermes
himalaya,himalayas
hippocrate,hippocrates
hollandais,dutchman
hollandais,hollander
hollande,holland
hollande septentrionale,north holland
homère,homer
honduras,honduras
hondurien,honduran
hondurienne,honduran woman
hong kong,hongkong
hongrie,hungary
hongrois,hungarian
hongroise,hungarian
hongroise,hungarian woman
hébreu,hebrew
hébreu,jew
hébrides,hebrides
hébrides,western islands
hélène,helen
ile kénosha,kenosha island
ile remprouix,remprouix island
ile d'anticosti,anticosti island
ile d'ellesmere,ellesmere island
ile de baffin,baffin island
ile de sable,sable island
ile de vancouver,vancouver island
ile du cap-breton,cape breton island
ile du diable,devil's island
ile-du-prince-edouard,prince edward island
iles de la reine-charlotte,queen charlotte islands
iles de la reine-elisabeth,queen elizabeth islands
iles normandes,channel islands
iliade,iliad
inde,india
indien,indian
indien,american indian
indienne,indian
indienne,indian woman
indochine,indo-china
indonésie,indonesia
indonésien,indonesian
indonésienne,indonesian woman
irak,iraq
irakien,iraqi
irakien,iraquian
iran,iran
iran,persia
iranien,iranian
iranien,persian
iranienne,iranian woman
iranienne,persian woman
irlandais,irishman
irlandaise,iriswoman
irlande,ireland
irlande du nord,northern ireland
islandais,icelander
islande,iceland
israël,israel
italie,italy
italien,italian
italienne,italian woman
jacob,jacob
jacques,jacob
jamaïque,jamaica
japon,japan
japonais,japanese
japonaise,japanese woman
java,java
javanais,javanese
javanaise,javanese woman
jordanie,jordan
jordanien,jordanian
joseph,joseph
josué,joshua
jourdain,jordan
juif,jew
junon,juno
jupiter,jupiter
jupiter,jove
jéricho,jericho
jérusalem,jerusalem
jésus-christ,jesus christ
kenya,kenya
kenyan,kenyan
khmer,cambodian
kremlin,kremlin
kurde,kurd
kurdistan,kurdistan
la havane,havana
la haye,the hague
lac léman,lake geneva
laos,laos
laotien,laotian
lapon,laplander
lapon,lapp
laponie,lapland
laponne,lappish woman
laponne,lapponian woman
laurentides,laurentian mountains
le caire,cairo
letton,latvian
letton,lett
lettonie,latvia
lettonne,latvian woman
leyde,leyden
liban,lebanon
libanais,lebanese
libye,libya
libyen,libyan
libéria,liberia
libérien,liberian
lierre,lyra
lisbonne,lisbon
lituanie,lithuania
lituanien,lithuanian
lituanienne,lithuanian woman
livonie,livonia
livonien,livonian
livourne,leghorn
liège,liège
liége,liège
londonien,londoner
londres,london
lorraine,lorraine
lorraine,lothringen
louvain,louvain
lucerne,lucerne
luxembourg,luxemburg
luxemburgeois,luxemburger
machiavel,machiavelli
mackenzie,mackenzie
mackenzie,mackenzie river
macédoine,macedonia
macédonien,macedonian
madagascar,madagascar
madone,madonna
madrid,madrid
mahomet,mohammed
mahomet,muhammad
majorque,majorca
malais,malay
malaisie,malaysia
malaisien,malaysian
malawi,malawi
mali,mali
malines,malines
malines,mechlin
maltais,maltese
malte,malta
mammon,mammon
mandchourie,manchuria
manille,manila
manitoba,manitoba
marc-en-barœul,marcus
marcq,marcus
mariannes,mariana islands
marie,mary
maroc,morocco
marocain,moroccan
maroni,maroni
mars,mars
marseille,marseilles
mathusalem,methuselah
maure,moor
mauritanie,mauritania
mauritanien,mauretanian
mayence,mayence
mecque,mecca
mercure,mercury
messie,messiah
messine,messina
meuse,meuse
mexicain,mexican
mexicaine,mexican woman
mexico,mexico city
mexique,mexico
milan,milan
minerve,minerva
moldave,moldavian
moldavie,moldavia
moluques,moluccas
moluquois,moluccan
monaco,monaco
mongolie,mongolia
monsieur,sir
monsieur,mister
monsieur,mr.
monténégrin,montenegrin
monténégro,montenegro
monégasque,monacan
moravie,moravia
more,moor
morphée,morpheus
moscou,moscow
moscovite,muscovite
moselle,moselle
moïse,moses
munich,munich
mycènes,mycenae
méditerranée,mediterranean
méduse,medusa
mélanésie,melanesia
mélanésien,melanesian
méphistophélès,mephistopheles
mésopotamie,mesopotamia
nabuchodonosor,nebuchadnezzar
namur,namur
nankin,nanking
naples,naples
napolitain,neapolitan
nemrod,nimrod
neptune,neptune
nicaragua,nicaragua
nicaraguayen,nicaraguan
niger,niger
nigeria,nigeria
nigérian,nigerian
nigérien,nigerien
nil,nile
nimègue,nimwegen
noir,negro
nord-américain,north american
nordafricain,north african
normand,norman
normand,northman
normand,norseman
norvège,norway
norvégien,norwegian
norvégienne,norwegian woman
nouveau-brunswick,new brunswick
nouvelle-ecosse,nova scotia
nouvelle-ecosse,nova skotia
nouvelle-galles du sud,new south wales
nouvelle-guinée,new guinea
nouvelle-orléans,new orleans
nouvelle-zélande,new zealand
noé,noah
néerlandais,dutchman
néerlandaise,dutch woman
némésis,nemesis
néo-zélandais,new zealander
népal,nepal
népalais,nepalese
océanie,oceania
océanie,oceanica
olympe,olympus
ontario,ontario
orange,orange
orcades,orkney islands
orcades,orkneys
orphée,orpheus
ostende,ostend
ostende,ostende
ostrogoth,ostrogoth
oural,ural
pacifique,pacific
pacifique,pacific ocean
pakistan,pakistan
pakistanais,pakistani
pakistanaise,pakistani
pakistanaise,pakistani woman
palestine,palestinian
palestinien,palestine
palestinien,palestinian
pan,pan
panam,paris
panama,panama
paname,paris
panaméen,panamanian
panaméenne,panamanian woman
pandore,pandora
papou,papuan
paris,paris
parisien,parisian
parthe,parthian
passe lower,lower narrows
pays-bas,holland
pays-bas,the netherlands
pentateuque,pentateuch
pentecôte,pentecost
pentecôte,whitsunday
persan,persian
persane,persian woman
perse,iran
perse,persia
petit poucet,tom thumb
philippin,filipino
philippine,philippine woman
philippines,philippine islands
philippines,philippines
platon,plato
pluton,pluto
pologne,poland
polonais,pole
polonaise,polish woman
polynésie,polynesia
polynésien,polynesian
poméranie,pomerania
pont-euxine,black sea
pont-euxine,euxine sea
porto,oporto
portugais,portuguese
portugaise,portuguese woman
portugal,portugal
prague,prague
proche-orient,middle east
protée,proteus
prusse,prussia
prussien,prussian
ptolémée,ptolemy
pâques,easter
pâris,paris
pégase,pegasus
pékin,peiping
pékin,peking
péninsule ministikawatin,ministikawatin peninsula
pénélope,penelope
pérou,peru
québec,quebec
rameaux,palm sunday
ratisbonne,ratisbon
reims,rheims
rhin,rhine
rhodésie,rhodesia
rhénanie,rhineland
rhône,rhone
richard,richard
rivière churchill,churchill
rivière churchill,churchill river
romain,roman
rome,rome
roumain,romanian
roumaine,romanian woman
roumanie,romania
rubicon,rubicon
russe,russian woman
russe,russian
russie,russia
républic dominicaine,dominica
sagittaire,sagittarius
sahara,sahara
saint-marin,san marino
saint-nicolas,saint nicholas
saint-nicolas,st. nicholas
saint-pétersbourg,saint petersburg
saint-sylvestre,new year's eve
sainte-hélène,saint helena
sainte-vierge,madonna
samarie,samaria
sardaigne,sardinia
sardaigne,sardina
sarde,sardinian
satan,lucifer
satan,satan
saturne,saturn
saxe,saxe
saxe,saxony
saxon,saxon
scandinave,scandinavian woman
scandinave,scandinavian
scandinavie,scandinavia
scylla,scylla
seine,sein
serbe,serb
serbie,serbia
seychelles,seychelles
siam,siam
siam,thailand
sibérie,siberia
sicile,sicily
sicilien,sicilian
sicilienne,sicilian woman
singapour,singapore
singapourien,singaporean
slave,slav
slavon,slavonian
slovaque,slovak woman
slovaque,slovak
slovaquie,slovakia
slovène,slovene
slovène,slovenian
slovénie,slovenia
somalie,somalia
somalien,somali
somalien,somalian
sophie,sofia
soudan,sudan
soudanais,sudanese
sparte,sparta
spitzberg,spitsbergen
strasbourg,strasbourg
styrie,styria
styx,styx
sud-africain,south african
sud-est asiatique,sout-east asia
suisse,switzerland
suisse,swiss
surinam,surinam
surinamien,surinamer
surinamien,surinamese
surinamienne,surinamese woman
suède,sweden
suédois,swede
syrie,syria
syrien,syrian
sémite,semite
sénégal,senegal
sénégalais,senegalese
séville,seville
tage,tagus
talmud,talmud
tamise,thames
tanger,tangier
tantale,tantalus
tanzanie,tanzania
tanzanien,tanzanian
tatare,tartar
tchad,chad
tchèque,czech woman
tchèque,czech
tchécoslovaque,czechoslovak
tchécoslovaque,czechoslovakian
tchécoslovaquie,czechoslovakia
terre-neuve,newfoundland
texan,texan
texane,texan woman
texas,texas
thaï,thai
thaïlandais,thai
thaïlandaise,thai woman
thaïlande,siam
thaïlande,thailand
tibet,tibet
tibre,tiber
tibère,tiberius
tibétain,tibetan
tigre,tigris
togo,togo
togo,togoland
tokyo,tokyo
toussaint,all hallows
toussaint,all saints' day
transylvanie,transylvania
troie,troy
troyen,trojan
trèves,treves
tunesie,tunisia
tunis,tunis
turc,turk
turin,turin
turkménistan,turkmenistan
turque,turkish lady
turque,turkish woman
turquie,turkey
ukraine,ukraine
ukraine,the ukraine
ukrainien,ukrainian
ukrainienne,ukrainian woman
ulysse,ulysses
union européenne,european union
uruguay,uruguay
valachie,walachia
valachie,wallachia
valence,valencia
varsovie,warsaw
vatican,vatican
vatican,the vatican
venise,venice
verseau,aquarius
victoria,victoria
vienne,vienna
viennois,viennese
viennoise,viennese woman
vietnamien,vietnamese
vietnamienne,vietnamese woman
viking,viking
visigoth,visigoth
vistule,vistula
viêt-nam,vietnam
volga,volga
volta noire,black volta
vosges,vosges
vulcain,vulcan
vulgate,vulgate
vénus,venus
vénus,evening star
wc,toilet
wc,wc
wallonie,wallonia
westphalie,westphalia
wisigoth,visigoth
yougoslave,yugoslav woman
yougoslave,yugoslav
yougoslave,yugoslavian
yougoslavie,yugoslavia
ypres,ypres
yukon,yukon
yukon,yukon river
yémen,yemen
yéménite,yemeni woman
yéménite,yemeni
zambie,zambia
zambien,zambian
zanzibar,zanzibar
zaïre,zaïre
zeus,zeus
zimbabwe,zimbabwe
zoulou,zulu
zélandais,zealander
zélande,zealand
abaissement,abasement
abaissement,decrease
abaissement,lowering
abaissement,abatement
abaissement,curtailment
abaissement,retrenchment
abaissement,adversity
abaissement,decay
abaisser,cry down
abaisser,cut up
abaisser,demolish
abaisser,pull to pieces
abaisser,run down
abaisser,write down
abaisser,abase
abaisser,decrease
abaisser,lower
abaisser,abate
abaisser,abridge
abaisser,lessen
abaisser,destroy
abaisser,ruin
abaisser,reduce
abaisser,draw
abaisser,make a stroke
abandon,abandonment
abandon,isolation
abandon,separation
abandon,acquiescence
abandon,resignation
abandon,cession
abandon,relinquishment
abandon,renunciation
abandon,surrender
abandonner,cede
abandonner,give in
abandonner,give up
abandonner,give way
abandonner,relinquish
abandonner,yield
abandonner,abandon
abandonner,forsake
abandonner,desert
abandonner,leave
abandonner,quit
abandonner,resign
abandonner,renounce
abandonné,abandoned
abandonné,helpless
abaque,abacus
abaque,ball-frame
abaque,counting-frame
abasourdir,puzzle
abasourdir,alarm
abasourdir,appal
abasourdir,dismay
abasourdissement,alarm
abasourdissement,consternation
abat-jour,lamp-shade
abats,offal
abattage,overthrow
abattage,subversion
abattage,courage
abattant,valve
abattement,apathy
abattement,demand
abattement,sale
abattement,alarm
abattement,consternation
abattement,grief
abattement,sadness
abattement,sorrow
abattement,melancholy
abattis,debris
abattis,rubbish
abattis,rubble
abattis,giblets
abattoir,abattoir
abattoir,slaughterhouse
abattre,butcher
abattre,slaughter
abattre,cut off
abattre,depress
abattre,dig up
abattre,excavate
abattre,grub
abattre,drop
abattre,overthrow
abattre,abase
abattre,weaken
abattre,break down
abattre,demolish
abattre,pull down
abattre,take down
abattre,kill
abattre,liquidate
abattre,slay
abbatial,abbatial
abbaye,abbey
abbesse,abbess
abbé,abbot
abbé,clergyman
abbé,pastor
abbé,priest
abc,abc
abcès,abscess
abdication,abdication
abdication,abandonment
abdiquer,abdication
abdiquer,cede
abdiquer,give in
abdiquer,give up
abdiquer,give way
abdiquer,relinquish
abdiquer,yield
abdiquer,abandon
abdiquer,submit
abdomen,abdomen
abdominal,abdominal
abducteur,abductor
abeille,bee
aberrant,aberrant
aberrant,crazy
aberrant,insane
aberrant,mad
aberrant,nuts
aberrant,abnormal
aberrant,absurd
aberration,craziness
aberration,insanity
aberration,lunacy
aberration,madness
abhorrer,abhor
abhorrer,abominate
abhorrer,loathe
abiogenèse,abiogenesis
abject,abhorrent
abject,abominable
abject,alien
abject,awful
abject,hideous
abject,horrible
abject,gruesome
abject,nasty
abject,abject
abject,abandoned
abject,base
abject,low
abject,vile
abjection,abjection
abjuration,abjuration
abjuration,renunciation
abjurer,abnegate
abjurer,abjure
abjurer,forswear
abjurer,swear off
abjurer,renounce
abkhasien,abkhazian
ablatif,ablative
ablation,removal
abnégation,abnegation
abois,agony
abois,death throes
abolir,abolish
abolir,abrogate
abolition,abolition
abolition,abrogation
abolitionniste,abolitionist
abominable,abhorrent
abominable,abominable
abominable,awful
abominable,hideous
abominable,horrible
abominable,gruesome
abomination,abhorrence
abomination,abomination
abomination,atrocity
abomination,horror
abominer,abhor
abominer,abominate
abominer,loathe
abondamment,abundantly
abondamment,in detail
abondance,abundance
abondance,plenty
abondant,abundant
abonder,abound
abonnement,subscription
abonné,subscriber
abord,access
abord,admission
abord,admittance
abord,relation
abord,understanding
abord,acquaintance
abord,approach
abord,encounter
abordable,accessible
abordable,approachable
abordable,communicative
