Other,English
-njos,below
(f.) Armãnã,Aromanian (person)
(m.) Armãn,Aromanian (person)
a featiljei,to the girl
a fratelui,to the brother
a fratslor,to the brothers
a hiljlor,to the sons
a hiljlui,to the son
a muljariljei,to the woman
a socrilor,to the fathers-in-law
a socrului,to the father-in-law
a stealilor,to the stars
a steaoljei,to the star
ac,needle
aclo,there
actsii,action
ãdreptu,straight
adzâ,today
aestâ,this
aestu,this
afla,find
aflâ,find
agudescu,to hit
ai,to have
aibâ,to have (1)
aistu,this
albã,white
albu,white
alghinã,bee
altâ,other
alti,other
altsâ,other
altu,other
am,"have, but, to have"
amalãmã,gold
amare,sea
amirã,king
an,year
ãn,in
ânchisi,entire
ancoa,to here
ândreptu,right
anghil,angel
ãngljatsã,ice
ãngljets,to freeze
anj,year
Ãnj-easte jale,Sorry
ânjos,below
anjurdzescu,to smell
ântribâ,ask
ântribâm,ask
ãntribare,question
ântribari,question
anu,year
ãnveastã,wife
aoa,here
apã,water
aparnjitâ,begining
ãplinu,full
aproape,near
arãdu,to laugh
arão,river
aratse,cold
arãu,river
arãu,bad
arbineascâ,albanian
arbinescu,albanian
arbore,tree
arbure,tree
architã,wing
ardu,"to burn, burn"
ari,to have
arinã,sand
ariz,barley
armân,aromanian
armãn,stay
armânâ,remain
armâneascâ,aromanian
Armãneashce,Aromanian (language)
armâneashti,aromanian
armânescu,aromanian
armâni,remain
armânji,aromanian
armânu,remain
arosh,red
arpã,wing
arthima,arrow
aruc,to throw
ascuchiu,to spit
asearã,yesterday
ashcergu,to wipe
ashi,this way
asime,silver
aslan,lion
atsel,that
atsia,here
au,to have
aua,here
aush,old (not young)
avdi,hear
avdu,"to hear, hear"
avdzâm,hear
avea,to have (1)
avea,to have
avea mãcatã,she had eaten
aveai,to have
aveam,"had, to have"
aveatâ,to have (1)
avem,to have
avgustu,august
azã,today
azboairã,to fly
banã,life
bânâtor,citizen
barbã,beard
bãrbat,husband
bãrbat,"man (adult male), man"
bârbatu,man
beau,to drink
biduclju,flea
birã,beer
bisearicâ,church
boatse,voice
bou,ox
bratsã,arm
broscã,frog
buburec,kidney
budzã,cheek
budzã,lip
buf,owl
bumbac,cotton
bun,good
bunâ,good
Buna dzuã!,Greetings!
buric,belly
ca,like
câ,that
cã,because
cad,to fall
cãfe,coffee
cafi,each
cafiringhie,brown
cai,who
cal,horse
caldu,warm
cale,road
canâ,no one
cãndu,when
cãne,dog
cânti,sing
cãntu,"to sing, sing"
cap,head
caprã,goat
cara,if
cãrbune,coal
cari,"who, which"
carne,meat
carte,paper
carte,letter (mail)
cârunâ,marriage
casã,house
cãsãbã,town
cash,cheese
câstânj,chestnut
cãtsut,knife
cãtushe,cat
ceae,tea
cheatrã,stone
cheatrã,rock
cheptu,breast
chiale,skin
chiatrã,stone
chicutã,drop
chiro,weather
chiro,time
Ciao!,Bye!
cicior,leg
cicior,foot
cileche,steel
cinushe,"ash, ash(es)"
cireashe,cherry
citie,roof
cljao,key
coadã,tail
coajã,skin
cornu,horn
corpu,body
cos,to sew
crivate,bed
cu,with
cuinã,kitchen
culã,tower
cum,"how, as"
Cum eshci? (informal),How are you?
Cum hits? (formal),How are you?
Cum ti chljamã?,What's your name?
cumshat,neighbor
cunoscu,know
cur,to flow
Da,Yes
dadã,mother
dau,"to give, give"
dauâ,two
deadun,together
delihea,truth
di,of
dictsionar,dictionary
dictsiunar,dictionary
dinte,tooth
diparte,far
disertu,desert
disi,if
dit,in
dit,in
dit,in
doi,two
dor,pain
dormu,to sleep
duc,carry
dumatã,tomato
