Other,English
-song,fart
(a)jiGë,cup
(š)dong,tooth
ab-,to take
äbe,father
abo,father
adal-,to herd
adali,similar
adëlë-,to herd
adëli,similar
aldë,fathom
ale-,to kill
alë-,to kill
alëG,variegated
alër,poorly grown
amang,mouth
amtëg,taste
an,to take
andaGa-,to let loose
andërëG,oath
angGi-,to gape
anžasun,plough
anžë-,to change
anži-,to change
anžisong,plough
apë-,to take
arë,molar tooth
arën,poorly grown
arGong,woven basket
aroG,woven basket
arsong,skin
arung,clean
asGë-,to ask
asong,horse(s)
asxë-,to ask
ba-,to defecate
badang,food
balang,ready
basong,excrements
batë,hard
be,I
bede,we
bei-,be located
beidong,thick
bël-,to attack
bëldë-,to prepare
bërgë,flea
bese-,enjoy
bežiGën,small
boGor,buttocks
bosong,louse
bosung,louse
bu-,to step
bü-,to step
bula-,to attack
chabsong,snow
chase (Abl.),thou
chasong,snow
chë(chi),thou
chëbchi-,mow
chënë (gen.),thou
chimxang,jujube
china,wolf
chirgë-,pull
chisong,blood
chixang,"ear, white"
chixë-,to stamp
chixë-,press into
chixong,ear
chiže-,nourish
cholë-,to pierce
chong,few
chongGë-,to pinch
chonglë-,to listen
chorë-,to pierce
chose,thou
chyna,wolf
da-,to be able to cut
da(r)-,to press down
dabsong,salt
daGa-,to follow
dali,shoulderblade
dandë-,trade
där-,become cold
dë-,to pull
de-Gong,above
degë-,to follow
derang,four
derong,four
desë-,to lay
desong,rope
dëu,younger sibling
doGë-,to mix
doGong,below
dolë-,to lick
dong,song
dorë,inside
du,younger sibling
dun,song
durë-,direct
dürge- (caus.),to be full
ebdëg,knee
eme,woman
emel,saddle
ene,this
ënggër,front of cloth
ere,man
ete,early
fda,sack
fdu,long
felang,red
fënë,smoke
fëre,descendant
fgu-,to die
ftë,long
fuda,sack
fulang,red
fune-,mount
fure,descendant
Gachir,land
Gadasong,nail
Gadë-,"to nail, to mow"
Gadër,sickle
ganžëng,agreement
Ganžir-,rabid
Ganžong,wall
gar,house
Gasong,nail
Gažir,land
Gažisong,intestines
ge-,say
gëbi,chute
ger,house
gëtëgulë-,to bend backwards
gi,without
gië-,to make
Gob-arang,thirty
Golai,robber
golGor,pheasant
Golo,far
Golsong,rush
Gomsong,finger-nail
gondë-,to freeze
Gor,"toe, short"
Gora,rain
Gorang,three
Gordong,rapid
GorGang,lamb
GorGei,insect
GorGi,insect
Gorudë-,collect
Gua-,to wash
Gua-,to divide
guandëlang,crosswise
Guar,two
gudal-,to move
gudel-,to move
Gui-,to search
gum,fat
gung,deep
Gura,rain
gužung,neck
ha-,who
habran,ten
halgë,palm of hand
halGolë-,to step
hamdë,together
hamër-,to rest
hamera-,to rest
hane,all
hani-,to close eyes
harwang,ten
hbar,clay
hdolë-,to chop
hdong,tooth
he-,be heated
helgë,liver
hergë,to be afraid
hgude-,to die
hodëg,larva
holër,floor
homsong,ashes
honë-,mount
hong,year
hongGë-,fart
hor,"nest, anger"
horë-,to wrap
hotong,feather
hu-,to rot
hun-de-,to smell
hže-,to walk
ine,this
jang,what
jasong,bone
jesi,stem
ju-,to walk
kalang,language
kamel-,to bite
kang,who
ke-,to make
kelang,language
kele,pregnancy
kele-,to say
kete,family
ki,wind
ki-,strike
kisong,navel
koge,green
kü,son
kugo,"breast, green"
kul,foot
kung,"son, person"
kungkang,light (not heavy)
kunte,difficult
kuntë,difficult
kuol,foot
kur-,to reach
kurëg,fragile
