Other,English
taagga segeli tabaa zdlaa,3 grayling're lying the shore
natl'edze tiil dazkaan,a beads container is there
tsenii ce'e zkaan,a big teapot is sitting there
dezk'aan'e yizkaan,a lamp is sitting there
"c'eney' nanetyaex, c'eneyy' neyaex",a mushroom is growing
tael 'egaat kadezniic,a rug is down on the floor
natael gha nahwkolnic,a story about natael
k'es t'aann' neyaex,alder leaves are growing
dziin uudih wutsoo etnah,all day long grandma worked
nadosi,ant
zidlii da?,are you cold?
ditsiin da?,are you hungry?
tuu da ndestlaan?,are you thirsty?
taghitnak da?,are you tired?
uggaan',arm
chahjakta' shah xah naholnik,at chahjakta's house
"sc'aen, sc'enggaay",baby
uggaay,baby rabbit
tsic'uus elt'uudze,back hat
dadzineh,be quiet
sos,bear cub
tsa',beaver
gigi,berry
ce'e,big
tsactsiy ce'e,big knife
ggaaggi,bird
ggaaggi natnedel,birds are flying around
"elt'uudze, lt'uudzi",black
sos,black bears
tsic'uus lt'uudzi,black hat
ts'ede',blanket
deldlaedze,blue
tsic'uus deldlaedze,blue hat
ciil,boy
eltsoghe,brown
tsic'uus eltsoghe,brown hat
nicuunn,bull moose
k'a'tse',bullets
ts'el,bush
lahleli,butterfly
detsiigi,calf moose
tets,cane
udzih,caribou
chahjakta' wuliik eetii,chahjakta's dog is sleeping
ut'aay,chest
sc'aen,child
ts'its'aange tedze,Chritmas Eve
yu',clothes
"'aani!, 'aann!",come here!
t'aghes t'aann' neyaex,cottonwood leaves are growing
deyaaze,cow moose
c'ena',creek
tutiil,cup
tsets 'itsael,cut some firewood
datl'edzi,dark blue
tsic'uus datl'edzi,dark blue hat
dzaenn,day
debae da nghil'aen'?,did you see any sheep?
tikaann da nghil'aen'?,did you see any wolves?
"kon' tsedze' da dizilaa?, tsets dizilaa da?",do you have firewood?
"kon' da dizilaa?, kon' dizilaa da?",do you have matches?
"sdi'its'ak da?, sdi'its'ak?",do you hear me?
nkenaege' da 'eldaditnes?,do you know native language?
tikaann da nil'aen?,do you see any wolves?
denae k'eh da hniyaes?,do you speak Athabaskan?
denae di'its'ak da?,do you understand athabaskan?
sdi'its'ak da?,do you understand me?
nekenaey' da di'its'ak?,do you understand our language
"luk'ae da 'eyni'izen?, luk'ae ini'izen?",do you want fish?
"tsaey da ndestlaan?, tsaey ndestlaan da?",do you want tea?
lic'ae,dog
lic'ae delkonaa' t'aax zdaa,dog is sitting under its house
lic'ae dekonaa' nildaagge zdaa,dog's sittin' in front house
lic'ae dekonaa' ghanii dezdaa,dog's sitting behind the house
lic'ae dekonaa' k'eze zdaa,dog's sitting beside the house
lic'ae dekonaa' yii zdaa,dog's sitting in its house
lic'ae dekonaa' k'et dazdaa,dog's sitting on its house
ts'unghastlaeggi,dolly varden
'ene',don't
ba',dry fish
c'etsen' ggan,dry meat
"dets'eni, t'aay",duck
dets'eni,ducks
tudi,eagle
k'edinc'ii,eight
xonah,enough
evelyn ditsiin,evelyn is hungry
evelyn k'ali' ditsiin,evelyn is not hungry
sta',father
lac'usk'a',fireweed
lac'usk'a' neyaex,fireweed is growing
tsedze',firewood
luk'ae,fish
taamaak luuk eedlah,fish is lying on the shore
'alts'eni,five
don',fly
dinc'ii,four
naggedze,fox
lice' neyaex,foxtails are growing
'ene' dazit'aenn,gdon't do that
'enn',get away
ts'akae ggaay,girl
tutiil yiit tsaey sle'ikaas,give me tea in a cup
cen'aay nde',give me the axe
"sc'aen sle'iltaes, sc'enggaay sle'iltaes",give me the baby
nde' tsactsiy ce'e,give me the big knife
ts'ede' sle'ilniis,give me the blanket
"k'a'tse' sle'ilae, nde' k'a'tse'",give me the bullets
"k'a' nde', k'a' sle'ditiis, nde' k'a'",give me the gun
k'a' sle'ditiis,give me the gun (1)
"tsic'uus sle'i'aas, ysic'uus sle'i'aas",give me the hat
tsactsiy nde',give me the knife
kentsiis sle'ilae,give me the moccasins
"denehtl'aa sle'ilniis, giligak sle'ilniis",give me the paper
nde' kanalkaede,give me the pocket knife
"laggaay sle'iltaes, liggaay sle'iltaes",give me the puppy
ts'es sle'i'aas,give me the rock
"nde' tsactsiy ggaay, tsactsiy ggaay nde'",give me the small knife
"'aas nde', nde' 'aas",give me the snowshoes
decen sle'ditiis,give me the stick
tsaey sle'ikaas,give me the tea
tuu sle'ikaas,give me the water
tutiil yiit tuu sle'ikaas,give me water in a cup
"'enn'!, stanohdael",go away
ugheli,good
xonahaan,goodbye
xax,goose
stsiye,grandfather
stsucdae,grandmother
tl'ogh,grass
"segele, segeli",grayling
lbaay,grey
tsic'uus lbaay,grey hat
"deyaann, deyh",grouse
k'a',gun
dezolts'ii,guys sit down
utsegha',hair
ten da ketnatghotl?,has the ice broken up?
tsic'uus,hat
tsic'uus,hats
kanaalyighilt'ak,he fell asleep
ts'ok t'aat neetii,he fell asleep under a spruce
ti'atnak,he got tired
tehbiil men yii tinilniik,he has set the net in the lake
men yii tehbiil tinilaa,he has the net set in the lake
t,he is
tsets dandelyae,he is carrying in wood
tuu naatkaal,he is carrying some water
"cheejil eht'iah, segeli lt'aes",he is cooking grayling
tsagh,he is crying
c'eldzes,he is dancing
tsaey tnaan,he is drinking tea
tuu etnaan,he is drinking water
c'eyaan,he is eating
luk'ae eyaan,he is eating fish
ugheli nlaen,he is fine
tuu katezyaa,he is going for water
staxacdetiis,he is going hunting
ditsiinn,he is hungry
"kon' dilk'aas, nakon'delk'aas",he is making a fire
k'ali'i ditsiinn,he is not hungry
"tuu na'atkaal, tuu naatkaal",he is packing water
delghos,he is playing
ghaltsel,he is running
nancnekaan',he is sewing
zdaa,he is sitting
ztaen,he is sleeping
nadzen,he is standing
c'ezes zogh,he is tanning a hide
taatnak,he is tired
natedaas,he is walking around
c'ena' k'aze loghayaal,he is walking by the creek
ts'itu' k'aze loghayaal,he is walking by the river
tes k'et natedaas,he is walking on the hill
dzel k'et natedaas,he is walking on the mountain
men baagha loghayaal,he is walking round the lake
ben ts'e' ghayaal,he is walking to the lake
dohdeldiix ts'e' ghayaal,he is walking to the school
c'utkaet ts'e' ghayaal,he is walking to the store
tsic'uus delt'eli nidel'aan,he is wearing a red hat
