Other,English
chemich,a half-year
zegen,a k. of grass
qobuz,a k. of musical instrument
az,a little
"jabahy, zabahy",a mass of hair
qoj-,abandon
"ohary, ör",above
achy,acid
"bohurdaq, boqqur",Adam's apple
taq-,add to
dahy-da,additionally
"zylqy, žylqy",age
xaua,air
žerk,alder
tiri,alive
bary,all
bla,also
eski,ancient
em,and
"öch, öpke",anger
müjüš,angle
qajyr,angry
ašyq,ankle joint
"kümursxa, qumurchxa, qumursqa, qumursxa",ant
alma,apple
saj,area covered with stones
"köl, qol",arm
"ok', oq",arrow
kiul,ash
"küjrüch, kürüch",ash tree
kül,ashes
elme,asp-tree
aba,aunt
"kiuz, küz",autumn
saq,aware
miz,awl
balta,axe
"arqa, arqa, art, kire, syrt",back
"aman, osal, tas",bad
borsuq,badger
qabuq,bark
arpa,barley
qysyr,barren cow
una-,be satisfied
minchaq,beads
aiu,bear
sakal,beard
ong-,become pale
unguruk,bed
qandahaj,bed-bug
bal chibin,bee
sipa,beer
qamažaq,beetle
qaryn,belly
qyjsaj-,bend
žilek,berry
"mijik, ullu",big
chapchaq,big vessel
"kahatli, quš",bird
qara,black
quwuq,bladder
"juwurhan, žürhan, zuwurhan, žuwurhan",blanket
alhyš,blessing
tomuraw,block
qan,blood
kök,blue
qaban,boar
"kayik, keme",boat
"boj, zat",body
abachy,bogy
"süek, süjek",bone
kitap,book
qojin,bosom
žaja,bow
mije,brain
butaq,branch
"jigit, zigit",brave man
ötmek,bread
"kökürek, töš",breast
këpür,bridge
jügen,bridle
kapindaš,brother
mor,brown
buha,bull
"gebehek, göbelekke",butterfly
buzow,calf
"baldyr, baltyr",calf of leg
tüje,camel
qoš,camping
žurt,camping-site
jau chirak,candle
börk,cap
syjpa-,caress
kichtik,cat
tuwar,cattle
"quw-, uw",chase
"uwurt, žyjaq",cheek
bichlak,cheese
balli,cherry
öšün,chest
chechek,chicken-pox
"bala, sabii",child
sakal tüp,chin
chaxar,city
tyrnaq,claw
qyppa,clew
bulut,cloud
"juwurt, zuwurt, žuwurt",coagulated milk
kömür,coal
erke,cockered
süq,cold
uwuz,colostrum
"chyh-, chyq-",come out
toj,community
chüjre,contrariwise
ušaq,conversation
"bahyr, zez",copper
žügeri,corn
mamuk,cotton
kengeš,counsel
žürek,courage
"ijnek, inek",cow
bohaq,craw
cholaq,crippled
qarha,crow
soq-,crush
"qychyr-, zyla-",cry
ajaq,cup
til-,cut in slices
andyz,cypress
qongur,dark brown
kiz,daughter
kelin,daughter-in-law
kün,day
ëlüm,death
iš,deed
teren,deep
kürt,deep snow
bü,deer male
üz-,demolish
kumlu tüz,desert
amyr,desire
buz-,destroy
alda-,device
chyq,dew
cëzlük,dictionary
ychxyn-,disappear
it,dog
ešek,donkey
eni alaiima tiime!,Don't touch me there!
ešik,door curtain
tüš,dream
tamiši,drop
quru,dry
bappuch,duck
"boq, tezgek",dung
ingir,dusk
bojaw,dye
kuch,eagle
qulaq,ear
syrha,ear-ring
suwalchan,earth-worm
"jaha, žaha",edge
etek,edge of cloth
zumurtqa,egg
pil,elephant
boš,empty
"üleš, ülüš",endowment
töz-,endure
duchman,enemy
quvan-,enjoy
küjük,envious
"ingir, kech, keche",evening
köz,eye
bet,face
üjür,family
azaw,fang
uzaq,far
"semiz, žau",fat
"aba, appa, ata",father
korkuu,fear
bajram,feast
tük,feather
kijiz,felt
ujük,felt stockings
tiši,female
kišen,fetters
egew,file
barmak,finger
"jüzük, züzük",finger ring
balas,fir tree
ot,fire
toqal,first wife in respect to other
"balyq, chabak",fish
bajraq,flag
jassy,flat and broad
bürche,flea
qaç-,flee
"jüz-, žüz-",float
un,flour
gül,flower
chibin,fly
chars,fog
"ajaq, but",foot
üchün,for the sake of
"bilek, syhanaq",forearm
"agach, cheget, orman",forest
qyrq,forty
tört,four
tawuq,fowl
tülkü,fox
sepkil,freckles
hëger,friend
chachaq,fringe
maqa,frog
"al, ally",front
ajaz,frost
žemiš,fruit
"toj-, tolu",full
öt,gall
baxcha,garden
sarysmax,garlic
tölü,generation
tany-,get to know
"sawha, syj",gift
sahaq,gills
oqa,gimp
qyz,girl
"jelim, zelim, želim",glue
qydyr-,go round
echki,goat
"allax, tejri",god
altin,gold
aryw,good
kaz,goose
žuburan,gopher
"aqr?n, aqyrtyn, aqyryn",gradually
bürtük,grain
jüzüm,grape
ot,grass
"jachil, žašil",green
boz,grey
chal,grey-headed
uw-,grind
jamyz,groin
konak,guest
"chach, qyl",hair
chach,hair of head
böksün,half of animal carcass
chögüch,hammer
kol,hand
uwuch,handful
sap,handle
qurch,hard of steel
qojan,hare
qalfaq,hat
baš,head
"sau, sav",healthy
jürek,heart
awur,heavy
teke,he-goat
kendir,hemp
tauuk,hen
"buwaq, qrau",hoar-frost
bal,honey
tör,honorary place in the house
tujaq,hoof
müjüz,horn
at,horse
ije,host
sagat,hour
üj,house
ulu-,howl
adam,human being
toqal,hummel
"jüz, züz",hundred
"ach, achik",hunger
men,I
buz,ice
al-da,in front of
sawut,instrument
qyt,insufficient
ich,interior of smth.
"-mu, -my",interrogative particle
temir,iron
qozha-,irritate
airikam,island
kichüw,itching
qumhan,jug
achxich,key
büirek,kidney
börek,kidney(s)
"tiz, tobuq",knee
ajran,kumys
köl,lake
qozu,lamb
toqlu,lamb (6m. old)
žer,land
til,language
chybyq,lash
byltyr,last year
chapraq,leaf
gön,leather
qajyš,leather belt
sol,left
"tüz, tüz-e-t-",level
"jalhan, žalhan",lie
"jaryq, ženggil, zengil, žengil",light
süj-,like
san,limb
erin,lip
gichche,little
bawur,liver
"jük, zük, žük",load
"awlaq, zanhyz, zanhyz, žanhyz, žanhyz",lonely
uzun,long
bit,louse
baz-,make a decision
toqmaq,mallet
erkek,man
köp,many
ürge,maple
žilik,marrow
"batmaq, batxaq",marsh
töšek,mattress
ülgü,measure
et,meat
es,memory
kelechi,messenger
orta,middle
"zumšaq, žumušaq",mild
süt,milk
tary,millet
cham,mockery
aj,month
syn,monument
köl,mood
keli,mortar
küje,moth
ana,mother
tau,mountain
cycxan,mouse
myjyq,moustache
awud,mouth
tüš-,move down
qadyr,mule
chüj,nail
"zalan, žalan",naked
at,name
tar,narrow
kindik,navel
"kerek, zumuš",necessity
bojun,neck
ijne,needle
aw,net
žanhy,new
körpe,new-born lamb
tün,night
sirke,nit
tüš,noon
burun,nose
-ma-,not
endi,now
ant,oath
qyngyr,oblique
tyj-,obstruct
ohur,occasion
bir,one
aš-ügü,one of cereal cultures
soxan,onion
özge,other
tyš,outer side
ögüz,ox
ajaz,palm of hand
tegene,pan
öt-,pass through
burchaq,pea
kertme,pear
syjyr-,peel off
qazyq,peg
"el, kiši",people
"chochxa, tonghuz",pig
qala-,pile up
"jastyq, zastyq",pillow
orun,place
talaw,plague
žon-,plane
ojun,play
saban,plough
žul-,pluck
"erik, erik",plum
chubar,pock-marked
ahu,poison
kösew,poker
"zarly, žarly",poor
-sy,possess. suffix (3d person)
küch,power
yrys,prediction
buwaz,pregnant of animals
zal,price
qoru-,protect
qyjyn,punishment
irin,pus
žuwaš,quiet
jurun,rag
"janhur, žawun",rain
kötür-,raise
qocxar,ram
qalyn,ransom for bride
"chij, chij, jaš, zaš, žaš",raw
tün,reality
oqu-,recite
qyzyl,red
qamiš,reed
chij,reed mat
qal-,remain
terge-,research
tyn-ym,rest
baj,rich
zomaq,riddle
ong,right
biš-,ripe
žol,road
qaja,rock
otow,room
baw,rope
chirik,rotten
qaltaq,rough
"tögerek, tomalaq",round
top,round thing
küjüz,rug
tot,rust
qap,sack
yjyq,sacred
ijer,saddle
