Other,English
tå'êê,after
Nin,animals
åanatr'aadal,annual gathering
Sreenanh dzhirh thoh,April
Iindlùu lèe,Are you cold?
shizhehk'oo,at home
Nin dichádh zrèe',August
Yikêîh åithithik'an,Aurora borealis
dàadhohnùu,be quiet (pl)
dàadhiinùu,be quiet (sg)
Treh,Bear Root
trih nahshìi,bear roots are growing
yeet'yee,before
thoh,belt
nè'tandijyaa,birds fly back
Dineech'ùh,Blackberry
Jàk zheii,Blueberry
dinjii nìihàa,camping
Drin Tsal,Christmas Day
K'oh,Clouds
khàh,club
aanàii,come here
tthak ts'àt aanàii!,come here all of you!
Natå'at,Cranberry
Drin,day
Khàhzhak zrèe,December
At'alèe shadòhtth'àk?,Do you (pl) understand me?
At'alèe shidìnittha'àk?,Do you (sing) understand me?
Troo lèe nidi'ìi?,Do you have firewood?
Kwàn' lèe nidi'ìi?,Do you have matches?
At'alèe gàhnàdandàii?,Do you know?
Divii lèe nah'ìi?,Do you see any sheep?
Lèe zhòh nah'ìi?,Do you see any wolf?
Lìdii lèe niidhàn?,Do you want tea?
Chuu lèe niidhàn?,Do you want water?
åâîî yichii,dogs barking
ànah!,Don't
vananh,during that time
ii'àa!,eat!
nihk'iidaang,eight
at'at!,enough!
Khaiints'àn',Fall
Sree Vananh Dak Na'eeda'aa,February
Atr'àå,Fog
shìh,food
"dââ, daang",four
Niht'yeedi'ee drin,Friday
ts'àt,from
bèebii shintl'ànahchìi,give me the baby
ts'át shintl'ánahchùu,give me the blanket
diik'ee chì' shintl'ànìlìin,give me the bullets
diik'ee shintl'àná'àii,give me the gun
srii shintl'ànà'àii,give me the knife
kaiitrih shintl'ànìlíi,give me the moccasins
dìnehtl'eh shintl'ànahchùu,give me the paper
lìdii shintl'ànàkàii,Give me the tea (in a cup)
chuu shintl'ànàkàii,give me the water (in a glass)
chii shintl'ànà'àii,give the rock
chii kánàhèe,go and get the rock
lìsel kànàhèe,go and get the salt
lìdii kànáhèe,go and get the tea
dhiinchìi!,go to sleep!
Tadhaa,golden eagle
Gwiinzìi,good
Drin gwiinzii,Good day
kheh van vee nahadìk,goose's walking round the lake
"tl'oo, ttlo",grass
shih,grizzly
"dzìh, tzih",gum
trèh,he is crying
aadzòo,he is dancing
lìdii dinìi,he is drinking tea
veenjit gwiinzìi,he is fine
nàhaazrìi,he is going hunting
"shòh dhidlìt, shòh nilìi",he is happy
shòh nilii kwaa,he is not happy
chuu eekàa,he is packing water
tsìidì'ìi,he is playing
aagàl,he is running
dhidìi,he is sitting
dhichìi,he is sleeping
