Other,English
…ka panakô?,…the bank?
…ka lumi ho`opaupilikia?,…the restroom?
he,a
kïpuka,A clear place
He niu,A coconut
He ipu no he po`i,A container a lid
honohono,A creeping grass
He i`a ko ke kai,A fish in the sea
He `upena,A fish net
'o'opu,a goby
He hâpu`u,A grouper (fish)
'ohia,A hard wood tree
halau,A hula school
`opihi `âlinalina,a kind of `opihi
leiwili,a kind of lei
he li`ili`i,a little
iki,A little
nui,a lot
nui loa,A lot
pune'e,A movable couch
maile,A native vine
Lua mau hola á me hapahá,A quarter past three
Hapahá á kahi,A quarter till two
He moa kâne,A rooster
naupaka kahakai,A spreading succulent shrub
He hâpu`u,A tree fern
He lâ`au ko uka,A tree in the upland
humuhumunukunukuäpua'a,A trigger fish
see-moi,A type of preserved seed
kali,abide
mana,ability
"i luna, luna",above
waiho,absent onself
"ho`i`ê, nô",absolutely
e kala mai ia`u,absolution
kanaka maoli,According to Pukui
Ke Kû i ka nu`u,Achievement
talking stink,act of saying negative things
pilau,addled
pahuleka,address
A hui hou,adieu
hânai,adopted
hänai,adopted child
Aloha,affection
hana hou,afresh
hope,after
`auinalâ,afternoon
hana hou,again
ho`onui,aggrandize
`Ahâ!,Aha!
mua,ahead
kôkua,aid
ea,air
hui mokulele,airline company
kahua mokulele,airport
kahua ho`olulu mokulele,Airport
auê,alas
pia,ale
kiawe,Algaroba tree
"a pau, apau, nâ mea a pau",all
ná pea ápau,All
hana hou,all over again
`Ololaiki!,All right!
kokoke,almost
Ke Aloha,Aloha
hua palapala,alphabet
kekahi,also
"i hea, i`ane`i, ma`ane`i",always
`âmene,amen
loko,among
he,an
kahiko,ancient
"a, a me",and
mâ,and others
a mahope ai au i ka hapuu,and then I ate fern roots
A `o `oe?,And you?
hana hou,anew
`ânela,angel
huhû,angry
holoholona,animal
Moloka'i Hoe,Annual Moloka'i to O'ahu race
naonao,ant
kahiko,antique
pu'u,Any kind of protuberance
inoa,appellation
püpü,Appetizer
'äpala,apple
kûpono,appropriate
`apelila,April
Aohe ou hilahila?,Are you not ashamed?
lihikai,area close to beach
'ewa,Area west of Honolulu
lima,arm
hó`ea,Arrival
hiki,arrive
pua,arrow
lehu,ash
nînau,ask
nînau,ask a question
kokua,assistance
hui,association
"i, i, ma, mai",at
ho`onui,augment
`aukake,August
"`anakê, Makuahine",aunt
`anakê,aunty
waena,average
kali,await
ala,awake
aku,away
hemahema,awkward
ko'i,axe
pêpê,baby
kua,back
pêkona,bacon
"`ino, pilau",bad
Maika`i `ole,Bad
hohono,bad-smelling
ukana,baggage
kamali`i,bairn
`oma,bake
kalua,Baked shredded meat
Ka Lôkahi,Balance
lanai,balcony
kinipôpô,ball (for games)
panaká,Bank
`aoa,bark at
palaoa huluhulu,barley
`ôlala,bask in the sun
`au`au,bathe
"hana, hono",bay
ola,be alive
akahele,be careful of
makemake,be willing to
kahakai,beach
pea,bear
'umi'umi,beard
"na`au, nani, u` i",beautiful
nahele nani,Beautiful forest
moe,bed
lumi moe,bedroom
meli,bee
`i`o,beef
`i`o pipi,Beef
pipi kaula,Beef jerky
bia,beer
pia,Beer
mua,before
hope,behind
`ôpû,belly
"na, no",belonging to
milimili,beloved
"iho, lalo",below
kûlou,bend down
lalo,beneath
mai,beside
`oi,better
loko,between
mea inu,Beverage
`ô aku,beyond
"paikikala, paikikalo",bicycle
"loa, nui",big
manu,bird
lá hánau,Birthday
"`âinahânau, one hânau",birthplace
`Ele`ele,Black
`êkaha kû moana,Black coral
"maka uli, uli ka maka",Black eye
`anâ`anâ,Black magic
makeke mawaho o ke kânâwai,Black market
Kai `ele`ele,Black Sea
ku`i hao,Black smith
uli mâhole ka ili,Black-and-blue skin
ôhelo `ele`ele,Blackberry
papa `ele`ele,Blackboard
ho`o pôuliuli,Blackout
kea,blank
makapô,blind
koko,blood
pua,bloom
uli,blue
"Polû, Uliuli",Blue
maka polû,Blue eyes
`ahina,Blue jeans
ali`I Uliuli,Bluebloods
"`ula, mea",blushing
`e`e,board
moku,boat
kino,body
maha`oi,bold
"E 'ai ka-kou (pl), E 'ai ka-ua (dl)",bon appetit
iwi,bone
puke,book
manakâ,boring
ali`i,boss
`ômole,bottle
pola,bowl
kâ,box
"boe, keiki, keikikâne",boy
kaikua`ana,boy's older brother
kaikuahine,boy's sister
kaikaina,boy's younger brother
apolima,bracelet
lâlâ,branch
pelena,bread
palaoa,Bread
'ulu,Breadfruit
po`i,break
`aina kakahiaka,Breakfast
ü,breast
ua po,bridge
uapo,Bridge
kônane,bright
kônane,brilliant
lawe mai,bring
ho`opae,bring shore
kaikua`ana,brother
kaikuanâne,brother of a sister
sea,brown
Palaunu,Brown
Nani ka `ili `ula`ula Hawai`i,Brown Hawaiian skin is beauty
palaki,brush
pâkeke,bucket
kûkulu,build
hale,building
pipi käne,bull
kanu,bury
ka`a `óhua,Bus
ka`aahi hale ho`olulu,Bus station
akâ,but
`A`ole ona puka,But no hole
waiûpaka,butter
pulelehua,butterfly
'ökole,Buttocks
pihi,button
"kû`ai aku, kû`ai mai",buy
"a, mai, o",by
A hui hou,bye
kâpiki,cabbage
kalakoa,calico
kâhea,call out
malihini,caller
mâlie,calm
kämelo,camel
kini,can
'auwai,canal
ihoiho,candle
kukui,candlenut tree
kanakê,candy
wa'a,canoe
kapu,cap
Honolulu,capital city
kâpena,captain
ka`a,car
kalamela,caramel
mâlama,care about
Ka Mâlama,Caring for one another
kôlea,carpetbagger
halihali,carry
pôpoki,cat
`enuhe,caterpillar
haole,Caucasian
ana,cave
ana,cavern
kelaki,celery
kanapî,centipede
ulua,Certain species of crevalle
noho,chair
poho,chalk
loli,changed
nânahu,charcoal
pâpa`a,charred
emi,cheap
papälina,cheek
Okole Maluna!,cheers!
Hipahipa!,Cheers!
waiüpa'a,cheese
umauma,chest
kamu,chewing gum
moa,chicken
huamoa,chicken egg
"Local version of ""goose bumps""",chicken skin
ali'i,Chief
"kama, kamali`i",child
keiki,Child
"kamali`i, keiki",children
nî`oi,chili pepper
hu`ihu`i,chilly
'auwae,chin
Páké,Chinese
mein,Chinese noodles
"tai chi, tai chi chuan",Chinese system of meditative
kokoleka,chocolate
Kristo,Christ
Hanau `ia Kristo ka haku,Christ the Lord is born
Kalikimaka,Christmas
halepule,church
hale pule,Church
kinamona,cinnamon
kûlanakauhale,city
papa,class
"ho`oma`ema`e, ma`ema`e",clean
ho`oma`ema`e,clean something
Ka Ma`ema`e,Cleanliness
ho`oma`ema`e,cleanse
maopopo,clear
no`eau,cleverly done
pali,Cliff
uaki,clock
pa`a,Closed
ao,cloud
kalaunu,clown
`âhui,cluster
länahu,coal
kô`ala,coals (to roast over)
kuka,coat
kôkô,cocoa
niu,coconut
mea wa`uniu,coconut grater
pulu,coconut husk
wainiu,coconut milk
haupia,coconut pudding
kope,Coffee
"anu, anuanu",cold
"kala, waiho`olu`u",color
Nâ Waiho`olu`u,Colors
hele mai,come
ho`i mai,come back
`Olu`Olu,comfortable
kauoha,command
ho`ohâlike,compare
Ka Ho`okûkû,Competitiveness
pau,completed
haku,compose
ho`okano,conceited
pohihihi,confusing
mau,constant
kâ,container
mau,continual
"ha`iha`i, kama`ilio",converse
"ho`omo`a, kuke",cook
pûlehu,cook on hot coals
mo`a,cooked
kuki,cookie
anu,cool
ma`alili,cool after being hot
Ka Laulima,Cooperativeness
keleawe,copper
`âko`ako`a,coral pieces
kihi,corner (outside point)
"'oiä'i'o, pololei",correct
pono,Correct
pulu,cotton
Ke Koa,Courage
hoahânau,cousin
"pipi, pipi wahine",cow
Paniolo,Cowboy
lua,crater
kolo,crawl
pupule,crazy
kalima,cream
kapakahi,crooked
'alalä,crow
kakani,crunchy
uê,cry
kûkû,cuckoo
ka`ukama,cucumber
"`oki, moku",cut
puahala,cut hala fruit
Moku ke po`o,Cut off my head
Moku ka hi`u,Cut off the tail
`oki`oki,cut up
kiuke,cute
poko,cutworm
pâpâ,daddy
Kamipulu!,Damn fool!
'olapa,Dancer
