Other,English
nari,100
puku,1000
nari ibua,200
ogu na ofu,21
ogu na abua,22
ogu na ato,23
ogu na ano,24
ogu na ise,25
ogu na isii,26
ogu na asaa,27
ogu na asato,28
ogu na itenani,29
ogu na ili,30
nari ato,300
ogu na ili na ofu,31
ogu na ili na abua,32
ogu na ili na ato,33
ogu na ili na ano,34
ogu na ili na ise,35
ogu na ili na isii,36
ogu na ili na asaa,37
ogu na ili na asato,38
ogu na ili na itenani,39
ogu abua,40
nari ano,400
ogu abua na ili,50
nari ise,500
ogu ato,60
nari isii,600
ogu ato na ili,70
nari asa,700
ogu ano,80
nari asato,800
ogu ano na ili,90
nari itenani,900
ugbo ala,a car
nnuku mmiri ga-ezo,a lot of rain will fall
"-bu, -bü",a past continuous action
maka,about
"-ra, -re, -tara, -tere",action in the past
tinye,add
mgbakö,adding up
mgbakö,addition
ugbo elu,aeroplane
ehihie,afternoon
"ügbö elu, ügbö elu",airplane
"dum, ncha, niile",all
onwu,alphabet
"-kwazi, kwaa",also
nà,and
ma na-adï oyi na abalï,and is cold in the night
"onye anglican, onye anglican",anglican
anü,animal
onwa-iri,April
agbe aka,arm
ka,as
-kwazi,as well
"n', na",at
na ülö ölü,at the office
onwa-abö,August
"njö, öjöö",bad
akpa,bag
ogede,banana
bü,be
nö,be present in location
"törö ütö, törö ütö",be tasty
agwa,beans
"mma, öma",beautiful
akwa,bed
obu,bedroom
mmanya,beer
n'okpuru,below
n'akükü,beside
ukwu,big
ijeri,billion
"oji, ojii",black
onye ojii,black man
gözie,bless
"atülü, blu",blue
"ügbö mmiri, ügbö mmiri",boat
ahü,body
akwukwo ogugu,book
ore akwükwö,book seller
"oga, onye isi",boss
uvuru íshì,brain
nrï ütütü,breakfast
kpörö,bring
Weta garri naira asaa,Bring garri worth of 7 naira
"weta, weta",bring in
Tinyekue ofe,Bring more soup
Weta afere,Bring your plate
-ta,brings an action to completion
azïza,broom
"nwa nne nwoke, nwa nne nwoke, nwannam, nwannem, nwannenwoke",brother
ili,bury
ohia,bush
anü öhïa,bush animal
anü öhïa,bush meat
mana,but
"gota, züö, züö",buy
"özü ahïa, özü ahïa",buyer
kodi,bye
kodi,bye-bye
ügbö ala,car
"buru, buru",carry
kwö,carry on one's back
jiakpu,cassava
onye catholic,catholic
silin,ceiling
etiti,center
oche,chair
"ta, ta",chew
"okuko, ökükü",chicken
"nwa, nwanta kïrï, nwatakiri",child
"umu aka, umuaka",children
ülö oriri,chop house
onye üka,christian
"üka, ulo uka",church
ìte ája,clay pot
"öcha, ücha",clean
elekere,clock
nso,close
ndiuno,close to home
akwa,cloth
"akwa, uwe",clothes
"urukpu, urukpu",cloud
aku oyibo,coconut
ede,cocoyam
"oyi, oyi",cold
bïa,come
si,come from
Bata n'ime onye ahïa,Come inside customer
"-la, -le",completed action
-go,completed the action
-bago,completing the action
gwámgwàmgwám,conumdrum
sie,cook
öka,corn
ögügü,count
ehi,cow
àyiyà,crawfish
okporo,cray fish
bee,cry
akpatï nrï,cupboard
"onye ahïa, onye ahïa",customer
ütütü,dawn
üböchï,day
ehihie,daytime
"onwa-asaa, onwa-isii",December
okpukpe,denomination
ndï mmepe obodo,development agency
gbasaa,dismiss
nsogbu,disturbance
I were agwa?,Do you have beans?
ï na-asü bekee?,do you speak english?
Ï chörö anü?,Do you want meat?
dibïa oyibo,doctor
nkita,dog
E metu nam ebe ahu!,Don't touch me there!
esogbuna,don't worry
Esogbuna; weta garri,Don't worry; bring the garri
"akwü, uzo",door
ndïda,down the road
mmanya,drink
nyaa,driv
nyaa,drive
ököchï,dry season
öbögwü,duck
"dum, niile",each
üzö,early dawn
nti,ears
"ajali, ala",earth
akükü,edge
mmuta akwukwo,education
asato,eight
ili na asato,eighteen
"ökülatrïk, vökülatrïk",electricity
enyi,elephant
ili na ofu,eleven
bekee,English
bata,enter
obodo bekee,europe
"dum, niile",every
lee anya,expect
oke ölü,expensive
anya,eyes
rïa örïa,fall ill
"ezi n'ülö, ndï be",family
ndiagu,far from home
nna,father
onwa-asatö,February
nwá nwányi,female child
kuta,fetch
ili na ise,fifteen
"mkpisi aka, mkpuru aka",finger
ökü,fire
mbü,first
azü,fish
ise,five
ala,floor
nri,food
okpa,foot
mkpisi,fork
ano,four
ili na ano,fourteen
ényì,friend
ga,future action
áñàra,garden egg
afüfa,garden eggs
ezi,genuine
nwata nwanyi,girl
nye,give
Nye m mmiri.,Give me water
"gaa, gaba",go
ma üzö,go early
ewu,goat
chukwu,god
Chi,God
"mma, öma",good
"ehihie öma, ezigbo efife, imela efife",good afternoon
ezi omume,good behaviour
"ezigbo ubosi, ubosi oma",good day
ezigbo mgbede,good evening
ezigbo nwoke,good man
"ezigbo ututu, isala chi, ütütü öma",good morning
"anyasi oma, ezigbo anyasi",good night
ka omesia or ka odi,goodbye
ka e mesïa,good-bye
Ka e mesïa; ka odi oge özö,Good-bye; till next time
abalï öma,good-evening
"ï bölachï, ütütü öma",good-morning
ütütü öma nke gï.,good-morning to you
ka chi foo,goodnight
clasï,grade
akwukwo ndu,green leaves
ala,ground
ndï,group
ntutu,hair
ökara,half
obo aka,hand
àkpa nseláka,handbag
áka ákwukwo,handwriting
anülï,happy
añuli easter,happy easter
añuli arö öfüü,happy new year
oge ugürü,harmattan period
Were ya,Have it
"dï, dï be",have the quality of
egbe,hawk
"o, ö, ya",he
o huru iko,he saw a cup
isi,head
isi mgbu,head-ache
nü,hear
elu,height
nye aka,help
ya,her
di ya,her husband
akwükwö ögwü,herbs
ebea,here
ugwu,hill
ya,his
jide,hold
uno,home
ülö ögwü,hospital
"ökü, ökü, vökü",hot
ülö oriri,hotel
elekere,hour
ulo,house
"kedu, olee",how
kedu,how are you?
Olee etu i si ere anü?,How do you sell meat?
Olee maka üböchï taa,How is the weather today
olee maka üböchï taa?,how is the weather today?
"alo, ole, one",how many
ego ole,how much
Ego ole ka m ji gï,How much do I owe you
Ego ole?,How much?
narï,hundred
di,husband
"m, mü",I
"ö dï mma, odi mma",i am fine
ana m aga ölü,i am going to work
ana m alü ölü na gra,i am working in gra
esi m na obodo bekee,i come from europe
abïara m ïlü ölü,i have come to work
ebi m,I live
Asusu Igbo,Igbo
onye igbo,igbo man
uwa ndi ìgbo,ìgbo world
"n', na",in
n'ime,inside
kama,instead of
chörö,intend to
-lu,intensification of the action
ime,interior
igwe,iron
"o, ö, ya",it
o bu akwa,it is a bed
o bu iko,it is a cup
o bu engwe,it is a monkey
o bu ite,it is a pot
o bu oké,it is a rat
o bu akwá,it is an egg
ö na-adï ökü na oge ehihie,it is hot in the day
ga-bü udu mmiri,it is rainy season
mesïa; aga-ewe ököchï,it will be the dry season
onwa-asaa,January
jesu kristi,jesus christ
nonye,join
njem,journey
onwa-mbu,July
onwa-iri na atö,June
nmanü-ökü,kerosine
igodo,key
gbu,kill
