Other,English
qobuz,a k. of musical instrument
qoha,a k. of reed
jelek,a k. of short coat
az,a little
baldyz,a man's wife's younger sister
japaha,a mass of hair
chimdik,a pinch
qoj-,abandon
iren-,abhor
johary,above
"achy, ažy",acid
"daa, daxy",additionally
"kenes, keneš",advice
emen-,afraid
"son, song",after
chochuq jatahy,afterbirth
"dahyn, daxa, jana, jane, jany",again
jylqy,age
tiri,alive
"barca, barcha, top",all
byla,also
"-j, -n",an ending of the 2d person
ata,ancestor
eski,ancient
dahy,and others
"öch, öpke",anger
"buchaq, buchqaq, müjüš, müvüš",angle
"tik, tuk",animal's hair
tobuq,ankle-bone
"qumurstqa, qumurstqu",ant
saj,area covered with stones
qol,arm
ordu,army
oq,arrow
tamur,artery
"kul, qoq",ashes
apaj,aunt
küz,autumn
biz,awl
balta,axe
tenggil,axle
"arqa, art, arxa",back
"engse, ense",back of the neck
jaman,bad
taz,bald
jumhaq,ball of wool
qabux,bark
arpa,barley
qysyr,barren cow
qysyraq,barren mare
jeri qanaty,bat
qavuš-,be brought together
bušurhan-,be disgusted
jeber-,be on one's way
bengze-,be similar
guzal,beautiful
qomuz,beetle
"kindik, qaryn",belly
qajyr-,bend
büjük,big
"capcaq, chapchaq",big vessel
quš,bird
qara,black
cheger,blackthorn
jorhan,blanket
alhyš,blessing
tomruq,block
qan,blood
kök,blue
gemi,boat
boj,body
kemyk,bone
"qojun, qojyn",bosom
emgek,bother
jaj,bow
kiriš,bow string
miji,brain
butaq,branch
"ekmek, etmek, ötmek",bread
"kökis, kökräk, töš",breast
"ijgen, jügen",bridle
jalpaq,broad
"qopqa, qova",bucket
qyjaq,bulb
buha,bull
baw,bundle
kebelak,butterfly
köt,buttocks
"buzuv, byzuv",calf
baldyr,calf of leg
"deve, tüje",camel
jurt,camping-site
"b'ork, bärik",cap
osal,careless
sypa-,caress
tuvar,cattle
bor,chalk
"av, quw-",chase
"jahaq, jajax, janax",cheek
alp,chief
"bala, cocka, gench",child
uluš,city
tyrnax,claw
balchyq,clay
bulut,cloud
süq,cold
chyq-,come out
eksik,common
toj,community
quma,concubine
uj-,conform
"bahyr, jez",copper
el,country
jürek,courage
öktem,courageous
inek,cow
kündeš,co-wife
