Other,English
"chuyil, jun chuyil",1.000.000
"jun toq, o'k'al",100
"chuy, otuk rox okob",1000
waqk'al,120
wuqk'al,140
kamuch',160
belejeb k'al,180
"kab toq, lajujk'al",200
cab chuy,2000
juwinaq jun,21
julajuj k'al,220
oxmuch',240
nik'aj or,30 minutes
ox toq,300
ox toq chuy,300.000
ox chuy,3000
kajmuch',320
o'much',400
nik'aj cient,50
oxk'al,60
oxk'al chuy,60.000
oxk'al lajuj,70
jumuch',80
lajujmuch',800
jumuch'lajuj,90
jun,a
sibalaj,a lot
mier,a while ago
"k'iäqtäj kanoq, tzaqkan, wonoba', wonobaj, xutuj, ya' kanoq",abandon
wonobam,abandoned
-xe' -pam,abdomen
kowinem,ability
mak'alik,able
man -riq tä -q'ij ri -al,abort
tzaqinem,abortion
"ajsik, ch-wi', chikaj",above
"ch'a'k, sipoj",abscess
tz'ububej,absorb liquid
q'ilonik,abstain
q'il -ib,abstain from something
k'iyal,abundance
"nim, tz'abem",abundant
yojtajisaj,abuse
"k'am, k'amaraik, k'amowaj, k'ulaj, kojo",accept
toj,accident
"achi'laj, uk'anik",accompany
banowik,accomplish
no'j jujunel,accord
q'alaj ch-e,according to what is known
tzijobelil,account
"ataj tzij, tzujuj, tzujunik",accuse
käbaj,accuse unjustly
tzujunel,accuser
naq'atisaj,accustom someone to something
k'ulam,accustomed
naq'atalik,accustomed doing of a way
k'amaninaq ch-e,accustomed to something
"bawik, q'oxowem, q'oxowik, rubuwik",ache
ch'äm,acidic
"t'orot'aq, wa",acne
pop,acontecimientos
"paxik', pixik'",acorn
na',acquaint one's self
ch'äm,acrid
ch'aqap,across
k'a'nanik,act in a mean way
ban je jas,act like
atinem,act of bathing
kämisaxik,act of being killed
balixik,act of being stuffed
tijoxik,act of being taught
patanijik,act of being useful
q'atuxik,act of being visitede
k'atik,act of burning
paqalem,act of climbing
pixabanik,act of counselling
oq'ej,act of crying
kunanik,act of curing
banowik,act of doing
"tijbem, tijbem, wa'im",act of eating
tzuqik,act of feeding
maltioxinik,act of giving thanks
benam,act of going
xukulem,act of kneeling
eta'manik,act of learning
k'aslem,act of living
q'oyolem,act of lying down
k'ulik,act of meeting
ik'owem,act of passing
yuq'unem,act of shepherding
räxq'än,act of turning green
chakunem,act of working
xukulem,act of worship
tz'ibanik,act of writing
ta'nik,action of asking
yuq',action of shepherding
"k'äqät, sak'äj, sak'äj",active
tz'inilik,activity
xul,Adam's apple
k'iar,add in number
chunaj,add lime
"tz'aqatisaj -uk', ya' -uk', ya' -wi'",add to
tiqbal,added piece
ajilabal,adding machine
tiqom,additional
tzajorin,adivino
to'tajem,adjournment
may,admire
mayij,admire someone
xan,adobe brick
xan,adobe wall
echbej,adopt
"q'o', wiq, wiqik, wiqo",adorn
"wiqom, wiqtal",adorned
"etz'balil, q'o'oj",adornment
nabe chq'wäch,advantage
pixabaj,advise
to' -wi',advocate
jikibanik,affirm
nak'alik,affixed
"rapaj, rapuj",afflict
räx ch'aych'obinaq,afflicted severely
k'äte na,after
k'äte ri',after that
wa re paq'ij,afternoon meal
chi,again
ri'jobik,age
ri'jite',aged
"sak'äj, sak'lajik",agile
tuk,agitate
pich',agorero bird
koj pa junam,agree
"ama' ja', tzam",aguardiente
nabejinaq,ahead
ch-wäch,ahead of
käq'iq',air
turbal,air conditioner
-alk'ual q'ij,albino
ajch'ami'y,alcalde auxiliar
q'abarik,alcoholism
saq nima tz'i',Aldebaran
lemob,alder tree
-wo saq,algae
ajch'ami'y,alguacil
k'aslik,alive
"-onojel, komon",all
nima juyub ch'uti juyub,all mountains
juntir,all of them
uj qonojel,all of us
juntir,all together
k'iaqat,allergy
pek'at,allergy of the skin
-xol ja,alleyway
ayin,alligator
"kuy, ya', ya' -q'ij",allow
"säqi'n, xa jubiq' -aj, xa jubiq' man ..",almost
"chbil -ib, sirilik, tukiel",alone
"chol, lem",alphabetize
wa'inaq chik,already eaten
"xuqijelo, xuqijelo",also
"porobal, teoxibal",altar
pune,although
aqän,altitude
amaq'el,always
yupulik,always has eyes closed
k'uxk'atik,always munch
"k'ux, p'o",amate
boron,ambrosia
laq'abej,ambush
are k'u ri',amen
"ch-xol, pa -nik'ajil",among
chbil -ib,among selves
jun,an
"ojer taq qa chuch qa qajaw, ojer taq qa mam, ojer taq qa tat qa nan",ancestors
"najtir, ojer kanoq",ancient
ojer tzij,ancient history
q'a'm ja,ancient Maya temple
il ja,ancient pyramid
wit,ancient type of axe
"nabe kanoq, najtir",anciently
"chi, k'ut",and
nojim q'anil,anemia
"oyowal, tzuru",anger
tak,anger easily
tzuk,angle
"ch'o'j, k'a'n, tuxtik",angry
ch'o'j,angry dispute
awaj,animal
xepoyil,animal fat
winaqal wächaj,animal which has greatly
toq'onel,animal which tends to gore
kut,animal who has lost its tail
"-aqan, -qul",ankle
achiote,annatto
esaj -tzijol,announce something
bixik,announcement
"chuy, tzuruj",annoy
eyawarinaq,annoyed
"soq', tz'utuj",anoint
bil,anoint with medicine
tz'utuninaq,anointed
"k'awex, k'uwex, noxti'",anona
"chi, chik, jule', jun chik, nik'aj chik",another
"-bixik, -tzij, -wäch, tzalij, tzelebal, tzelej",answer
sanik,ant
mul,ant hill
nij,antacid
Pan Choy,Antigua city
q'o'm,antique
xut',anus
xapachike,anything
tel,aperture
"je -ka'y, k'utunik, k'utwächinik, ka'yik, petik",appear
k'ut -ib,appear before
"je-petik, je -wächin, ri ali käka'y je käpe ri u nan",appear like
"ka'yibal, wächaj, wächibal",appearance
"na'bal, numikal",appetite
paq'apa -q'ab,applaud
"mansa'n, mansanix",apple
bilo,apply
chapik,apprehend
chapom,apprehended
eqomal,apprentice
chak patan,apprenticeship
"jetowik, naqajinik, qatik, qeb, qetetik",approach
k'iaqalik,appropriate
"-wa ra, alanta'r, lanta'r",apron
-chi' be,arch
ch'okoch'ik,arched
q'usulik,arch-shaped
yojkarik,argue
k'ulelanik,argument
chomanik,argumentative
yako,arise
t'um,arm
"-pa -k'alk'ax, -pam -k'alk'ax, miskiel, tlok, tolok'",armpit
"k'ok', q'om",aromatic
sukinay,aromatic plant
sutij -ij,around
tzurunik,arouse
"kolomaj, suk'umaj",arrange
tuq,arrear
"opanem, petem, petibal, ulik",arrival
"opanik, ulik",arrive
petinaq,arrived
"bitbik, sal, saramu'y",arrogant
"ch'ab, chap, k'iäqbal",arrow
chajirik,arson
iboch',artery
ch'ek,articulation
junam tä ruk',as though it were
paqalik,ascent
tatabela',ascertain
"chaj, xaq",ash
ch-chi',aside
"k'ot -chi', ta', tz'onojik",ask
ta' -tzijol,ask directions
ta' toq'ob,ask for a favor
ta' -tzijol,ask for information
ta' ch-e-ixoqil,ask for the hand of a girl
mej,ask humbly for something
ta' pa qajik,ask to borrow
warinaq,asleep
mejoral,aspirin
kämisanel,assassin
q'atel winaq,assaulter
tunum,assemble
eqle'n,assignment
xolotalik,assorted
jik,assuredly
k'awex,ast
"jas u-qul, jasanik",asthma
ajkajbalach,astrologer
kajbalach,astrology
tanabal,astronomical observatory
"no'j ch'umil, no'j ch'umil",astronomy
pa,at
aq'abil,at dawn
nabe kanoq,at first
cho ja,at home
"ch-ij, ch-ij",at its back
"chaq'äb, xq'eqal",at night
uxlaninaq,at rest
pa -xikin,at the corner of
ch-chi',at the edge
ch-aqan,at the foot of
jantaq,at times
aja'n q'or,atol of green corn
q'or ja',atole
uk'ia',atole drink
"joch', q'or pa xaro",atole made from corn dough
xchunaja',atole of corn
tzatz q'or,atole thick
ch'ek,attain
mach'ach'em,attentiveness
cholajil,attitude
nimol -ib,audacious
tiqom,augmented
"ch'utin nan, ik'anaxel, wi' ka'n ixoq",aunt
q'atbal tzij,authorities
"eqle'n, taqanik",authority
"ajtzi, q'änil",autumn
tzanabe',auxiliar
rokik na,available time
tzelej -wäch,avenge
oj,avocado
"q'at -wäch, xutuj",avoid
q'il,avoid a fight
k'ak'lej,await anxiously
k'aslik,awake
k'astajik,awaken
k'asuj,awaken someone
k'usum,awakened
k'astajibal,awakening
ch'ekenej,award
apanöq,away but nearby
ubik,away from speaker
"ikaj, ikiäj",axe
"nuch', wululik",baby
nuch' ala,baby boy
ch'iw,baby chicken
-uq ak'al,baby clothes
nuch' ali,baby girl
tzojtzoj,baby's rattle
chajil ak'al,baby-sitter
"ijaj, worachal",back
jik' -ib,back away
-pawa -aqan,back of a thigh
-ij -q'ab,back of the hand
eqanel,back packer
silikopim,backwards
"itzel, utz taj, utz täj",bad
itzel ak'al,bad boy
xex pa -chi',bad breath smell
xk'iaqat,bad child
yul xkinaj,bad ear
kiäqal saqil,bad fortune
susum,bad influence
istzal,bad luck
aqil,bad person
titatik,bad tempered
ajitz,bad witch
soposik,badly dressed
"etzelal, itzel, labal",badness
chim rech awex,bag
koxtar,bag for grain
awabal,bag for holding seeds
k'at,bag made of cords
Yuqum jolom patax,Baile del Pato
tujaj,bake
tujaj,bake bread
pajbal,balance
"ch'an -jolom, ch'anach'oj, t'an -jolom, t'ol -jolom, tol jolomaj",bald
xo'k,bale hook
"juk'olaj, sirisik, sursik",ball
perik'ok,ball for playing games
sälotil,ball of fuzz
juk'olaj ch'ipaq,ball of soap
juk'olaj,ball of something
sursik batz',ball of thread
poqwaj,ballgame
"pompo', pupu, xipun",balloon
"ak, sin",bamboo
"ankane'y, banano, inkine'y",banana
"bätz', botz'obal, pis",bandage
payu',bandana
po't,banner
"ula'bal, ula'nem",banquet
qasna',baptism
qasaj xe' ja',baptize
qasaj ja' p-wi',baptize by sprinkling
tok'opij,bar
tak'pij,bar a door
"k'opibal, tok'opibal",bar on door
tak'bal,bar to block door
"labal no'jil, lablaj no'j",barbarism
"qupil wi'aj, sokabal, sokal wi'aj",barber
qatzatzej -ware',bare teeth
"-ij che', jawajatik, jume'tal, ri jume't, wanajik",bark
"ti'onik, waq'awatik",bark dog
waynajik,bark happily
ch'awch'atik,bark of a puppy
tiyo'nik,bark with anger
"k'urupup, muqur, xoch'",barn owl
-xe' ja,basement
"chakäch, chaqäch, chikäch",basket
sotz',bat
"atinem, atinibal",bath
atinaj,bathe
"atinik, ch'aj -ib",bathe one's self
atinsaj,bathe someone
atinel,bather
atinibal,bathing place
ch'ajbal,bathwater
ch'ayanel,batterer
ch'o'j,battle
k'oli'k,be
sipanik,be a generous person
ban kieb -k'ux,be a hypocrite
k'o jastaq -e,be a person of means
ch'ani' kanoq,be abandoned
"kowinik, kuinik, na'w ch-e",be able to
ch'ijtajik,be able to withstand
k'ulam,be accustomed
miq'owik,be active
q'oxow -anima',be afflicted
"na' -ib, xij -ib",be afraid
jiq'aj -ib,be alarmed
"k'o -tukiel, wonokatik, wonwotik",be alone
may,be amazed
mayij -ib,be amazed at
nim -el wi ch-e,be amazed at something
man -ta' taj,be an idiot
tay,be asked
tz'onik,be asked for
silikopij,be backwards
tikiritajik,be begun
q'abax ch-ij,be blamed for something
nimarisäj -ib,be boastful
poq'owisaxik,be boiled
k'istaj -k'ux,be bored
alaxik,be born
"ch'ublinik, yamanik",be brilliant
muqutajik,be buried
sik'ixik,be called
"nake'ik, nake'ik, tz'inonik, xa k'olik",be calm
kowinik,be capable of
"ban kuenta, chajij -ib",be careful
qastzij -bij,be certain
"jaltajik, k'exo",be changed
ba'ik,be chewed
tewtatik,be chilly
cha'yik,be chosen
saqirisaxik,be clarified
q'alajinik,be clear
"t'ajajik, t'ajajik, xu'wik",be cold
ku'l -k'ux,be confident in something
sachik,be confused
yitz' -pam,be constipated
"oqanik, sipaj -ib, t'iq -ib",be contagious
"kikotik, tzetzat -wäch",be content
nebi'k,be cooked well
won -ib,be crippled
muchuchik,be crumbled
kunaxik,be cured
k'oqotaj,be cursed
moymot,be dark
man -ta taj,be deaf
"lik'ik'ik, makakik",be deep
"beyetajik, beyik",be delayed
sak'lajik,be diligent
"moymot ri kandela, moymotik",be dim
riqtajik,be discovered
"man -riq taj, man -ta tä tzij",be disobedient
t'ujuwik,be disturbed
bantaj,be done
kamulixik,be done a second time
achik'axik,be dreamed about
silowik,be drunken
kämisaj -ib che,be eager to do something
tijowik,be edible
k'ixik,be embarassed
tojinik,be emptied out
k'ech'ketik,be envious
junamtaj -uk',be equivalent
pak'i'k,be face up
kojonik,be faithful
peri'k,be fallen flat
nabejik,be fast
bosbotik,be fat
k'o q'aq' ch-ij,be feverish
balixik,be filled up
much'uch'ik,be fine
k'istaj,be finished
jikanel,be firm in work
nikowik,be flaming
potz'pobik,be flattened
riqtajik,be found
paxik,be fragile
k'ok'otik,be fragrant
ch'abej -ib,be friends
in kinel wi pa ri tinimit,be from somewhere
chemowik,be full
manal -ban,be funny
sipanik,be generous
juluwik,be glorious
nojtaj,be gluttonous
ke'xik,be gound
"mach'owik, mak'lajik",be gritty
miq'ow -jolom,be half-drunk
"tzayi'k, xekik",be hanging
"kikotik, miq'owil, tzetzat -wäch",be happy
chikopirik,be harmed by insect
nimal -ban,be haughty
ta'tajik,be heard
bajowik,be heavy
jok'ok'ik,be hoarse
t'iririk,be hot
"mach' -ib, mach'ach'ik, noqokik",be humble
tewtatik,be humid
numik,be hungry
kowixik,be hurried
ban kieb -k'ux,be hypocritical
man -ta' taj,be idiotic
qasaj q'ij,be idle
"chweq käk'ije' ri achi cho, k'ije'k",be in a certain place
"k'o -be wi, k'o kin-be wi",be in a hurry
chololik,be in a line
"junam, junam-chomanik, junam -tzij",be in agreement
