Other,English
atan,a castrated camel
ijdi,a curved knife
qaraq,a gentle address
"kepsen, kesmen",a gift of food to someone
belim-chi,a hysterical woman
büldürkön,a k. of berry
balhyn,a k. of bush
sary,a k. of falcon
körchök,a k. of fermented milk
"myja, žeken",a k. of grass
qobuz,a k. of musical
char terek,a k. of poplar
"želbegej, želegej, želek",a k. of short coat
žahalmaj,a k. of small hawk
aq chechek,a k. of tree
qars,a k. of upper clothes
az,a little
bir tike,a little bit
žabaha,a mass of hair or wool
chöngke,a metal vessel
jarhyn,a mongrel of a yak and cow
chymchym,a pinch
sojö,a sharp object
torpaq,a young calf
qoj-,abandon
"žerin-, žijirken-, žiren-",abhor
ör,above
qarahan,acacia
"daa, dahy, tahy",additionally
kengeš,advice
kerki,adze
ijmen-,afraid
song,after
žana,again
žylqy,age
aba,air
"tiri, tirik, tirü",alive
"barcha, top",all
minen,also
apej,an emphatic interjection
-ng,an ending of the 2d person
"eski, eski",ancient
jana,and
öpkö,anger
cher,anguish
aiban,animal
tük,animal's hair
žar,announcement
"kymurska, qumursqa",ant
alma,apple
örük,apricot
bürküt,aquila fulva
tögün,archness
saj,area covered with stones
"kol, qar, qary, qol",arm
qyjaq,armour
"jebe, ok",arrow
qobuq,arthritis of metacarpus
basa,as well
kül,ash
"kül, qoq",ashes
angyr-,astonished
qun-,attack
qunt,attention
apa,aunt
küz,autumn
saq,aware
miz,awl
balta,axe
"arqa, art, keri",back
"osol, žaman, žek",bad
saldar,bad influence
chobur,badly bred
taz,bald
chalhych,band
qaraqchy,bandit
"qabyq, qyrtyš",bark
arpa,barley
qysyr,barren cow
qysyraq,barren mare
žar-hanat,bat
qöš-,be brought together
žašy-,be lazy
una-,be satisfied
monchoq,beads
aiuy,bear
,beard
qylqan,beard of grain
közöl,beautiful
cholžuj-,become curved
ong-,become pale
toj-,become satiate
choloj-,become short
kepebet,bed
qantala,bed-bug
"aari, äry",bee
pivo,beer
qonguz,beetle
qonghurö,bell
körük,bellows
"karin, qaryn",belly
qur,belt
"qajyr-, qyjšaj-",bend
sakal,berad
qara-hat,berry
"bijik, chox",big
bekü,big joy
temene,big needle
chapchaq,big vessel
chal-,bind by throwing the rope
toz,birch bark
qajyng,birch tree
quš,bird
zang,bird dung
"bötög, kö",bird's stomach
qanchyq,bitch
"kara, qara",black
žürqan,blanket
alqyš,blessing
"kan, qan",blood
kök,blue
qaman,boar
"kaiyk, keme",boat
"boj, dene, syn",body
"cöök, söök",bone
kitep,book
üškü,borer
qojyn,bosom
emgek,bother
adyr,boundary
"žä, žaj",bow
kirich,bow string
ükök,box
më,brain
"kebek, typyn",bran
"butaq, chybyq, chybyq, tarmaq",branch
žigit,brave man
omur-,break off
"emchek, kökürök, töš, töš",breast
kömöldürük,breast strap
ömüldürük,breastplate
kelin,bride
"Köpürö, köpÿrö",bridge
žügön,bridle
žalpaq,broad
"aga, ini",brother
"kÿröx, qula",brown
möngkü-,buck
bür,bud
"buka, buqa, uj",bull
"bö, chü",bundle
köpölök,butterfly
"köt, žaja",buttocks
ujalaš,by one venter
"baldir, muzö",calf
baltyr,calf of leg
tel,calf sucking two milch-ewes
"tö, töö",camel
büra,camel stallion
qom,camel's pack-saddle
žurt,camping-site
tumaq,cap
syjpa-,caress
sazan,carp
art-,carry on back
kekirtek,cartilage
kechir,cartilage of the shoulderblade
myšyq,cat
siyir,cattle
abaj,caution
bor,chalk
