Other,English
kali,(multiplication)
sikit-sikit,a little
sepasang,a pair
suku,a quarter
sebentar,a while
dapat,able
"mengenai, tentang",about
berkenaan dengan,about (concerning something)
di atas,above
biasa,accustomed to (used to)
di seberang,across
pelakon,actor
pelakon,actress
campur,addition
alamat,address
nasihat,advice
kapal terbang,aeroplane
takut,afraid
selepas,after
selapas itu,after that
tengah hari,afternoon
"lagi, semula",again
umur,age
setuju,agree
udara,air
pramugari,air hostess
hawa dingin,air-con
lapangan terbang,airport
jam loceng,alarm clock
semua,all
hampir,almost
di sisi,alongside
"pernah, sudah, telah",already (auxiliary word for past tense)
juga,also
selalu,always
duta besar,ambassador
dan,and
di bucu,angle
marah,angry
"binatang, haiwan",animal
pengumuman,announcement
juruhebah,announcer (radio
jawab,answer
sebarang,any
maaf,apologise
apel,apple
"janji temu, temujanji",appointment
lebih kurang,approximately
arkitek,architect
lengan,arm
sekelilang,around
sampai,arrive
pelukis,artist
sebagai,as
naik,ascend
tanya,ask (a question)
minta,ask (for something)
pembantu,assistant
"di, pada",at
"di penjuru, di sudut",at the corner
sikap,attitude
ibu saudara,aunt
bujang,bachelor
beg,bag
kedai roti,bakery
baki,balance
bola,ball
pisang,banana
tukang rambut,barber
bakul,basket
bola keranjang,basket ball
mandi,bathe
bilik mandi,bathroom
pantai,beach
kacang,beans
"jambang, janggut",beard
cantik,beautiful
keindahan,beauty
"kerana, sebab",because
bilik tidur,bedroom
dahulu,before
sebelum,before (doing something)
"belakang, di belakang",behind
percaya,believe (trust)
di bawah,below
tali pinggang,belt
"di sebelah, sebelah",beside
antara,between
besar,big
bil,bill
burung,bird
hari jadi,birthday
patuk,bite
pahit,bitter
hitam,black
papan hitam,blackboard
darah,blood
tekanan darah,blood pressure
tiup,blow
biru,blue
bot,boat
badan,body
tulang,bone
buku,book
lahir,born
ketua,boss
taman bunga,botanical garden
kedua-dua,both
kotak,box
budak lelaki,boy
gelang,bracelet
otak,brain
roti,bread
makan pagi,breakfast
bawa,bring
terung,brinjal
penyapu,broom
abang,brother (elder)
adik lelaki,brother (younger)
adik-beradik,brother+sister+yourself (sibling)
perang,brown
perhentian bas,bus stop
perniagaan,business (trade)
ahli perniagaan,businessman
sibuk,busy
tetapi,but
mentega,butter
rama-rama,butterfly
oleh,by
di tepi,by the side
kuih,cakes
betis,calf (leg)
panggil,call
boleh,can
mampu,can afford
batal,cancel
kantin,canteen
kereta,car
hati-hati,careful
tukang kayu,carpenter
lobak merah,carrot
tunai,cash
kucing,cat
bunga kobis,cauliflower
siling,ceiling
pusat,centre
"abad, kurun",century
kerusi,chair
kapur,chalk
tukar,change
tajuk,chapter
murah,cheap
jualan murah,cheap sale (clearance sale)
pipi,cheek
keju,cheese
cek,cheque
dada,chest
ayam,chicken
ketua,chief
anak,child(ren)
kanak-kanak,children
orang Cina,Chinese
tahun baru cina,Chinese new year
gereja,church
