Other,English
atan,a castrated camel
"böldirgen, büldirgen",a k. of berry
myja,a k. of grass
qobyz,a k. of musical instrument
qoha,a k. of reed
jeleng,a k. of short coat
az,a little
baldyz,a man's wife's younger sister
jabahy,a mass of hair
šymqym,a pinch
as,a seed
qoj-,abandon
jijren-,abhor
ör,above
ala-ng-ha-s-ar,absent-minded
ašy,acid
tahy,additionally
kenges,advice
ijmen-,afraid
song,after
jylqy,age
tiri,alive
sawlaj,all
-ben,also
-ng,an ending of the 2d person
eski,ancient
"öpke, öš",anger
müjis,angle
asyq,ankle joint
qumyrsqa,ant
saj,area covered with stones
qol,arm
oq,arrow
tamyr,artery
küjriš,ash tree
"kül, qoq",ashes
elmen,asp-tree
aba,aunt
küz,autumn
saq,aware
biz,awl
balta,axe
"arqa, arqa, art, keri",back
sawyr,back of horse
engse,back of the neck
syrt,back part
"jaman, osal",bad
jut,bad weather
borsyq,badger
taz,bald
šaluw,band
qaraq,bandit
qabyq,bark
arpa,barley
qysyr,barren cow
jar-hanat,bat
qawyš-,be brought together
una-,be satisfied
közel,beautiful
ong-,become pale
qandalaj,bed-bug
"böjek, qongyz",beetle
qongyraw,bell
köräk,bellows
qaryn,belly
"qajyr-, qyjsaj-",bend
jelek,berry
"bijik, üjken",big
teben,big needle
šapšaq,big vessel
qajyng,birch tree
qus,bird
"bötege, böteke",bird's crop
qanjyq,bitch
qara,black
quwyq,bladder
"jurqan, juwyrqan",blanket
qan,blood
kök,blue
qaban,boar
keme,boat
"boj, syn",body
süjek,bone
qojyn,bosom
embek,bother
jaj,bow
kiris,bow string
qasnaq,brace joining the wheel hoop
myj,brain
"kebek, qavyz",bran
"butaq, šybyq, tarmaq",branch
jigit,brave man
ötpek,bread
omyr-,break off
"kökirek, tös",breast
"emšek, mämäj",breast (fem.)
jüwen,bridle
jalpaq,broad
qawha,bucket
buha,bull
šuw-maq,bundle
šege-r,bush
küpelek,butterfly
buzaw,calf
baltyr,calf of leg
tüje,camel
qos,camping
börk,cap
syjpa-,caress
art-,carry on back
kekirdevik,cartilage
mysyq,cat
šüjde,cerebellum
bor,chalk
jawyr,chap
"aw, quw-",chase
uwyrt,cheek-pouch
šešekej,chicken-pox
bala,child
bala-šaha,children
piskek,churn-staff
tyrnaq,claw
balšyq,clay
bulyt,cloud
juwyrt,coagulated milk
kömär,coal
erke,cockered
suwyq,cold
uwyz,colostrum
šahyr,colourless (of eyes)
"šyh-, šyq-",come out
toj,community
tus,companion
top,completely
ujys-,conform
mertik,contortion
üjir,convivial
jez,copper
el,country
jürek,courage
qapaq,cover
kündes,co-wife
ketik,crack
šolaq,crippled
qarha,crow
soq-,crush
qarlyhan,currant
til-,cut in slices
andyz,cypress
angqy-tingke,daffy
qajyzhaq,dandruff
qongyr,dark brown
kelin,daughter-in-law
is,deed
teren,deep
kürtäk,deep snow
bora,deer male
üz-,demolish
jyjy,dense
šöl,desert
buz-,destroy
šyq,dew
"kir, saz",dirt
"sön-, yšqyn-",disappear
ijt,dog
quwyršaq,doll
ešek,donkey
esik,door curtain
bohaz,double chin
syjraq,double shin bone
sep,dowry
tüs,dream
šöp,dregs
