Other,English
bikul,absolutely
dupahir,afternoon
phir,again
agay,ahead
havaa,air
sabh,all
paasay,along side
teek,alright
vee,also
naal,and
gussa,anger
saalaanaa,annual
javaab,answer
seb,apple
hunar,art/skill
rachnaa,article
jinna,as much
chachee,aunty
peeth,back
bhairhaa,bad
kagna,bangle
rich,bear
"soni, sundar",beautiful
agay,before
man,believe
pet,belly
paasay,besides
"badi, vadaa",big
lohaar,blacksmith
andhaa,blind
tan,body
hadee,bone
kitaab,book
peetal,brass
sah,breath
dalaal,broker
bhai,brother
agar,but
oont,camel
taupee,cap
gajer,carrot
phool gobi da,cauli-flower
ruk,cease
sadee,century
gal,cheek
paneer,cheese
chaatee,chest
hezaa,cholera
shair,city
darjaa,class
kapraa,cloth
coat,coat
mochee,cobbler
thunda,cold
aaja,come
taambaa,coper
parchaa,copy
desh,country
himat,courage
gaa,cow
fasal,crop
cheer,cut
daakoo,dacoit
taareek,date
pootri,daughter
din,day
hiran,deer
gal,dialogue
ganda,dirty
beemaaree,disease
jilhaa,district
kar,do
koota,dog
khota,donkey
darvaazaa,door
pee,drink
kaan,ear
"bhoomee, zameen",earth
poorab,east
khaa,eat
sampaadak,editory
himat,effort
athaaraa,eighteen
assee,eighty
vadaa,elder
haathee,elephant
giyaaraa,eleven
maalak,employer
vair,enemity
lekh,essay
shaam,evening
roz,everyday
sabh,everyone
pareekhiaa,examination
josh,excitement
aankh,eye
mooh,face
kaarkhaanaa,factory
gir,fall
mash-hoor,famous
door,far
kisaan,farmer
tez,fast
motaa,fat
pita,father
lagdi,feel
bukhaar,fever
khet,field
pandra,fifteen
teek,fine
angulee,finger
aag,fire
paanch,five
farsh,floor
moorak,foolish
pair,foot
jangal,forest
chad,forget
kilhaa,fort
chaar,four
chodaa,fourteen
chaalee,fourty
shukravaar,Friday
agay,front of
poornamaashee,full moon
bageechaa,garden
ut,get up
diye,give
jaa,go
bhakree,goat
sona,gold
changa,good
baba,grandfather
angoor,grapes
kabrastaan,graveyard
laalach,greed
dukh,grief
"maidan, zameen",ground
haath,hand
khush,happy
ih,he
sir,head
dil,heart
murgee,hen
itay,here
granth,holy book
garam,hot
ghantaa,hour
ghar,house
kinne,how many
kinnaa,how much
agar,however
sau,hundred
pati,husband
main,i
agar,if
vich,in
udyog,industry
"andar, vich",inside
nashaa,intoxication
lohaa,iron
ank,issue number
ih,it
kood,jump
jangal,jungle
laath,kick
diaaloo,kind
chakoo,knife
jheel,lake
thal,land
has,laugh
vakeel,lawyer
sheesha,lead
aagoo,leader
khabaa,left
kahaavat,legend
nimboo,lemon
korh,leprosy
paath,lesson
sun,listen
karzaa,loan
talaa,lock
lamba,long
vekh,look
nuksaan,loss
prem,love
aadmee,man
amb,mango
baazaar,market
davaa,medicine
yaad,memory
tareekaa,method
galtee,mistake
Somvaar,Monday
shaah,money lender
bander,monkey
mahina,month
maasak,monthly
chaand,moon
savaar,morning
mata,mother
gungaa,mute
kaum,nation
paasay,near to
garden,neck
navaa,new
amaavaasya,new moon
khabar,news
"akhbaar, akhbaar",newspaper
raat,night
nau,nine
unee,nineteen
navve,ninety
"naa, nahin",no
uttar,north
naak,nose
"nahin, naiyo",not
"hoan, hun",now
samandar,ocean
"achaa, teek",ok
puraanaa,old
upar,on
ek,one
sirf,only
sangtra,orange
baahar,out
pannaa,page
dard,pain
tauta,parrot
beemaar,patient
moar,peacock
nashphati,pear
mater,peas
kalam,pen
hairaanee,perplexity
davaa-khaanaa,pharmacy
kabooter,pigeon
maidan,plain
thaal,plate
khed,play
kavitaa,poetry
"keemat, mul",price
kaidee,prisoner
nafaa,profit
savaal,question
moolee,radish
chooha,rat
parh,read
rishte,relationship
sajaa,right
pakaa,ripe
nadee,river
luteraa,robber
kamraa,room
murgah,rooster
daur,run
udaas,sad
tankhaah,salary
sanicharvaar,Saturday
kahaavat,saying
bhangee,scavenger
doojaa,second
beej,seed
lagdi,seems
hosh,senses
naukar,servant
sat,seven
sataaraa,seventeen
sattar,seventy
ih,she
kameez,shirt
choati,short
gurdvaaraa,sikh temple
chandi,silver
bhen,sister
bait,sit
che,six
solaa,sixteen
aakaash,sky
patlaa,slender
chota,small
chechak,small pox
jarab,sock
mittee,soil
pooter,son
dakhan,south
bol,speak
vishesh ank,special issue
chamcha,spoon
jaasoos,spy
pauree,stair
foulaad,steel
ruk,stop
toofaan,storm
kahani,story
koochaa,street
taktaver,strong
garur,stubborness
gaahak,subscriber
chandaa,subscription
sooraj,sun
aitvaar,Sunday
kahaavat,tale
nalkaa,tap
das,ten
unnaa,that much
utay,there
oh,they
chor,thief
teraa,thirteen
teeh,thirty
ih,this
inna,this much
hajaar,thousand
galaa,throat
sut,throw
angootaa,thumb
veervaar,Thursday
shear,tiger
vaqt,time
teen,tin
sikhnaa,to learn
aj,today
tomater,tomato
kal,tomorrow
vee,too
kasbaa,town
ilaaj,treatment
pajama,trousers
sachaa,true
mangalvaar,Tuesday
phugree,turban
baaraa,tweleve
veeh,twenty
do,two
chacha,uncle
man,understand
kachaa,unripe
upar,upon
pind,village
ultee,vomitting
kandh,wall
dhobee,washerman
rastaa,way
asse,we
kamzor,weak
julaahaa,weaver
budhvaar,Wednesday
haftaa,week
haftaavaaree,weekly
"achaa, khooh",well
pancham,west
kee,what
kado,when
jadon,whenever
kithay,where
kaun,who
kis daa,whose
kyon,why
patni,wife
havaa,wind
khirkee,window
naal,with
kis naal,with whom
vich,within
bin,without
jakham,wound
kalaaee,wrist
likh,write
likhaaree,writer
saal,year
haan,yes
kal,yesterday
tu,you
naujavaan,young
