Other,English
"o, un",a
anumit,a certain
oarecum,a certain extent
rochie,a dress
amendă,a fine
puţin,a little
"abandona, părăsi",abandon
aberaţie,abberation
"aboli, desfiinţa",abolish
"despre, pe la",about
deasupra,above
în străinătate,abroad
absenţă,absence
zăpăcit,absent-minded
absorbi,absorb
belşug,abundance
abundent,abundant
accelera,accelerate
accent,accent
accepta,accept
accident,accident
împlini,accomplish
cont,account
contabil,accountant
acuzativ,accusative
"acuza, învinui",accuse
dobîndi,acquire
"act, acţiona",act
activitate,activity
actor,actor
adapta,adapt
adăuga,add
adăugat,added
adresă,address
se adresa,address oneself to
adjectiv,adjective
administraţie,administration
admiraţie,admiration
admira,admire
admite,admit
admis,admitted
impodobi,adorn
înaintat,advanced
adverb,adverb
reclamă,advertisement
sfătui,advise
scump,affectionate
Africa,Africa
"după, după ce",after
după amiază,afternoon
după aceea,afterwards
"din nou, iarăşi",again
"contra, impotniva",against
vîrstă,age
agenţie,agency
agent,agent
sprinten,agile
agita,agitate
acord,agreement
agricol,agricultural
ţel,aim
aer,air
aeroport,airport
deşteptător,alarm clock
Albania,Albania
album,album
alcool,alcohol
coborî,alight
viu,alive
"toată, toate, toţi",all
aliat,allied
"da voie, permite",allow
migdală,almond
de-a lungul,along
alpin,alpine
Alpi,Alps
deja,already
tot,also
altar,altar
deşi,although
în total,altogether
întotdeauna,always
sânt,am
ambiţios,ambitious
America,America
american,American
amabil,amiable
printre,among
amfiteatru,amphitheatre
acum o oră,an hour ago
străbun,ancestor
antic,ancient
"iar, şi",and
anecdotă,anecdote
înger,angel
"ciudă, mînie",anger
animal,animal
aniversare,anniversary
anunţa,announce
supăra,annoy
alt,another
furnică,ant
"oricare, orice",any
oricine,anyone
oricînd,anytime
"apărea, se ivi",appear
"apărut, părut",appeared
poftă,appetite
măr,apple
aprecia,appreciate
ucenic,apprentice
se apropria,approach
caisă,apricot
aprilie,April
arhitectură,architecture
Argentina,Argentina
aritmetică,arithmetic
braţ,arm
fotoliu,armchair
armată,army
"împrejurul, în jur, în jurul",around
aranja,arrange
aranjament,arrangement
sosi,arrive
ajunge,arrive at
ajuns,arrived
artă,art
articol,article
artist,artist
ca/ca de,as
de altfel,as a matter of fact
"pînă Ia, pînă le",as far as
pe lîngă,as well as
cenuşă,ashes
Asia,Asia
deoparte,aside
întreba,ask
ruga,ask (to do)
cere,ask for
aspect,aspect
aspirină,aspirin
măgar,ass
adunare,assembly
afirma,assert
asociaţie,association
şi lua răspunderea,assume responsibility
asigura,assure
minuna,astonish
mirare,astonishment
la,at
acasă,at home
atunci,at that time
totodată,at the same time
atlet,athlete
atlas,atlas
atom,atom
atomic,atomic
ispăşi,atone for
atroce,atrocious
"ataca, năvăli",attack
