Other,English
qaryn-taš,a relative
aažy,acid
"tähy, taxi",additionally
son,after
bile,also
-ng,an ending of the 2d person
öhhen,anger
"jüx, tüx",animal's hair
"qomusqän, qumusqa",ant
qol,arm
kül,ashes
"ardi, arGa, arxa",back
jaman,bad
porsux,badger
jenžux,bag
taz,bald
jumax,ball of wool
arfa,barley
jeresen,bat
toj-,become satiated
qonguraw,bell
Guš,bird
Gara,black
jorhan,blanket
Ga'n,blood
Gux,blue
tombyx,blunt
kimö,boat
senix,bone
"putax, pütax",branch
"ixit, jihit",brave man
"puzo, püzy",calf
"töje, töüvä, tüvi",camel
mišix,cat
jangax,cheek
jyrna'x,claw
palçyx,clay
bu'lyt,cloud
sox,cold
toola-,collide
töj,community
jyrüx,courage
kölex,cow
"kein, kiin",daughter-in-law
çyx-çu,dew
jyrax,distant
išt,dog
tel,dream
"Guru, Gury",dry
"tesex, tözex",dung
bojax,dye
Gulax,ear
syrha,ear-ring
suhulžun,earth-worm
jaxa,edge
"jymüdda, jymürdda",egg
"janggu, jengGo, jengko",elder brother's wife
boš,empty
gö'z,eye
"jiz, jüz",face
uzyx,far
"jah, semüs",fat
"aba, apa",father
qulaš,fathom
göfrix,female breast
oht,fire
balux,fish
syx-,fit into
çiçex,flower
tory,foal
aja'x,foot
ormän,forest
"qyrx, qyryx",forty
jul,fountain
tox,fowl
"t'iligu, tüligu",fox
paha,frog
aldy-,front
"doli', t'oly, töl-",full
öt,gall
samsax,garlic
qaavu,gate
teere-,gather
"tany-, täny-",get to know
qyz,girl
"baar-, paar-, var-",go away
tanru,god
jaxšy,good
çöp,grass
jäšil,green
koža,gruel
sach,hair of head
sachyx,hair on back of head
julur,halter
el,hand
už,handful
töšen,hare
baš,head
ahyr,heavy
pal,honey
c'ynah,hoof
mongyz,horn
"ac, at",horse
jüz,hundred
paža,husbands of sisters
"mee, meen",I
muz,ice
-mi,interrogative particle
munax,irrational
puhum,joint
"tizy, tüzy",knee
qöza,lamb
jer,land
cil,language
syxyr,large bovine
järfyx,leaf
qajyš,leather belt
jasmux,lentil
"tiz, tüz",level
jalhan,lie
jarux,light
"totax, totyx",lip
kiži,little
bahyr,liver
uzyn,long
bišt,louse
syxsyhan,magpie
toxmax,mallet
erkek,man
köp,many
ileh,marrow
söži,matchmaker
äht,meat
süt,milk
"dary, qonax",millet
meng,mole on the face
aj,month
göjngy,mood
ana,mother
daah,mountain
ahyz,mouth
"ju'ar, juxar",musk
aat,name
dar,narrow
"kintix, kinžix",navel
jaxyn,near
bojny,neck
jangy,new
gäži,night
purny,nose
-my-,not
"pir, pur, pyr",one
"sohan, sohän",onion
dašy,outer side
qoš,pair
öt-,pass through
kiši,people
serex,perforated
tongas,pig
jastux,pillow
tütülüx,pipe
sovan,plough
"örüx, örüx",plum
-sy,possess. suffix (3d person)
"bojahyr, bojy agyr",pregnant
soxur-,pull out
sal,rafter
jahmur,rain
"qošqor, qošqur",ram
Gyzil,red
"bar, par",rich
sax,right
jol,road
tür-,roll together
"bax, orxan, urxan",rope
gulylüx,round
enger,saddle
"duz, düž, tuz",salt
Gum,sand
aš-lyq,seed
jitti,seven
qyr-,shave
inžix,shin
qysGa,short
jahrä,shoulderblade
jan,side
elex,sieve
ciiry,skin
"cücyn, tyssy",smoke
jilyn,snake
to'ryx,soil
jür,song
kui,son-in-law
"sicha, sižä",sparrow
söz,speech
jaz,spring
jyldus,star
çaar-,stick in
xusax,stomach
daš,stone
sing-,submerge
jij,summer
güun,sun
tiräk,support
ter,sweat
Gurux,tail
jaš,tear
"an-dy (loc.), ang-a (dat.), dühü, tuu, u",that
"baar, par, vaar",there is
jox,there is not
ohry,thief
läšgi,thin
ii,thing
"bu, vu",this
"së, sën",thou
ming,thousand
jip,thread
"pohtax, poxtax",throat
parmax,thumb
"sor-, sur-",to ask
ir-,to be
jara-,to be beneficial
sun-,to be broken
"ça'-, çap-",to beat
"boo-, vol-, voo-",to become
syndyr-,to break
köm-,to bury
"çäinä-, çene-, küšä-",to chew
jum-,to close eyes
jih-,to collect
"gej-, gel-",to come
öxt-,to cover
jasa-,to create
pöx-,to curve
ül-,to die
"çöm-, çum-",to dive
iiç-,to drink
sür-,to drive away
ji-,to eat
kir-,to enter
ta'p-,to find
uš-,to fly
"be-, ber-, ve-, vë-, ver-, vër-",to give
"Gi-, Gii-",to go away
tut-,to grasp
ta't-,to hang
išti-,to hear
"jü'kür-, jugur-",to hurry
qoš-,to join
üldyr-,to kill
juhur-,to knead
"çök-, çöx-",to kneel down
bil-,to know
jala-,to lick
iri-,to melt
sax-,to milk
jama-,to patch
tü'-,to pour out
pas-,to press
sure-,to pull
sal-,to put
jah-,to rain
jet-,to reach
"mim-, min-, ming-",to rize
"dij-, edi-",to say
gör-,to see
sat-,to sell
pat-,to sink
"oht-, ohtyr-",to sit
"jaht-, uxla-",to sleep
"sova-, suva-",to smear
ex-,to sow
jar-,to split
ser-,to spread
dyr-,to stand
ju-,to swim
iher-,to twist
"a'tla-, jür-",to walk
ciš,tooth
"ahaç, ahaš, daal",tree
išky,two
joxba,unsubstantial
ala,variegated
hangly,vehicle
tamyr,vein
un,voice
bil,waist
gez-,walk through
tam,wall
"hyssy, jili",warm
"pax-, vax-",watch
su,water
"pise, piser",we
ne,what
ax,white
käm,who
kijyx,wild goat
jel,wind
tümlüx,window
qanat,wing
püre,wolf
"jowa, jöwa",wooden fork
jung,wool
"jaš, jel",year
sary,yellow
jaš,young
bala,young animal
orha,young maral
"singil, singne, singni",younger sister
