Other,English
milati,( 6 pp) to join
eva,( used to put emphasis )
saMpraapte,( when you have) reached/obtained
lajjyate,(1 ap) to be ashamed
sahate,(1 ap) to bear
yaachate,(1 ap) to beg
rabhate,(1 ap) to begin
vartate,(1 ap) to exist
labhate,(1 ap) to get
"edhate, vardhate",(1 ap) to grow
tvarate,(1 ap) to hurry
shikshate,(1 ap) to learn
rochate,(1 ap) to like
baadhate,(1 ap) to obstruct
gaahate,(1 ap) to plunge
shlaaghate,(1 ap) to praise
vandate,(1 ap) to salute
iikshate,(1 ap) to see
sevate,(1 ap) to serve
kampate,(1 ap) to shake
kaashate,(1 ap) to shine
smayate,(1 ap) to smile
bhaashate,(1 ap) to speak
svaadate,(1 ap) to taste
spandate,(1 ap) to throb
cheshhTate,(1 ap) to try
yatate,(1 app) to attempt
paaThayati,(1 pp
tyajati,(1 pp) to abandon
dashati,(1 pp) to bite
nindati,(1 pp) to blame
"dahati, oshhati",(1 pp) to burn
vahati,(1 pp) to carry
pachati,(1 pp) to cook
tarati,(1 pp) to cross
kroshati,(1 pp) to cry
shapati,(1 pp) to curse
kshayati,(1 pp) to decay
arhati,(1 pp) to deserve
bhajati,(1 pp) to divide
karshhati,(1 pp) to draw
pibati,(1 pp) to drink
khaadati,(1 pp) to eat
glaayati,(1 pp) to fade
patati,(1 pp) to fall
stravati,(1 pp) to flow
anukaroti,(1 pp) to follow
jvalati,(1 pp) to glow
sarati,(1 pp) to go
shochati,(1 pp) to grieve
rohati,(1 pp) to grow
tapati,(1 pp) to heat up
dravati,(1 pp) to melt
charati,(1 pp) to move
japati,(1 pp) to mutter
kR^iDati,(1 pp) to play
sha.Nsati,(1 pp) to praise
"avati, rakshati",(1 pp) to protect
shrayati,(1 pp) to reach
smarati,(1 pp) to remember
"aTati, bhramati",(1 pp) to roam
yajati,(1 pp) to sacrifice
gadati,(1 pp) to say
gaayati,(1 pp) to sing
siidati,(1 pp) to sit
jighrati,(1 pp) to smell
vapati,(1 pp) to sow
vadati,(1 pp) to speak
tishhThati,(1 pp) to stand
vasati,(1 pp) to stay
grasate,(1 pp) to swallow
vamati,(1 pp) to vomit
archati,(1 pp) to worship
khanati,(1 up) to dig
mantrayate,(10 ap) to consult
niyantrayati,(10 pp) to control
arthayate,(10 pp) to request
kshaalayati,(10 pp) to wash
pujayati,(10 pp) to worship
rachayati,(10 up) to arrange
taaDayati,(10 up) to beat
saantvayati,(10 up) to console
gaNayati,(10 up) to count
bhakshayati,(10 up) to eat
"kathayate, kathayati",(10 up) to narrate
piiDayati,(10 up) to oppress
ghoshhayati,(10 up) to proclaim
paalayati,(10 up) to protect
danDayati,(10 up) to punish
chorayati,(10 up) to steal
chintayati,(10 up) to think
tolayati,(10 up) to weigh
modate,(1ap) to rejoice
hasati,(1pp) to laugh
harati,(1pp) to take (away)
chalati,(1pp) to walk
brahmachaariNau,(2)bachelors
taapasau,(2)penance-doers
svapati,(2pp) to sleep
jaayate,(4 ap) to be born
yudhyate,(4 ap) to fight
manyate,(4 ap) to think
kupyati,(4 pp) to be angry
maadyati,(4 pp) to be glad
kshudhyati,(4 pp) to be hungry
tushhyati,(4 pp) to be pleased
shraamyati,(4 pp) to be tired
nahyati,(4 pp) to bind
lubhyati,(4 pp) to covet
shushhyati,(4 pp) to dry
kusyati,(4 pp) to embrace
muhyati,(4 pp) to faint
pushhyati,(4 pp) to nourish
nashyati,(4 pp) to perish
vishyati,(4 pp) to pierce
sidhyati,(4 pp) to reach
shaamyati,(4 pp) to stop
daamyati,(4 pp) to tame
asyati,(4 pp) to throw
kshubhyati,(4 pp) to tremble
shaknoti,(5 pp) to be able
shruNoti,(5 pp) to hear
shR^iNoti,(5 pp) to listen
mR^iyate,(6 ap) to die
limpati,(6 pp) to anoint
pR^ichhati,(6 pp) to ask
lumpati,(6 pp) to break
sR^ijati,(6 pp) to create
kR^intati,(6 pp) to cut
nR^ityati,(6 pp) to dance
vindati,(6 pp) to find
muJNchati,(6 pp) to loosen
kR^ishati,(6 pp) to plough
mR^iishati,(6 pp) to ponder
kirati,(6 pp) to scatter
dishati,(6 pp) to show
majjati,(6 pp) to sink
siJNchati,(6 pp) to sprinkle
sphurati,(6 pp) to throb
kshipati,(6 pp) to throw
spR^ishati,(6 pp) to touch
ichchhati,(6 up) to wish
aakaashaat.h,(abl.S)from space or sky
anumaanaat.h,(ablat.)from guessing or induction
gurutvaM,(abstract noun)greatness;weeightiness
brahmaM,(Acc.S)the great self
pravartaka,(adj m) a promoter
nirastapaadapa,(adj) barren
namya,(adj) bendable
tikta,(adj) bitter
niila,(adj) blue
samaakula,(adj) confused
samaahita,(adj) content
sphuTatara,(adj) crystal clear
vakraa,(adj) curved
paapavaasaniik.h,(adj) desirous of sin
maanavii,(adj) done by human
galita,(adj) dropped off
aarthika,(adj) economic
aSTau,(adj) eight
naitika,(adj) ethical
"agha.MmanaH, durmanaH",(adj) evil-minded
aliika,(adj) false
sthuulaH,(adj) fat
paNca,(adj) five
samudita,(adj) flourishing
catvaraH,(adj) four
mariichimaalin.h,(adj) garlanded with rays
lobhaavishhTa,(adj) greedy
sa.nhR^ishhTa,(adj) happy
niraamaya,(adj) healthy
guru,(adj) heavy
magna,(adj) immersed
akshama,(adj) incapable
amaanushha,(adj) inhuman
GYaatachara,(adj) known
parimita,(adj) limited to
saN^kuchit.h,(adj) limitted
stoka,(adj) little bit
"diirghaa, diirghaH",(adj) long
prauchchaarita,(adj) loud
aadhunika,(adj) modern
naviinam.h,(adj) new
nava,(adj) nine
shaasakiiya,(adj) of the government
praachiinam.h,(adj) old
ekaH,(adj) one
kaalabaahyam.h,(adj) outdated
sphiita,(adj) prosperous
saaTopa,(adj) proud
prakaashita,(adj) published
parusha,(adj) rough
sapta,(adj) seven
hrasvaa,(adj) short
sadR^isha,(adj) similar
SaT,(adj) six
paTu,(adj) skilled
achala,(adj) still
R^ijuH,(adj) straight
sthuula,(adj) strong
kavaliikR^ita,(adj) swallowed
dasha,(adj) ten
kR^ishaH,(adj) thin
trimsat.h,(adj) thirty
trayaH,(adj) three
paaradarshaka,(adj) transparent
viMsati,(adj) twenty
dvau,(adj) two
anaahuta,(adj) un-invited
agochara,(adj) unknown
asaumya,(adj) unpleasant
niratiyasha,(adj) unsurpassed
shveta,(adj) white
nirvaata,(adj) windless
"pR^ishhThataH, upari",(adv) above
bhR^isha,(adv) ample
kendre,(adv) at the centre
sahasaa,(adv) hastily
koNe,(adv) in the corner
antaH,(adv) inside
kevalaM,(adv) merely
samiipe,(adv) near
yethechchayaa,(adverb) at will
puurvaaphalguni,(also just puurvaa)
vasantau,(and) Spring season
sharadaH,(autumnal seasons) years
sthuulashariira,(bahuvriihi) big-bodied
suhR^id.h,(bahuvriihi) friend
chakraaakaara,(bauvriihi) wheel-shaped
pramadaH,(become) proud or arrogant
GYaanavihinaH,(but)bereft of knowledge  of the Self
aasaadaya,(causative of aa+sad) resort to
anuchaaraya,(causative of anu+car) follow
chintaya,(causative of cit) to think
utpaataya,(causative of ut+pat) produce
bahujanasukhaaya,(dat.Sing.) for he happiness of many
bahujanahitaaya,(dat.Sing.)for the welfare of many
prajaanaaM,(dative of)people
puNyaaya,(Dative S) for virtu
sukhaleshaH,(even a little) happiness
viithi,(f)  road
suuchii,(f) (sewing) needle
mJNjushhaa,(f) a box
shR^iN^khalaa,(f) a chain
raJNjanaa,(f) a giver of delight
bahuraashhTriyasaMsthaa,(f) a multinational corporation
garbhiNii,(f) a pregnant woman
avadhiiraNaa,(f) a repulse
aaryaa,(f) a respected woman
poTalikaa,(f) a sack
suraN^gikaa,(f) a small tunnel
shvastika,(f) a symbol of hatred
parNakuTii,(f) a thatched hut
kashaa,(f) a whip
maalaakaarii,(f) a woman selling flowers and garlands
niMbhuminyak.h,(f) a woman who can't get enough
naTii,(f) actress
sabhaa,(f) assembly
pR^ishhThabhumikaa,(f) background
tulaa,(f) balance
shayyaa,(f) bed
madhumakshikaa,(f) bee
dvichakrikaa,(f) bicycle
kuupii,(f) bottle
ishhTikaa,(f) brick
vadhuu,(f) bride
sammarjanii,(f) broom
droNii,(f) bucket
durghaTanaa,(f) calamity
dinadarshikaa,(f) calendar
kulyaa,(f) canal (carrying water for irrigation)
sikthavartikaa,(f) candle
shatapadii,(f) centipede
mariichikaa,(f) chillies
daghibaaga,(f) Chinese take-out
ghatii,(f) clock
shavapetikaa,(f) coffin
samitii,(f) comittee
ahamahamikaa,(f) competition
chulli,(f) cooking fire
lataa,(f) creeper
karkaTi,(f) cucumber
nidhaanikaa,(f) cupboard
yavanikaa,(f) curtain
yashhTikriiDaa,(f) dandia (a dance using wooden sticks)
nartakii,(f) danseuse
"duhitaa, duhitaH",(f) daughter
snushhaa,(f) daughter-in-law
usaH,(f) dawn
abhiyaachanaa,(f) demand
bhojanashaalaa,(f) dining room
paaJNchaalikaa,(f) doll
aakaarikaa,(f) doorbell
antaHpeTikaa,(f) drawer
avakarikaa,(f) dustbin
vasundharaa,(f) earth
praachii,(f) east
aarthikaniiti,(f) economic policy
sampaadikaa,(f) editor
shuNDaa,(f) elephant's trunk
pradarshinii,(f) exhibition
apekshaa,(f) expectation
kaniinikaa,(f) eyeball
nikR^itii,(f) falsehood
prathaa,(f) fame
saJNchikaa,(f) file
vaaTikaa,(f) garden
anilachulli,(f) gas (LPG)
kiN^kiNii,(f) ghungroo
shuNThii,(f) ginger
"kumaarii, kumaarikaa",(f) girl
ajaa,(f) goat
pautri,(f) granddaughter (son's daughter)
pitaamahi,(f) grandmother (father's mother)
maataamahi,(f) grandmother (mother's mother)
draakshaa,(f) grapes
dantapaalii,(f) gums
shirovedanaa,(f) headache
kukkuTii,(f) hen
gR^ihagodhikaa,(f) house lizard
mashii,(f) ink
praGYaa,(f) intelligence
kunchikaa,(f) key
paakashaalaa,(f) kitchen
chhurikaa,(f) knife
prayogashaalaa,(f) laboratory
niHshreNikaa,(f) ladder
bhiNDiH,(f) ladies-finger
adhyaapikaa,(f) lady teacher
"kshaNaprabhaa, saudaaminii",(f) lightning
parimiti,(f) limits
aavali,(f) line
kanishhThikaa,(f) little finger
cheTii,(f) maid
agnipetikaa,(f) matchbox
agnishalaakaa,(f) matchstick
medhaa,(f) memory
"jyotsnaa, kaumudii",(f) moonlight
mataH,(f) mother
aakhyaa,(f) name
kaNThabhuushhaa,(f) necklace
"patrikaa, vR^ittapatrikaa",(f) newspaper
suutrikaa,(f) noodles
udiichii,(f) north
saN^khyaa,(f) number
dhaatrii,(f) nurse
vedhashaalaa,(f) observatory (weather
priyamvada,(f) one who speaks agreeable things
saMsthaa,(f) organisation
kuurchikaa,(f) paint brush
madhukarkaTi,(f) papaya
tapasyaa,(f) penance
lekhanii,(f) pencil
anumati,(f) permission
veNii,(f) pigtail
naalikaa,(f) pipe
sthaalikaa,(f) plate
argasiM,(f) pleasure
kavayitrii,(f) poetess
aarakshikaa,(f) policewoman
raajaniti,(f) politics
baashhpasthaalii,(f) pressure cooker
randhrikaa,(f) punching machine
raaGYii,(f) queen
aakaashavaaNii,(f) radio
raN^gavalli,(f) rangoli
bhushuNDii,(f) rifle
"nadi, nimnagaa, saritaa",(f) river
kshepaNii,(f) rocket
suuchikaa,(f) safety pin
siikataa,(f) sand
shaaTikaa,(f) saree
chashhakaadhaanii,(f) saucer
maapikaa,(f) scale
paaThashaalaa,(f) school
kartarii,(f) scissors
darvii,(f) serving spoon
gaayikaa,(f) singer
svasaH,(f) sister
avaachii,(f) south
yojinii,(f) stapler
pratimaa,(f) statue
sarani,(f) stream
vidyaarthinii,(f) student
shailii,(f) style
sharkaraa,(f) sugar
purvi,(f) sunrise
gariimaa,(f) superiority
aushhadhasuuchii,(f) syringe
utpiiThikaa,(f) table
gulikaa,(f) tablet
tintriNii,(f) tamarind
pravR^itti,(f) tendency
sayanthini,(f) that belongs to the evening
sthalaa,(f) tiles (on the floor)
jivhaa,(f) tongue
javanikaa,(f) towel
