Other,English
milione,1 000 000
diphello tsa 3D,3D effects
mothalo wa 3D,3D shading
pono ya 3d,3d view
dikete tse nne,4.000
Ngaka e rutwa wa dihlare,A doctor is taught medicine
hanyenyane,a little
haholo,A lot
Tsela sa baeti,A road for travellers
Saga morung o motsho?,A saw in a black forest?
mosotho,a Sesotho speaking person
Monna e molelele e mosweu?,A tall white man?
Sefate se tsejwa ka ditholwana,A tree is known by its fruit
"dithikgwi, thikgwi",aardwolf
matlakeng,aasvoëlberg
Matlakeng,Aasvoëlberg mountain
mmadibolwana,abacus
"lahla, ngala, nyahlatsa, tlohela, tlohela",abandon
kokobela,abate
"dilagapala, selagapala",abattoir
"dimpa, mpa",abdomen
kwetela,abduct
bokgoni,ability
kgona,able
sa tlwaelehang,abnormal
"bodulo, madulo",abode
fedisa,abolish
motala,aboriginal
nyopisa,abort
"dinyopiso, ho ntsha mpa, nyopiso",abortion
nyopileng,abortive
mabapi,about
hodimo,above
mose,abroad
bosiyo,absence
bua ka pelo,absent minded
"leemediqho, maemediqho",absolute pronoun
ho hang,absolutely
monya,absorb
"kakaretso, sa bonweng",abstract
hloka kelello,absurd
nala,abundance
"ditlatlapo, tlatlapa, tlatlapo, tshebediso e fosahetseng",abuse
"leoka, maoka",acacia
"akhademi, diakhademi",academy
phakisa,accelarate
akofisa,accelerate
seakofisi,accelerator
senyolla lebelo,accelerator pedal
"ditokodiso, tokodiso",accent
amohela,accept
amoheleha,acceptable
"dikamohelo, kamohelo",acceptance
amohetse,accepted
ditokelo tsa ho kena,access rights
"dikotsi, kotsi",accident
ka tshohanyetso,accidental
dikotsi,accidents
ditlatse,acclaim
tlwaetsa,acclimatise
felahetsa,accompany
"batlatsi, motlatsi",accomplice
phetha,accomplish
"dikoriana, koriana",accordion
"akhaonte, diakhaonte",account
"akhaontente, diakhaontente",accountant
thutatshupatlotlo,accounting
nepo,accuracy
nepahetseng,accurate
"diqoso, qoso",accusation
qosa,accuse
"baqosuwa, moqosuwa",accused
"baqosi, moqosi",accuser
"bohloko, mahloko, opa",ache
atleha,achieve
"bodila, diesiti, esiti",acid
"dihloba, sehloba",acne
"tlwaela, tlwaetsa",acquaint
"ho tseba tsohle, tsebano",acquaintance
phumano,acquisition
lokolla,acquit
"ditokollo, tokollo",acquittal
"rapalla, rapalletse",across
"melao, molao",act
Aktiniamo,Actinium
"diketso, ketso",action
sebedisa,activate
mafolofolo,active
"kopantshano e mafolofolo, tsela e sebetsang",active link
ramafolofolo,activist
"ditshebetso, tshebetso",activity
"dibapadi, sebapadi",actor
hantlentle,actually
bohale,acute
manganga,adamant
tjhorisa,adapt
eketsa,add
"lekgoba, makgoba",addict
bokgoba,addiction
kekeletso,addition
eketsang,additional
"aterese, buisa, diaterese",address
"lekanang, phihlello e lekaneng",adequate
mamarela,adhere
"dikgomaretsi, mamarelang, sekgomaretsi",adhesive
bapileng,adjacent
"lekgethi, makgethi",adjective
qhalana,adjourn
tsamaiso,administration
ofisi ya tsamaiso,administration office
ho rata,admiration
boha,admire
kgalema,admonish
"bakenaboholo, mokenaboholo, morwetsana",adolescent
"bahlankana, mohlankana",adolescent (male)
kgahlwa,adore
kgabisa,adorn
"baholo, baholo, holo, moholo, moholo",adult
fetolo e shebetswengpele,advanced edit
tswelopele,advancement
"menyetla, monyetla",advantage
"bolekele, malekele",adventurer
"lehlalosi, mahlalosi",adverb
bapatsa,advertise
"dipapatso, papatso",advertisement
keletso,advice
eletsa,advise
moeletsi,advisor
Moeletsi,Advisor
eletsang,advisory
mmuelli,advocate
"dieriale, eriale",aerial
"difofane, sefofane",aeroplane
ama,affect
ratehang,affectionate
bopaki bo ngotsweng,affidavit
nala,affluence
"Aforika, Afrika",Africa
"Baaforika, Moaforika, Seaforika, Seaforika, Seafrika",African
"dinare, nare",African buffalo
leqaqane,African civet
"ditlou, tlou",African elephant
qwabi,African wild cat
Seafrekanse,afrikaans
"Seafrekanse, Seburu",Afrikaans culture
Seafrekanse,Afrikaans language
"Leaforikanere, Maaforikanere",Afrikaner
"hoba, ka mora",after
mohlana,afterbirth
"dithapama, motsheare, motshehare, thapama",afternoon
ha morao,afterwards
"hape, monyako",again
kgahlanong le,against
"boholo, tsofala",age
tsofetseng,aged
"leqheku, maqheku",aged person
"agente, diagente, moemedi, moemedi",agent
matjato,agile
ramatjato,agility
mohlohli,agitator
"ditumellano, tumellano",agreement
"ditemothuto, temothuto",agricultural
"bolemi, ditemo, temo",agriculture
ka pele,ahead
thusa,aid
"lefu la AIDS, phamokate",aids
kwatsi ya bosolla hlapi,AIDS
lebisa,aim
"meya, moya",air
tsela e kenang sefofaneng,air bridge
kgatello ya moya,air pressure
"dikhampani tsa difofane, khampani ya difofane",airline company
