Other,English
mana,ability
"earo, ni'a",above
Faraoa,ache
tamarii faaàmu,adopted child
ananahi atu,afternoon
"ana'e, ato'a",all
"'ee, ma",and
"'änimara, manu",animal
'eperëra,april
"eàrahow, rehu, rehu auahi",ash
i,at
'ätete,august
"etoo, tua, tue",back
'ino,bad
tamari'i,bairn
ôfe,bamboo
Fare moni,bank
opane,banks
"'iri, pa'a",bark
nö te mea,because
Pua'atoro,beef
pia,beer
raro,bellow
"'oopuu, 'öpü, eoboo",belly
"etooa, raro",below
"nui, rahi",big
"manoo, manu",bird
'ere'ere,black
"matee, toto",blood
"moana, nïnamu",blue
niinamu,blue-green
"ivi, opareemo",bone
earee,boy
'aama'a,branch
Tämä'ara'a po'ipo'i,breakfast
"'oouma, 'öuma, eom, eoo, tiitii, uu",breast
"'ë'aturu, tahua pahï",Bridge
va'a,canoe
"mimi, piifare",cat
Manuia!,cheers!
i'a,chicken
"midee, tamaiti, tamari'i, tamari'i",child
tamarii,children
tintö,Chinese
"'ëtäretia, fare purera'a(pure)",church
Tate,Clark
"ao, ata, eat",cloud
Taofe,coffee
"ma'ariri, mareere, to'eto'e",cold
"'aafaro, mau, tano, ti'a",correct
tamahine,daughter
"ao, mahan, mahana",day
titema,december
Tämä'ara'a ahiahi,dinner
"repo, repoa",dirty
"'urii, uri",dog
inu,drink
"marö, maroo, marroowhai",dry
"mania, toòmmoo, tümü, tuumuu",dull
"hu'ahuaa hu'ahuaa, repo, repo puehu repo puehu",dust
one,dust (1)
"tareeh, tari'a",ear
"fenua, repo",earth
"hooirmoa, hooro, huero",egg
"e vaù, va'u, varu, walhoo",eight
pa(e)ra(e)täne,English
mata,eye
matau,eyes
mata,face
"aatea, ätea, roa",far
"hinu, ma'i, ma'i, mi'i, paiy",fat
"metua, metua taane, metua tane, mituatane, paapaa",father
paino,father (1)
"hetehete, huruhuru",feather
fepuare,february
vahine,female
ma'a,few
mai'u'u,fingernail
"ahi, auahi, wahaeahei",fire
"eiya, i'a",fish
"e pae, ha, illemei, pae, rima",five
"pua, taire tiare, tiare",flower
rere,fly
"rüpehu, ruupehu",fog
'aavae,foot
toote,for cook
papaa,foreigner
aru,forest
"e maha, ha, haa, maha",four
faräni,french
"farairë, imahana pae",friday
"hoora-ooiro, huero, Mä'a, maa'a",fruit
Mä'a,fruits
"'ï, api",full
purutia,german
"ehaòe, wahoee",go back again
pirü,gold
"maita'i, manamanatey, myty",good
"'Ia ora na 'oe 'orua, 'outou",good afternoon
"'Ia ora na 'oe 'orua, 'outou",good evening
"'Ia ora na 'oe 'orua, 'outou",good morning
"'Ia ora na 'oe 'orua, 'outou",good night
"Nana, Pärahi",good-bye
Towara,Gore
"ruau, tupuna",grandparents
"'aihere, matie",grass
"matie, poemeedee",green
Treene,Green
'ä'au,guts
"eraowroo, rouru",hair
rima,hand
'öna,he
"'oia, 'oona",he/she
"erowroo, upo'o, ûpo'o",head
mäfatu,heart
ra'i,heaven
"teiaha, toiaha",heavy
"'Ia ora na 'oe 'orua, 'outou",hello
iho nei,here
aute,hibiscus
Hite,Hicks
'äivi,Hill
tara,horn
faje ma'i,Hospital
hötëra,Hotel
"fale, fare",house
maheineeawaow,housewife
nähea,how
"'oe huru ?, E aha t?, Maita'i oe?",How are you?
E hia moni teie?,How much does it cost?
naafea,how?
ta'ata,human being
"taane, tane",husband
"au, naow, vau, waow",I
'Aita e päpü i?'u,I don't understand
pape to'eto'e,ice
"'ähiri, 'ia",if
ma'i,ill
"i, i roto, roto",in
tamari'i,infant
'aa'au,intestines
eoeffr,it lightens
tenuare,january
ti,juice
tiurai,july
tiunu,june
turi,knee
roto,lake
"ewawaowerao, rao'ere, rau, rau'ere",leaf
"'aio, 'aui, aruri",left
"'aavae, 'ävae",leg
eawy,legs
uira,lightining
uira,lightning
"'upa'a, 'üpa'a",liver
"oëoëteres, roa",long
"'utu, oatoo",louse
taane,male
"ta'ata, ta'ane",man
rahi,many
mäti,march
"hoa, tane",marry
më,may
"'i'o, eeree, ina'i",meat
imonirë,monday
matà,monkhouse
hepetoma,month
"'aava'e, maram, marama",moon
"namu, naonao",mosquito
"maamaa, metua vahine, mituaheine, potea ino",mother
mou'a,Mountain
"ewauh, vaha",mouth
i'oa,name
"'a'ano, ('aa)oaoa, ('aa)oaoa, piripiri",narrow
màtteno,natural death
"faatata, fatafa, whattata",near
"'a'ii, eaee",neck
nira,needle
"'aapii, 'äpï, hoou",new
"po, pô, poo, rui",night
"e iva, iva",nine
"'aima, 'aita, E'ere, E'ita",no
"eahoo, ihu",nose
'eiaha,not
no(v)ema,november
moana,Ocean
'atopa,october
"ruhiruhia, ruu'au, tahito",old
"hoê, hoo'ee, tahi, tohe",one
"e hanere, haanere, nanaihere, rau",one hundred
"e tauatini, mano, tauatini",one thousand
ho'e noa iho e'a,one way
oeoe,opposed to
'änani,orange
"'ë, 'ë, vetahi('ee)",other
"ma'i ma'i, mamae mamae",painful
fara,pandanus
metua,parent
Patine,Parkinson
"ta'ata, tata",person
fare (ho'ora'a) rä'au,Pharmacy
Petrodero,Pickersgill
Pua'a,pig
fare müt'oi,Police station
fare rata,Post Office
'Umara pütete,potato
vare'au,purple
"eworooai, ua",rain
"'iore, eyoare",rat
"'ura, 'ute'ute",red
fetii,relatives
fare tämä'ara'a,Restaurant
'atau,right
"'änävai, (tahera'a)pape, tahora",River
"'ee'a, ara, ea'tia, poroomu, puruumu",road
a'a,root
taura,rope
"'oopee, pee",rotten
menemene,round
"miti, miti, taitai",salt
one,sand
imahana mä'a.,saturday
fare ha'apï'ira'a,School
"miti, moana, tai",sea
huero,seed
tetepa,september
"e hitu, fitu, hitoo, hitu",seven
"'ina, 'oe'oe, 'oi",sharp
"popoto, poto",short
"etapon, tapono",shoulder
"ha'amaa ha'amaa, maamahu maamahu",shy
ma'i,sick
"e ono, ono, whaine",six
"'iri, eweyoraèe",skin
"aora, ra'i, ra'i, reva",sky
"iti, na'ina'i, ri'i",small
ho'i ho'i,smell
"auauahi, eohoo",smoke
mänina,smooth
'oofii,snake
hiona,snow
Tolano,Solander
"nau, tau",some
"tamaiti, tamaroa",son
paraowmai,speak to me
"ootooròhonnoo, tütürahonui, tuutuurahonui",spider
Poline,Spoving
mähora,Square
Taibe,Stainsby
"efedee, feti'a, fetuu",star
"epeea, etoomoo, mauha'a, rä'au, raa'au",stick
woreede,stolen
"'oofa'i, owhai",stone
fare toa,Store
vero,storm
"'äfaro, ti'a",straight
"aroä, porömu, purümu",Street
"mahana, rä",sun
itäpati,sunday
"ahiahi, taharaa mahana",sundown
Tahiti,Tahiti
"'aero, 'itere, eairo, ehaòwpè, hi'u",tail
ori,take a walk
ti,tea
eneeho,teeth
"'afulu, 'ahuru, ahuru, e àhuru, hoolhoo, tini",ten
Mäuruuru,thank you
"aha, aha, tee'naa, teeraa, terrä",that
taapo'i fare,thatch
iho na,there
"raatou, raaua, rätou",they
"me'ume'u, mènne, tuetue",thick
taod,thick rope
rairai,thin
"t'èna, teie",this
"'oe, tooanahahow, tooanahoe",thou
"e toru, torhoo, toru, toru",three
"(harurura'a) pätiri, paatiri, patiree",thunder
imahana maha,thursday
hora,time
"'a'ahu, 'a'ati, hohoni",to bite
"farara farara, hiamòorre, puhi puhi, puhuhi",to blow
pato,to break out
"huti i te aho, oròmàtoo",to breathe
"'ama, tutu'i",to burn
"ehò, ho'o, ho'o mai, tanu",to buy
'au'au,to chew
ma'iti,to choose
"'a'e, eàeenietematto, pa'uma, ta'uma",to climb
haere mai,to come
eheèroharreehòe,to come and go
"'eu, tunu",to cook
"nümera, tai'o, tatau",to count
ta'i,to cry
"taapuu, täpü, tarai",to cut
"mate, màtteroah, pohe, wharrawai",to die
"'eru, 'ö, heru, pao, tüpä",to dig
"moemoeaa, ta'oto'otoaa",to dream
"inu, norothoedéadeet'avai",to drink
"'ai, 'amu, eei",to eat
"itop, topa",to fall
"mata'u, ri'ari'a",to fear
taputö,to fight
tahe,to flow
"airareè, ma'ue, rere",to fly
höro'a,to give
epèeniea,to go up with rope
tupu,to grow
"aiwee, fa'aro'o",to hear
