Other,English
аамп,aama
назад,aback
"абак, рахівниця",abacus
рахівниці,abacuses
пекло,abaddon
позаду,abaft
"відмовіться, залишати, залишити, кинути, лишати, лишити, облишати, облишити, покидати, покинути",abandon
"відмовляються, закинений, закинутий, занедбаний, занепалий, занехаяний, невтримний, нестриманий",abandoned
невимушеність,abandoning
"абандон, відмова, дитини, дитину, залишення, занедбаність, занехаяння, полишення",abandonment
відмови,abandonments
відмовляється,abandons
"знижувати, понижувати, принижувати, принизьте",abase
принижений,abased
"зниження, пониження, приниження",abasement
приниження,abasements
принижує,abases
збентежте,abash
збентежений,abashed
збентеження,abashing
збентеження,abashment
збентеження,abashments
усувний,abatable
"анулювати, відміняти, вщухати, заспокоюватись, заспокоюватися, збавляти, зменшитися, зменштеся, зменшувати, зменшуватись, зменшуватися, знижувати, знизити, меншати, ослабити, ослаблювати, ослабляти, послаблювати, послабляти, припинити, припиняти, притупляти, скасовувати, скасувати, слабшати",abate
зменшений,abated
"анулювання, зменшення, зменшування, зм'якшення, зниження, знижка, ослаблення, пом'якшення, послаблення, припинення, скасовування, скасування, скидка, усування, усунення",abatement
зменшення,abatements
зменшувач,abater
зменшується,abates
зменшення,abating
завал,abatis
батарея,a-battery
бойня,abattoir
"обор, утік",abb
абатство,abbacy
абат,abbe
ігуменя,abbess
ігумені,abbesses
"абатство, монастир",abbey
абатства,abbeys
абокіназа,abbokinase
абат,abbot
абати,abbots
"скоротіть, скорочувати",abbreviate
скорочений,abbreviated
скорочує,abbreviates
скорочення,abbreviating
"абревіатура, скорочення",abbreviation
скорочення,abbreviations
"абетка, азбука, алфавіт, засади, найпростіший, основи, простий",abc
буквар,abc-book
"відмовіться, відмовлятись, відмовлятися, відрікатися, зрікатися",abdicate
відмовляється,abdicated
відмовляється,abdicates
відмовитися,abdicating
"відказ, відмова, відмовлення, відмову, відречення, зречення",abdication
зречення,abdications
"живіт, черево",abdomen
черева,abdomens
"абдомінальна, абдомінальне, абдомінальний, черевний, черевній, черевної, черевною",abdominal
товстий,abdominous
"викрадати, викрадіть, викрасти, відводити, красти",abduct
викрадений,abducted
викрадення,abducting
"абдукція, викрадання, викрадення, відведення, силогізм",abduction
викрадення,abductions
викрадач,abductor
викрадачі,abductors
викрадає,abducts
учень,abecedarian
учні,abecedarians
жебрацтво,a-begging
абердін,aberdeen
чечітка,aberdevine
"аберація, відхилення",aberrance
відхилення,aberrancies
"аберація, відхилення",aberrancy
аномальний,aberrant
"аберація, безпам'ятність, відхилення, забудькуватість, збочення, омана, помилка",aberration
ірраціональний,aberrational
відхилення,aberrations
"підбурте, підбурювати, спонукати, сприяти",abet
підбурювання,abetment
підбурює,abets
підбурений,abetted
підбурювання,abetting
"підбурювач, співумисник, співучасник, спільник",abettor
підбурювачі,abettors
"невідомості, призупинення, припинення, чекання",abeyance
бездіяльний,abeyant
ненавидьте,abhor
ненавидиться,abhorred
"відраза, зненависть, когось-то, коли-то, ми-то, ненависть, огида, огиду, ось-то, оте, поки-то, те, тє, то, тоді-то, чи-то, якось-то",abhorrence
огиди,abhorrences
"мерзенний, ненависний, несумісний, огидний, осоружний",abhorrent
огидно,abhorrently
ненавидіти,abhorring
ненавидить,abhors
"додержування, перебування, проживання",abidance
"виконувати, винести, виносити, додержувати, додержуватись, додержуватися, дотримувати, дотримуватись, дотримуватися, ждати, жити, мешкати, незмінним, перебувати, перебудьте, пережити, притримуватись, притримуватися, проживати, терпіти, чекати",abide
перебув,abided
перебуває,abides
постійний,abiding
служниця,abigail
здатності,abilities
"вміння, дарування, здатність, здібність, кваліфікація, можливість, правоздатність, придатність, спритність, спроможність, уміння, хист",ability
"жалкий, жалюгідний, знехтуваний, нещасливий, нещасний, низький, принижений, сердешний",abject
"низькість, приниженість, приниження",abjection
жалюгідно,abjectly
"відказ, відмова, відмовлення, відмову, зречення",abjuration
відмови,abjurations
"відмовлятись, відмовлятися, відрікатися, зречіться, зрікатися, підданства, позову, цуратись, цуратися",abjure
зрікається,abjured
зрікається,abjures
зректися,abjuring
видаліть,ablate
видалений,ablated
видаляє,ablates
видалення,ablating
"ампутація, видалення, знос",ablation
видалення,ablations
аблаут,ablaut
"блискаючий, палаючий",ablaze
"вмілий, вміти, здатен, здатний, здібний, здоровий, змогти, знаючий, кваліфікований, компетентний, міцний, могти, може, справний, спроможний, талановитий, удатний, умілий",able
"дужий, здоровий, міцний, сильний",able-bodied
легат,ablegate
верховодка,ablet
"вмитись, вмитися, обмивання, промивання, умивання, умитися",ablution
умивання,ablutions
"вміло, компетентно, мистецьки, по-мистецьки, розумно, спритно, уміло",ably
"відкидати, відрікатися, відхиляти, заперечити, заперечте, заперечувати, зрікатися",abnegate
заперечений,abnegated
заперечує,abnegates
заперечення,abnegating
"відмовлення, заперечення, заперечування, зречення, самопожертва",abnegation
заперечення,abnegations
"анормальний, атипічна, атипічне, атипічний, величезний, ненормальний, неправильний",abnormal
"аномалія, ненормальність",abnormalcy
ненормальності,abnormalities
"аномалія, каліцтво, ненормальність, неправильність, порушення",abnormality
ненормально,abnormally
ненормальності,abnormities
"аномалія, ненормальність",abnormity
"вдовж, вздовж, вподовж, повздовж, поздовж, уздовж, упродовж",aboard
"житло, мешкання, перебування, проживання, прожиття",abode
житла,abodes
