Other,English
taaj,a crown
oopar,above
bilkul,absolutely
sanjog,accident
sach,accuracy
taareef,admiration
tahzeeb,adorning
umr,age
ittefaaq,agreement
sahaaraa,aid
zinda,alive
har,all
naseer,ally
hamesha,always
paayal,anklet (gold or silver)
har,any
urdu,army
nashaa,arrogance
sharmindaa,ashamed
"jalsa, mefil",assembly
qudrat,authority
pardesi,away from home land
vaapas,back
rakht,baggage
pushtaa,bank
sharmili,bashful
joban,beauty
bhikari,beggar
waaste,behalf of
vaapas,behind
nigaar,beloved
quraan,bible of islam
dua,blessing
lahoo,blood
"jism, tan",body
tan man,body and soul
tan man dhan,body soul and wealth
kitaab,book
sheesha,bottle
neeche,bottom
jaam,bowl
kangan,bracelet
vah!,bravo
vaastaa,broker
lekin,but
salaa,call
urdu,camp
shamaa,candle
be-fikri,carefree
sanjog,chance
arzaani,cheap
aariz,cheek
chanaa,chickpea
madaar,circumfrence
tahzeeb,civilization
saut,clamour
paakeezaa,clean
muqaabalaa,collision
rang,color
sukh,comfort
rasmi,common
majboor,compelled
muqaabalaa,competition
aalam,condition
etebaar,confidence
uljhan,confusion
mefil,congregation
"sanjog, vaastaa",connection
watan,country
"jigar, yaaraa",courage
shak,crack
jaam,cup
shifa,cure
pardaa,curtain
rasm,custom
laila,dark complexion
taareekh,date
din,day
maut,death
udhaar,debt
karm,deed
haar,defeat
naseer,defender
"armaan, niyaaz",desire
laahoot,devine presence
jogan,devotee
pujaa,devotion
zaban,dialect
uljhan,difficulty
"aabroo, shaan",dignity
izhaar,disclosure
nizaa,dispute
ishq,divine love
qayaamat,doomsday
sharaabi,drunkard
pushtaa,dyke
saraa,earth
sukh,ease
asar,effect
jamaal,elegance
intehaa,end
mazaa,enjoyment
bas,enough
tamaashaa,entertainment
tamaam,entire
tul,equal
taareekh,era
zaroor,essential
andaaz,estimate
aadaab,etiquette
har,every
roz,everyday
maaloom,evident
siwa,except
bahaanaa,excuse
giraani,expensive
"chehra, soorat",face
wafaa,faith
be-wafa,faithless
abu,father
qusoor,fault
ehsas,feeling
yaari,female friend
khet,field
naari,fiery
soorat,figure
tag,flying
zaad,food
daaman,foot of hill
qadam,footstep
zor,forceful
bhool,forgetfulness
soorat,form
rasmi,formal
naseeb,fortunate
aazaadi,freedom
"aashnaa, dost",friend
khel,game
bageecha,garden
zakham,gash
bhoot,ghost
tohfa,gift
nazar,glance
shaan,glory
"bhagwaan, khudaa",god
khuda haafiz,god's protection upon you
adaa,grace
aaz,greed
zameen,ground
mangal,happiness
shifa,healing
"dil, jigar",heart
dushwaar,heavy
naari,hellish
sahaaraa,help
"be-bas, majboor",helpless
jogan,hermit
taareekh,history
ghar,home
ghar,house
insaan,human
bhuk,hunger
aandhi,hurricane
be-kaar,idle
sanam,idol
varna,if not
asar,impression
waisa,in that manner
"be-khataa, maasoom",innocent
nashaa,intoxication
ultaa,inverted
"bulaawaa, salaa",invitation
ratan,jewel
insaaf,justice
chabi,key
yaahoo,kind of pigeon
karam,kindness
shah,king
bosaa,kiss
maaloom,known
orhni,ladies' head sheet
sog,lamentations
shamaa,lamp
qaanoon,law
chap,left
jaan,life
"aasaan, noor",light
bijili,lighting
waisa,like that
lakeer,line
sharaab,liquor
kam,little
jigar,liver
zinda,living
udhaar,loan
zulf,lock of hair
nazar,look
"pyaar, ulfat",love
"aashiq, aashnaa, saajan, sanam",lover
neeche,lower
deewana,lunatic
aaz,lust
shaan,lustre
deewana,mad
deewaangi,madness
jaadoo,magic
jaadoogar,magician
kareena,manner
aksar,many
nishaanaa,mark
shaadi,marriage
abu,master
vaastaa,medium
sangam,meeting
yaadgaar,memorial
zikr,memory
maayaa,mercy
sirf,mere
paighaam,message
raagni,minor tunes in music
shoom,miser
bhool,mistake
bandar,monkey
mahina,month
yaadgaar,monument
chaand,moon
masjid,mosque
maadar,mother
taal,musical tune
raaz,mystery
nangaa,naked
naam,name
asmaa,names
watan,native place
paakeezaa,neat
nayaa,new
raat,night
naa,no
shore,noise
naa,not
kasam,oath
niyaaz,offering
waaste,on account of
rasaan,one who delivers
sirf,only
ultaa,opposite
madaar,orbit
varna,otherwise
shore,outcry
qadam,pace
dukh,pain
sukoon,peace
raahi,pedestrian
qalam,pen
kaash,perhaps
aadmi,person
nigaar,picture
chutki,pinch
mangal,pleasure
iqarar,pledge
bhaag,portion
maal,possession
"qudrat, yaaraa",power
riyaaz,practice
taareef,praise
ratan,precious stone
tohfa,present
kimat,price
nashaa,pride
nafaa,profit
vaadaa,promise
taubaa,promising to sin no more
rakht,property
saayaa,protection
parwar,protector
zaad,provision
ratan,pupil of eye
paakeezaa,pure
ahraam,pyramid
kam,rare
sach,real
taaq,recess in wall
laal,red
marwi,related
vaastaa,relation
bharosaa,reliance
chain,relief
dharm,religion
zikr,remeberence
yaad,rememberence
izzat,respect
qarar,response
"qarar, sukoon",rest
be-qarar,restless
vaapas,returning
taal,rhythmic beating of hands
rast,right
raastaa,road
rasan,rope
jaadaa,route
tag,running
tag,rushing
qurbaan,sacrifice
chunari,scarf (for female)
pardaa,screen
raaz,secret
laajwanti,sensitive flower
juda,seperate
silsilaa,series
saayaa,shade
saayaa,shadow
"lajjaa, sharm",shame
be-sharam,shamless
soorat,shape
saayaa,shelter
dukaan,shop
pukaar,shout
tamaashaa,show
