Other,English
á,completed past marker
a'a       (excl.),No!
a gna do gnu aba,half
abwawyi  (excl.),Good evening!
aku (n.),parrot
akuki (n.),guinea-yam type
alefo (n.),waterleaf (amaranthus sp.)
alikewali (n.),"affirmation, promise"
ampani  (n.),advantage
anyi  (n.),soup
arife  (excl.),Good morning!
atalibe  (n.),guinea-yam type
awari  (n.),fish type (Gymnarchus niloticus)
awu   (n.),rope
azeki  (n.),"riches, wealth, affluence"
ba  (v.),count
babaruwa (n.),tree species (Acacia nilotica)
babi (n.),question
bace (n.),unstable person
badye (n.),mirror
badye (pron.),themselves
baga (n.),above the thigh
bakana (n.),flat tray for drying locust-bean cakes
bakpnakpna (n.),"secluded place, fenced-off area"
bala (n.),ribs (no pl.)
bala (n.),bark from reeds used to make mats
bana (int.),Where?
banagun'sa (n.),hot season
banagun  (n.),heat on the body
Bandoko (p.n.),stilt-walkers
bansa (n.),"general term for wide, flat fish"
banti (n.),"mouse, pygmy mouse"
bantna (n.),"typhoid, malaria"
bantu (n.),spirit of a person who has recently died
bantu ºeºe  (n.),loofah
banzo (n.),"refuse, rubbish"
Basa (p.n.),"Basa person, Basa language"
base (v.),cool down
basha (n.),bird species
bashnishni (n.),sloping land
basna(sna) (n.),pain (either emotional or physical)
basnisni (n.),swollen part of body
bata (n.),container used by old woman to store tobacco
batata  (n.),ground: slippery ~
Bawa (p.n.),Dibo peoples Dibo languages
bawyedye (n.),"vision, spiritual experience"
baya (v.),cut with knife
baya (v.),beg for
bàyìná (int.),Where?
bazeshin  (n.),"sin, ritual error"
be (v.),"blow (musical instrument), burp, calm down"
be (v.),plant
bebe (adv.),first
becintsu (n.),hard-working person
bedami (n.),"exculpated, cleared of wrongdoing"
bedyi (v.),advance
beëo (v.),tired: be ~
benu (n.),"large, solitary, male patas monkey"
"bere (adj., n.)","large number of things, multitude"
bere (n.),seed
bèrè (n.),"voice, throat"
bere kafi  (n.),bird with a long neck
berebere (a.),filled to capacity
bese (v.),blow
besna (n.),sympathy
besnani  (n.),sorrowful situation
bezamba  (n.),grasshopper: small ~
bi  (v.),"bury (person, yam)"
bí  (v.),dig out (a planted seed)
