Other,English
"£adrê, adv.",whither
"£aírban, sv.",walk
£aírne wf.,skull
"£áiteis, sm.","grain, corn, wheat"
"£áiwa, conj. and adv.","how, in what way"
"£an-hun, adv.","ever, at any time"
£an filu,how much
£an lagg mêl,for how long a time
"£an, adv., interrog.","when, whenever"
"£ar, adv.",where
"£arbôn, wv.","wander, walk, pass by"
"£arjis, pr.","who, which (of many)"
"£arjiz-uh, indef. pr.","each, every"
"£as-hun, indef. pr w/ neg.",no one
"£as, interrog. pr.","who, what"
"£ass, adj.",sharp
"£assaba, adv.",sharply
£asse wf.,"sharpness, severity."
"£aþ, adv.",whither
"£aþar-uh, indef. pr.",each of two
"£aþar, pr.","which of two, whether"
"£aþjan, wv.",foam
"£aþrô, adv.",whence
£az-uh sae indef. pr.,whosoever
"£az-uh, indef. pr.","each, every"
"£e-láuþs, pr.",what sort of
£ê galeiks?,like unto what?
"£ê, adv.","with what, wherewith, how"
"£eila-£aírbs, adj.","inconstant, transient, fleeting"
"£eila, sf.","time, season, hour"
"£eits, adj.",white
"£i-leiks, pr.",what sort of
"£ôpan, sv.",boast
"£ôtjan, wv.","threaten, rebuke, charge"
â-þrêotan,"tired: be ~, weary: be ~"
"a£a, sf.","river, water"
aba,"wm. man, husband"
abgud idol,false god
"abraba, adv.","greatly, very much, excessively"
"abrs, adj.","mighty, strong, great"
"af-£apjan, wv.","choke, quench, slake"
"af-£apnan, wv.","choked: be ~, quenched: be ~"
"af-aikan, sv.",ongly
"af-airzjan, wv.","decieve, mislead"
"af-dáubnan, wv.","deaf: become ~, deafen"
"af-dáuþjan, wv.","kill, put  death, die"
"af-dôbnan, wv.",silent: be ~
"af-dôjan, wv.","tire, exhaust, fatigue, wear down"
"af-dráusjan, wv.","cast down, hurl down"
"af-drugkja, wm.","inebriate, drunk, drunkard"
"af-dumbnan, wv.","hold one's ngue, be silent"
"af-êtja, wm.",glutn
"af-gaggan, sv.","leave, away: go ~, toward: go ~, come"
af-gude wf.,ungodliness
"af-guþs, adj.","godless, apostate, impious"
"af-hlaþan, sv.",load
"af-lageins, sf.","putting aside, remission"
"af-leiþan, sv.","away: go ~, depart"
"af-lêts, sm.","pardon, forgiveness, remission"
"af-lifnan, wv.","remain, be left"
"af-linnan, sv.","depart, leave"
"af-maitan, sv.",cut off
"af-marzeins, sf.","deceptiveness, deceitfulness"
"af-môjan, wv.",fatigue
"af-niman, sv.","take away, remove"
"af-qiþan, sv.","forsake, renounce, deny"
"af-sateins, sf.",divorcement
"af-satjan, wv.",divorce
"af-skiuban, sv.",push aside
"af-slahan, sv.","kill, slay, away with: do ~"
"af-sláuþnan, wv.","amazed: be ~, beside oneself: be ~"
"af-sneiþan, sv.","kill, cut-off"
"af-standan, sv.","stand off, depart"
"af-stass, sf.","falling off, falling away"
"af-swaírban, sv.","eradicate, wipe out"
"af-taúrnan, wv.",away: be run ~
"af-tiuhan, sv.","draw away, push off, aside: pull ~"
"af-waírpan, sv.","cast away, cast aside, put away"
"af-walwjan, wv.",roll away
"af-wandjan, wv.","turn away, avert"
"af, prep. c. dat.","from, away from, of, by"
"afar-láistjan, wv.","follow after, follow"
"afar-sabbatus, sm.",e Sabbath
"afardags, sm.",day: the next ~
"afargaggan, sv.","follow, pursue, come after"
afleiþan aljaþ,away: go ~
"afta, adv.","behind, backwards"
"aftana, adv.",behind: from ~
"aftarô, adv.","behind: from ~, behind"
aftra gabôtjan,restore
"aftra, adv.","backwards, once more, again"
"aftuma, adj.","posterior, last, back, ultimate"
aftumists habanp,"dead: almost ~, death: point of ~"
"aftumists, adj.","last, final, aftermost"
aga-leiz,"zeal, eagerness"
"aggilus, sm.","angel, messenger"
"aggwiþa, sf.","anguish, distress"
"aggwus, adj.",narrow
agis sn.,"fear, terror"
agláite wf.,"lasciviousness, unchaste"
agláiti-waúrde wf.,profanity
"agliþa, sf.","anguish, distress"
"aglô, wf.","affliction, tribulation, anger"
"agluba, adv.",with difficulty
"aglus, adj.","hard, difficult"
"aha, wm.","mind, understanding"
"ahaks, sf.",dove
"ahana, sf.",chaff
"ahma, wm.",spirit
"ahmateins, sf.",inspiration
"ahs, sn.",ear of corn
"ahtáu-dôgs, adj.",eight days of age
"ahtáu, num.",eight
"ahtáutêhund, num.",eighty
"ahtuda, num.",eighth
aí£a-tund sf.,thornbush
"áigin, sn.","property, inheritance, commodities"
"áigum,",have: we ~
"áih, pret.-pres.",have: I ~
"áihan, pret.-pres.","have, own, possess"
"áihtrôn, wv.","desire, beseech, pray for"
"áihts, sf.","belongings, property"
"áin-£arjiz-uh, indef. pr.","everyone, all"
áin-falþe wf.,"simplicity, amiable"
"áina-baúr, sm.","only child, only-born"
"áinaha, w. adj.",only
áinfalþs,"easy, simple"
"áinfalþs, num.","onefold, simple, single"
"áinlif, num.",eleven
