Other,English
-ma-,not
-mi,interrogative particle
-ng,an ending of the 2d person
a:lt,lower side
a:nd,oath
äch,hunger
aha,respectful address
ahïr,heavy
ahyz,mouth
äj-,to bend
äjri,to bend
äkki,two
äkkï,two
äl,hand
al-,to take
alt,lower side
äm-,to suck
änggür,dusk
angla-,to understand
är-,to be
ärä,that side
ärin,lip
arpa,barley
arqa,back
arut-,to clean
arxa,back
aryh,clean
äš,meal
äš-,to cross a mountain
ät,"meat, name"
ät,meat
avun-,to enjoy oneself
avut-,to comfort
äz-,to knead
bah,bond
bajaq,recently
bala,child
baluq,fortress
bäqa,turtle
barmaq,thumb
baš,head
bat-laq,marsh
bi,one
bidik,big
bïel,waist
bïel-,separate
bïeri,wolf
bil-,to know
bilä,also
bilä-m,myself
bilä-miz,ourselves
bilä-si,himself
birgäk,cap
bit,louse
bit-,to be ended
biz,we
bo,this
bod,body
boda-,to paint
bodah,dye
bohaz,throat
bohuz,throat
bohyz,throat
bök,cap
boš,empty
büdük,big
bul-,to find
bula:G,well
bulha-,stir up
bulyt,cloud
burq-,wind round
buryn,nose
bus-xo,lay an ambush
büt,thigh
buta,bush
büun,neck
byš-,ripe
chabuh,section on a woman's tunic
chal-,to knock down
chäl-tik,unhusked rice
chalang,steppe
chalu,bush
chämän,meadow
chammal-tur-,to look nervous
chänä,jaw
chap-,to attack
chapiš,1-year-old kid
chaqmaq,fire steel
chaqyr,yellow
chi,to draw
chimän,meadow
chïn,part of shoulder
chirt-,to click
chov,news
chyhyr,bad road
chyqyn,parcels in women's working
chyz-,to draw
däm,roof
dovušhan,hare
eger,hunting dog
ej,East
elch-,to measure
ëšük,door curtain
êsür,to cough
ëz,the essential part
gägür-,to belch
gälin,daughter-in-law
Garho,reed
gift,gift
Goch,ram
Gumurhäch,ant
Gurun,soot
Guš,sparrow
Gylïch,sword
hächuh,acid
hächuq,acid
hada:q,foot
hadaq,foot
hadru-,to separate
hadur-,to separate
häha,in the back
hahach,tree
häj,month
häj-,to say
hajäz,frost
häjir-,spin
häjlä-,to sift
häjläk,sieve
häk-,to sow
hala-bula,variegated
häll,forehead
häm,vulva
hänl,front
hänly,front
häpis-,blow
häps-,blow
här-äk-,to rise
hära,space between
harq,excrement
harqan,to be tired
harqän,to be tired
härt,back
häry,bee
has-,to hang
häs-,blow
häšü-,to dig
hat,horse
hat-,shoot
hätäk,edge of cloth
häv,house
havul,good
haz,a little
häz-,to go astray
he.l-,to die
heel,moist
hêl,moist
hëžäš-,anger
hich-,to extinguish
hidïš,vessel
hikkä,anger
hil-,to die
hïn,lair
hiri-,to plait
hirin,white
hirk-,to be afraid
hirkäk,man
hisk,hot
hissï,hot
hït,hole
hiz-,to break
ho'ttuz,thirty
höha,in the back
hoqu-,recite
hottuz,thirty
hu_v-,rub
hur-,to beat
hürün,white
hüs-gün-,to break
hüt,fire
hyräq,distant
ich,interior of something
ich-,to drink
ichgär,intestines
ïlän-,weep
ilgär,East
ïnä,needle
irdäk,duck
ïš,deed
išüt-,to hear
it,dog
ja:q-,to burn
ja:šyl,green
jäh,fat
