Other,English
Abchazija,Abkhazia
abėcėlė,alphabet
abėcėlinis,alphabetical
abejojimas,doubt
abejonė,doubt
abu,both
Adomo obuolys,Adam's apple (anat.)
adresas,address
Adrijos jūra,Adriatic Sea
adyti (ado/adė),darn
Adžarija,Adzharia
aerouostas,airport
Afganistanas,Afghanistan
Afrika,Africa
afrikietis (-ė),African
agrastas,gooseberry
agurkas,cucumber
aidas,echo
aikštė,square (in town)
Airija,Ireland
aiškiai,clear
aiškinimas,"elucidation, explanation"
aiškinti (aiškina/aiškino),"elucidate, explain"
aiškus,"bright, clear, fair"
akies obuolys,eyeball
akies vokas,eyelid
akimirka,blink (of an eye)
akiniai,glasses
akis,eye
aklas,blind
aklumas,blindness
akmens anglys,coal
akordeonas,accordion
aktorė,actress
aktorius,actor
Albanija,Albania
albumas,album
alėja,avenue
Aleutų salos,Aleutian Islands
Aliaska,Alaska
alkūnė,elbow
Alpės,Alps
Altajus,Altai
alus,beer
alyvų žiedai,lilac flowers
Alžyras,"Algeria, Algiers"
amatininkas,artisan
Amazonė,Amazon
Amerika,America
amerikietis (-ė),American
Amsterdamas,Amsterdam
Amu-Darja,Amu Darya
Amuras,Amur
amžinas,"eternal, everlasting"
amžius,age
anapus,"beyond, the other side of"
Andai,Andes
anga,aperture
anglas (-ė),Englishman (-woman)
Anglija,England
anglis,coal
angliškai,"English (after verbs of speaking, learning etc)"
anglų kalba,English language
anglų ragas,cor anglais
Ankara,Ankara
anksčiau,beforehand
anksti (rytą),early (in the morning)
anksti (ryte),early (in the morning)
antakis,eye-brow
Antarktika,"Antarctica, Antarctic Continent"
Antarktis,"Antarctica, Antarctic Continent"
antausis,box on the ear
Antilų salos,Antilles
antis,duck
antklodė,coverlet
antras,"second, another"
Antverpenas,Antwerp
anūkas (-ė),grandchild
apalpimas,fainting-fit
apalpti (apalpsta/apalpo),faint (away)
aparatas,apparatus
apatinės kelnės,drawers
apdangalas,cover
apdengti (apdengia/apdengė),cover
Apeninai,Apenines
Apeninų pusiasalis,Apenine peninsula
apetitą keliantis,appetising
apetitas,appetite
apginklavimas,armament
apginkluoti (kluoja/klavo),arm (with)
apginti (apgina/apgynė),defend
apibrėžimas,"definition, determination"
apibūdinti (būdina/būdino),"define, determine"
apie,about what
apleisti (apleidžia/apleido),abandon
aplėkti (aplekia/aplėkė),"fly round, run all over, fly all over"
aplenkti (aplenkia/aplenkė),go around
aplink,around
aplinka,environs
aplinkybė,"adverbial modifier (gram.), circumstance"
apmąstyti (apmąsto/apmąstė),consider
apmaudas,annoyance
apopleksija,apoplectic stroke (med.)
aprašyti (aprašo/aprašė),describe
aprengti (aprengia/aprengė),"clothe, dress"
aprišti (apriša/aprišo),"bandage (med.), cord"
apsauga,defence
apsaugoti (saugoja/saugojo),defend
apsiaustas,coat
apsiginti (apsigina/apsigynė),defend oneself
apsigynimas,defence
apsileidęs,careless
apsimestinis,false
apsiniaukti (niaukia/niaukė),"become gloomy, get cloudy"
apsirengti (rengia/rengė),dress (oneself)
apsispręsti (prendžia/prendė),decide
apsišvietęs,enlightened
apskaičiuoti (čiuoja/čiavo),calculate
apskritai,"alltogether, at all"
apskritimas,circle
apsvarstyti (svarsto/svarstė),"consider, discuss"
aptarti (aptaria/aptarė),discuss
aptikti (aptinka/aptiko),"discover, find"
apvilkti (apvelka/apvilko),"clothe, dress"
apvogti (apvogia/apvogė),clean out
apykalė,collar
apylinkė,"countryside, district"
apylinkinė (~ vietovė),environs
apyrankė,"bangle, bracelet"
ar,(question particle)
Arabija,Arabia
Aralo jūra,Aral Sea
Archangelskas,Arkhangelsk
