Other,English
A-atara,certain
abh³ta,unoriginated
abhassara,'The 'Radiant Ones'
abhassara brahma,the radiant brahma
Abhi,higher knowledge
Abhibhavati,overcomes
Abhibhè,conqueror
abhibhú,conqueror
Abhidhamma,"Higher Doctrine, discourses of the Pali canon"
Abhidharma pitaka,higher teachings
abhigacchati,"goes forward, goes near to"
Abhijhbnhbti,perceives
abhijjhá,covetousness
Abhikkamati,goes forward
Abhimaºgala,great festival
Abhimukha,facing towards
abhiñña,Intuitive powers
abhiññas,higher psychic power
abhisamaya,the moment of awakening
abhisankhara,volitional formation
abhisankhara mara,moral and immoral actions
abhisankhara upadhi,moral and immoral actions
abrahmacariya,ignoble practice
abyakata,unexplained
abyapada,non-aversion
ácára,conduct
acariya,"teacher, mentor"
acariya vatta,duties of bhikkhus
achaan,mentor
acinteyya,incomprehensibility
aciººakamma,habitual kamma
ádara,"affection, care, esteem"
adhamma,unrighteous conduct
Adhibhèta,mastered
adhicitta sikkha,training in higher mentality
adhigacchati,"acquires, attains"
âdhigama,finding an opportunity
adhika,superior
adhimokkha,determination
adhipati,"chief, master, chieftain"
Adhisessati,will lie upon
Adhisla,higher morality
adhisla sikkha,training in higher morality
Adhista,very cold
AdhitiÊÊhati,stands upon
adhitthana,resolution
Adhivasati,dwells in
adiµµhana,resolution
adinadana,taking what is not given
adnava,misery
adosa,hatelessness
aêavi,forest
aêêha,eight
aêêhama,eighth
aêêhi,bone
aêêhñdasa,eighteen
ágacchati,comes
agantu,a guest
agati,wrong paths
agatigamana,motives
agga,"calm, end"
aggasavaka,supreme disciple of the Buddha
aggat,concentration
aggi,fire
Aghb,went
Aha,day
âha,one day
Ahaµ,I
áhára,food
áharati,brings
âhika,for one
aja,goat
ajá,she goat
ajaan,mentor
ajahn,mentor
Ajja,to day
akaliko,timeless
akkhi,calm
akusala,unskillful
Alaya-vijñana,consciousness
Alikavhbd,liar
Amacca,minister
Amatogadha,diving into
Amba,mango
ambara,garment
Amhhbkaµ,our
Amitabha,the Buddha of the Western
Amu,such
anagami,non-returner
Ananda,Buddha's friend
anapanasati,mindfulness of breathing
Anatman,not-self
anatta,ownerless
andhakára,darkness
anga,something
anguli,finger
anicca,unsteady
añña,another
annada,"giver, giver of food"
Annitya,change
anottappa,lack of conscience
Anottappin,reckless
anta,end
antaradháyati,disappears
Antevhbsiko,pupil
antika,neighbourhood of the water
Antima,last
Anu,under
anugacchati,follows
