Other,English
а,"and, while"
а-,"non-, a-"
абажур,lampshade
абак,abacus
аббат,abbot
аббатиса,abbess
аббатство,abbacy
аббревиатура,abbreviation
аберация,aberation
аберрация,aberation
абзац,"indenture, indention, paragraph"
абитуриент,matriculant
абонемент,subscription
абонент,subscriber
аборт,abortion
абразив,abradant
абракадабра,abracadabra
абрикос,apricot
абсолютный,"unconditioned, stark"
абстрагировать,prescind
абстрактный,"abstractive, noetic, transcendental"
абсурдный,grotesque
авангард,"van, vanguard"
аванпост,outpost
аванс,imprest
авансцена,proscenium
авантюристка,adventuress
аварийное устройство,jury-rig
аварийный,wreckage
авария,prang
август,august
авель,abel
авиалиния,airline
авианосец,flattop
авиапочта,air mail
авиаспециалист,airman
авиационный,aviation
авиационный транспорт,airlift
авиация,aircraft
авокадо,avocado
австралийский,australian
автаркия,autarchy
авто вихляние передних колес,wabble
авто зеркало задней обзорност,rear-view mirror
авто клинчер,clincher
авто стоп-сигнал,stoplight
автобиография,autobiography
автобус,"motorbus, autobus, bus"
автограф,autograph
автозагрузка,autoload
автоклав,autoclave
автоколонна,motorcade
автомат,"robot, automaton"
автомат для размена денег,moneychanger
автоматизация,automation
автоматизировать,automate
автоматизм,automatism
автоматический,"automatic, self-acting"
автомобилист,motorist
автомобиль,"motorcar, cabriolet"
автомобильное дело,motoring
автомобильный,vehicular
автономия,autonomy
автономный,autonomous
автопилот,autopilot
автопортрет,self-portrait
автор,author
автор предложения,proposer
авторитарный,authoritarian
авторитет,authority
авторское право,copyright
авторство,authorship
автострада,"highway, high road, freeway, autobahn, autostrada"
автотрансформатор,autotransformer
агат,agate
агент,g-man
агент по продаже,distributor
агент по продаже недвижимости,realtor
агентство,agency
агитатор,agitator
агитация,agitation
агностицизм,nescience
аграрии,squirearchy
аграрный,agrarian
ад,"inferno, hell"
адам,adam
адвокат,"procurator, advocate, barrister, attorney"
аденоидный,lymphoid
аденоиды,adenoids
адмиралтейство,admiralty
адреналин,epinephrine
адрес,address
адресация,addressing
адский,"hellish, sulphurous, infernal"
адсорбированное вещество,adsorbate
адъютант,aide
ажиотаж,boom
ажурная строчка,hemstitch
ажурная ткань,openwork
азалия,azalea
азартная игра,"gaming, gamble, gambling"
азартный,venturesome
азбука,hornbook
азбучный,abecedarian
азербайджанец,azerbaijani
азиатский,"asiatic, asian"
азимут,azimuth
азия,asia
азовское море,azov
азот,"nitrogen, azote"
азотистый,nitrous
азотный,nitric
аист,stork
айва,quince
айсберг,"iceberg, berg"
академик,academician
академический,academic
академия,academy
акация,acacia
акварель,"watercolor, aquarelle"
аквариум,aquarium
акклиматизация,"acclimatization, acclimate, acclimation"
акклиматизировать,acclimatize
аккорд,"chorda, chord"
аккуратный,"trim, neat, natty"
акр,"acreage, acre"
акробат,"equilibrist, acrobat, contortionist"
акробатика,acrobatics
акрополь,acropolis
аксиома,axiom
акт глотания,swallowing
актер,trouper
активатор покровитель,promoter
активировать,activate
актриса,actress
акула,shark
акула-людоед,man-eater
акулья кожа,sharkskin
акустика,acoustics
акушерка,"obstetrician, midwife"
акушерский,"obstetrical, obstetric"
акушерство,"midwifery, obstetrics, tokology"
акции,stock
акционер,stockholder
албанец,albanian
албания,albania
алгебра,algebra
алгебраический,algebraic
алебарда,"halberd, billhook"
алебастр,alabaster
александрит,alexandrite
алергический,allergic
алжир,algeria
алименты,alimony
алкоголизм,dipsomania
алкогольные напитки,spirits
аллах,allah
аллегорический,allegorical
аллегория,allegory
аллерген,allergen
аллея,parkway
аллигатор,alligator
алло,hullo
алмаз,diamond
алмазный круг,skive
алоэ,aloe
алтарь,chancel
алфавит,alphabet
алфавитный,"alphabetic, alphabetical"
алхимик,alchemist
алхимия,alchemy
алчность,"cupidity, avarice, avidity"
алчный,"avaricious, avid"
алый,"damask, scarlet, incarnadine"
альбатрос,"mallemuck, albatross"
альбом,"sketchbook, album, scrapbook"
альвеолы,teethridge
альпийский,alpine
альпинизм,mountaineering
альпинист,"mountaineer, alpinist, climber, iceman"
альпы,alps
альт,"alto, viola"
альтруизм,altruism
алюминиевый,aluminum
алюминий,aluminium
аляска,alaska
амбар,"barn, granary, grange"
амбразура,"porthole, embrasure"
амброзия полыннолистная,"ragwort, ragweed"
амбулатория,dispensary
амбулаторный больной,outpatient
амеба,amoeba
американизировать,americanize
американизм,americanism
американская лесная фиалка,johnny-jump-up
американские горы,switchback
американский,"american, yankee"
американский лось,moose
аметист,amethyst
аминь,amen
аммиачный,"ammoniac, ammoniacal"
аморальный,amoral
амортизация,damping
ампер,ampere
амперметр,ammeter
ампула,ampule
ампутированный,amputated
амстердам,amsterdam
амударья,amu darya
амулет,"periapt, joss"
амур,"cupid, amur"
амфитеатр,"amphitheatre, cirque"
амфора,amphora
анабаптист,dipper
анализ,anatomy
анализ мочи,"uroscopy, urinalysis"
анализирование,assaying
анализировать,analyses
аналитик,analyst
аналитика,analytics
аналитический,analytic
аналог,"analog, analogue"
аналогический,analogical
аналогичный,analogous
аналогия,analogy
ананас,pineapple
ананасная теплица,pinery
анархизм,anarchism
анархист,anarchist
анархический,anarchical
анархия,anarchy
анатом,anatomist
анатомировать,"anatomize, dissect"
анатомический,"anatomic, anatomical"
анахронизм,anachronism
ангар,hangar
ангел,angel
ангина,angina
англизировать,anglicize
английская гончая,foxhound
английская лапта,rounders
английский,english
английский квинтал,cental
английский матрос или солдат,limey
английский обычай,anglicism
английский парламент,westminster
английский солдат,redcoat
англиканский,anglican
англист,anglicist
англицизм,britishism
англичанин,"southron, englishman"
англичанка,englishwoman
англия,england
англосакс,anglo-saxon
ангорская кошка,"angora, angola"
анекдотичный,anecdotic
анестезиология,anaesthesiology
анестезировать,anaesthetize
анестезирующее,anaesthetic
анестезирующий,anesthetic
анестезия,anesthesia
анилин,aniline
анис,anise
анисовое семя,aniseed
анкара,ankara
анкета,questionnaire
анна,anna
аннулирование,"rescission, defeasance, nullification, undoing"
аннулировать,"quash, rescind, annul, nullify"
анод,anode
аномалия,anomaly
анонимность,anonymity
антарктический,antarctic
антенна,antenna
анти,anti
антиамериканский,un-american
антибиотик,antibiotic
антибиотики,antibiotics
антивещество,antibody
антивоенный,antiwar
антикварная вещь,curio
антикварный,"curiosity, antiquarian"
антилопа,antelope
антилопа нильгау,nilgai
антиобщественный,"antisocial, unsocial"
антипатия,antipathy
антисанитарный,insanitary
антисептика,antisepsis
антитело,preparator
антихрист,antichrist
античность,antiquity
античный,"ancient, antique"
антология,anthology
антоним,antonym
антракт,"interlude, acte, entr"
антрепренер,impresario
антресоли,entresol
антропоидный,pithecoid
антропология,anthropology
антропометрия,anthropometry
антураж,entourage
анчоус,anchovy
анютины глазки,heartsease
аорта,aorta
апатичность,torpidity
апатия,torpor
апеллирующий,appellant
аперитив,aperitif
аплодировать,applaud
аплодисменты,"cheering, plaudits, applause"
апогей,apogee
аполитичный,unpolitical
аполлон,apollo
апологет,apologist
апология,apologia
апостериори,a posteriori
апостольник,wimple
аппарат средства,hardware
аппендицит,appendicitis
апперкот,uppercut
аппетит,appetite
аппетитный,appetizing
апрель,april
априори,a priori
аптека,"pharmacy, drug store"
аптекарь,apothecary
аптечная банка,gallipot
ара,macaw
араб,arab
арабский,"arabic, arabian"
аральское море,aral sea
арамейский язык,aramaic
арапник,quirt
арахис,peanut
арбалет,arbalest
арбитр,"arbiter, overman, arbitrator"
арбитраж,"arbitration, arbitrage"
арбуз,watermelon
аргентина,argentina
аргументация,argumentation
аренда,lease
арендатор,"renter, lessee"
арендаторы,tenantry
арендная земля,copyhold
арендная плата,"rental, rent"
арендованный,"leasehold, leased"
арендуемое помещение,tenement
арестант,jailbird
арестованный,remand
арийский,aryan
аристократ,aristocrat
аристократический,patrician
аристократия,aristocracy
аритмичный,arrhythmic
аритмия сердца,arrhythmia
арифметика,arithmetic
ария,aria
арка,archway
аркадский,arcadian
аркан,"lariat, lasso"
арктический,arctic
арлекин,harlequin
армада,armada
арматура,"fixture, fittings"
армированный,reinforced
армия,army
армия спасения,salvation army
армянский,armenian
аромат,"aroma, fragrance"
ароматическая смесь,potpourri
ароматический шарик,pomander
ароматный,"nosey, fragrant"
арсенал,"arsenal, armory"
артезианский,artesian
артезианский колодец,artesian well
артериит,arteritis
артикль (неопределенный),a
артикулировать,articulate
артиллерийский,ordnance
артиллерийский обстрел,shelling
артиллерийский огонь,shellfire
артиллерийское дело,gunnery
артиллерист,"cannoneer, artillerist, artilleryman"
артиллерия,"cannonry, artillery"
артист,artist
артист кордебалета,figurant
артистический,artistic
артишок,artichoke
артрит,arthritis
арфа,harp
архаизм,archaism
архаический,archaic
архангел,archangel
архейский,"archean, archaean"
археология,archaeology
архив,"chancery, archives, archive"
архивариус,"registrar, archivist"
архивный,archival
архидиакон,archdeacon
архиепископ,"primate, archbishop"
архиепископство,archbishopric
архимедов,archimedean
архипелаг,archipelago
архитектор,architect
архитектура,architecture
архитектурный,architectonic
