Other,English
'Iu'I,field
'Iub,loop
'j,2d class marker
-0,essive
-0,nominative
-a,gerund present
-á,"plural, sublative"
-ä,plural
-a'-,to do
-a-ra,gerund present
-ar,plural
-är,plural
-ar-,obl. stem
-ba,plural
-bä,plural
-ba-r,plural
-bi,plural
-bu-r,plural
-by,plural
-by-r,plural
-d,adjectival and part. suffix
-d-ä,elative
-dä,adessive
-di'in,past conditional
-din,past conditional
-dy,adjectival and part. suffix
-egge-s,to copulate
-f,desiderative
-g,a diminutive suffix
-h,desiderative
-i,gerund past
-i-r,gerund
-j,aorist
-k,locative suffix
-ki,though
-kun,present conditional
-kun-ki,concessive
-la,elative
-ma,plural
-ma-r,plural (1)
-my,plural
-my-r,plural (1)
-n,"masdar, suffix of abstract nouns"
-na,present participle
-q,suffix of a locative case
-q:a-,future
-r-ä,plural
-r-i,aorist
-s,dative
-š-,obl. stem plural
-u,gerund past
-u-,gerund
-x,"desiderative, suffix of a locative case"
-xw,series Ad
-y,"gerund past, essive"
-ý,sublative
-y-r,gerund
=aca-,to know
=ädda-,ache
=alga-,to talk
=äta-,to beat
=axa-,to run
=äz-,to milk
=äza-,to plough
=e'e-,to pull
=erqwa-,to bark
=eše-,to weep
=ica-,thaw
=iga-,to dance
=ije-,to throw
=ile-,to eat
=ircha-,squeeze
=iricha-,squeeze
=irza-,to praise
=isa-,roast
=ixe-s,to carry
=izh,oneself
=uxwa-,to say
=w-ylca-r,give
=yga-,to want
=yky-,become
=yryx,to go
=yxa-,graze
=yxIa-,hit
=yxyrxa-,to weave
a,to be
ä-bir,blood
a-rka-s,to limp
ä=chwa-,to come in
a=ga-,to stay
a=qIwa-,to dig
a=rqIa-,coagulate
ä=šwa-,stop up
a=xIa-,to rub
äbir,blood
äch,apple
acyd,full
ad:ar,pen
ak-ax,a sort of small nuts
ame-xis,to stay
aqIur-dy,wide
ark-un,depth
arxI,spring wool
asyj,cloud
b,3d sing. class marker
baba,grandfather
babaj,grandmother
bac-byr,taking the kettle off fire
baci,small sheep
badu,trousers
baga,tomorrow
bäl,rock
bäl,forehead
barcil,earthworm
barkw,spine
beg,side
bej-dy,at the side of
biš-dy,deaf
biti,vagina
buk,part of face
buk',enclosure
burk,hammer
bych,flower
bych-byr,smallpox
bylyt,penis
byq,cow's dung
byrqIy-d,blind
bytra-,handsome
cacy-xa,ant
