Other,English
-mi,interrogative particle
-my-,not
-ng,an ending of the 2d person
-sy,possess. suffix (3d person)
a'tla-,to walk
aat,name
aažy,acid
aba,father
ac,horse
ahaç,tree
ahaš,tree
äht,meat
ahyr,heavy
ahyz,mouth
aj,month
aja'x,foot
ala,variegated
aldy-,front
an-dy (loc.),that
ana,mother
ang-a (dat.),that
apa,father
ardi,back
arfa,barley
arGa,back
arxa,back
aš-lyq,seed
at,horse
ax,white
baar,there is
baar-,go away
bahyr,liver
bala,young animal
balux,fish
bar,rich
baš,head
bax,rope
be-,to give
ber-,to give
bil,waist
bil-,to know
bile,also
bišt,louse
bojahyr,pregnant
bojax,dye
bojny,neck
bojy agyr,pregnant
boo-,to become
boš,empty
bu,this
bu'lyt,cloud
c'ynah,hoof
ça'-,to beat
çaar-,stick in
çäinä-,to chew
çap-,to beat
çene-,to chew
çiçex,flower
ciiry,skin
cil,language
ciš,tooth
çök-,to kneel down
çöm-,to dive
çöp,grass
çöx-,to kneel down
cücyn,smoke
çum-,to dive
çyx-çu,dew
daah,mountain
daal,tree
dar,narrow
dary,millet
daš,stone
dašy,outer side
dij-,to say
doli',full
dühü,that
duz,salt
düž,salt
dyr-,to stand
edi-,to say
el,hand
elex,sieve
enger,saddle
erkek,man
ex-,to sow
Ga'n,blood
Gara,black
gäži,night
gej-,to come
gel-,to come
gez-,walk through
Gi-,to go away
Gii-,to go away
gö'z,eye
göfrix,female breast
göjngy,mood
gör-,to see
Gulax,ear
gulylüx,round
Gum,sand
Guru,dry
Gurux,tail
Gury,dry
Guš,bird
güun,sun
Gux,blue
Gyzil,red
hangly,vehicle
hyssy,warm
iher-,to twist
ii,thing
iiç-,to drink
ileh,marrow
inžix,shin
ir-,to be
iri-,to melt
išky,two
išt,dog
išti-,to hear
ixit,brave man
jah,fat
jah-,to rain
jahmur,rain
jahrä,shoulderblade
jaht-,to sleep
jala-,to lick
jalhan,lie
jama-,to patch
jaman,bad
jan,side
jangax,cheek
janggu,elder brother's wife
jangy,new
jar-,to split
jara-,to be beneficial
järfyx,leaf
jarux,light
jaš,tear
jaš,young
jaš,year
jasa-,to create
jäšil,green
jasmux,lentil
jastux,pillow
jaxa,edge
jaxšy,good
jaxyn,near
jaz,spring
jel,wind
jel,year
jengGo,elder brother's wife
jengko,elder brother's wife
jenžux,bag
jer,land
jeresen,bat
jet-,to reach
ji-,to eat
jih-,to collect
jihit,brave man
jij,summer
jili,warm
jilyn,snake
jip,thread
jitti,seven
jiz,face
jol,road
jorhan,blanket
jowa,wooden fork
jöwa,wooden fork
jox,there is not
joxba,unsubstantial
ju'ar,musk
jü'kür-,to hurry
ju-,to swim
jugur-,to hurry
juhur-,to knead
jul,fountain
julur,halter
jum-,to close eyes
jumax,ball of wool
jung,wool
jür,song
jür-,to walk
jüx,animal's hair
juxar,musk
jüz,hundred
jüz,face
jyldus,star
jymüdda,egg
jymürdda,egg
jyrax,distant
jyrna'x,claw
jyrüx,courage
käm,who
kein,daughter-in-law
kiin,daughter-in-law
kijyx,wild goat
kimö,boat
kintix,navel
kinžix,navel
kir-,to enter
kiši,people
kiži,little
kölex,cow
köm-,to bury
köp,many
koža,gruel
kui,son-in-law
kül,ashes
küšä-,to chew
läšgi,thin
mee,I
meen,I
meng,mole on the face
mim-,to rize
min-,to rize
ming,thousand
ming-,to rize
mišix,cat
mongyz,horn
munax,irrational
muz,ice
ne,what
öhhen,anger
ohry,thief
oht,fire
oht-,to sit
ohtyr-,to sit
orha,young maral
ormän,forest
örüx,plum
örüx,plum
orxan,rope
öt,gall
öt-,pass through
öxt-,to cover
paar-,go away
paha,frog
pal,honey
palçyx,clay
par,there is
par,rich
parmax,thumb
pas-,to press
pat-,to sink
pax-,watch
paža,husbands of sisters
pir,one
pise,we
piser,we
pohtax,throat
porsux,badger
pöx-,to curve
poxtax,throat
puhum,joint
pur,one
püre,wolf
purny,nose
putax,branch
pütax,branch
puzo,calf
püzy,calf
pyr,one
qaavu,gate
qajyš,leather belt
qanat,wing
qaryn-taš,a relative
qol,arm
qomusqän,ant
qonax,millet
qonguraw,bell
qoš,pair
qoš-,to join
qošqor,ram
qošqur,ram
qöza,lamb
qulaš,fathom
qumusqa,ant
qyr-,shave
qyrx,forty
qyryx,forty
qysGa,short
qyz,girl
sach,hair of head
sachyx,hair on back of head
sal,rafter
