Other,English
-ma,interrogative particle
-ma-,not
-ng,an ending of the 2d person
-sy,possess. suffix (3d person)
a-ha; a-a (dat.),that
aba-eche,aunt
abachaq,grasshopper
abiche,aunt
abyl,hoe
abyt-,to lull
acha,elder brother
ada,sacrifice
adys,boundary
ah,net
ahaš,tree
ahyj,gull
ahyryn,gradually
aj,month
aja-,to pity
ajabän,remorseless
ajaq,pot
ajas,frost
ajlan-,to revolve
al-,to take
al-aq-,to deceive
al-aq-qan,perplexed
al-aq-tyr-,to deceive
al-yn-,to go mad
ala,variegated
alar,they
alda-,to deceive
alny,front
alty,lower side
alyh,fool
alyn-da,in front of
alyp,brave
am,now
am-oq,at once
amdy,now
amdyhy,recent
an-da (loc.),that
ang,sable
ang-dar-,to turn over
ängin,shoulder
apšaq,bear
apšyj,husband
aq,white
aqqa,father's father
aqsy,mouth
ar-,to become lean
ara,space between
arba-,to make magic
arbyš,magic
arha,back
arta-,carry on back
artyh,shoal
as,ermine
as,a little
aš,"seed, hunger"
as-,"to cross a mountain, to go astray"
aš-,to open
at,horse
at,name
at-,shoot
at-,to dawn
attaq,gills
aza,name of an evil spirit
azaq,foot
azyj,fang
azyr-,to separate
bajram,feast
chä,war
chä-,to rain
chabaš,quiet
chabydaq,without saddle
chah,fat
chah-,to rain
chaha,edge
chahys,lonely
chaj,summer
chajna-,to long for
chal,scruff
chala,tie
chalaba,sacred band
chalang,steppe
chalang,naked
chalha-,to lick
chap-,to cover
char-,to split
chara-,to be beneficial
charban-,to climb up
charyh,leather
charyn,shoulderblade
chaš,year
chasta-,to prop on a pillow
chastyq,pillow
chat-,to sleep
chaza-,to create
chažyl,green
chegren,yellow of a horse
chek,demon
chel,wind
chel-,trot
chelim,glue
chën,nephew
cher,land
cheren,yellow of a horse
chergen,yellow of a horse
ches,copper
cheste,son-in-law
chet-,to reach
chetti,seven
chï-,to eat
chibi-,soak
chidig,sharp
chilbi,witchcraft
chimchigeš,titmouse
chinget,brave man
chip,thread
chobaš,quiet
choda,thigh
choha,unsubstantial
chöj,cunning
chol,road
chön,thick
choq,there is not
chör-,to walk
chos-,to destroy
chügür-,run
chük,load
chul-,to tear out
chulhuš,thief
chum,small feathers
chür-,to knead
chürek,courage
churt,camping-site
chüs,hundred
chüs-,float
chüstük,finger ring
chut,bad weather
chyh-,to collect
chyl,year
chylan,snake
chylhy,age
chyltys,star
chyly-,warm
chylyng,spinal marrow
chymža-,mild
ë,host
e-,to be
ebir-,to turn
edek,edge of cloth
eger,hunting dog
egini,shoulder
egir-,spin
ele-,to sift
elek,sieve
elik,wild goat
em,house
emekte-,to crawl
eng,very
enžik,heel
erbek,joke
erke,cockered
eš-,to drink
et,meat
eze,very
ezer,saddle
ežik,door curtain
ezir-,to become drunk
ibek,quick
igi,two
ïk,spindle
ilar,they
ilgilik,mitten
ilik,hand
inek,cow
ingä,needle
ïr,dusk
ïr-,spin
iš-,to drink
it-,hit
itpäk,bread
jadyhan,winter rye
jan-chak,small bow
johdra,hair in camel's beard
jürgek,cedar
kändir,hemp
käp,image
kebe,boat
kechik,evening
kechirtke,cartilage
kel-,to come
kelesken,lizard
kelin,daughter-in-law
kemis,rug
keng,wide
kengdi-,to gnaw
kepže-n-,to chew
kerek,necessity
kergen,a k. of bird
kes-,to cut
kir-,to enter
kiriš,bow string
kiži,people
ködür-,raise
kögbe,gum of tooth
köge,gum of tooth
kögüs,breast
köj-,to burn
kök,blue
köm-,to bury
könek,vessel
köngn-ü,mood
köp,many
kös,eye
köš,nomadizing
köš-,to migrate
köžege,screen
kül,ashes
külün,jealousy
kün,sun
künek,shirt
küreš-,wrestle
kürt,deep snow
kürtük,black-cock
küs,autumn
küš,power
küze,son-in-law
lar,they
majryl-,to be bent
majryq,club-footed
malta,axe
mang,trot
mäs,gad-fly
me,interrogative particle
men,I
meške,mushroom
mï-s,brain
mine,now
mojun,neck
mözük,high
mün-,to rize
mung,thousand
mus,ice
müs,horn
myrchaq,pea
na,new
naba-,to patch
näbäk,sinciput
nahbyr,rain
nahys,lonely
näk,cow
näl-,to err
namyr,rain
,bow
nan-,to turn back
nangys,lonely
näq,cheek
näš,sleeve
naš-,to crush
ne-gu,what
nebe,thing
nebir-,to crush
neg-,to win
neng,sleeve
neng-,to win
nenge,elder brother's wife
nö,what
non-,plane
nuburtqa,egg
nuzruq,fist
nybaq,tale
nybyrt,bird-cherry
nybyrtqa,egg
oba,white lead
öch-,to extinguish
ochy,youngest
ödür-,to kill
ohry,thief
oin,play
öj,step-relative
oj-,to pick
ökpe,anger
ol,he
öl-,to die
olar,they
omaš,scoop
ong,right
öp,treasures
oq,arrow
ör,herd
orha,young maral
ört-a-,to take a mouthful
örtek,duck
oš,handful
ös-,to grow
öske,other
ozyj,a k. of plant
pah,rope
paha,frog
paja,recently
pajha,feast
pajoq,a k. of bird
pal,honey
pala,child
palan,viburnum
paltyr,calf of leg
palyh,wounded
palyq,fish
par-,to walk
paš,head
pasty,a man's wife's younger sister
pat-,to sink
paza,as well
pegem,wood hen
pek,stable
peltir,cross-roads
per-,to give
peret-,wound
pil-,to know
pilar,they (inanimate)
pile,whetstone
pilek,forearm
pir,one
pis,"we, awl"
pit,louse
plar,they (inanimate)
pol-,to become
pöl-,separate
porsuq,badger
pörü,wolf
pörük,cap
pos,empty
postang,young lamb
postuh,young lamb
pozu,self
pozuh,nail
pu,this
püd-ür-,to create
puha,bull
pük,meadow
pük-,to curve
pulan,elk
pulha-,stir up
puluq,well
pulut,cloud
pur-,wind round
pürek,kidney(s)
pürge-,to cover up
purnu,nose
purqa-,to throw
purun,nose
pus,fog
püt-,to believe
puza,calf
puza-,destroy
pyrhy,trumpet
pyryn,soot
pyš-,ripe
qabä,dry grass
qabaq,"forehead, cover"
qabychaq,scrotum
qabyq,shell
qadar-,to pasture
qadyh,hard
qaja,rock
qajla-,throat singing
qajyr,castoreum
qal,rough
qal-,remain
qalaq,shovel
qalba,leek
qamaq,forehead
qamna,otter
qamnahy,otter
qamyn-,to catch fire
qamyq,together
qan,blood
qan-,to be satisfied
qanat,wing
qangna,sleigh
qap,sack
qara,black
qarahan,acacia
qaraq,eye
qarba-,to grasp
qarbaq,fishing rod
qarha,crow
qarläš,swallow
qarny,belly
qartaha,hawk
qary,"arm, old"
qary-,to become old
qas,goose
qaš,eyebrow
qas-,to dig
qaš-,flee
qašqa,white blaze
qasta-,to annoy
qat-,tie to
qažang,joke
qazyn,relative-in-law
qazyng,birch tree
qazyr,cruel
qazyr-,to bend
qobus,a k. of musical
qojyh,saturated
qojyn,bosom
qol,arm
qolah,saddlegirth
qongrä,bell
qongra-,to ring
qöq,bladder
qöq,husk
qör-,fry
qortu,burbot
qorum,heap of stones
qoš,top(s) of boots
qü,swan
qubu,pole
quja,moth
qujaš,sun
qul,servant
qulaq,ear
qum,sand
qumarqy,legacy
qumystaš,ant
qursaq,stomach
quru-,to dry
quš,hen
quspaq,to pour out water
quzuruq,tail
qychan-,to threaten
qyjal,harm
qyjnah,harm
qyjyh,edging
qyjyq-ta-,to offend
qyl,hair
qyl-,to make
qylchy,handle
qylyš,sword
qymnaq,hop
qymyrtaš,ant
qyn,scabbard
qyn-,to long for
qyn-lah,torture
qypla-,to cut with scissors
qypty,scissors
qyr,isolated mountain
qyr-,to break
qyrä,hoar-frost
qyryq,forty
qys,girl
qys,shin
qyš,winter
qyšyr-,cry
qytyj,miserly
qyzyl,red
qyzyr,barren cow
rym,omen
š?malyq,small finger
šabal,fir-needle
sabyr,to blow of wind
šabyr,gown
sabyr-,scatter
sah,healthy
sahisqan,magpie
sahyl,chipmunk
šahyn,spark
saj,area covered with stones
šäj,mischief
saj-,to pierce
šajyq,flood
sal,rafter
