Other,English
-fun,to be silent
-jing,week
-jink,seven days
ä,I
á-du,he
á-du,he
a-mút,not
a-tin,kettle
ä?šinang,I weep
ab,father
ad,I
ádyng,we
ag,iron
agen,eggs
aggang,six
ággiang,six
aing,we
aj,I
aj,tongue
aja,pine
ajame,mother
ajang,you
ajap,father
ajete,I beat
ájgaj,in front
akel,son
akelä,daughter
akil,elder sister
akop,back
akum,I sit
akume,I live
ála,field
álap,tongue
am,mother
amä,mother
amagel,brother
amagildu,nephew
amut,not
an,haunch
anchi-gytpuju,I forget
ang,egg
anïgpan,to sit down
aning,legs
ankoj,snake
anygpanang,to sit down
apati,father-in-law
aperga,intestine
apijen,breast
apil,feet
ar,Arin
ara,Arin
arabidu,I sing
araulšeb,male dog
árquj,nose
aša-pok,top of tree
atang,I stand
ätang,I stand
ätangtang,we stand
atékul,spring
átkin,ear
átodu,alive
aty,soon
au,"thou, he"
au,male
b-,my
b-än,son-in-law
baj,wind
bama,mother
bamagál,nephew
bamagalã,sister
bamagalã,sister
bamagel,sister
bamagel,sister
bamagel,sister
ban,duck
ban-tibi-tälim,I smell
bap,father
bech,snow
berga,very
berga-,very
bergar,very
bergar-,very
bergar-yktu,good
berik,very
berik sagara,hardly
berkekej,lord
bi-,my
bi-kal,boy
bi-pas,my servant
bi-pašša,my servant (fem.)
biba,son-in-law
bibacha,son-in-law
bibpa,son-in-law
bich,sister
bich-idin,evening
bikál,son
bikala,daughter
bikhej,lord
bing,land
biqala,girl
biqam-al,wife
biqam-álte,wife
birkej,lord
bis,blue
bižg,how
bon,there is not
bonä,daughter-in-law
bonosot-xomšümä,darkly
búchkete,burning coal
bulún,to go
but,hare
by-qolong,cheeks
byqam-álte,wife
byqam álte,wife (1)
byqolung,cheek
cel,sleigh
chibaj,storm
chiebaj,storm
chit,larch
chüinboson,hay
chüinurlga,seed
chüinurlyga,seed
chüju,grass
cía-ng,four
cich,meat
ciku,year
cyl-paga,morning
d-ont-gyn,to stick into
dágo-úte,bat
dámkuk,window
damóng,arrow
dangkájkit,to go
dánning,lake
dat,eye
den,milk
diana,lip
dónga,three
dúkar,smoke
dyne,fir tree
e-tán,lip
ech,sky
eg,god
ega,sun
éga,sun
ege,six
éja,sun
ejš parang,sky
ejtol,door
éjtõl,door
ektem,good
elep,tongue
elxan,door
élxan,door
en,now
ena-háj,forest
eol,field
es,sky
eš,sky
ešhuj,month
esperang,cloud
éšuj,moon
etgeg,alive
etgeg,alive
etykup,sharply
fala,son
falla,son
falla,"boy, son"
fídam-du,low
finang,ashes
finnang,ashes
fozbag,depth
