Other,English
-ur-aj,3d p. imperative
gwar,a big jar
sa-jagha,a day after tomorrow
p'para,a lot
m-,a prohibitive particle
me'-er,a sort of barley
mux,a sp. of barley
al-,above
it:-ar xas,ache
-r,adj. and part. suffix
-f,adjective and part. suffix
-d-,adjective substantivator sing
"-di, -t:-, -t:i",adverbial suffix
ghur,ak. of grass
vari,all
qIal,anger
"icul, k:un",ankle
zabz,ant
-j,aorist
kuc,appearance
hach,apple
xab,armful
'ach,armpit
hal,arrow
ruk'I,ash
ruqI:,ashes
cul,autumn
jakw,axe
bušaxIur,badger
"gužal, q:ark",bark
d-ux'-,be reconciled
"k:alk:am, mu'ul, qup:",beak
duqur,beam
ux-,bear
mužur,beard
warw,bee
qa,behind
fun,belly
qIatul,belt
"kuruš, mugul",besom
"'aba-ni-r, Xa-f",big
kant,big knife
it-,bind
dzhak'v,bird
tur,birth-mark
kach,bitch
"kare-f, kIare",black
pex-er,blister
gurdar,block
"i', igI",blood
chuIlle-f,blue
wak:,boar
"irk:, karab",bone
"ajs, ken",bottom
k:war,boundary
šinik:w,boy
"kul, kutul",branch
'ül,bread
ja'-t-,break
muxur,breast
el,breath
sus,bride
"jam, žam",bride-groom
muR,bridge
chu,brother
"duch, max",bundle
'a',burden
parqIw,burdock
ugwa-s,burn
"ch:aIm, ifal",butter
kuch,button
paž,cabin
"k:uk:alaj, kakucaj",cake
urch,calf
nec,cane
hašw,caraway
tams,carpet
kan,carpet napless
qut:,carrot
gita-n,cat
sal,cattle-shed
qIwat,cave
ghwad,ceiling
neqw,chaff
nis,cheese
muchur,chin
luz,clay
maIrt:e-f,clean
gwad,clew
"ams-ar, dif",cloud
"k:ek:, t:at:",cock
"mik-ler, rug'uf",cold
Xaw,collar
dak:ra,collar-bone
t:a',colostrum
-da-la,comparative
"-š, -šin",conditional
-ra,conjunctive particle
if,copper
žimil,cornel
murt:,corner
Xuni,cow
bux,cow's dung
"qIab, šint",cradle
qurq,crane
"q:waRanaj, qIwat",crow
"jikw, juk",cubit
k:ek:u,cuckoo
muche-f,dark
xarche-f,dark-blue
-s,dative
ruš,daughter
jagh,day
"buIršef, buIše-f",deaf
murx,deer
ha-mi,deictic emphatic stem
"mi, ti",demonstrative pronoun
"car, ruch",dew
"arxw, q:urq:ur",diarrhea
-ghu-,directive prefix
"batur, qIaruš",dirt
ghuj,dog
"dagi, degi",donkey
rak:,door
"emk, nik",dream
kub,dried and pressed dung
