Other,English
'aak kulaen,it is foggy
"'aani!, 'aann!",come here!
'aas,snowshoes
"'aas du' nt'ii?, nt'ii 'aas?",where are the snowshoes?
"'aas nde', nde' 'aas",give me the snowshoes
'ael,trap
"'ael du' nt'ii?, 'ael nt'ii?, nt'ii 'ael?",where is the trap?
'aen',yes
'alts'eni,five
'ebeh,is't hot
'ebeh,it's hot
"'edlih kulaen, edlih!, hwdik'aats, kudezk'ats",it is cold
"'edlih, 'edlii, kwnezk'ats",it's cold
'el deyaan det'ox ltsii,the grouse is making a nest
'ene',don't
'ene',no
'ene' dazit'aenn,gdon't do that
'ene' dazoht'aenn,you guys don't do that
'enn',get away
"'enn'!, stanohdael",go away
'est,i am
'ests'aat,i am sick
'estsagh,i am crying
'estsagh,i'm crying
'it,you are
'oht,you are (pl)
'sc'eyaan,we are eating
'u'iniis,take it
"'ulgaadze sunt'ae, gaani du' c'ulgaadze nt'ae",this is a pike
"'ulgaadze, c'ulgaadze",pike
Katie suze',my name is Katie
Mendaesde zesdaa,i stay in Mantasta
Sandy bize',her name is Sandy
Tsuul Ta' xah nats'iholnik,we tell a story about Tsuul Tà
ba',dry fish
ba' 'eynizen,he wants dry fish
"ba' sdestlaan, ba' zggani sdestlaan",i want dry fish
ba' yaan,she is eating dry fish
baet,trout
"baldzaey nel'aen', ghaldzaey nghal'aen'",i saw the moon
bedi nt'aenn?,who is that person?
"bedi'i c'ant'aenn?, bedi'i nt'aenn?, jin doo nt'ay",who is this?
bedi'i nghil'aen'?,who do you see?
bedi'i nil'aen?,who did you see?
ben baagha natedaas,she is walking round the lake
ben ts'e' ghayaal,he is walking to the lake
ben ts'e' ghesyaal,i'm walking to the lake (1)
besiinn,owl
besiinn nel'aen,I see an owl
bunghae gits yidelniic,his brother is wearing gloves
"buze' nanenilnaan, ghan du' nanenilnaan buze'",her name is nanenilnaan
buze' stacnel'iita',his name is stacnel'iita'
c'aan nanezt'aey 'esyann,i am eating fry bread
c'edi'its'ak!,listen
c'edo'ohts'ak,you guys listen
c'edohdeldiixe ts'e' tesyaas,i'm walking to the school
c'edohdeldiixe ts'e' tezyaa,she is walking to the school
c'edzak tedze,New Year's Eve
"c'ekeyaan, nach'ihi'aal",they are eating
c'eldzes,he is dancing
c'eldzes,i am dancing
c'ena',creek
c'ena' baagha natedaas,she's walking around the creek
c'ena' baagha natesdaas,i'm walking by the creek
c'ena' k'aze loghayaal,he is walking by the creek
c'ena' ts'e' ghesyaal,i'm walking to the creek
c'ena' ts'e' tiisyaa,i am going to the creek
"c'eney' nanetyaex, c'eneyy' neyaex",a mushroom is growing
c'eneyy',mushroom
c'eneyy' nt'ae,this is a mushroom
c'esyaan,i am eating
c'et'aan' neyaex,leaves are growing
c'et'aann' nadaex,the leaves are falling
c'etsen' ggan,dry meat
"c'etsen' ggan 'esyaan, c'etsen' zggani 'esyaan",i am eating dry meat
"c'etsen' ggan 'eyne'esen, c'etsen' ggan sdestlaan",i want dry meat
c'etsen' tu' sdestlaan,i want some meat soup
c'eyaan,he is eating
c'ezaes,shavings
c'ezaes diilaa,i have shavings
c'ezes 'esogh,i am tanning a hide
c'ezes gha ghetnaa,she is tanning a hide
c'ezes zogh,he is tanning a hide
c'iyaan,you are eating
c'ohyaan,you are eating (pl)
c'utkaet ts'e' ghayaal,he is walking to the store
"c'utkaet ts'e' ghesyaal, c'utkaet ts'e' tesyaas",i'm walking to the store
ce'e,big
cen'aay nde',give me the axe
ch'it'aa' nateedeek,leaves are falling
chahjakta' shah xah naholnik,at chahjakta's house
chahjakta' wuliik eetii,chahjakta's dog is sleeping
"cheejil eht'iah, segeli lt'aes",he is cooking grayling
chiil gaay nts'atdi'?,what is the boy doing? (1)
chiil gaay tsat nadat-lio,little boy is dragging in wood
chiil gaay tthiishoo elt'al,the boy's hat is red
ciil,boy
ciil ggaay ba' idestlaan,the boy wants dry fish
ciil ggaay dzaenn nac'atna',the boy worked all day
ciil ggaay gigi idestlaan,the boy wants berries
ciil ggaay ndi'i ni'izen?,what does the boy want?
ciil ggaay nts'e t'aen?,what is the little boy doing?
ciil ggaay sdlii,the boy is cold
ciil ggaay taghatnak,the boy is tired
ciil ghayaal,the boy is walking
ciil ghayaal,the boy is walking along
ciil nacnelgets,the boy is fishing
ciil naxacdetiis,the boy is hunting
"ciil nts'e t'aen?, naa ciil nts'e t'aen?",what is the boy doing?
"ciil sunt'ae, gaann du' ciil ggaay nt'ae",this is a boy
"daan' kuzdlaen, daan' kuzdlaet",it is spring
daan' ta nunyae ggaay kulaen,in spring young animals born
"dacts'iise diilaa, dats'iisi diilaa",i have dry spruce branches
dacts'iisi,spruce branches
"dadolghaets, dadzohneh",you guys be quiet
dadzineh,be quiet
datl'edzi,dark blue
dats'ii da k'os kulaen?,is it still cloudy?
dats'ii da kwnezk'ats?,is it still cold?
dats'ii ghalcaan?,is it still raining?
"dats'ii k'os kulaen, dats'ii kudezk'ats",it is still cold
dats'ii lcaan,it is still rainning
debae,sheep
debae 'uka naxacdestiis,i am hunting for sheep
debae da nghil'aen'?,did you see any sheep?
debae nelt'e'e nel'aen,i see lots os sheep
debae nelt'e'e nghal'aen',i saw lots of sheep
decen,stick
decen sle'ditiis,give me the stick
deghaec,shirt
deghaec zelniik,i have a shirt
deldlaedze,blue
delghos,he is playing
delghos,i am playing
delic'ae',his own dog
delic'ae' k'anelta',she's looking after her dog
denae,man
denae c'eldzes,the man is dancing
denae de'ests'ak,i understand native language
denae deniigi 'uka naxacdetiis,the man is hunting for moose
denae di'its'ak da?,do you understand athabaskan?
denae k'eh da hniyaes?,do you speak Athabaskan?
denae k'eh dohduldiixi,i hope you'll learn ahtna way
denae k'eh hnesyaes,i speak athabaskan
denae k'eh nts'e nuze'?,what is native name?
denae k'eh xa'k'a hnesyaes,i speak a little athabaskan
denae naxacdetiis,the man is hunting
denae ndi'i 'uka naxacdetiis?,what is the man hunting?
"denae nts'e t'aen?, naghat denae nts'e t'aen?",what is the man doing?
denae staxacdetiis,the man is going hunting
"denae sunt'ae, gaan du' ciil nt'ae",this is a man
denae udzih 'uka naxacdetiis,the man is hunting for caribou
denae yidi'i 'uka naxacdetiis?,what is the man hunting for?
"denehtl'aa sle'ilniis, giligak sle'ilniis",give me the paper
"deniige zes sunt'ae, deniigi zes nt'ae",this is a moose hide
deniigi,moose
deniigi 'uka naxacdestiis,i am hunting for moose
"deniigi k'eh sutkut'ae, gaann du' deniigi k'eh",these are moose tracks
deniigi nel'aen,i see a moose
deniigi nghal'aen',i saw a moose
"destsiin, destsiinn",i am hungry
dets'eni,ducks
dets'eni natnedel,the ducks are flying around
dets'eni natnet'ax,the duck is flying around
dets'eni nts'e t'aen?,what are the ducks doing?
dets'eni nts'e t'aen?,what is the duck doing?
"dets'eni, t'aay",duck
detsiigi,calf moose
detsiigi,moose calf
"detsiigi ggaay nt'ae, gaann c'a detsiigi sunt'ae",this is a moose calf
detsiigi nel'aen,i see a calf moose
detsiigi nghal'aen',i saw a calf moose
"deyaann, deyh",grouse
deyaaze,cow moose
deyaaze nel'aen,i see a cow moose
deyaaze nghal'aen',i saw a cow moose
deyh det'ox ltsii,the grouse's making his nest
dezk'aan'e yizkaan,a lamp is sitting there
dezolts'ii,guys sit down
dezolts'ii!,you guys sit down!
"dii ch'ah eht'iah?, ndi'i da yilt'aesi?",what is he cooking?
dii kah nach'ehch'io?,what is he fishing for?
dinc'ii,four
"dit'aen?, nen du; nts'e dit'aen?, nts'e dit'aen?",what are you doing?
ditsiin da?,are you hungry?
ditsiinn,he is hungry
dluunn,mouse
dohdeldiix ts'e' ghayaal,he is walking to the school
dohdeldiix ts'e' ghesyaal,i'm walking to the school (1)
don',fly
don' natnett'ax,the fly is flying around
dzaenn,day
dzaenn ciil ggaay nac'atnan',the boy worked all day (1)
dzaenn kulaen,it is daytime
dzaenn nac'ekatnan',they worked all day
dzaenn taniidze kulaen,it is noon
dzel,mountain
dzel k'et natedaas,he is walking on the mountain
dzel ta da nadaexi kulaen?,is there snow on the mountains
dzel ta nadaexi kulaen,there is snow on the mountains
dzel ts'e' ghesyaal,i'm walking to the mountain
dzel ts'e' tiisyaa,i am going to the mountain
dziin uudih wutsoo etnah,all day long grandma worked
"elt'ele, lt'eli",red
"elt'uudze, lt'uudzi",black
eltsoghe,brown
evelyn ditsiin,evelyn is hungry
evelyn ditsiin da?,is evelyn hungry?
evelyn k'ali' ditsiin,evelyn is not hungry
gaa du'ciil ggaay nt'ae,this is a small boy
gaadu' 'aas,here are the snowshoes
gaadu' 'ael,here is the trap
gaadu' sghael' zes,here is my packsack
"gaadu' taazes, gaadu' tazes",here is the tent
gaadu' xaelzes,here is the packsack
"gaan di' nt'aey?, gaan yidi'i c'ant'aey?, yidi'i c'ant'aey?",what is this?
gaan du' ciilggaay ulic'ae',this is the boy's dog
"gaan du' ts'akae ggaay nt'a, ts'akae ggaay sunt'ae",this is a girl
gaan du' utse',this is his head
gaani du' baet,this is a lake trout
gaani du' danc'ogge',this is a raspberry
gaani du' danihbaa',this is a silverberry
gaani du' danihnuuy,this is a currant
gaani du' denesi,this is a bearberry
gaani du' dinc'ogge',this is a low raspberry
"gaani du' gigi, gigi sunt'ae",this is a berry
gaani du' kesten',this is a pin-nose whitefish
gaani du' luk'ae,this is a salmon
gaani du' luk'ae ce'e nt'ae,this is a king salmon
gaani du' ncuus,this is a rosehip
"gaani du' nkaal, nkaal sunt'ae",this is a salmonberry
gaani du' noht'aesi,this is a blackberry
gaani du' segeli nt'ae,this is a grayling (1)
gaani du' ts'aann,this is a ling cod
gaani du' ts'unghastlaeggi,this is a dolly varden
gaani du' tsabaey nt'ae,this is a whitefish
"gaani du' tsanltsael, nanihnuuy sunt'ae",this is a high-bush cranberry
"gaani du' xay gige', ntl'et sunt'ae",this is a low-bush cranberry
"gaann 'en bedi'i nt'aenn?, jin doo iin nt'ay?",who are these people?
gaann besiinn sunt'ae,this is an owl
gaann c'a dluunn 'ael' sunt'ae,these are mouse traps
"gaann c'a don' sunt'ae, gaann du' don'",this is a fly
"gaann c'a kuggaedi sunt'ae, gaann du' kuggaedi",this is a mosquito
"gaann c'a lahleli sunt'ae, gaann du' lahleli",this is a butterfly
"gaann c'a nadosi sunt'ae, gaann du' nadosi",this is an ant
gaann c'a ts'a 'ael' sunt'ae,these are beaver traps
gaann du' c'ezes nt'ae,this is a hide
